© 2000-2021 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Induction of Apoptosis by HIV1	7.15E00	1.23E-01	NaN	BAX,BIRC3,CASP9,MAP2K7,NFKBIA,NFKBIB,SLC25A10,TRAF2	
CD27 Signaling in Lymphocytes	5.08E00	1.05E-01	NaN	CASP9,MAP2K7,MAP3K7,NFKBIA,NFKBIB,TRAF2	
TWEAK Signaling	4.86E00	1.35E-01	NaN	BIRC3,CASP9,NFKBIA,NFKBIB,TRAF2	
April Mediated Signaling	4.58E00	1.19E-01	NaN	MAP2K7,NFKBIA,NFKBIB,TNFRSF17,TRAF2	
Apoptosis Signaling	4.55E00	6.73E-02	NaN	BAX,BIRC3,CASP9,MAP2K7,NFKBIA,NFKBIB,PRKCE	
B Cell Activating Factor Signaling	4.53E00	1.16E-01	NaN	MAP2K7,NFKBIA,NFKBIB,TNFRSF17,TRAF2	
Hypoxia Signaling in the Cardiovascular System	4.43E00	8.11E-02	NaN	ARNT,NFKBIA,NFKBIB,PTEN,UBE2N,UBE2R2	
Type II Diabetes Mellitus Signaling	4.33E00	5.23E-02	NaN	ACSBG2,ACSL4,MAP2K7,MAP3K7,NFKBIA,NFKBIB,PRKCE,TRAF2	
TNFR1 Signaling	4.13E00	9.62E-02	NaN	BIRC3,CASP9,NFKBIA,NFKBIB,TRAF2	
RANK Signaling in Osteoclasts	3.92E00	6.59E-02	NaN	BIRC3,MAP2K7,MAP3K7,NFKBIA,NFKBIB,TRAF2	
TNFR2 Signaling	3.84E00	1.25E-01	NaN	BIRC3,NFKBIA,NFKBIB,TRAF2	
Small Cell Lung Cancer Signaling	3.8E00	6.25E-02	NaN	CASP9,CDK2,NFKBIA,NFKBIB,PTEN,TRAF2	
IL-1 Signaling	3.8E00	6.25E-02	NaN	ECSIT,GNAT2,MAP2K7,MAP3K7,NFKBIA,NFKBIB	
Death Receptor Signaling	3.8E00	6.25E-02	NaN	BIRC3,CASP9,MAP2K7,NFKBIA,NFKBIB,TRAF2	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	3.66E00	4.19E-02	NaN	MAP2K7,MAP3K7,NFKBIA,NFKBIB,PPP1CA,PPP1CC,PRKCE,RHOA	
CD40 Signaling	3.6E00	7.46E-02	NaN	MAP2K7,MAP3K7,NFKBIA,NFKBIB,TRAF2	
PPAR Signaling	3.54E00	5.61E-02	NaN	AIP,IL1RAPL1,MAP3K7,NFKBIA,NFKBIB,TRAF2	
LPS/IL-1 Mediated Inhibition of RXR Function	3.51E00	3.54E-02	NaN	ACSBG2,ACSL4,ALAS1,CYP2A6 (includes others),ECSIT,IL1RAPL1,MAP2K7,MAP3K7,TRAF2	
Molecular Mechanisms of Cancer	3.38E00	2.68E-02	NaN	BAX,BIRC3,CASP9,CDK2,E2F8,GNAT2,MAP3K7,NFKBIA,NFKBIB,PMAIP1,PRKCE,RHOA	
PFKFB4 Signaling Pathway	3.22E00	8.7E-02	NaN	GPI,HK2,MAP2K7,TKT	
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	3.2E00	3.57E-02	NaN	BIRC3,CASP9,IL1RAPL1,MAP2K7,MAP3K7,NFKBIA,NFKBIB,TRAF2	
Tetrapyrrole Biosynthesis II	3.16E00	4E-01	NaN	ALAS1,HMBS	
IL-6 Signaling	3.12E00	4.69E-02	NaN	IL1RAPL1,MAP2K7,MAP3K7,NFKBIA,NFKBIB,TRAF2	
MYC Mediated Apoptosis Signaling	3.09E00	8E-02	NaN	BAX,CASP9,PMAIP1,TRAF2	
Role of PKR in Interferon Induction and Antiviral Response	2.99E00	4.41E-02	NaN	BAX,CASP9,MAP2K7,MAP3K7,NFKBIA,NFKBIB	
GDP-mannose Biosynthesis	2.99E00	3.33E-01	NaN	GPI,MPI	
PPARα/RXRα Activation	2.88E00	3.59E-02	NaN	AIP,IL1RAPL1,MAP2K7,MAP3K7,NFKBIA,NFKBIB,NR2C2	
HIF1α Signaling	2.71E00	3.37E-02	NaN	APEX1,ARNT,GPI,HK2,MAP2K7,PRKCE,SLC2A1	
Aryl Hydrocarbon Receptor Signaling	2.64E00	3.77E-02	NaN	AHR,AIP,ARNT,BAX,CDK2,NCOA2	
Heme Biosynthesis II	2.61E00	2.22E-01	NaN	ALAS1,HMBS	
IL-17A Signaling in Airway Cells	2.61E00	5.97E-02	NaN	MAP3K7,NFKBIA,NFKBIB,PTEN	
Prostate Cancer Signaling	2.59E00	4.46E-02	NaN	CASP9,CDK2,NFKBIA,NFKBIB,PTEN	
4-1BB Signaling in T Lymphocytes	2.54E00	8.82E-02	NaN	NFKBIA,NFKBIB,TRAF2	
Dolichyl-diphosphooligosaccharide Biosynthesis	2.52E00	2E-01	NaN	ALG3,DPM1	
IL-10 Signaling	2.5E00	5.56E-02	NaN	IL1RAPL1,MAP3K7,NFKBIA,NFKBIB	
Pentose Phosphate Pathway	2.44E00	1.82E-01	NaN	PGLS,TKT	
IL-17A Signaling in Fibroblasts	2.4E00	7.89E-02	NaN	MAP3K7,NFKBIA,NFKBIB	
Role of MAPK Signaling in Inhibiting the Pathogenesis of Influenza	2.39E00	5.19E-02	NaN	BAX,MAP2K7,NFKBIA,NFKBIB	
NF-κB Activation by Viruses	2.37E00	5.13E-02	NaN	NFKBIA,NFKBIB,PRKCE,TRAF2	
Role of BRCA1 in DNA Damage Response	2.33E00	5E-02	NaN	E2F8,FANCB,FANCF,SMARCA2	
Acute Phase Response Signaling	2.32E00	3.24E-02	NaN	ECSIT,MAP2K7,MAP3K7,NFKBIA,NFKBIB,TRAF2	
UDP-N-acetyl-D-galactosamine Biosynthesis II	2.29E00	1.54E-01	NaN	GPI,HK2	
PEDF Signaling	2.26E00	4.76E-02	NaN	NFKBIA,NFKBIB,RHOA,ZEB1	
Wound Healing Signaling Pathway	2.26E00	2.78E-02	NaN	CERT1,IL1RAPL1,MAP2K7,MAP3K7,NFKBIA,NFKBIB,TRAF2	
Hepatic Cholestasis	2.25E00	3.14E-02	NaN	IL1RAPL1,MAP3K7,NFKBIA,NFKBIB,PRKCE,TRAF2	
LPS-stimulated MAPK Signaling	2.24E00	4.71E-02	NaN	MAP3K7,NFKBIA,NFKBIB,PRKCE	
Colanic Acid Building Blocks Biosynthesis	2.22E00	1.43E-01	NaN	GPI,MPI	
BER (Base Excision Repair) Pathway	2.22E00	6.82E-02	NaN	APEX1,MAP2K7,XRCC1	
Xenobiotic Metabolism AHR Signaling Pathway	2.21E00	4.6E-02	NaN	AHR,AIP,ARNT,NCOA2	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	2.19E00	2.45E-02	NaN	IL1RAPL1,MAP2K7,MAP3K7,NFKBIA,NFKBIB,PRKCE,RHOA,TRAF2	
Role of RIG1-like Receptors in Antiviral Innate Immunity	2.17E00	6.52E-02	NaN	NFKBIA,NFKBIB,TRAF2	
Fatty Acid Activation	2.16E00	1.33E-01	NaN	ACSBG2,ACSL4	
Xenobiotic Metabolism General Signaling Pathway	2.14E00	3.5E-02	NaN	AHR,ARNT,MAP2K7,MAP3K7,PRKCE	
Coronavirus Pathogenesis Pathway	2.13E00	2.96E-02	NaN	BAX,CASP9,CDK2,E2F8,NFKBIA,NFKBIB	
D-mannose Degradation	2.08E00	1E00	NaN	MPI	
D-myo-inositol (1,3,4)-trisphosphate Biosynthesis	2.06E00	1.18E-01	NaN	IPMK,PTEN	
IL-8 Signaling	2.05E00	2.84E-02	NaN	BAX,GNAT2,NFKBIA,NFKBIB,PRKCE,RHOA	
ATM Signaling	2.04E00	4.12E-02	NaN	CDK2,NFKBIA,PPP1CC,ZEB1	
Hepatic Fibrosis Signaling Pathway	2.04E00	2.15E-02	NaN	BRD4,IL1RAPL1,MAP2K7,MAP3K7,NFKBIA,NFKBIB,PRKCE,PTEN,RHOA	
p53 Signaling	2.03E00	4.08E-02	NaN	BAX,CDK2,PMAIP1,PTEN	
Necroptosis Signaling Pathway	1.97E00	3.18E-02	NaN	BIRC3,CYLD,MAP3K7,SLC25A10,TRAF2	
γ-linolenate Biosynthesis II (Animals)	1.96E00	1.05E-01	NaN	ACSBG2,ACSL4	
Mitochondrial L-carnitine Shuttle Pathway	1.96E00	1.05E-01	NaN	ACSBG2,ACSL4	
Lymphotoxin β Receptor Signaling	1.95E00	5.45E-02	NaN	CASP9,NFKBIA,TRAF2	
Sumoylation Pathway	1.95E00	3.88E-02	NaN	CTBP1,NFKBIA,RHOA,ZEB1	
CSDE1 Signaling Pathway	1.94E00	5.36E-02	NaN	AGO2,CSDE1,PTEN	
EIF2 Signaling	1.93E00	2.68E-02	NaN	AGO2,EIF3H,EIF4A1,EIF4A2,PPP1CA,PPP1CC	
Senescence Pathway	1.89E00	2.36E-02	NaN	CDK2,E2F8,MAP2K7,MAP3K7,PPP1CA,PTEN,SQSTM1	
Endoplasmic Reticulum Stress Pathway	1.88E00	9.52E-02	NaN	CASP9,TRAF2	
Superpathway of D-myo-inositol (1,4,5)-trisphosphate Metabolism	1.84E00	9.09E-02	NaN	IPMK,PTEN	
Gαq Signaling	1.84E00	2.94E-02	NaN	GNAT2,NFKBIA,NFKBIB,PRKCE,RHOA	
NRF2-mediated Oxidative Stress Response	1.82E00	2.53E-02	NaN	CLPP,CYP2A6 (includes others),MAP2K7,MAP3K7,PRKCE,SQSTM1	
Role of MAPK Signaling in Promoting the Pathogenesis of Influenza	1.82E00	3.54E-02	NaN	BAX,MAP2K7,NFKBIA,NFKBIB	
Stearate Biosynthesis I (Animals)	1.8E00	4.76E-02	NaN	ACSBG2,ACSL4,SRD5A3	
Dolichol and Dolichyl Phosphate Biosynthesis	1.78E00	5E-01	NaN	DHDDS	
Erythropoietin Signaling Pathway	1.77E00	2.82E-02	NaN	ARNT,BIRC3,NFKBIA,NFKBIB,PRKCE	
Tumoricidal Function of Hepatic Natural Killer Cells	1.77E00	8.33E-02	NaN	BAX,CASP9	
Role of PI3K/AKT Signaling in the Pathogenesis of Influenza	1.74E00	4.55E-02	NaN	CASP9,NFKBIA,NFKBIB	
CDP-diacylglycerol Biosynthesis I	1.73E00	8E-02	NaN	AGPAT3,TAZ	
Cell Cycle: G1/S Checkpoint Regulation	1.71E00	4.41E-02	NaN	CDK2,CUL1,E2F8	
