© 2000-2021 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Amyloid Processing	5.47E00	1.18E-01	NaN	APH1A,CAPN10,NCSTN,PSEN1,PSEN2,PSENEN	
Notch Signaling	4.89E00	1.32E-01	NaN	APH1A,NCSTN,PSEN1,PSEN2,PSENEN	
ERBB4 Signaling	3.65E00	7.35E-02	NaN	APH1A,NCSTN,PSEN1,PSEN2,PSENEN	
Th1 Pathway	3.33E00	4.92E-02	NaN	APH1A,CD3D,NCSTN,PSEN1,PSEN2,PSENEN	
nNOS Signaling in Neurons	3.26E00	8.51E-02	NaN	CAPN10,CHP1,GRIN3A,NOS1AP	
Regulation Of The Epithelial Mesenchymal Transition In Development Pathway	3.16E00	5.75E-02	NaN	APH1A,NCSTN,PSEN1,PSEN2,PSENEN	
Th2 Pathway	3.06E00	4.38E-02	NaN	APH1A,CD3D,NCSTN,PSEN1,PSEN2,PSENEN	
Th1 and Th2 Activation Pathway	2.56E00	3.49E-02	NaN	APH1A,CD3D,NCSTN,PSEN1,PSEN2,PSENEN	
RHOA Signaling	2.48E00	4.03E-02	NaN	EPHA1,LIMK2,PPP1CB,PPP1R12A,WASF1	
Synaptic Long Term Potentiation	2.4E00	3.88E-02	NaN	CHP1,GRIA4,GRIN3A,PPP1CB,PPP1R12A	
Chemokine Signaling	2.4E00	5E-02	NaN	LIMK2,OPN1SW,PPP1CB,PPP1R12A	
Neuroinflammation Signaling Pathway	2.38E00	2.54E-02	NaN	APH1A,BIRC5,CHP1,GRIN3A,NCSTN,PSEN1,PSEN2,PSENEN	
CCR3 Signaling in Eosinophils	2.32E00	3.7E-02	NaN	CCL26,LIMK2,OPN1SW,PPP1CB,PPP1R12A	
Kinetochore Metaphase Signaling Pathway	1.9E00	3.6E-02	NaN	BIRC5,CENPA,PPP1CB,PPP1R12A	
Mitochondrial Dysfunction	1.9E00	2.92E-02	NaN	APH1A,NCSTN,PSEN1,PSEN2,PSENEN	
CDK5 Signaling	1.86E00	3.51E-02	NaN	CABLES1,ITGA6,PPP1CB,PPP1R12A	
Regulation of Actin-based Motility by Rho	1.84E00	3.45E-02	NaN	ITGA6,PPP1CB,PPP1R12A,WASF1	
Dopamine-DARPP32 Feedback in cAMP Signaling	1.8E00	2.76E-02	NaN	CHP1,GRIN3A,OPN1SW,PPP1CB,PPP1R12A	
Regulation of the Epithelial-Mesenchymal Transition Pathway	1.68E00	2.56E-02	NaN	APH1A,NCSTN,PSEN1,PSEN2,PSENEN	
Glutathione Biosynthesis	1.62E00	3.33E-01	NaN	GCLM	
Integrin Signaling	1.53E00	2.35E-02	NaN	CAPN10,ITGA6,PPP1CB,PPP1R12A,TSPAN6	
2-ketoglutarate Dehydrogenase Complex	1.5E00	2.5E-01	NaN	DLST	
DNA Methylation and Transcriptional Repression Signaling	1.49E00	5.71E-02	NaN	DNMT3A,RBBP7	
Endocannabinoid Neuronal Synapse Pathway	1.49E00	2.68E-02	NaN	CHP1,GRIA4,GRIN3A,OPN1SW	
Semaphorin Neuronal Repulsive Signaling Pathway	1.47E00	2.65E-02	NaN	ITGA6,LIMK2,PPP1CB,PPP1R12A	
Regulation of Cellular Mechanics by Calpain Protease	1.45E00	3.37E-02	NaN	CAPN10,CNGA2,ITGA6	
Actin Nucleation by ARP-WASP Complex	1.4E00	3.23E-02	NaN	ITGA6,PPP1R12A,WASF1	
Synaptogenesis Signaling Pathway	1.37E00	1.91E-02	NaN	EPHA1,GRIA4,GRIN3A,STX1A,VAMP2,WASF1	
Zymosterol Biosynthesis	1.32E00	1.67E-01	NaN	CYP51A1	
Actin Cytoskeleton Signaling	1.31E00	2.04E-02	NaN	ITGA6,LIMK2,PPP1CB,PPP1R12A,WASF1	
Sumoylation Pathway	1.29E00	2.91E-02	NaN	DNMT3A,RCC1,SENP6	
Tight Junction Signaling	1.25E00	2.25E-02	NaN	JAM3,PALS1,STX1A,VAMP2	
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	1.24E00	2.23E-02	NaN	PPP1CB,PPP1R12A,PPP4C,STYXL1	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	1.24E00	2.23E-02	NaN	PPP1CB,PPP1R12A,PPP4C,STYXL1	
Spliceosomal Cycle	1.23E00	4.08E-02	NaN	ISY1,SF1	
Amyotrophic Lateral Sclerosis Signaling	1.18E00	2.61E-02	NaN	CAPN10,GRIA4,GRIN3A	
Neuregulin Signaling	1.16E00	2.56E-02	NaN	ERBIN,ITGA6,PSEN1	
3-phosphoinositide Degradation	1.16E00	2.09E-02	NaN	PPP1CB,PPP1R12A,PPP4C,STYXL1	
Molecular Mechanisms of Cancer	1.15E00	1.57E-02	NaN	APH1A,CDK14,ITGA6,NCSTN,PSEN1,PSEN2,PSENEN	
D-myo-inositol-5-phosphate Metabolism	1.14E00	2.05E-02	NaN	PPP1CB,PPP1R12A,PPP4C,STYXL1	
Cell Cycle Control of Chromosomal Replication	1.13E00	3.57E-02	NaN	CDK14,TOP2B	
LXR/RXR Activation	1.11E00	2.44E-02	NaN	CYP51A1,LDLR,SERPINF2	
