© 2000-2021 QIAGEN. All rights reserved.				
				
Ingenuity Canonical Pathways	 -log(p-value)	Ratio	Molecules	
EIF2 Signaling	3.98E+00	4.02E-02	"EIF3B,EIF3C,EIF3F,EIF3H,EIF3M,EIF4A1,EIF4A2,GSK3B,RPS2"	
Regulation of eIF4 and p70S6K Signaling	3.91E+00	4.47E-02	"EIF3B,EIF3C,EIF3F,EIF3H,EIF3M,EIF4A1,EIF4A2,RPS2"	
Hypoxia Signaling in the Cardiovascular System	3.44E+00	6.76E-02	"NFKBIA,NFKBIB,PTEN,UBE2N,UBE2Q1"	
mTOR Signaling	3.42E+00	3.77E-02	"EIF3B,EIF3C,EIF3F,EIF3H,EIF3M,EIF4A1,EIF4A2,RPS2"	
Ferroptosis Signaling Pathway	3.10E+00	4.55E-02	"ACSL4,BECN1,G3BP1,H2AC21,H2AZ1,SQSTM1"	
GDP-mannose Biosynthesis	3.01E+00	3.33E-01	"GPI,MPI"	
IL-17A Signaling in Airway Cells	2.64E+00	5.97E-02	"GSK3B,NFKBIA,NFKBIB,PTEN"	
TNFR2 Signaling	2.64E+00	9.38E-02	"BIRC3,NFKBIA,NFKBIB"	
Dolichyl-diphosphooligosaccharide Biosynthesis	2.54E+00	2.00E-01	"ALG3,DPM1"	1.301029996
MIF-mediated Glucocorticoid Regulation	2.49E+00	8.33E-02	"NFKBIA,NFKBIB,PLA2G10"	
TWEAK Signaling	2.46E+00	8.11E-02	"BIRC3,NFKBIA,NFKBIB"	
IL-17A Signaling in Fibroblasts	2.43E+00	7.89E-02	"GSK3B,NFKBIA,NFKBIB"	
BEX2 Signaling Pathway	2.35E+00	4.94E-02	"GSK3B,LDB1,NFKBIA,PTEN"	
April Mediated Signaling	2.30E+00	7.14E-02	"NFKBIA,NFKBIB,TNFRSF17"	
B Cell Activating Factor Signaling	2.27E+00	6.98E-02	"NFKBIA,NFKBIB,TNFRSF17"	
MIF Regulation of Innate Immunity	2.25E+00	6.82E-02	"NFKBIA,NFKBIB,PLA2G10"	
Colanic Acid Building Blocks Biosynthesis	2.24E+00	1.43E-01	"GPI,MPI"	
FAT10 Cancer Signaling Pathway	2.09E+00	6.00E-02	"GSK3B,NFKBIA,NFKBIB"	
D-mannose Degradation	2.09E+00	1.00E+00	MPI	
TNFR1 Signaling	2.05E+00	5.77E-02	"BIRC3,NFKBIA,NFKBIB"	
CSDE1 Signaling Pathway	1.96E+00	5.36E-02	"CSDE1,PTEN,SYNCRIP"	
Prostate Cancer Signaling	1.86E+00	3.57E-02	"GSK3B,NFKBIA,NFKBIB,PTEN"	
Role of MAPK Signaling in Promoting the Pathogenesis of Influenza	1.85E+00	3.54E-02	"BECN1,NFKBIA,NFKBIB,PLA2G10"	
Stearate Biosynthesis I (Animals)	1.82E+00	4.76E-02	"ACSL4,LIPT2,SRD5A3"	
L-DOPA Degradation	1.79E+00	5.00E-01	COMT	
Putrescine Biosynthesis III	1.79E+00	5.00E-01	ODC1	
Induction of Apoptosis by HIV1	1.78E+00	4.62E-02	"BIRC3,NFKBIA,NFKBIB"	
Role of PI3K/AKT Signaling in the Pathogenesis of Influenza	1.77E+00	4.55E-02	"GSK3B,NFKBIA,NFKBIB"	
Thiosulfate Disproportionation III (Rhodanese)	1.61E+00	3.33E-01	MOCS3	
Role of MAPK Signaling in Inhibiting the Pathogenesis of Influenza	1.59E+00	3.90E-02	"NFKBIA,NFKBIB,PLA2G10"	
Hereditary Breast Cancer Signaling	1.52E+00	2.82E-02	"POLR2D,PTEN,RFC1,TUBG1"	
4-1BB Signaling in T Lymphocytes	1.50E+00	5.88E-02	"NFKBIA,NFKBIB"	
Molybdenum Cofactor Biosynthesis	1.49E+00	2.50E-01	MOCS3	
Sirtuin Signaling Pathway	1.47E+00	2.05E-02	"BECN1,GSK3B,NDUFA11,NDUFS7,POLR1C,XRCC5"	
RANK Signaling in Osteoclasts	1.41E+00	3.30E-02	"BIRC3,NFKBIA,NFKBIB"	
Folate Polyglutamylation	1.39E+00	2.00E-01	FPGS	
tRNA Charging	1.39E+00	5.13E-02	"EARS2,YARS1"	
Small Cell Lung Cancer Signaling	1.35E+00	3.12E-02	"NFKBIA,NFKBIB,PTEN"	
Death Receptor Signaling	1.35E+00	3.12E-02	"BIRC3,NFKBIA,NFKBIB"	
"NER (Nucleotide Excision Repair, Enhanced Pathway)"	1.27E+00	2.91E-02	"POLR2D,RFC1,UBE2N"	
Apoptosis Signaling	1.26E+00	2.88E-02	"BIRC3,NFKBIA,NFKBIB"	
Role of RIG1-like Receptors in Antiviral Innate Immunity	1.26E+00	4.35E-02	"NFKBIA,NFKBIB"	
iNOS Signaling	1.24E+00	4.26E-02	"NFKBIA,NFKBIB"	
Erythropoietin Signaling Pathway	1.23E+00	2.26E-02	"BIRC3,GSK3B,NFKBIA,NFKBIB"	
Kinetochore Metaphase Signaling Pathway	1.20E+00	2.70E-02	"AURKB,H2AC21,H2AZ1"	
Sphingomyelin Metabolism	1.19E+00	1.25E-01	SGMS1	
Antioxidant Action of Vitamin C	1.19E+00	2.68E-02	"NFKBIA,NFKBIB,PLA2G10"	
Phosphatidylethanolamine Biosynthesis II	1.15E+00	1.11E-01	SELENOI	
Protein Ubiquitination Pathway	1.11E+00	1.82E-02	"BIRC3,ELOB,UBE2N,UBE2Q1,UCHL3"	
CD27 Signaling in Lymphocytes	1.10E+00	3.51E-02	"NFKBIA,NFKBIB"	
Role of IL-17A in Arthritis	1.10E+00	3.51E-02	"NFKBIA,NFKBIB"	
PI3K/AKT Signaling	1.08E+00	2.01E-02	"GSK3B,NFKBIA,NFKBIB,PTEN"	
Polyamine Regulation in Colon Cancer	1.08E+00	3.45E-02	"GSK3B,ODC1"	
Endometrial Cancer Signaling	1.06E+00	3.33E-02	"GSK3B,PTEN"	
Sertoli Cell-Sertoli Cell Junction Signaling	1.04E+00	1.94E-02	"GSK3B,PRKG2,PTEN,TUBG1"	
Assembly of RNA Polymerase I Complex	1.03E+00	8.33E-02	POLR1C	
Autophagy	1.00E+00	1.88E-02	"BECN1,GSK3B,PTEN,SQSTM1"	
Activation of IRF by Cytosolic Pattern Recognition Receptors	1.00E+00	3.08E-02	"NFKBIA,NFKBIB"	
ERB2-ERBB3 Signaling	1.00E+00	3.08E-02	"GSK3B,PTEN"	
Oleate Biosynthesis II (Animals)	9.91E-01	7.69E-02	UFSP2	
UDP-N-acetyl-D-galactosamine Biosynthesis II	9.91E-01	7.69E-02	GPI	
CD40 Signaling	9.79E-01	2.99E-02	"NFKBIA,NFKBIB"	
MSP-RON Signaling In Cancer Cells Pathway	9.79E-01	2.17E-02	"FLNA,GSK3B,NFKBIA"	
DNA Double-Strand Break Repair by Non-Homologous End Joining	9.63E-01	7.14E-02	XRCC5	
"Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis"	9.43E-01	1.79E-02	"BIRC3,GSK3B,NFKBIA,NFKBIB"	
PI3K Signaling in B Lymphocytes	9.43E-01	2.10E-02	"NFKBIA,NFKBIB,PTEN"	
Telomere Extension by Telomerase	9.32E-01	6.67E-02	XRCC5	
Fatty Acid Activation	9.32E-01	6.67E-02	ACSL4	
