Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR14708197,2021-07-18 08:16:51,2021-06-02 02:50:49,45098092,9109814584,45098092,202,5594,,https://sra-download.ncbi.nlm.nih.gov/traces/sra65/SRR/014363/SRR14708197,SRX11046277,L10,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP322250,PRJNA734114,,734114,SRS9114496,SAMN19471741,simple,3483,Cannabis sativa,10,,,,,,,no,,,,,LANZHOU UNIVERSITY,SRA1239464,,public,FC51A05D40CD3380F13610123A9EBC5D,5D486167B1B650D2F6A99C9C6BDF5906
SRR14708201,2021-07-18 08:16:52,2021-06-02 03:44:18,47499082,14249724600,47499082,300,4412,,https://sra-download.ncbi.nlm.nih.gov/traces/sra66/SRR/014363/SRR14708201,SRX11046273,L80,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP322250,PRJNA734114,,734114,SRS9114491,SAMN19471811,simple,3483,Cannabis sativa,108,,,,,,,no,,,,,LANZHOU UNIVERSITY,SRA1239464,,public,60F41BACE001002808A87AFBEF09EEEA,B0B23EB54BB5B54AB4F83CF00D2F29CD
SRR14708199,2021-07-18 08:16:52,2021-06-02 03:23:49,90515019,27154505700,90515019,300,8260,,https://sra-download.ncbi.nlm.nih.gov/traces/sra65/SRR/014363/SRR14708199,SRX11046275,L81,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP322250,PRJNA734114,,734114,SRS9114494,SAMN19471812,simple,3483,Cannabis sativa,109,,,,,,,no,,,,,LANZHOU UNIVERSITY,SRA1239464,,public,AD59D9A2E88118B102AEF0BE50256BB0,9F1079B2AD63B39A4BB7B02F6EB3A74D
SRR14708198,2021-07-18 08:16:52,2021-06-02 04:42:01,92871730,27861519000,92871730,300,8539,,https://sra-download.ncbi.nlm.nih.gov/traces/sra55/SRR/014363/SRR14708198,SRX11046276,L82,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP322250,PRJNA734114,,734114,SRS9114495,SAMN19471813,simple,3483,Cannabis sativa,110,,,,,,,no,,,,,LANZHOU UNIVERSITY,SRA1239464,,public,176637B74A529C15220FC1C367421CA3,33D8D0B6F4706FE630A3BD6FF371C238
SRR14839045,2021-06-17 02:23:57,2021-06-17 01:39:45,83213946,20803486500,83213946,250,7198,,https://sra-download.ncbi.nlm.nih.gov/traces/sra1/SRR/014491/SRR14839045,SRX11163943,1D_1,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP324348,PRJNA738505,,738505,SRS9223840,SAMN19731537,simple,3483,Cannabis sativa,1D-Pi-1,,,,,female,,no,,,,,UNIVERSITY OF MONCTON,SRA1246196,,public,CBA1092D7BE4F921EBAD6F393ECA9A7D,C1971D1EDC282D705505A5B05EF1FFFA
SRR14839042,2021-06-17 02:23:57,2021-06-17 01:32:20,43062043,10765510750,43062043,250,3758,,https://sra-download.ncbi.nlm.nih.gov/traces/sra13/SRR/014491/SRR14839042,SRX11163946,1D_2,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP324348,PRJNA738505,,738505,SRS9223843,SAMN19731538,simple,3483,Cannabis sativa,1D-Pi-2,,,,,female,,no,,,,,UNIVERSITY OF MONCTON,SRA1246196,,public,35C59974EDF8EAACDFE5963FA38E7BB2,2CDFA29D30D8A816B2529538495418A2
SRR14839043,2021-06-17 02:35:27,2021-06-17 02:20:06,54621579,13655394750,54621579,250,4882,,https://sra-download.ncbi.nlm.nih.gov/traces/sra36/SRR/014491/SRR14839043,SRX11163945,1D_3,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP324348,PRJNA738505,,738505,SRS9223842,SAMN19731539,simple,3483,Cannabis sativa,1D-Pi-3,,,,,female,,no,,,,,UNIVERSITY OF MONCTON,SRA1246196,,public,324E5B755C9C6945A0FB00BCE0B248F1,C999401666D230B642BDFCCED023D6CA
SRR14839044,2021-06-17 02:23:57,2021-06-17 01:39:57,58435671,14608917750,58435671,250,5211,,https://sra-download.ncbi.nlm.nih.gov/traces/sra19/SRR/014491/SRR14839044,SRX11163944,3D_1,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP324348,PRJNA738505,,738505,SRS9223841,SAMN19731540,simple,3483,Cannabis sativa,3D-Pi-1,,,,,female,,no,,,,,UNIVERSITY OF MONCTON,SRA1246196,,public,2898A1A245D138D1D8EBA3CB91B5E69C,688EAB90A9517FF223C17EBC92BA0668
SRR14839050,2021-06-17 02:23:57,2021-06-17 01:37:50,48904323,12226080750,48904323,250,4341,,https://sra-download.ncbi.nlm.nih.gov/traces/sra2/SRR/014491/SRR14839050,SRX11163938,3D_2,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP324348,PRJNA738505,,738505,SRS9223837,SAMN19731541,simple,3483,Cannabis sativa,3D-Pi-2,,,,,female,,no,,,,,UNIVERSITY OF MONCTON,SRA1246196,,public,7D0A1CEEE64954FF00F06AAAC15B4290,A24AC4809681AC555B0518BF152B5BF8
SRR14839049,2021-06-17 02:01:06,2021-06-17 01:43:12,60631347,15157836750,60631347,250,5470,,https://sra-download.ncbi.nlm.nih.gov/traces/sra44/SRR/014491/SRR14839049,SRX11163939,3D_3,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP324348,PRJNA738505,,738505,SRS9223835,SAMN19731542,simple,3483,Cannabis sativa,3D-Pi-3,,,,,female,,no,,,,,UNIVERSITY OF MONCTON,SRA1246196,,public,1943A12813C541C2CB05F7A9AA79CB8E,CA572B359B9BFEC59D79B44248524A33
