Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR14708197,2021-07-18 08:16:51,2021-06-02 02:50:49,45098092,9109814584,45098092,202,5594,,https://sra-download.ncbi.nlm.nih.gov/traces/sra65/SRR/014363/SRR14708197,SRX11046277,L10,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP322250,PRJNA734114,,734114,SRS9114496,SAMN19471741,simple,3483,Cannabis sativa,10,,,,,,,no,,,,,LANZHOU UNIVERSITY,SRA1239464,,public,FC51A05D40CD3380F13610123A9EBC5D,5D486167B1B650D2F6A99C9C6BDF5906
SRR14708209,2021-07-18 08:16:52,2021-06-02 03:44:49,80468548,24140564400,80468548,300,7462,,https://sra-download.ncbi.nlm.nih.gov/traces/sra75/SRR/014363/SRR14708209,SRX11046265,L72,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP322250,PRJNA734114,,734114,SRS9114484,SAMN19471803,simple,3483,Cannabis sativa,100,,,,,,,no,,,,,LANZHOU UNIVERSITY,SRA1239464,,public,9C014FA0239C82480D99D63EA6F2FCE3,6AE2C3135C15464A2B38BD66A2528535
SRR14708208,2021-07-18 08:16:52,2021-06-02 02:56:41,64082761,19224828300,64082761,300,6108,,https://sra-download.ncbi.nlm.nih.gov/traces/sra3/SRR/014363/SRR14708208,SRX11046266,L73,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP322250,PRJNA734114,,734114,SRS9114485,SAMN19471804,simple,3483,Cannabis sativa,101,,,,,,,no,,,,,LANZHOU UNIVERSITY,SRA1239464,,public,A6A177648E3D582B943F038F432265FF,0CEB80EC43F11297515958E7DF9D96D5
SRR14708207,2021-07-18 08:16:52,2021-06-02 02:45:13,41178848,12353654400,41178848,300,3861,,https://sra-download.ncbi.nlm.nih.gov/traces/sra78/SRR/014363/SRR14708207,SRX11046267,L74,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP322250,PRJNA734114,,734114,SRS9114486,SAMN19471805,simple,3483,Cannabis sativa,102,,,,,,,no,,,,,LANZHOU UNIVERSITY,SRA1239464,,public,38279E8D14748B1D03E993B7F3B6C8A2,F18EC3E9EF3CDCCACFCD6263B968B32B
SRR14708206,2021-07-18 08:16:52,2021-06-02 02:40:08,33222023,9966606900,33222023,300,3120,,https://sra-download.ncbi.nlm.nih.gov/traces/sra64/SRR/014363/SRR14708206,SRX11046268,L75,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP322250,PRJNA734114,,734114,SRS9114487,SAMN19471806,simple,3483,Cannabis sativa,103,,,,,,,no,,,,,LANZHOU UNIVERSITY,SRA1239464,,public,DC43C0144CA157895F856698685AEE9D,4C9C347DEB4F55449D309C522F0D6E65
SRR14708205,2021-07-18 08:16:52,2021-06-02 02:37:33,44181648,13254494400,44181648,300,4101,,https://sra-download.ncbi.nlm.nih.gov/traces/sra54/SRR/014363/SRR14708205,SRX11046269,L76,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP322250,PRJNA734114,,734114,SRS9114488,SAMN19471807,simple,3483,Cannabis sativa,104,,,,,,,no,,,,,LANZHOU UNIVERSITY,SRA1239464,,public,ED688F122D3E1CA1C5C23F5F7B77C0CA,0E6810E020EF41D7FC0B135D9C1F3059
SRR14708204,2021-07-18 08:16:52,2021-06-02 02:40:28,29633617,8890085100,29633617,300,2778,,https://sra-download.ncbi.nlm.nih.gov/traces/sra43/SRR/014363/SRR14708204,SRX11046270,L77,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP322250,PRJNA734114,,734114,SRS9114490,SAMN19471808,simple,3483,Cannabis sativa,105,,,,,,,no,,,,,LANZHOU UNIVERSITY,SRA1239464,,public,B49702594332909868C7C04D42F18BD4,9B1A5D34E021D48A20DC49093FD5AD63
SRR14708203,2021-07-18 08:16:52,2021-06-02 02:54:50,60797314,18239194200,60797314,300,5617,,https://sra-download.ncbi.nlm.nih.gov/traces/sra73/SRR/014363/SRR14708203,SRX11046271,L78,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP322250,PRJNA734114,,734114,SRS9114489,SAMN19471809,simple,3483,Cannabis sativa,106,,,,,,,no,,,,,LANZHOU UNIVERSITY,SRA1239464,,public,0B9CE5DF524393BE58AAF4F50FC7A8B8,7ED00A59CB9E22CDF2A6B3D61611CDAB
SRR14708202,2021-07-18 08:16:52,2021-06-02 02:37:47,32058289,9617486700,32058289,300,2939,,https://sra-download.ncbi.nlm.nih.gov/traces/sra0/SRR/014363/SRR14708202,SRX11046272,L79,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP322250,PRJNA734114,,734114,SRS9114492,SAMN19471810,simple,3483,Cannabis sativa,107,,,,,,,no,,,,,LANZHOU UNIVERSITY,SRA1239464,,public,A13DA65171492286ABCC76E8D8F27C7C,ABD9D284064139F7F717BFF048BAAAE4
SRR14708201,2021-07-18 08:16:52,2021-06-02 03:44:18,47499082,14249724600,47499082,300,4412,,https://sra-download.ncbi.nlm.nih.gov/traces/sra66/SRR/014363/SRR14708201,SRX11046273,L80,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP322250,PRJNA734114,,734114,SRS9114491,SAMN19471811,simple,3483,Cannabis sativa,108,,,,,,,no,,,,,LANZHOU UNIVERSITY,SRA1239464,,public,60F41BACE001002808A87AFBEF09EEEA,B0B23EB54BB5B54AB4F83CF00D2F29CD
