"","Log2 fold change","std error (log2)","Lower confidence limit (log2)","Upper confidence limit (log2)","Linear fold change","Lower confidence limit (linear)","Upper confidence limit (linear)","P-value","BY.p.value","method","probe.ID"
"ATF3-mRNA",-2.69,0.279,-3.23,-2.14,0.155,0.106,0.227,2.87e-14,7.74e-11,"lm.nb","NM_001674.3:1487"
"EGR1-mRNA",-2.05,0.25,-2.54,-1.56,0.242,0.172,0.34,1.09e-11,1.47e-08,"lm.nb","NM_001964.2:2034"
"WDR76-mRNA",1.96,0.26,1.45,2.47,3.9,2.73,5.55,1.67e-10,1.5e-07,"lm.nb","NM_024908.3:1875"
"CXCL14-mRNA",-3.9,0.534,-4.95,-2.85,0.0669,0.0324,0.138,4.34e-10,2.93e-07,"lm.nb","NM_004887.4:990"
"CDKN1C-mRNA",-3.27,0.483,-4.22,-2.32,0.104,0.0538,0.2,4.03e-09,2.17e-06,"lm.nb","NM_000076.2:1605"
"DUSP1-mRNA",-3.17,0.473,-4.1,-2.24,0.111,0.0585,0.212,5.33e-09,2.39e-06,"lm.nb","NM_004417.3:1428"
"SGK1-mRNA",-1.76,0.265,-2.28,-1.24,0.295,0.206,0.423,6.55e-09,2.52e-06,"lm.nb","NM_005627.3:1621"
"CXCR4-mRNA",-2.98,0.531,-4.02,-1.94,0.127,0.0615,0.26,4.06e-07,0.000133,"lm.nb","NM_001008540.1:1060"
"PECAM1-mRNA",-3.28,0.586,-4.42,-2.13,0.103,0.0466,0.229,4.44e-07,0.000133,"lm.nb","NM_000442.4:2492"
"C1QB-mRNA",-2.97,0.54,-4.03,-1.91,0.128,0.0613,0.266,6.5e-07,0.000175,"lm.nb","NM_000491.3:816"
"CSF1R-mRNA",-2.86,0.532,-3.91,-1.82,0.137,0.0667,0.283,9.96e-07,0.000244,"lm.nb","NM_005211.3:958"
"FLT1-mRNA",-3.46,0.646,-4.73,-2.2,0.0907,0.0377,0.218,1.12e-06,0.000252,"lm.nb","NM_002019.4:530"
"KIR3DL1-mRNA",2.76,0.518,1.75,3.78,6.78,3.36,13.7,1.22e-06,0.000253,"lm.nb","NM_001322168.1:466"
"MAP3K8-mRNA",-1.88,0.355,-2.58,-1.19,0.271,0.167,0.439,1.34e-06,0.000259,"lm.nb","NM_001244134.1:493"
"VEGFA-mRNA",-1.63,0.318,-2.25,-1.01,0.323,0.21,0.498,2.76e-06,0.000497,"lm.nb","NM_001171623.1:2212"
"ADM-mRNA",-1.95,0.384,-2.7,-1.2,0.259,0.154,0.436,3.23e-06,0.000544,"lm.nb","NM_001124.2:1413"
"CEBPB-mRNA",-1.23,0.244,-1.71,-0.75,0.427,0.307,0.595,3.8e-06,0.000603,"lm.nb","NM_005194.3:1731"
"NFIL3-mRNA",-1.99,0.403,-2.78,-1.2,0.251,0.145,0.434,5.42e-06,0.000811,"lm.nb","NM_001289999.1:1466"
"CD74-mRNA",-1.96,0.416,-2.77,-1.14,0.257,0.146,0.453,1.32e-05,0.00188,"lm.nb","NM_001025159.2:1161"
"EDN1-mRNA",-2.72,0.585,-3.86,-1.57,0.152,0.0688,0.337,1.66e-05,0.00223,"lm.nb","NM_001955.2:770"
"HLA-DPA1-mRNA",-2.8,0.608,-3.99,-1.61,0.144,0.0629,0.329,1.94e-05,0.0025,"lm.nb","NM_033554.2:857"
"HES1-mRNA",-1.63,0.361,-2.34,-0.922,0.323,0.198,0.528,2.65e-05,0.00325,"lm.nb","NM_005524.2:860"
"CCL3/L1-mRNA",-2.75,0.616,-3.96,-1.55,0.148,0.0643,0.343,3.1e-05,0.00363,"lm.nb","NM_021006.5:411"
"HLA-DPB1-mRNA",-2.24,0.504,-3.23,-1.26,0.211,0.106,0.419,3.31e-05,0.00372,"lm.nb","NM_002121.5:987"
"HLA-DRA-mRNA",-2.49,0.57,-3.6,-1.37,0.178,0.0822,0.387,4.53e-05,0.00489,"lm.nb","NM_019111.3:335"
"IRF1-mRNA",-1.52,0.353,-2.21,-0.831,0.348,0.216,0.562,5.35e-05,0.00555,"lm.nb","NM_002198.2:557"
"IFITM1-mRNA",-2.01,0.468,-2.93,-1.09,0.248,0.131,0.469,5.74e-05,0.00573,"lm.nb","NM_003641.3:536"
"KIR2DL3-mRNA",2.07,0.486,1.12,3.02,4.19,2.17,8.11,6.56e-05,0.00632,"lm.nb","NM_015868.2:145"
"CXCL3-mRNA",-2.28,0.56,-3.38,-1.18,0.206,0.0962,0.44,0.000123,0.0115,"lm.nb","NM_002090.2:467"
"TMEM173-mRNA",-1.44,0.355,-2.13,-0.74,0.37,0.228,0.599,0.000138,0.0124,"lm.nb","NM_198282.1:725"
"DEPTOR-mRNA",-1.76,0.437,-2.62,-0.905,0.295,0.163,0.534,0.000143,0.0124,"lm.nb","NM_001283012.1:1141"
"SPRY4-mRNA",-2.21,0.55,-3.29,-1.13,0.216,0.102,0.457,0.000152,0.0128,"lm.nb","NM_030964.3:1900"
"BLM-mRNA",1.24,0.309,0.63,1.84,2.35,1.55,3.58,0.000161,0.0132,"lm.nb","NM_000057.3:1434"
"CD69-mRNA",-1.73,0.435,-2.58,-0.873,0.302,0.167,0.546,0.000181,0.0144,"lm.nb","NM_001781.2:88"
"IFI6-mRNA",-1.84,0.475,-2.77,-0.904,0.28,0.147,0.534,0.000256,0.0197,"lm.nb","NM_002038.3:410"
"HLA-DRB1-mRNA",-2.13,0.554,-3.22,-1.05,0.228,0.107,0.483,0.000263,0.0197,"lm.nb","NM_002124.3:1016"
"DTX4-mRNA",1.95,0.509,0.958,2.95,3.88,1.94,7.74,0.000274,0.02,"lm.nb","NM_015177.1:4820"
"FAM124B-mRNA",2.05,0.535,0.997,3.09,4.13,2,8.54,0.00029,0.0206,"lm.nb","NM_001122779.1:1620"
"BIRC3-mRNA",1.47,0.397,0.697,2.25,2.78,1.62,4.76,0.000414,0.0282,"lm.nb","NM_001165.4:6567"
"C1QA-mRNA",-2.02,0.545,-3.09,-0.955,0.246,0.117,0.516,0.000421,0.0282,"lm.nb","NM_015991.3:636"
"PIK3R1-mRNA",-2.2,0.594,-3.37,-1.04,0.217,0.097,0.487,0.000429,0.0282,"lm.nb","NM_001242466.1:889"
"HLA-C-mRNA",-1.1,0.304,-1.7,-0.507,0.465,0.308,0.704,0.000554,0.0355,"lm.nb","NM_002117.4:898"
"STAT2-mRNA",-1.02,0.287,-1.58,-0.455,0.494,0.335,0.729,0.000713,0.0447,"lm.nb","NM_005419.2:1965"
"FCGR2A-mRNA",-1.8,0.511,-2.8,-0.799,0.287,0.143,0.575,0.000773,0.0474,"lm.nb","NM_021642.3:60"
"RAD51C-mRNA",1.06,0.305,0.467,1.66,2.09,1.38,3.16,0.000851,0.051,"lm.nb","NM_058216.2:15"
"HLA-E-mRNA",-1.69,0.484,-2.64,-0.739,0.31,0.161,0.599,0.000869,0.051,"lm.nb","NM_005516.5:1287"
"CX3CL1-mRNA",-1.44,0.414,-2.25,-0.625,0.369,0.211,0.648,0.000912,0.0523,"lm.nb","NM_002996.3:1850"
"BAMBI-mRNA",-1.44,0.421,-2.26,-0.614,0.369,0.208,0.653,0.00108,0.0605,"lm.nb","NM_012342.2:824"
"APOE-mRNA",-1.76,0.519,-2.78,-0.745,0.295,0.146,0.597,0.00115,0.0632,"lm.nb","NM_000041.2:96"
"GLUD1-mRNA",-1.16,0.343,-1.83,-0.489,0.447,0.281,0.713,0.00119,0.0632,"lm.nb","NM_005271.2:2680"
"CRABP2-mRNA",-1.54,0.456,-2.44,-0.649,0.343,0.185,0.638,0.0012,0.0632,"lm.nb","NM_001199723.1:802"
"EXO1-mRNA",1.35,0.403,0.563,2.14,2.55,1.48,4.42,0.00131,0.067,"lm.nb","NM_006027.3:820"
"PPARGC1B-mRNA",1.45,0.434,0.603,2.31,2.74,1.52,4.94,0.00133,0.067,"lm.nb","NM_001172699.1:1010"
"S100A9-mRNA",-1.79,0.534,-2.83,-0.74,0.29,0.14,0.599,0.00135,0.067,"lm.nb","NM_002965.3:137"
"SERPINH1-mRNA",-1.78,0.533,-2.82,-0.736,0.291,0.141,0.6,0.00137,0.067,"lm.nb","NM_001207014.1:1850"
"CXCR2-mRNA",1.59,0.477,0.655,2.53,3.01,1.58,5.76,0.0014,0.067,"lm.nb","NM_001557.3:409"
"B2M-mRNA",-1.61,0.484,-2.56,-0.663,0.327,0.169,0.632,0.00142,0.067,"lm.nb","NM_004048.2:573"
"GBP2-mRNA",-1.41,0.424,-2.24,-0.578,0.377,0.212,0.67,0.00144,0.0671,"lm.nb","NM_004120.4:1744"
"HLA-F-mRNA",-1.49,0.451,-2.38,-0.61,0.355,0.193,0.655,0.00149,0.0675,"lm.nb","NM_001098479.1:285"
"P4HA1-mRNA",-0.968,0.292,-1.54,-0.395,0.511,0.344,0.761,0.0015,0.0675,"lm.nb","NM_000917.3:805"
"LILRA1-mRNA",1.58,0.483,0.639,2.53,3,1.56,5.78,0.00163,0.0718,"lm.nb","NM_001278318.1:486"
"CD14-mRNA",-1.72,0.524,-2.74,-0.691,0.304,0.149,0.619,0.00165,0.0718,"lm.nb","NM_001174105.1:1020"
"TGFBR2-mRNA",-1.28,0.39,-2.04,-0.511,0.413,0.243,0.702,0.00169,0.0724,"lm.nb","NM_001024847.2:870"
"GLUL-mRNA",-1.34,0.409,-2.14,-0.534,0.396,0.227,0.691,0.00172,0.0724,"lm.nb","NM_002065.6:1485"
"TNFRSF1A-mRNA",-1.04,0.322,-1.67,-0.413,0.485,0.313,0.751,0.00183,0.0759,"lm.nb","NM_001065.2:515"
"FUT4-mRNA",1.22,0.379,0.472,1.96,2.32,1.39,3.89,0.00208,0.0848,"lm.nb","NM_002033.3:1151"
"HLA-B-mRNA",-1.45,0.454,-2.34,-0.56,0.366,0.197,0.679,0.00216,0.0868,"lm.nb","NM_005514.6:1247"
"IFITM2-mRNA",-0.983,0.309,-1.59,-0.378,0.506,0.333,0.769,0.0022,0.0871,"lm.nb","NM_006435.2:390"
"MS4A1-mRNA",1.26,0.402,0.473,2.05,2.4,1.39,4.14,0.00253,0.099,"lm.nb","NM_021950.3:161"
"HLA-DMA-mRNA",-1.45,0.467,-2.36,-0.533,0.366,0.194,0.691,0.00283,0.109,"lm.nb","NM_006120.3:396"
"CHUK-mRNA",-2.6,0.846,-4.26,-0.943,0.165,0.0522,0.52,0.00305,0.116,"loglinear","NM_001278.4:3263"
"NFATC2-mRNA",1.4,0.456,0.505,2.29,2.64,1.42,4.9,0.00312,0.117,"lm.nb","NM_173091.2:1840"
"IFNGR1-mRNA",-1.48,0.49,-2.44,-0.519,0.359,0.184,0.698,0.00358,0.132,"lm.nb","NM_000416.2:1025"
"CCL4-mRNA",-1.82,0.607,-3.01,-0.628,0.284,0.125,0.647,0.00384,0.138,"lm.nb","NM_002984.2:35"
"ERBB2-mRNA",-1.59,0.533,-2.64,-0.55,0.331,0.161,0.683,0.00387,0.138,"lm.nb","NM_004448.2:2405"
"TLR5-mRNA",1.18,0.393,0.405,1.95,2.26,1.32,3.85,0.00388,0.138,"lm.nb","NM_003268.5:2570"
"ITGB8-mRNA",-3.32,1.11,-5.5,-1.14,0.1,0.0221,0.454,0.00396,0.139,"loglinear","NM_002214.2:2609"
"F2RL1-mRNA",-1.91,0.647,-3.18,-0.641,0.266,0.11,0.641,0.00437,0.15,"lm.nb","NM_005242.4:1388"
"APOL6-mRNA",-1.58,0.537,-2.63,-0.529,0.334,0.161,0.693,0.00444,0.15,"lm.nb","NM_030641.3:289"
"IFNAR1-mRNA",-0.98,0.333,-1.63,-0.327,0.507,0.322,0.797,0.00448,0.15,"lm.nb","NM_000629.2:461"
"CCL7-mRNA",1.49,0.506,0.496,2.48,2.8,1.41,5.57,0.00449,0.15,"lm.nb","NM_006273.3:588"
"ULBP2-mRNA",0.998,0.342,0.328,1.67,2,1.26,3.18,0.00477,0.157,"lm.nb","NM_025217.2:905"
"CEACAM3-mRNA",1.37,0.479,0.433,2.31,2.59,1.35,4.96,0.00558,0.181,"lm.nb","NM_001277163.2:807"
"RAD51-mRNA",0.923,0.323,0.29,1.56,1.9,1.22,2.94,0.00566,0.182,"lm.nb","NM_133487.3:1570"
"HLA-A-mRNA",-1.12,0.399,-1.9,-0.337,0.46,0.268,0.792,0.00657,0.208,"lm.nb","NM_002116.7:298"
"FLNB-mRNA",-1.54,0.554,-2.63,-0.454,0.344,0.162,0.73,0.00704,0.218,"lm.nb","NM_001164319.1:8980"
"VHL-mRNA",0.836,0.301,0.246,1.43,1.78,1.19,2.69,0.0071,0.218,"lm.nb","NM_198156.1:420"
"NECTIN2-mRNA",-1.68,0.605,-2.87,-0.494,0.312,0.137,0.71,0.00713,0.218,"lm.nb","NM_001042724.1:1120"
"PROM1-mRNA",-1.52,0.557,-2.62,-0.431,0.348,0.163,0.742,0.00801,0.24,"lm.nb","NM_001145847.1:596"
"RASAL1-mRNA",0.989,0.362,0.28,1.7,1.99,1.21,3.25,0.00802,0.24,"lm.nb","NM_001193520.1:3097"
"NFKBIA-mRNA",-1.6,0.591,-2.76,-0.438,0.33,0.148,0.738,0.00874,0.259,"lm.nb","NM_020529.2:1361"
"PFKM-mRNA",0.624,0.235,0.164,1.08,1.54,1.12,2.12,0.00979,0.287,"lm.nb","NM_000289.5:2672"
"IFIH1-mRNA",-1.38,0.522,-2.41,-0.36,0.384,0.189,0.779,0.0101,0.287,"lm.nb","NM_022168.3:3250"
"TPM1-mRNA",-3.35,1.27,-5.84,-0.872,0.0978,0.0175,0.546,0.0101,0.287,"loglinear","NM_000366.5:830"
"SERPINA1-mRNA",-3.4,1.29,-5.92,-0.883,0.0945,0.0165,0.542,0.0101,0.287,"loglinear","NM_001127702.1:963"
"RIPK2-mRNA",-0.915,0.346,-1.59,-0.237,0.53,0.331,0.849,0.0102,0.287,"lm.nb","NM_003821.5:1306"
"TTC30A-mRNA",0.565,0.215,0.143,0.987,1.48,1.1,1.98,0.0107,0.297,"lm.nb","NM_152275.3:2492"
"UBE2T-mRNA",0.874,0.336,0.217,1.53,1.83,1.16,2.89,0.0113,0.31,"lm.nb","NM_014176.1:50"
"BBC3-mRNA",-1.11,0.432,-1.96,-0.266,0.462,0.257,0.832,0.0123,0.331,"lm.nb","NM_014417.4:1310"
"BATF3-mRNA",1.11,0.432,0.265,1.96,2.16,1.2,3.89,0.0123,0.331,"lm.nb","NM_018664.2:725"
"CDH1-mRNA",-1.45,0.57,-2.57,-0.335,0.365,0.168,0.793,0.0132,0.352,"lm.nb","NM_004360.3:379"
"NEIL1-mRNA",1.18,0.464,0.269,2.09,2.26,1.21,4.25,0.0134,0.354,"lm.nb","NM_024608.2:1675"
"SLC2A1-mRNA",0.862,0.341,0.193,1.53,1.82,1.14,2.89,0.0139,0.363,"lm.nb","NM_006516.2:264"
"BMP2-mRNA",-0.893,0.359,-1.6,-0.189,0.538,0.33,0.877,0.0154,0.399,"lm.nb","NM_001200.3:1193"
"PCK2-mRNA",0.56,0.226,0.116,1,1.47,1.08,2.01,0.0159,0.408,"lm.nb","NM_001018073.2:1307"
"CYBB-mRNA",-1.32,0.544,-2.38,-0.25,0.402,0.192,0.841,0.0183,0.465,"lm.nb","NM_000397.3:1034"
"TNFRSF10D-mRNA",-1.01,0.419,-1.83,-0.19,0.496,0.28,0.877,0.0185,0.467,"lm.nb","NM_003840.4:838"
"PARP9-mRNA",-1.57,0.651,-2.84,-0.292,0.338,0.14,0.817,0.0188,0.469,"lm.nb","NM_001146103.1:1188"
"IFI27-mRNA",-1.22,0.506,-2.21,-0.223,0.431,0.216,0.857,0.0191,0.473,"lm.nb","NM_005532.3:390"
"BAD-mRNA",0.713,0.298,0.13,1.3,1.64,1.09,2.46,0.0193,0.473,"lm.nb","NM_004322.3:963"
"THBS1-mRNA",-1.36,0.568,-2.47,-0.246,0.389,0.18,0.843,0.0195,0.473,"lm.nb","NM_003246.2:3816"
"CDKN1A-mRNA",-0.737,0.31,-1.34,-0.129,0.6,0.394,0.915,0.0204,0.492,"lm.nb","NM_000389.2:1975"
"MMP9-mRNA",1.06,0.45,0.178,1.94,2.09,1.13,3.84,0.0215,0.513,"lm.nb","NM_004994.2:2011"
"STAT3-mRNA",-1.38,0.587,-2.53,-0.226,0.385,0.173,0.855,0.022,0.521,"lm.nb","NM_003150.3:2936"
