"","Log2 fold change","std error (log2)","Lower confidence limit (log2)","Upper confidence limit (log2)","Linear fold change","Lower confidence limit (linear)","Upper confidence limit (linear)","P-value","BY.p.value","method","probe.ID"
"ATF3-mRNA",-2.81,0.287,-3.37,-2.24,0.143,0.0968,0.211,1.58e-14,4.25e-11,"lm.nb","NM_001674.3:1487"
"EGR1-mRNA",-2.44,0.257,-2.94,-1.93,0.184,0.13,0.262,5.39e-14,7.27e-11,"lm.nb","NM_001964.2:2034"
"CD74-mRNA",-3.23,0.428,-4.07,-2.39,0.107,0.0597,0.191,1.66e-10,1.2e-07,"lm.nb","NM_001025159.2:1161"
"CXCL14-mRNA",-4.13,0.549,-5.2,-3.05,0.0572,0.0271,0.121,1.79e-10,1.2e-07,"lm.nb","NM_004887.4:990"
"DUSP1-mRNA",-3.33,0.486,-4.29,-2.38,0.0991,0.0512,0.192,2.72e-09,1.46e-06,"lm.nb","NM_004417.3:1428"
"HLA-DRA-mRNA",-3.81,0.586,-4.96,-2.66,0.0713,0.0322,0.158,1.19e-08,5.36e-06,"lm.nb","NM_019111.3:335"
"HLA-DPA1-mRNA",-3.98,0.627,-5.21,-2.75,0.0632,0.027,0.148,2.13e-08,7.3e-06,"lm.nb","NM_033554.2:857"
"SGK1-mRNA",-1.73,0.272,-2.26,-1.19,0.302,0.209,0.437,2.17e-08,7.3e-06,"lm.nb","NM_005627.3:1621"
"WDR76-mRNA",1.65,0.269,1.12,2.18,3.14,2.18,4.52,4.98e-08,1.38e-05,"lm.nb","NM_024908.3:1875"
"IRF1-mRNA",-2.23,0.364,-2.95,-1.52,0.213,0.13,0.349,5.14e-08,1.38e-05,"lm.nb","NM_002198.2:557"
"C1QB-mRNA",-3.37,0.556,-4.46,-2.28,0.0968,0.0455,0.206,7.09e-08,1.74e-05,"lm.nb","NM_000491.3:816"
"KIR3DL1-mRNA",2.97,0.53,1.93,4.01,7.83,3.81,16.1,4.22e-07,9.48e-05,"lm.nb","NM_001322168.1:466"
"HLA-DPB1-mRNA",-2.88,0.519,-3.89,-1.86,0.136,0.0672,0.275,5.36e-07,0.000111,"lm.nb","NM_002121.5:987"
"GBP1-mRNA",-3.81,0.707,-5.2,-2.42,0.0713,0.0273,0.186,9.88e-07,0.00019,"lm.nb","NM_002053.2:1838"
"CX3CL1-mRNA",-2.28,0.43,-3.12,-1.44,0.206,0.115,0.37,1.39e-06,0.000241,"lm.nb","NM_002996.3:1850"
"CD69-mRNA",-2.42,0.457,-3.31,-1.52,0.187,0.1,0.348,1.43e-06,0.000241,"lm.nb","NM_001781.2:88"
"CDKN1C-mRNA",-2.57,0.49,-3.53,-1.61,0.168,0.0863,0.327,1.64e-06,0.00026,"lm.nb","NM_000076.2:1605"
"IFITM1-mRNA",-2.52,0.482,-3.46,-1.57,0.175,0.0908,0.336,1.86e-06,0.000279,"lm.nb","NM_003641.3:536"
"GBP2-mRNA",-2.25,0.438,-3.11,-1.39,0.21,0.116,0.381,2.56e-06,0.000363,"lm.nb","NM_004120.4:1744"
"HLA-C-mRNA",-1.52,0.313,-2.14,-0.911,0.348,0.227,0.532,7.1e-06,0.000957,"lm.nb","NM_002117.4:898"
"MAP3K8-mRNA",-1.76,0.364,-2.47,-1.04,0.296,0.18,0.485,8.24e-06,0.00106,"lm.nb","NM_001244134.1:493"
"FLT1-mRNA",-3.11,0.663,-4.4,-1.81,0.116,0.0472,0.286,1.4e-05,0.00172,"lm.nb","NM_002019.4:530"
"NFIL3-mRNA",-1.92,0.414,-2.74,-1.11,0.263,0.15,0.462,1.62e-05,0.0019,"lm.nb","NM_001289999.1:1466"
"HLA-F-mRNA",-2.13,0.466,-3.04,-1.22,0.228,0.121,0.43,2.1e-05,0.00236,"lm.nb","NM_001098479.1:285"
"HLA-B-mRNA",-2.12,0.467,-3.04,-1.21,0.23,0.122,0.433,2.36e-05,0.00255,"lm.nb","NM_005514.6:1247"
"CCL3/L1-mRNA",-2.83,0.633,-4.07,-1.59,0.14,0.0595,0.332,3.04e-05,0.00315,"lm.nb","NM_021006.5:411"
"CSF1R-mRNA",-2.41,0.543,-3.47,-1.35,0.188,0.0901,0.393,3.45e-05,0.00344,"lm.nb","NM_005211.3:958"
"IFI6-mRNA",-2.12,0.489,-3.08,-1.16,0.23,0.118,0.447,4.97e-05,0.00478,"lm.nb","NM_002038.3:410"
"KIR2DL3-mRNA",2.1,0.498,1.12,3.07,4.28,2.17,8.41,7.86e-05,0.00731,"lm.nb","NM_015868.2:145"
"EDN1-mRNA",-2.52,0.6,-3.69,-1.34,0.175,0.0774,0.395,8.24e-05,0.00741,"lm.nb","NM_001955.2:770"
"CEBPB-mRNA",-1.05,0.25,-1.53,-0.555,0.485,0.345,0.68,8.54e-05,0.00743,"lm.nb","NM_005194.3:1731"
"CXCR4-mRNA",-2.23,0.543,-3.3,-1.17,0.213,0.102,0.445,0.000109,0.00919,"lm.nb","NM_001008540.1:1060"
"STAT2-mRNA",-1.2,0.295,-1.78,-0.618,0.436,0.292,0.651,0.000134,0.0109,"lm.nb","NM_005419.2:1965"
"HES1-mRNA",-1.47,0.371,-2.2,-0.748,0.36,0.217,0.595,0.000173,0.0137,"lm.nb","NM_005524.2:860"
"HLA-E-mRNA",-1.97,0.497,-2.94,-0.992,0.256,0.13,0.503,0.000187,0.0144,"lm.nb","NM_005516.5:1287"
"HLA-DRB1-mRNA",-2.2,0.569,-3.32,-1.09,0.217,0.1,0.47,0.000245,0.0182,"lm.nb","NM_002124.3:1016"
"RASAL1-mRNA",1.42,0.369,0.7,2.15,2.68,1.62,4.43,0.00026,0.0182,"lm.nb","NM_001193520.1:3097"
"TMEM173-mRNA",-1.41,0.365,-2.12,-0.692,0.377,0.23,0.619,0.000261,0.0182,"lm.nb","NM_198282.1:725"
"B2M-mRNA",-1.91,0.497,-2.89,-0.939,0.265,0.135,0.521,0.000267,0.0182,"lm.nb","NM_004048.2:573"
"HLA-A-mRNA",-1.58,0.41,-2.38,-0.773,0.336,0.192,0.585,0.00027,0.0182,"lm.nb","NM_002116.7:298"
"PECAM1-mRNA",-2.28,0.596,-3.45,-1.12,0.205,0.0914,0.461,0.000281,0.0185,"lm.nb","NM_000442.4:2492"
"MS4A1-mRNA",1.56,0.411,0.755,2.37,2.95,1.69,5.16,0.000321,0.0203,"lm.nb","NM_021950.3:161"
"DTX4-mRNA",1.98,0.522,0.956,3,3.94,1.94,8.01,0.000324,0.0203,"lm.nb","NM_015177.1:4820"
"HLA-DMA-mRNA",-1.82,0.481,-2.76,-0.876,0.283,0.147,0.545,0.000335,0.0203,"lm.nb","NM_006120.3:396"
"RIPK2-mRNA",-1.35,0.357,-2.05,-0.649,0.393,0.242,0.638,0.000339,0.0203,"lm.nb","NM_003821.5:1306"
"TAP1-mRNA",-2.24,0.602,-3.43,-1.06,0.211,0.0931,0.478,4e-04,0.0235,"lm.nb","NM_000593.5:1000"
"CRABP2-mRNA",-1.73,0.469,-2.65,-0.811,0.301,0.159,0.57,0.000451,0.0253,"lm.nb","NM_001199723.1:802"
"HLA-DMB-mRNA",-1.5,0.408,-2.3,-0.705,0.352,0.202,0.614,0.000458,0.0253,"lm.nb","NM_002118.3:20"
"APOE-mRNA",-1.96,0.533,-3.01,-0.919,0.256,0.124,0.529,0.000459,0.0253,"lm.nb","NM_000041.2:96"
"ADM-mRNA",-1.43,0.393,-2.2,-0.661,0.371,0.217,0.632,0.000528,0.0282,"lm.nb","NM_001124.2:1413"
"STAT1-mRNA",-1.23,0.337,-1.89,-0.566,0.427,0.27,0.675,0.000533,0.0282,"lm.nb","NM_007315.3:239"
"CXCL3-mRNA",-2.06,0.574,-3.18,-0.933,0.24,0.11,0.524,0.000635,0.0323,"lm.nb","NM_002090.2:467"
"BLM-mRNA",1.14,0.317,0.516,1.76,2.2,1.43,3.39,0.000636,0.0323,"lm.nb","NM_000057.3:1434"
"C1QA-mRNA",-2,0.56,-3.1,-0.902,0.25,0.117,0.535,0.000663,0.0331,"lm.nb","NM_015991.3:636"
"NFKBIA-mRNA",-2.15,0.607,-3.35,-0.964,0.225,0.0984,0.513,0.000717,0.0352,"lm.nb","NM_020529.2:1361"
"RAD51C-mRNA",1.1,0.312,0.487,1.71,2.14,1.4,3.27,0.000785,0.0378,"lm.nb","NM_058216.2:15"
"ERBB2-mRNA",-1.93,0.549,-3,-0.852,0.263,0.125,0.554,0.000799,0.0378,"lm.nb","NM_004448.2:2405"
"CDH1-mRNA",-2.06,0.587,-3.21,-0.905,0.241,0.108,0.534,0.000832,0.0387,"lm.nb","NM_004360.3:379"
"ULBP2-mRNA",1.21,0.35,0.526,1.9,2.32,1.44,3.73,0.000934,0.0427,"lm.nb","NM_025217.2:905"
"CTSS-mRNA",-1.49,0.43,-2.33,-0.642,0.357,0.199,0.641,0.000968,0.0429,"lm.nb","NM_004079.3:685"
"TGFBR2-mRNA",-1.38,0.401,-2.17,-0.597,0.383,0.222,0.661,0.000974,0.0429,"lm.nb","NM_001024847.2:870"
"S100A9-mRNA",-1.89,0.549,-2.97,-0.815,0.27,0.128,0.568,0.000987,0.0429,"lm.nb","NM_002965.3:137"
"GLUD1-mRNA",-1.2,0.352,-1.89,-0.51,0.435,0.27,0.702,0.00112,0.0478,"lm.nb","NM_005271.2:2680"
"VEGFA-mRNA",-1.1,0.325,-1.74,-0.466,0.465,0.299,0.724,0.00117,0.0492,"lm.nb","NM_001171623.1:2212"
