"","Log2 fold change","std error (log2)","Lower confidence limit (log2)","Upper confidence limit (log2)","Linear fold change","Lower confidence limit (linear)","Upper confidence limit (linear)","P-value","BY.p.value","method","probe.ID"
"ATF3-mRNA",-2.76,0.469,-3.68,-1.84,0.147,0.0779,0.279,1.41e-07,0.00038,"lm.nb","NM_001674.3:1487"
"HLA-DRA-mRNA",-5.27,0.963,-7.15,-3.38,0.026,0.00702,0.096,7.18e-07,0.000967,"lm.nb","NM_019111.3:335"
"IFITM1-mRNA",-4.31,0.805,-5.88,-2.73,0.0505,0.0169,0.151,1.14e-06,0.00103,"lm.nb","NM_003641.3:536"
"HLA-DPA1-mRNA",-5.34,1.04,-7.37,-3.31,0.0246,0.00603,0.101,2.45e-06,0.00165,"lm.nb","NM_033554.2:857"
"HLA-DRB1-mRNA",-4.77,0.952,-6.64,-2.91,0.0366,0.01,0.133,4.18e-06,0.00225,"lm.nb","NM_002124.3:1016"
"VEGFA-mRNA",-2.65,0.544,-3.71,-1.58,0.16,0.0763,0.335,7.4e-06,0.00333,"lm.nb","NM_001171623.1:2212"
"FLT1-mRNA",-5.32,1.13,-7.53,-3.12,0.025,0.00541,0.115,1.21e-05,0.00466,"lm.nb","NM_002019.4:530"
"C1QB-mRNA",-4.29,0.923,-6.1,-2.48,0.0512,0.0146,0.179,1.63e-05,0.00551,"lm.nb","NM_000491.3:816"
"APOE-mRNA",-3.94,0.88,-5.67,-2.22,0.065,0.0197,0.215,2.97e-05,0.00738,"lm.nb","NM_000041.2:96"
"SGK1-mRNA",-2,0.446,-2.87,-1.12,0.25,0.137,0.459,2.97e-05,0.00738,"lm.nb","NM_005627.3:1621"
"CD74-mRNA",-3.11,0.698,-4.48,-1.74,0.116,0.0447,0.298,3.23e-05,0.00738,"lm.nb","NM_001025159.2:1161"
"HLA-DMA-mRNA",-3.63,0.815,-5.23,-2.03,0.0807,0.0267,0.244,3.29e-05,0.00738,"lm.nb","NM_006120.3:396"
"EGR1-mRNA",-1.82,0.418,-2.64,-1,0.283,0.16,0.5,4.73e-05,0.00981,"lm.nb","NM_001964.2:2034"
"ADM-mRNA",-2.83,0.653,-4.1,-1.55,0.141,0.0581,0.343,5.14e-05,0.00989,"lm.nb","NM_001124.2:1413"
"HLA-DPB1-mRNA",-3.49,0.85,-5.16,-1.82,0.0889,0.028,0.282,0.000112,0.0201,"lm.nb","NM_002121.5:987"
"C1QA-mRNA",-3.67,0.954,-5.54,-1.8,0.0787,0.0215,0.288,0.000272,0.0458,"lm.nb","NM_015991.3:636"
"ITGB2-mRNA",-3.81,1.01,-5.8,-1.83,0.0711,0.0179,0.282,0.000358,0.0562,"lm.nb","NM_000211.3:1412"
"CXCR4-mRNA",-3.35,0.895,-5.11,-1.6,0.0978,0.029,0.33,0.000375,0.0562,"lm.nb","NM_001008540.1:1060"
"HLA-C-mRNA",-1.89,0.512,-2.9,-0.888,0.269,0.134,0.54,0.000448,0.0636,"lm.nb","NM_002117.4:898"
"CDKN1C-mRNA",-2.93,0.811,-4.52,-1.34,0.131,0.0436,0.396,0.000589,0.0794,"lm.nb","NM_000076.2:1605"
"LYZ-mRNA",-4.14,1.17,-6.45,-1.84,0.0566,0.0115,0.279,0.000757,0.0936,"lm.nb","NM_000239.2:381"
"CTSS-mRNA",-2.49,0.706,-3.87,-1.11,0.178,0.0683,0.465,0.000764,0.0936,"lm.nb","NM_004079.3:685"
"CDH1-mRNA",-3.33,0.976,-5.24,-1.41,0.0997,0.0265,0.376,0.00111,0.129,"lm.nb","NM_004360.3:379"
"FCGR2A-mRNA",-2.97,0.877,-4.69,-1.25,0.128,0.0387,0.42,0.00119,0.129,"lm.nb","NM_021642.3:60"
"HLA-A-mRNA",-2.26,0.668,-3.57,-0.951,0.209,0.0843,0.517,0.0012,0.129,"lm.nb","NM_002116.7:298"
"HLA-F-mRNA",-2.56,0.768,-4.06,-1.05,0.17,0.0598,0.482,0.00141,0.146,"lm.nb","NM_001098479.1:285"
"IFI6-mRNA",-2.59,0.804,-4.17,-1.01,0.166,0.0557,0.495,0.00197,0.196,"lm.nb","NM_002038.3:410"
"TLR2-mRNA",-2,0.629,-3.23,-0.767,0.25,0.106,0.588,0.00224,0.21,"lm.nb","NM_001318787.1:484"
"CCL5-mRNA",-3.08,0.969,-4.97,-1.18,0.119,0.0318,0.442,0.00227,0.21,"lm.nb","NM_002985.2:277"
"HEY1-mRNA",-2.86,0.903,-4.63,-1.09,0.138,0.0404,0.471,0.00234,0.21,"lm.nb","NM_001040708.1:1859"
"GPSM3-mRNA",-2.96,0.94,-4.8,-1.12,0.129,0.0359,0.461,0.00244,0.212,"lm.nb","NM_001276501.1:915"
"CXCL14-mRNA",-2.79,0.892,-4.54,-1.04,0.144,0.0429,0.485,0.00258,0.217,"lm.nb","NM_004887.4:990"
"SNAI1-mRNA",-2.55,0.828,-4.17,-0.927,0.171,0.0555,0.526,0.00301,0.243,"lm.nb","NM_005985.3:960"
"MAP3K8-mRNA",-1.83,0.597,-3,-0.66,0.281,0.125,0.633,0.00312,0.243,"lm.nb","NM_001244134.1:493"
"PECAM1-mRNA",-3.01,0.983,-4.94,-1.08,0.124,0.0327,0.472,0.00316,0.243,"lm.nb","NM_000442.4:2492"
"GBP2-mRNA",-2.18,0.716,-3.58,-0.774,0.221,0.0837,0.585,0.00335,0.251,"lm.nb","NM_004120.4:1744"
"GBP1-mRNA",-3.49,1.15,-5.75,-1.23,0.089,0.0186,0.427,0.00352,0.256,"lm.nb","NM_002053.2:1838"
"FCGR3A/B-mRNA",-2.83,0.941,-4.68,-0.987,0.14,0.0391,0.505,0.0037,0.262,"lm.nb","NM_000570.4:255"
"CSF1R-mRNA",-2.65,0.894,-4.4,-0.896,0.16,0.0474,0.537,0.00421,0.291,"lm.nb","NM_005211.3:958"
"GLUL-mRNA",-2.02,0.686,-3.37,-0.679,0.246,0.0969,0.625,0.00438,0.295,"lm.nb","NM_002065.6:1485"
