"","Log2 fold change","std error (log2)","Lower confidence limit (log2)","Upper confidence limit (log2)","Linear fold change","Lower confidence limit (linear)","Upper confidence limit (linear)","P-value","BY.p.value","method","probe.ID"
"ATF3-mRNA",-2.69,0.279,-3.23,-2.14,0.155,0.106,0.227,2.87e-14,7.74e-11,"lm.nb","NM_001674.3:1487"
"EGR1-mRNA",-2.05,0.25,-2.54,-1.56,0.242,0.172,0.34,1.09e-11,1.47e-08,"lm.nb","NM_001964.2:2034"
"WDR76-mRNA",1.96,0.26,1.45,2.47,3.9,2.73,5.55,1.67e-10,1.5e-07,"lm.nb","NM_024908.3:1875"
"CXCL14-mRNA",-3.9,0.534,-4.95,-2.85,0.0669,0.0324,0.138,4.34e-10,2.93e-07,"lm.nb","NM_004887.4:990"
"CDKN1C-mRNA",-3.27,0.483,-4.22,-2.32,0.104,0.0538,0.2,4.03e-09,2.17e-06,"lm.nb","NM_000076.2:1605"
"DUSP1-mRNA",-3.17,0.473,-4.1,-2.24,0.111,0.0585,0.212,5.33e-09,2.39e-06,"lm.nb","NM_004417.3:1428"
"SGK1-mRNA",-1.76,0.265,-2.28,-1.24,0.295,0.206,0.423,6.55e-09,2.52e-06,"lm.nb","NM_005627.3:1621"
"CXCR4-mRNA",-2.98,0.531,-4.02,-1.94,0.127,0.0615,0.26,4.06e-07,0.000133,"lm.nb","NM_001008540.1:1060"
"PECAM1-mRNA",-3.28,0.586,-4.42,-2.13,0.103,0.0466,0.229,4.44e-07,0.000133,"lm.nb","NM_000442.4:2492"
"C1QB-mRNA",-2.97,0.54,-4.03,-1.91,0.128,0.0613,0.266,6.5e-07,0.000175,"lm.nb","NM_000491.3:816"
"CSF1R-mRNA",-2.86,0.532,-3.91,-1.82,0.137,0.0667,0.283,9.96e-07,0.000244,"lm.nb","NM_005211.3:958"
"FLT1-mRNA",-3.46,0.646,-4.73,-2.2,0.0907,0.0377,0.218,1.12e-06,0.000252,"lm.nb","NM_002019.4:530"
"KIR3DL1-mRNA",2.76,0.518,1.75,3.78,6.78,3.36,13.7,1.22e-06,0.000253,"lm.nb","NM_001322168.1:466"
"MAP3K8-mRNA",-1.88,0.355,-2.58,-1.19,0.271,0.167,0.439,1.34e-06,0.000259,"lm.nb","NM_001244134.1:493"
"VEGFA-mRNA",-1.63,0.318,-2.25,-1.01,0.323,0.21,0.498,2.76e-06,0.000497,"lm.nb","NM_001171623.1:2212"
"ADM-mRNA",-1.95,0.384,-2.7,-1.2,0.259,0.154,0.436,3.23e-06,0.000544,"lm.nb","NM_001124.2:1413"
"CEBPB-mRNA",-1.23,0.244,-1.71,-0.75,0.427,0.307,0.595,3.8e-06,0.000603,"lm.nb","NM_005194.3:1731"
"NFIL3-mRNA",-1.99,0.403,-2.78,-1.2,0.251,0.145,0.434,5.42e-06,0.000811,"lm.nb","NM_001289999.1:1466"
"CD74-mRNA",-1.96,0.416,-2.77,-1.14,0.257,0.146,0.453,1.32e-05,0.00188,"lm.nb","NM_001025159.2:1161"
"EDN1-mRNA",-2.72,0.585,-3.86,-1.57,0.152,0.0688,0.337,1.66e-05,0.00223,"lm.nb","NM_001955.2:770"
