"","Log2 fold change","std error (log2)","Lower confidence limit (log2)","Upper confidence limit (log2)","Linear fold change","Lower confidence limit (linear)","Upper confidence limit (linear)","P-value","BY.p.value","method","probe.ID"
"ATF3-mRNA",-2.76,0.469,-3.68,-1.84,0.147,0.0779,0.279,1.41e-07,0.00038,"lm.nb","NM_001674.3:1487"
"HLA-DRA-mRNA",-5.27,0.963,-7.15,-3.38,0.026,0.00702,0.096,7.18e-07,0.000967,"lm.nb","NM_019111.3:335"
"IFITM1-mRNA",-4.31,0.805,-5.88,-2.73,0.0505,0.0169,0.151,1.14e-06,0.00103,"lm.nb","NM_003641.3:536"
"HLA-DPA1-mRNA",-5.34,1.04,-7.37,-3.31,0.0246,0.00603,0.101,2.45e-06,0.00165,"lm.nb","NM_033554.2:857"
"HLA-DRB1-mRNA",-4.77,0.952,-6.64,-2.91,0.0366,0.01,0.133,4.18e-06,0.00225,"lm.nb","NM_002124.3:1016"
"VEGFA-mRNA",-2.65,0.544,-3.71,-1.58,0.16,0.0763,0.335,7.4e-06,0.00333,"lm.nb","NM_001171623.1:2212"
"FLT1-mRNA",-5.32,1.13,-7.53,-3.12,0.025,0.00541,0.115,1.21e-05,0.00466,"lm.nb","NM_002019.4:530"
"C1QB-mRNA",-4.29,0.923,-6.1,-2.48,0.0512,0.0146,0.179,1.63e-05,0.00551,"lm.nb","NM_000491.3:816"
"APOE-mRNA",-3.94,0.88,-5.67,-2.22,0.065,0.0197,0.215,2.97e-05,0.00738,"lm.nb","NM_000041.2:96"
"SGK1-mRNA",-2,0.446,-2.87,-1.12,0.25,0.137,0.459,2.97e-05,0.00738,"lm.nb","NM_005627.3:1621"
"CD74-mRNA",-3.11,0.698,-4.48,-1.74,0.116,0.0447,0.298,3.23e-05,0.00738,"lm.nb","NM_001025159.2:1161"
"HLA-DMA-mRNA",-3.63,0.815,-5.23,-2.03,0.0807,0.0267,0.244,3.29e-05,0.00738,"lm.nb","NM_006120.3:396"
"EGR1-mRNA",-1.82,0.418,-2.64,-1,0.283,0.16,0.5,4.73e-05,0.00981,"lm.nb","NM_001964.2:2034"
"ADM-mRNA",-2.83,0.653,-4.1,-1.55,0.141,0.0581,0.343,5.14e-05,0.00989,"lm.nb","NM_001124.2:1413"
"HLA-DPB1-mRNA",-3.49,0.85,-5.16,-1.82,0.0889,0.028,0.282,0.000112,0.0201,"lm.nb","NM_002121.5:987"
"C1QA-mRNA",-3.67,0.954,-5.54,-1.8,0.0787,0.0215,0.288,0.000272,0.0458,"lm.nb","NM_015991.3:636"
"ITGB2-mRNA",-3.81,1.01,-5.8,-1.83,0.0711,0.0179,0.282,0.000358,0.0562,"lm.nb","NM_000211.3:1412"
"CXCR4-mRNA",-3.35,0.895,-5.11,-1.6,0.0978,0.029,0.33,0.000375,0.0562,"lm.nb","NM_001008540.1:1060"
"HLA-C-mRNA",-1.89,0.512,-2.9,-0.888,0.269,0.134,0.54,0.000448,0.0636,"lm.nb","NM_002117.4:898"
"CDKN1C-mRNA",-2.93,0.811,-4.52,-1.34,0.131,0.0436,0.396,0.000589,0.0794,"lm.nb","NM_000076.2:1605"
