"","Log2 fold change","std error (log2)","Lower confidence limit (log2)","Upper confidence limit (log2)","Linear fold change","Lower confidence limit (linear)","Upper confidence limit (linear)","P-value","BY.p.value","method","probe.ID"
"GBP1-mRNA",3.18,0.77,1.67,4.69,9.09,3.19,25.9,0.000101,0.273,"lm.nb","NM_002053.2:1838"
"CD74-mRNA",1.27,0.467,0.354,2.19,2.41,1.28,4.55,0.00837,1,"lm.nb","NM_001025159.2:1161"
"IL6-mRNA",-1.52,0.696,-2.88,-0.152,0.35,0.136,0.9,0.0329,1,"lm.nb","NM_000600.3:484"
"HLA-DRA-mRNA",1.32,0.64,0.0684,2.58,2.5,1.05,5.96,0.0426,1,"lm.nb","NM_019111.3:335"
"TPSAB1/B2-mRNA",-1.37,0.709,-2.76,0.0229,0.388,0.148,1.02,0.0581,1,"lm.nb","NM_003294.3:556"
"CX3CL1-mRNA",0.841,0.47,-0.0809,1.76,1.79,0.945,3.39,0.0783,1,"lm.nb","NM_002996.3:1850"
"IRF1-mRNA",0.711,0.398,-0.0689,1.49,1.64,0.953,2.81,0.0785,1,"lm.nb","NM_002198.2:557"
"GBP2-mRNA",0.843,0.478,-0.0951,1.78,1.79,0.936,3.43,0.0828,1,"lm.nb","NM_004120.4:1744"
"HLA-DPA1-mRNA",1.19,0.684,-0.155,2.53,2.28,0.898,5.76,0.0877,1,"lm.nb","NM_033554.2:857"
"TAP1-mRNA",1.14,0.657,-0.152,2.42,2.2,0.9,5.37,0.0884,1,"lm.nb","NM_000593.5:1000"
"PDGFA-mRNA",0.878,0.514,-0.13,1.89,1.84,0.914,3.7,0.0923,1,"lm.nb","NM_033023.4:2390"
"PSMB9-mRNA",1.06,0.629,-0.171,2.29,2.09,0.888,4.9,0.096,1,"lm.nb","NM_002800.4:394"
"GLS-mRNA",0.553,0.33,-0.0939,1.2,1.47,0.937,2.3,0.0986,1,"lm.nb","NM_014905.4:165"
"IFIT3-mRNA",0.896,0.537,-0.156,1.95,1.86,0.898,3.86,0.0996,1,"lm.nb","NM_001031683.3:712"
"CTSS-mRNA",0.772,0.469,-0.148,1.69,1.71,0.903,3.23,0.105,1,"lm.nb","NM_004079.3:685"
"TTC30A-mRNA",0.392,0.24,-0.0789,0.864,1.31,0.947,1.82,0.107,1,"lm.nb","NM_152275.3:2492"
"HLA-DMB-mRNA",0.702,0.446,-0.172,1.58,1.63,0.887,2.98,0.12,1,"lm.nb","NM_002118.3:20"
"PECAM1-mRNA",-0.992,0.658,-2.28,0.298,0.503,0.206,1.23,0.136,1,"lm.nb","NM_000442.4:2492"
"ELOB-mRNA",-0.867,0.584,-2.01,0.277,0.548,0.248,1.21,0.142,1,"lm.nb","NM_007108.2:800"
"VEGFA-mRNA",-0.525,0.357,-1.23,0.175,0.695,0.428,1.13,0.146,1,"lm.nb","NM_001171623.1:2212"
"IRF9-mRNA",0.602,0.419,-0.219,1.42,1.52,0.859,2.68,0.155,1,"lm.nb","NM_006084.4:723"
"STAT1-mRNA",0.528,0.368,-0.193,1.25,1.44,0.875,2.38,0.156,1,"lm.nb","NM_007315.3:239"
"HAVCR2-mRNA",0.689,0.482,-0.255,1.63,1.61,0.838,3.1,0.157,1,"lm.nb","NM_032782.3:955"
"TNFRSF10D-mRNA",-0.668,0.47,-1.59,0.253,0.629,0.332,1.19,0.16,1,"lm.nb","NM_003840.4:838"
"ICAM1-mRNA",0.892,0.628,-0.339,2.12,1.86,0.791,4.35,0.16,1,"lm.nb","NM_000201.2:2253"
"EGR1-mRNA",0.393,0.282,-0.159,0.946,1.31,0.896,1.93,0.167,1,"lm.nb","NM_001964.2:2034"
"CCL7-mRNA",0.783,0.563,-0.322,1.89,1.72,0.8,3.7,0.169,1,"lm.nb","NM_006273.3:588"
"CD69-mRNA",0.693,0.504,-0.295,1.68,1.62,0.815,3.21,0.174,1,"lm.nb","NM_001781.2:88"
"TICAM1-mRNA",0.738,0.545,-0.33,1.81,1.67,0.795,3.5,0.18,1,"lm.nb","NM_182919.3:2552"
"TAP2-mRNA",0.6,0.444,-0.27,1.47,1.52,0.829,2.77,0.181,1,"lm.nb","NM_018833.2:912"
