"","Log2 fold change","std error (log2)","Lower confidence limit (log2)","Upper confidence limit (log2)","Linear fold change","Lower confidence limit (linear)","Upper confidence limit (linear)","P-value","BY.p.value","method","probe.ID"
"ATF3-mRNA",2.81,0.287,2.24,3.37,6.99,4.74,10.3,1.58e-14,4.25e-11,"lm.nb","NM_001674.3:1487"
"EGR1-mRNA",2.44,0.257,1.93,2.94,5.42,3.82,7.69,5.39e-14,7.27e-11,"lm.nb","NM_001964.2:2034"
"CD74-mRNA",3.23,0.428,2.39,4.07,9.36,5.23,16.8,1.66e-10,1.2e-07,"lm.nb","NM_001025159.2:1161"
"CXCL14-mRNA",4.13,0.549,3.05,5.2,17.5,8.29,36.9,1.79e-10,1.2e-07,"lm.nb","NM_004887.4:990"
"DUSP1-mRNA",3.33,0.486,2.38,4.29,10.1,5.21,19.5,2.72e-09,1.46e-06,"lm.nb","NM_004417.3:1428"
"HLA-DRA-mRNA",3.81,0.586,2.66,4.96,14,6.32,31.1,1.19e-08,5.36e-06,"lm.nb","NM_019111.3:335"
"HLA-DPA1-mRNA",3.98,0.627,2.75,5.21,15.8,6.75,37.1,2.13e-08,7.3e-06,"lm.nb","NM_033554.2:857"
"SGK1-mRNA",1.73,0.272,1.19,2.26,3.31,2.29,4.79,2.17e-08,7.3e-06,"lm.nb","NM_005627.3:1621"
"WDR76-mRNA",-1.65,0.269,-2.18,-1.12,0.319,0.221,0.459,4.98e-08,1.38e-05,"lm.nb","NM_024908.3:1875"
"IRF1-mRNA",2.23,0.364,1.52,2.95,4.7,2.87,7.71,5.14e-08,1.38e-05,"lm.nb","NM_002198.2:557"
"C1QB-mRNA",3.37,0.556,2.28,4.46,10.3,4.85,22,7.09e-08,1.74e-05,"lm.nb","NM_000491.3:816"
"KIR3DL1-mRNA",-2.97,0.53,-4.01,-1.93,0.128,0.0622,0.262,4.22e-07,9.48e-05,"lm.nb","NM_001322168.1:466"
"HLA-DPB1-mRNA",2.88,0.519,1.86,3.89,7.35,3.63,14.9,5.36e-07,0.000111,"lm.nb","NM_002121.5:987"
"GBP1-mRNA",3.81,0.707,2.42,5.2,14,5.37,36.7,9.88e-07,0.00019,"lm.nb","NM_002053.2:1838"
"CX3CL1-mRNA",2.28,0.43,1.44,3.12,4.85,2.7,8.69,1.39e-06,0.000241,"lm.nb","NM_002996.3:1850"
"CD69-mRNA",2.42,0.457,1.52,3.31,5.35,2.87,9.95,1.43e-06,0.000241,"lm.nb","NM_001781.2:88"
"CDKN1C-mRNA",2.57,0.49,1.61,3.53,5.96,3.06,11.6,1.64e-06,0.00026,"lm.nb","NM_000076.2:1605"
"IFITM1-mRNA",2.52,0.482,1.57,3.46,5.72,2.97,11,1.86e-06,0.000279,"lm.nb","NM_003641.3:536"
"GBP2-mRNA",2.25,0.438,1.39,3.11,4.76,2.63,8.63,2.56e-06,0.000363,"lm.nb","NM_004120.4:1744"
"HLA-C-mRNA",1.52,0.313,0.911,2.14,2.88,1.88,4.4,7.1e-06,0.000957,"lm.nb","NM_002117.4:898"
"MAP3K8-mRNA",1.76,0.364,1.04,2.47,3.38,2.06,5.54,8.24e-06,0.00106,"lm.nb","NM_001244134.1:493"
"FLT1-mRNA",3.11,0.663,1.81,4.4,8.61,3.5,21.2,1.4e-05,0.00172,"lm.nb","NM_002019.4:530"
"NFIL3-mRNA",1.92,0.414,1.11,2.74,3.8,2.16,6.67,1.62e-05,0.0019,"lm.nb","NM_001289999.1:1466"
"HLA-F-mRNA",2.13,0.466,1.22,3.04,4.38,2.33,8.25,2.1e-05,0.00236,"lm.nb","NM_001098479.1:285"
"HLA-B-mRNA",2.12,0.467,1.21,3.04,4.35,2.31,8.21,2.36e-05,0.00255,"lm.nb","NM_005514.6:1247"
"CCL3/L1-mRNA",2.83,0.633,1.59,4.07,7.12,3.01,16.8,3.04e-05,0.00315,"lm.nb","NM_021006.5:411"
"CSF1R-mRNA",2.41,0.543,1.35,3.47,5.31,2.54,11.1,3.45e-05,0.00344,"lm.nb","NM_005211.3:958"
"IFI6-mRNA",2.12,0.489,1.16,3.08,4.35,2.24,8.46,4.97e-05,0.00478,"lm.nb","NM_002038.3:410"
"KIR2DL3-mRNA",-2.1,0.498,-3.07,-1.12,0.234,0.119,0.46,7.86e-05,0.00731,"lm.nb","NM_015868.2:145"
"EDN1-mRNA",2.52,0.6,1.34,3.69,5.72,2.53,12.9,8.24e-05,0.00741,"lm.nb","NM_001955.2:770"
"CEBPB-mRNA",1.05,0.25,0.555,1.53,2.06,1.47,2.9,8.54e-05,0.00743,"lm.nb","NM_005194.3:1731"
"CXCR4-mRNA",2.23,0.543,1.17,3.3,4.7,2.25,9.84,0.000109,0.00919,"lm.nb","NM_001008540.1:1060"
"STAT2-mRNA",1.2,0.295,0.618,1.78,2.29,1.54,3.42,0.000134,0.0109,"lm.nb","NM_005419.2:1965"
"HES1-mRNA",1.47,0.371,0.748,2.2,2.78,1.68,4.6,0.000173,0.0137,"lm.nb","NM_005524.2:860"
"HLA-E-mRNA",1.97,0.497,0.992,2.94,3.91,1.99,7.68,0.000187,0.0144,"lm.nb","NM_005516.5:1287"
"HLA-DRB1-mRNA",2.2,0.569,1.09,3.32,4.61,2.13,9.98,0.000245,0.0182,"lm.nb","NM_002124.3:1016"
"RASAL1-mRNA",-1.42,0.369,-2.15,-0.7,0.373,0.226,0.616,0.00026,0.0182,"lm.nb","NM_001193520.1:3097"
"TMEM173-mRNA",1.41,0.365,0.692,2.12,2.65,1.62,4.35,0.000261,0.0182,"lm.nb","NM_198282.1:725"
"B2M-mRNA",1.91,0.497,0.939,2.89,3.77,1.92,7.41,0.000267,0.0182,"lm.nb","NM_004048.2:573"
"HLA-A-mRNA",1.58,0.41,0.773,2.38,2.98,1.71,5.2,0.00027,0.0182,"lm.nb","NM_002116.7:298"
"PECAM1-mRNA",2.28,0.596,1.12,3.45,4.87,2.17,10.9,0.000281,0.0185,"lm.nb","NM_000442.4:2492"
"MS4A1-mRNA",-1.56,0.411,-2.37,-0.755,0.339,0.194,0.593,0.000321,0.0203,"lm.nb","NM_021950.3:161"
"DTX4-mRNA",-1.98,0.522,-3,-0.956,0.254,0.125,0.515,0.000324,0.0203,"lm.nb","NM_015177.1:4820"
"HLA-DMA-mRNA",1.82,0.481,0.876,2.76,3.53,1.84,6.78,0.000335,0.0203,"lm.nb","NM_006120.3:396"
"RIPK2-mRNA",1.35,0.357,0.649,2.05,2.55,1.57,4.14,0.000339,0.0203,"lm.nb","NM_003821.5:1306"
"TAP1-mRNA",2.24,0.602,1.06,3.43,4.74,2.09,10.7,4e-04,0.0235,"lm.nb","NM_000593.5:1000"
"CRABP2-mRNA",1.73,0.469,0.811,2.65,3.32,1.75,6.27,0.000451,0.0253,"lm.nb","NM_001199723.1:802"
"HLA-DMB-mRNA",1.5,0.408,0.705,2.3,2.84,1.63,4.94,0.000458,0.0253,"lm.nb","NM_002118.3:20"
"APOE-mRNA",1.96,0.533,0.919,3.01,3.9,1.89,8.04,0.000459,0.0253,"lm.nb","NM_000041.2:96"
"ADM-mRNA",1.43,0.393,0.661,2.2,2.7,1.58,4.6,0.000528,0.0282,"lm.nb","NM_001124.2:1413"
"STAT1-mRNA",1.23,0.337,0.566,1.89,2.34,1.48,3.7,0.000533,0.0282,"lm.nb","NM_007315.3:239"
"CXCL3-mRNA",2.06,0.574,0.933,3.18,4.16,1.91,9.08,0.000635,0.0323,"lm.nb","NM_002090.2:467"
"BLM-mRNA",-1.14,0.317,-1.76,-0.516,0.454,0.295,0.699,0.000636,0.0323,"lm.nb","NM_000057.3:1434"
"C1QA-mRNA",2,0.56,0.902,3.1,4,1.87,8.55,0.000663,0.0331,"lm.nb","NM_015991.3:636"
"NFKBIA-mRNA",2.15,0.607,0.964,3.35,4.45,1.95,10.2,0.000717,0.0352,"lm.nb","NM_020529.2:1361"
"RAD51C-mRNA",-1.1,0.312,-1.71,-0.487,0.467,0.305,0.714,0.000785,0.0378,"lm.nb","NM_058216.2:15"
"ERBB2-mRNA",1.93,0.549,0.852,3,3.8,1.8,8.01,0.000799,0.0378,"lm.nb","NM_004448.2:2405"
"CDH1-mRNA",2.06,0.587,0.905,3.21,4.16,1.87,9.23,0.000832,0.0387,"lm.nb","NM_004360.3:379"
"ULBP2-mRNA",-1.21,0.35,-1.9,-0.526,0.432,0.268,0.694,0.000934,0.0427,"lm.nb","NM_025217.2:905"
"CTSS-mRNA",1.49,0.43,0.642,2.33,2.8,1.56,5.02,0.000968,0.0429,"lm.nb","NM_004079.3:685"
"TGFBR2-mRNA",1.38,0.401,0.597,2.17,2.61,1.51,4.5,0.000974,0.0429,"lm.nb","NM_001024847.2:870"
"S100A9-mRNA",1.89,0.549,0.815,2.97,3.71,1.76,7.81,0.000987,0.0429,"lm.nb","NM_002965.3:137"
"GLUD1-mRNA",1.2,0.352,0.51,1.89,2.3,1.42,3.71,0.00112,0.0478,"lm.nb","NM_005271.2:2680"
"VEGFA-mRNA",1.1,0.325,0.466,1.74,2.15,1.38,3.34,0.00117,0.0492,"lm.nb","NM_001171623.1:2212"
"PSMB9-mRNA",1.94,0.576,0.816,3.07,3.85,1.76,8.42,0.00123,0.0509,"lm.nb","NM_002800.4:394"
"BAMBI-mRNA",1.46,0.433,0.607,2.3,2.74,1.52,4.94,0.00128,0.0521,"lm.nb","NM_012342.2:824"
"PIK3R1-mRNA",2.02,0.61,0.823,3.21,4.05,1.77,9.27,0.0015,0.0605,"lm.nb","NM_001242466.1:889"
"PPARGC1B-mRNA",-1.44,0.446,-2.31,-0.566,0.369,0.201,0.675,0.00192,0.0762,"lm.nb","NM_001172699.1:1010"
"APOL6-mRNA",1.78,0.552,0.696,2.86,3.43,1.62,7.26,0.00198,0.0773,"lm.nb","NM_030641.3:289"
"DEPTOR-mRNA",1.44,0.447,0.561,2.31,2.71,1.48,4.97,0.00201,0.0773,"lm.nb","NM_001283012.1:1141"
"NFATC2-mRNA",-1.5,0.468,-2.42,-0.584,0.353,0.187,0.667,0.00206,0.0781,"lm.nb","NM_173091.2:1840"
"FCGR2A-mRNA",1.68,0.525,0.652,2.71,3.21,1.57,6.54,0.00208,0.0781,"lm.nb","NM_021642.3:60"
"GLUL-mRNA",1.33,0.42,0.507,2.15,2.51,1.42,4.45,0.00232,0.0857,"lm.nb","NM_002065.6:1485"
"LILRA1-mRNA",-1.57,0.495,-2.54,-0.595,0.338,0.172,0.662,0.00236,0.0861,"lm.nb","NM_001278318.1:486"
"PROM1-mRNA",1.8,0.573,0.677,2.92,3.48,1.6,7.58,0.0025,0.0899,"lm.nb","NM_001145847.1:596"
"IFIT3-mRNA",1.53,0.492,0.564,2.49,2.88,1.48,5.62,0.00277,0.0984,"lm.nb","NM_001031683.3:712"
"IRF9-mRNA",1.19,0.383,0.435,1.94,2.28,1.35,3.83,0.00286,0.0997,"lm.nb","NM_006084.4:723"
"NECTIN2-mRNA",1.93,0.622,0.705,3.15,3.8,1.63,8.85,0.00289,0.0997,"lm.nb","NM_001042724.1:1120"
"IFNGR1-mRNA",1.55,0.503,0.567,2.54,2.93,1.48,5.81,0.00294,0.1,"lm.nb","NM_000416.2:1025"
"FCGRT-mRNA",1.6,0.519,0.583,2.62,3.03,1.5,6.14,0.00297,0.1,"lm.nb","NM_004107.4:1260"
"EXO1-mRNA",-1.25,0.414,-2.06,-0.434,0.422,0.24,0.74,0.00372,0.124,"lm.nb","NM_006027.3:820"
"FUT4-mRNA",-1.16,0.39,-1.93,-0.4,0.446,0.263,0.758,0.00393,0.129,"lm.nb","NM_002033.3:1151"
"TNFRSF1A-mRNA",0.975,0.33,0.328,1.62,1.97,1.26,3.08,0.00432,0.14,"lm.nb","NM_001065.2:515"
"THBS1-mRNA",1.71,0.584,0.566,2.85,3.27,1.48,7.23,0.00464,0.149,"lm.nb","NM_003246.2:3816"
"IFIH1-mRNA",1.56,0.538,0.511,2.62,2.96,1.43,6.14,0.00489,0.155,"lm.nb","NM_022168.3:3250"
"PARP9-mRNA",1.92,0.669,0.613,3.24,3.8,1.53,9.42,0.00539,0.169,"lm.nb","NM_001146103.1:1188"
"MMP9-mRNA",-1.32,0.461,-2.23,-0.417,0.4,0.214,0.749,0.00558,0.173,"lm.nb","NM_004994.2:2011"
"PSMB8-mRNA",0.856,0.3,0.267,1.44,1.81,1.2,2.72,0.0058,0.178,"lm.nb","NM_004159.4:1080"
"FLNB-mRNA",1.61,0.569,0.493,2.72,3.05,1.41,6.6,0.00621,0.188,"lm.nb","NM_001164319.1:8980"
"IFI27-mRNA",1.47,0.52,0.448,2.49,2.76,1.36,5.6,0.0063,0.189,"lm.nb","NM_005532.3:390"
"F2RL1-mRNA",1.87,0.665,0.569,3.17,3.66,1.48,9.03,0.00637,0.189,"lm.nb","NM_005242.4:1388"
"PLA1A-mRNA",1.44,0.514,0.437,2.45,2.72,1.35,5.47,0.0065,0.189,"lm.nb","NM_015900.2:1250"
"CASP1-mRNA",1.09,0.388,0.33,1.85,2.13,1.26,3.61,0.00651,0.189,"lm.nb","NM_001223.4:1050"
"BIRC3-mRNA",-1.14,0.409,-1.94,-0.337,0.455,0.261,0.792,0.00698,0.2,"lm.nb","NM_001165.4:6567"
"IL6-mRNA",-1.77,0.638,-3.02,-0.52,0.293,0.123,0.697,0.00716,0.203,"lm.nb","NM_000600.3:484"
"IFITM2-mRNA",0.877,0.317,0.256,1.5,1.84,1.19,2.82,0.00728,0.203,"lm.nb","NM_006435.2:390"
"TLR5-mRNA",-1.12,0.403,-1.91,-0.325,0.461,0.267,0.798,0.00731,0.203,"lm.nb","NM_003268.5:2570"
"CXCR2-mRNA",-1.35,0.491,-2.32,-0.392,0.391,0.201,0.762,0.00746,0.205,"lm.nb","NM_001557.3:409"
"PFKM-mRNA",-0.663,0.241,-1.13,-0.192,0.632,0.455,0.876,0.00752,0.205,"lm.nb","NM_000289.5:2672"
"SERPINH1-mRNA",1.5,0.546,0.433,2.57,2.84,1.35,5.96,0.00761,0.205,"lm.nb","NM_001207014.1:1850"
"FAM124B-mRNA",-1.51,0.55,-2.59,-0.432,0.351,0.166,0.741,0.00777,0.208,"lm.nb","NM_001122779.1:1620"
"CD47-mRNA",1.34,0.494,0.373,2.31,2.53,1.29,4.95,0.00843,0.223,"lm.nb","NM_001777.3:901"
"STAT3-mRNA",1.62,0.603,0.434,2.8,3.07,1.35,6.96,0.00926,0.242,"lm.nb","NM_003150.3:2936"
"LAMA1-mRNA",-1.08,0.405,-1.87,-0.287,0.473,0.273,0.82,0.00954,0.245,"lm.nb","NM_005559.3:9002"
"SLC2A1-mRNA",-0.932,0.35,-1.62,-0.247,0.524,0.326,0.843,0.00963,0.245,"lm.nb","NM_006516.2:264"
"AREG-mRNA",3.49,1.31,0.922,6.05,11.2,1.89,66.2,0.00964,0.245,"loglinear","NM_001657.3:717"
"DDB2-mRNA",-0.973,0.373,-1.7,-0.242,0.51,0.307,0.846,0.0112,0.283,"lm.nb","NM_000107.2:1556"
"DUSP5-mRNA",1.33,0.513,0.32,2.33,2.51,1.25,5.04,0.012,0.299,"lm.nb","NM_004419.3:675"
"H2AFX-mRNA",1.16,0.45,0.279,2.05,2.24,1.21,4.13,0.0121,0.299,"lm.nb","NM_002105.2:521"
"BAD-mRNA",-0.771,0.305,-1.37,-0.173,0.586,0.387,0.887,0.0139,0.341,"lm.nb","NM_004322.3:963"
"UBA7-mRNA",0.749,0.301,0.16,1.34,1.68,1.12,2.53,0.0152,0.369,"lm.nb","NM_003335.2:580"
"SPRY4-mRNA",1.39,0.559,0.289,2.48,2.61,1.22,5.58,0.0158,0.378,"lm.nb","NM_030964.3:1900"
"GPC4-mRNA",1.12,0.452,0.233,2.01,2.17,1.17,4.02,0.0159,0.378,"lm.nb","NM_001448.2:820"
"BMP2-mRNA",0.912,0.369,0.189,1.64,1.88,1.14,3.11,0.016,0.378,"lm.nb","NM_001200.3:1193"
"MB21D1-mRNA",1.04,0.42,0.212,1.86,2.05,1.16,3.63,0.0163,0.382,"lm.nb","NM_138441.2:1198"
"ICAM1-mRNA",1.41,0.576,0.277,2.53,2.65,1.21,5.79,0.0173,0.401,"lm.nb","NM_000201.2:2253"
"ZEB1-mRNA",1.47,0.604,0.287,2.65,2.77,1.22,6.3,0.0176,0.405,"lm.nb","NM_001128128.2:2292"
"CHUK-mRNA",2.11,0.869,0.402,3.81,4.3,1.32,14,0.0181,0.414,"loglinear","NM_001278.4:3263"
"IFI35-mRNA",1.12,0.47,0.195,2.04,2.17,1.14,4.11,0.0204,0.463,"lm.nb","NM_005533.4:729"
"PVRIG-mRNA",-1.23,0.522,-2.25,-0.206,0.427,0.21,0.867,0.0215,0.483,"lm.nb","NM_024070.3:1390"
"ISG15-mRNA",1.32,0.568,0.21,2.44,2.5,1.16,5.41,0.0229,0.51,"lm.nb","NM_005101.3:305"
"TYMP-mRNA",0.986,0.424,0.155,1.82,1.98,1.11,3.52,0.0231,0.511,"lm.nb","NM_001113755.2:645"
"TGFB1-mRNA",0.885,0.382,0.136,1.63,1.85,1.1,3.1,0.0236,0.517,"lm.nb","NM_000660.4:1473"
"BBC3-mRNA",1.02,0.444,0.155,1.89,2.03,1.11,3.72,0.024,0.522,"lm.nb","NM_014417.4:1310"
"PTGS2-mRNA",-1.44,0.624,-2.66,-0.214,0.369,0.158,0.862,0.0244,0.526,"lm.nb","NM_000963.1:495"
"MYC-mRNA",1.4,0.614,0.2,2.61,2.64,1.15,6.09,0.0254,0.544,"lm.nb","NM_002467.3:1615"
"GOT1-mRNA",1.06,0.468,0.147,1.98,2.09,1.11,3.95,0.0262,0.556,"lm.nb","NM_002079.2:568"
"VHL-mRNA",-0.702,0.31,-1.31,-0.0949,0.615,0.404,0.936,0.0267,0.561,"lm.nb","NM_198156.1:420"
"LCK-mRNA",-0.97,0.429,-1.81,-0.129,0.511,0.285,0.914,0.027,0.564,"lm.nb","NM_005356.4:1723"
"TLR3-mRNA",1.18,0.524,0.154,2.21,2.27,1.11,4.62,0.0274,0.565,"lm.nb","NM_003265.2:37"
"ITGA1-mRNA",0.961,0.426,0.125,1.8,1.95,1.09,3.47,0.0275,0.565,"lm.nb","NM_181501.1:502"
"DTX3L-mRNA",0.927,0.412,0.12,1.74,1.9,1.09,3.33,0.0277,0.565,"lm.nb","NM_138287.3:1543"
"JAG1-mRNA",2.95,1.31,0.378,5.53,7.75,1.3,46.2,0.0279,0.565,"loglinear","NM_000214.2:3509"
"TMEM140-mRNA",0.973,0.435,0.121,1.83,1.96,1.09,3.54,0.0285,0.574,"lm.nb","NM_018295.3:377"
