"","Log2 fold change","std error (log2)","Lower confidence limit (log2)","Upper confidence limit (log2)","Linear fold change","Lower confidence limit (linear)","Upper confidence limit (linear)","P-value","BY.p.value","method","probe.ID"
"CD69-mRNA",1.55,0.439,0.692,2.41,2.93,1.62,5.32,0.000736,1,"lm.nb","NM_001781.2:88"
"CDKN1A-mRNA",0.64,0.303,0.0454,1.23,1.56,1.03,2.35,0.0386,1,"lm.nb","NM_000389.2:1975"
"CASP9-mRNA",0.695,0.355,8.98e-05,1.39,1.62,1,2.62,0.0541,1,"lm.nb","XM_011542270.1:326"
"PDGFA-mRNA",0.831,0.45,-0.0513,1.71,1.78,0.965,3.28,0.0693,1,"lm.nb","NM_033023.4:2390"
"CX3CL1-mRNA",0.724,0.412,-0.0821,1.53,1.65,0.945,2.89,0.0829,1,"lm.nb","NM_002996.3:1850"
"PCK2-mRNA",0.373,0.22,-0.0588,0.805,1.3,0.96,1.75,0.0951,1,"lm.nb","NM_001018073.2:1307"
"TTC30A-mRNA",0.355,0.211,-0.0583,0.767,1.28,0.96,1.7,0.0969,1,"lm.nb","NM_152275.3:2492"
"HDAC11-mRNA",0.865,0.537,-0.188,1.92,1.82,0.878,3.78,0.112,1,"lm.nb","NM_001330636.1:865"
"IFIT2-mRNA",0.821,0.52,-0.199,1.84,1.77,0.871,3.58,0.119,1,"lm.nb","NM_001547.4:1995"
"VEGFA-mRNA",-0.476,0.311,-1.09,0.134,0.719,0.471,1.1,0.131,1,"lm.nb","NM_001171623.1:2212"
"MICB-mRNA",0.525,0.344,-0.15,1.2,1.44,0.901,2.3,0.132,1,"lm.nb","NM_005931.3:1387"
"KRAS-mRNA",0.35,0.229,-0.1,0.8,1.27,0.933,1.74,0.132,1,"lm.nb","NM_004985.3:1790"
"PLA1A-mRNA",0.697,0.492,-0.268,1.66,1.62,0.831,3.16,0.161,1,"lm.nb","NM_015900.2:1250"
"CCL7-mRNA",0.693,0.492,-0.272,1.66,1.62,0.828,3.16,0.164,1,"lm.nb","NM_006273.3:588"
"IL6R-mRNA",-0.461,0.331,-1.11,0.189,0.727,0.463,1.14,0.169,1,"lm.nb","NM_000565.3:846"
"BIRC3-mRNA",0.512,0.381,-0.235,1.26,1.43,0.849,2.39,0.184,1,"lm.nb","NM_001165.4:6567"
"GPC4-mRNA",0.577,0.431,-0.268,1.42,1.49,0.83,2.68,0.185,1,"lm.nb","NM_001448.2:820"
"TICAM1-mRNA",0.62,0.477,-0.315,1.56,1.54,0.804,2.94,0.198,1,"lm.nb","NM_182919.3:2552"
"PFKM-mRNA",-0.284,0.227,-0.729,0.161,0.821,0.603,1.12,0.216,1,"lm.nb","NM_000289.5:2672"
"CCL3/L1-mRNA",0.736,0.603,-0.446,1.92,1.67,0.734,3.78,0.227,1,"lm.nb","NM_021006.5:411"
"MMP7-mRNA",1.59,1.3,-0.964,4.14,3.01,0.513,17.6,0.227,1,"loglinear","NM_002423.3:265"
"TLR2-mRNA",-0.425,0.351,-1.11,0.264,0.745,0.462,1.2,0.231,1,"lm.nb","NM_001318787.1:484"
"HLA-DMB-mRNA",0.454,0.39,-0.31,1.22,1.37,0.807,2.33,0.248,1,"lm.nb","NM_002118.3:20"
"GLS-mRNA",0.335,0.288,-0.23,0.901,1.26,0.853,1.87,0.249,1,"lm.nb","NM_014905.4:165"
"RPS6KB1-mRNA",0.277,0.241,-0.195,0.749,1.21,0.873,1.68,0.255,1,"lm.nb","NM_001272042.1:2451"
"FCGR2B-mRNA",0.568,0.495,-0.402,1.54,1.48,0.757,2.91,0.255,1,"lm.nb","NM_001002273.1:870"
"ELOB-mRNA",-0.581,0.507,-1.57,0.412,0.668,0.336,1.33,0.256,1,"lm.nb","NM_007108.2:800"
"PVR-mRNA",0.387,0.348,-0.295,1.07,1.31,0.815,2.1,0.27,1,"lm.nb","NM_001135768.2:448"
"HAVCR2-mRNA",0.467,0.422,-0.36,1.29,1.38,0.779,2.45,0.272,1,"lm.nb","NM_032782.3:955"
"CTSS-mRNA",0.453,0.41,-0.35,1.26,1.37,0.785,2.39,0.273,1,"lm.nb","NM_004079.3:685"
"TMEM140-mRNA",0.452,0.415,-0.362,1.27,1.37,0.778,2.4,0.281,1,"lm.nb","NM_018295.3:377"
"EIF2B4-mRNA",0.358,0.337,-0.302,1.02,1.28,0.811,2.02,0.291,1,"lm.nb","NM_001034116.1:1258"
"RAD51-mRNA",0.328,0.313,-0.285,0.941,1.26,0.821,1.92,0.298,1,"lm.nb","NM_133487.3:1570"
"TNFRSF1A-mRNA",0.329,0.315,-0.288,0.947,1.26,0.819,1.93,0.3,1,"lm.nb","NM_001065.2:515"
"PIK3CA-mRNA",0.405,0.389,-0.357,1.17,1.32,0.781,2.25,0.302,1,"lm.nb","NM_006218.2:3296"
"AQP9-mRNA",0.527,0.511,-0.474,1.53,1.44,0.72,2.89,0.306,1,"lm.nb","NM_001320635.1:753"
"TAPBPL-mRNA",0.482,0.469,-0.438,1.4,1.4,0.738,2.64,0.308,1,"lm.nb","NM_018009.4:1425"
"TBXAS1-mRNA",0.433,0.424,-0.399,1.27,1.35,0.759,2.4,0.311,1,"lm.nb","NM_001061.4:709"
"IFIH1-mRNA",0.517,0.514,-0.491,1.52,1.43,0.711,2.88,0.318,1,"lm.nb","NM_022168.3:3250"
"IL10RA-mRNA",0.438,0.44,-0.424,1.3,1.35,0.745,2.46,0.323,1,"lm.nb","NM_001558.2:150"
"MRE11-mRNA",-0.194,0.195,-0.575,0.188,0.874,0.671,1.14,0.323,1,"lm.nb","NM_001330347.1:2169"
"CXCL8-mRNA",0.652,0.655,-0.633,1.94,1.57,0.645,3.83,0.323,1,"lm.nb","NM_000584.3:170"
"EGR1-mRNA",0.243,0.246,-0.24,0.725,1.18,0.847,1.65,0.328,1,"lm.nb","NM_001964.2:2034"
"KIR2DL3-mRNA",0.442,0.469,-0.476,1.36,1.36,0.719,2.57,0.349,1,"lm.nb","NM_015868.2:145"
"PARP12-mRNA",0.486,0.516,-0.525,1.5,1.4,0.695,2.82,0.349,1,"lm.nb","NM_022750.3:1843"
"PIK3R2-mRNA",-0.331,0.352,-1.02,0.36,0.795,0.493,1.28,0.351,1,"lm.nb","NM_005027.3:344"
"NECTIN1-mRNA",-0.356,0.382,-1.1,0.392,0.781,0.465,1.31,0.354,1,"lm.nb","NM_002855.4:357"
"ITGA1-mRNA",-0.377,0.409,-1.18,0.425,0.77,0.441,1.34,0.36,1,"lm.nb","NM_181501.1:502"
"TNFRSF14-mRNA",-0.338,0.367,-1.06,0.382,0.791,0.481,1.3,0.361,1,"lm.nb","NM_003820.3:503"
"OAS3-mRNA",0.298,0.325,-0.339,0.936,1.23,0.791,1.91,0.362,1,"lm.nb","NM_006187.3:2354"
"SLC2A1-mRNA",-0.3,0.33,-0.946,0.346,0.812,0.519,1.27,0.366,1,"lm.nb","NM_006516.2:264"
"ULBP2-mRNA",0.294,0.328,-0.349,0.937,1.23,0.785,1.91,0.374,1,"lm.nb","NM_025217.2:905"
"CXCL6-mRNA",0.531,0.596,-0.638,1.7,1.44,0.643,3.25,0.377,1,"lm.nb","NM_002993.3:308"
"TNFSF10-mRNA",1.22,1.39,-1.5,3.94,2.33,0.354,15.3,0.382,1,"loglinear","NM_003810.3:155"
"CLEC4E-mRNA",0.398,0.452,-0.488,1.28,1.32,0.713,2.43,0.382,1,"lm.nb","NM_014358.3:1392"
"EZH2-mRNA",0.21,0.246,-0.272,0.693,1.16,0.828,1.62,0.395,1,"lm.nb","NM_004456.4:1596"
"ATF3-mRNA",0.234,0.275,-0.305,0.772,1.18,0.81,1.71,0.398,1,"lm.nb","NM_001674.3:1487"
"STC1-mRNA",0.414,0.489,-0.545,1.37,1.33,0.685,2.59,0.4,1,"lm.nb","NM_003155.2:2172"
"HLA-DPA1-mRNA",0.504,0.598,-0.668,1.68,1.42,0.63,3.2,0.402,1,"lm.nb","NM_033554.2:857"
"CENPF-mRNA",-0.478,0.572,-1.6,0.643,0.718,0.33,1.56,0.406,1,"lm.nb","NM_016343.3:9260"
"CRABP2-mRNA",0.363,0.448,-0.515,1.24,1.29,0.7,2.36,0.421,1,"lm.nb","NM_001199723.1:802"
"CHUK-mRNA",0.666,0.827,-0.955,2.29,1.59,0.516,4.88,0.424,1,"loglinear","NM_001278.4:3263"
"LOXL2-mRNA",0.315,0.392,-0.453,1.08,1.24,0.731,2.12,0.424,1,"lm.nb","NM_002318.2:40"
"CXCL3-mRNA",0.439,0.548,-0.634,1.51,1.36,0.644,2.85,0.426,1,"lm.nb","NM_002090.2:467"
"PMS2-mRNA",0.404,0.506,-0.587,1.39,1.32,0.666,2.63,0.427,1,"lm.nb","NM_000535.6:894"
"EDN1-mRNA",0.457,0.573,-0.666,1.58,1.37,0.63,2.99,0.428,1,"lm.nb","NM_001955.2:770"
"STAT2-mRNA",0.226,0.283,-0.329,0.78,1.17,0.796,1.72,0.428,1,"lm.nb","NM_005419.2:1965"
"SMAD5-mRNA",0.204,0.256,-0.299,0.706,1.15,0.813,1.63,0.43,1,"lm.nb","NM_005903.5:5007"
"OAS1-mRNA",0.45,0.581,-0.688,1.59,1.37,0.621,3.01,0.441,1,"lm.nb","NM_001032409.1:805"
"FCGRT-mRNA",0.379,0.497,-0.595,1.35,1.3,0.662,2.55,0.449,1,"lm.nb","NM_004107.4:1260"
"CD68-mRNA",0.282,0.373,-0.449,1.01,1.22,0.732,2.02,0.453,1,"lm.nb","NM_001251.2:1140"
"BRCA2-mRNA",0.41,0.545,-0.659,1.48,1.33,0.634,2.79,0.454,1,"lm.nb","NM_000059.3:1373"
"CASP3-mRNA",0.253,0.341,-0.416,0.922,1.19,0.749,1.9,0.461,1,"lm.nb","NM_032991.2:1002"
"WDR76-mRNA",0.178,0.242,-0.296,0.652,1.13,0.814,1.57,0.465,1,"lm.nb","NM_024908.3:1875"
"CEACAM3-mRNA",0.34,0.464,-0.57,1.25,1.27,0.673,2.38,0.467,1,"lm.nb","NM_001277163.2:807"
"CDC20-mRNA",0.357,0.492,-0.606,1.32,1.28,0.657,2.5,0.47,1,"lm.nb","NM_001255.1:915"
"IFNGR2-mRNA",0.344,0.477,-0.592,1.28,1.27,0.663,2.43,0.474,1,"lm.nb","NM_005534.3:1963"
"SLC16A1-mRNA",-0.412,0.574,-1.54,0.713,0.752,0.345,1.64,0.475,1,"lm.nb","NM_003051.3:635"
"HELLS-mRNA",0.295,0.413,-0.514,1.11,1.23,0.7,2.15,0.477,1,"lm.nb","NM_001289067.1:191"
"ATM-mRNA",-0.369,0.516,-1.38,0.643,0.774,0.384,1.56,0.477,1,"lm.nb","NM_000051.3:393"
"DUSP5-mRNA",0.348,0.489,-0.61,1.31,1.27,0.655,2.47,0.479,1,"lm.nb","NM_004419.3:675"
"CCNB1-mRNA",0.436,0.618,-0.775,1.65,1.35,0.584,3.13,0.483,1,"lm.nb","NM_031966.2:710"
"MICA-mRNA",0.344,0.491,-0.619,1.31,1.27,0.651,2.47,0.487,1,"lm.nb","NM_000247.1:550"
"ERBB2-mRNA",0.364,0.524,-0.664,1.39,1.29,0.631,2.62,0.49,1,"lm.nb","NM_004448.2:2405"
"UBE2T-mRNA",0.22,0.324,-0.415,0.855,1.16,0.75,1.81,0.499,1,"lm.nb","NM_014176.1:50"
