"","Log2 fold change","std error (log2)","Lower confidence limit (log2)","Upper confidence limit (log2)","Linear fold change","Lower confidence limit (linear)","Upper confidence limit (linear)","P-value","BY.p.value","method","probe.ID"
"ATF3-mRNA",2.81,0.287,2.24,3.37,6.99,4.74,10.3,1.58e-14,4.25e-11,"lm.nb","NM_001674.3:1487"
"EGR1-mRNA",2.44,0.257,1.93,2.94,5.42,3.82,7.69,5.39e-14,7.27e-11,"lm.nb","NM_001964.2:2034"
"CD74-mRNA",3.23,0.428,2.39,4.07,9.36,5.23,16.8,1.66e-10,1.2e-07,"lm.nb","NM_001025159.2:1161"
"CXCL14-mRNA",4.13,0.549,3.05,5.2,17.5,8.29,36.9,1.79e-10,1.2e-07,"lm.nb","NM_004887.4:990"
"DUSP1-mRNA",3.33,0.486,2.38,4.29,10.1,5.21,19.5,2.72e-09,1.46e-06,"lm.nb","NM_004417.3:1428"
"HLA-DRA-mRNA",3.81,0.586,2.66,4.96,14,6.32,31.1,1.19e-08,5.36e-06,"lm.nb","NM_019111.3:335"
"HLA-DPA1-mRNA",3.98,0.627,2.75,5.21,15.8,6.75,37.1,2.13e-08,7.3e-06,"lm.nb","NM_033554.2:857"
"SGK1-mRNA",1.73,0.272,1.19,2.26,3.31,2.29,4.79,2.17e-08,7.3e-06,"lm.nb","NM_005627.3:1621"
"WDR76-mRNA",-1.65,0.269,-2.18,-1.12,0.319,0.221,0.459,4.98e-08,1.38e-05,"lm.nb","NM_024908.3:1875"
"IRF1-mRNA",2.23,0.364,1.52,2.95,4.7,2.87,7.71,5.14e-08,1.38e-05,"lm.nb","NM_002198.2:557"
"C1QB-mRNA",3.37,0.556,2.28,4.46,10.3,4.85,22,7.09e-08,1.74e-05,"lm.nb","NM_000491.3:816"
"KIR3DL1-mRNA",-2.97,0.53,-4.01,-1.93,0.128,0.0622,0.262,4.22e-07,9.48e-05,"lm.nb","NM_001322168.1:466"
"HLA-DPB1-mRNA",2.88,0.519,1.86,3.89,7.35,3.63,14.9,5.36e-07,0.000111,"lm.nb","NM_002121.5:987"
"GBP1-mRNA",3.81,0.707,2.42,5.2,14,5.37,36.7,9.88e-07,0.00019,"lm.nb","NM_002053.2:1838"
"CX3CL1-mRNA",2.28,0.43,1.44,3.12,4.85,2.7,8.69,1.39e-06,0.000241,"lm.nb","NM_002996.3:1850"
"CD69-mRNA",2.42,0.457,1.52,3.31,5.35,2.87,9.95,1.43e-06,0.000241,"lm.nb","NM_001781.2:88"
"CDKN1C-mRNA",2.57,0.49,1.61,3.53,5.96,3.06,11.6,1.64e-06,0.00026,"lm.nb","NM_000076.2:1605"
"IFITM1-mRNA",2.52,0.482,1.57,3.46,5.72,2.97,11,1.86e-06,0.000279,"lm.nb","NM_003641.3:536"
"GBP2-mRNA",2.25,0.438,1.39,3.11,4.76,2.63,8.63,2.56e-06,0.000363,"lm.nb","NM_004120.4:1744"
"HLA-C-mRNA",1.52,0.313,0.911,2.14,2.88,1.88,4.4,7.1e-06,0.000957,"lm.nb","NM_002117.4:898"
