"","Log2 fold change","std error (log2)","Lower confidence limit (log2)","Upper confidence limit (log2)","Linear fold change","Lower confidence limit (linear)","Upper confidence limit (linear)","P-value","BY.p.value","method","probe.ID"
"PTGS2-mRNA",-4.44,1.16,-6.71,-2.17,0.046,0.00954,0.222,0.00028,0.48,"lm.nb","NM_000963.1:495"
"SNAI1-mRNA",-3.13,0.862,-4.82,-1.44,0.114,0.0353,0.368,0.000542,0.48,"lm.nb","NM_005985.3:960"
"EOMES-mRNA",-3.92,1.1,-6.08,-1.77,0.0659,0.0148,0.294,0.00068,0.48,"lm.nb","NM_001278182.1:1522"
"IL33-mRNA",-3.53,0.995,-5.48,-1.58,0.0866,0.0224,0.334,0.000712,0.48,"lm.nb","NM_033439.3:1842"
"PPARGC1B-mRNA",-2.77,0.807,-4.35,-1.18,0.147,0.0491,0.44,0.00105,0.554,"lm.nb","NM_001172699.1:1010"
"CDKN2A-mRNA",-2.85,0.86,-4.53,-1.16,0.139,0.0433,0.447,0.0015,0.554,"lm.nb","NM_000077.4:1052"
"RSAD2-mRNA",-2.67,0.825,-4.28,-1.05,0.157,0.0513,0.483,0.00191,0.554,"lm.nb","NM_080657.4:1057"
"PVRIG-mRNA",-2.99,0.928,-4.81,-1.18,0.125,0.0356,0.443,0.00194,0.554,"lm.nb","NM_024070.3:1390"
"GPSM3-mRNA",-3.15,0.977,-5.06,-1.23,0.113,0.03,0.426,0.00197,0.554,"lm.nb","NM_001276501.1:915"
"LILRA1-mRNA",-2.82,0.878,-4.54,-1.1,0.142,0.043,0.468,0.00205,0.554,"lm.nb","NM_001278318.1:486"
"BNIP3-mRNA",-1.8,0.6,-2.98,-0.627,0.286,0.127,0.648,0.00374,0.917,"lm.nb","NM_004052.3:116"
"CDKN1A-mRNA",1.58,0.541,0.519,2.64,2.99,1.43,6.22,0.00475,1,"lm.nb","NM_000389.2:1975"
"FAM124B-mRNA",-2.85,0.983,-4.78,-0.921,0.139,0.0365,0.528,0.00509,1,"lm.nb","NM_001122779.1:1620"
"CD3D-mRNA",-2.72,0.945,-4.57,-0.869,0.152,0.042,0.548,0.00535,1,"lm.nb","NM_000732.4:127"
"LYZ-mRNA",-3.5,1.23,-5.9,-1.1,0.0884,0.0167,0.467,0.00572,1,"lm.nb","NM_000239.2:381"
"VTCN1-mRNA",-2.15,0.759,-3.63,-0.661,0.226,0.0805,0.632,0.00612,1,"lm.nb","NM_001253849.1:871"
"HLA-DOA-mRNA",-2.26,0.822,-3.87,-0.651,0.209,0.0683,0.637,0.00761,1,"lm.nb","NM_002119.3:3075"
"TLR2-mRNA",-1.78,0.655,-3.07,-0.501,0.29,0.119,0.707,0.00821,1,"lm.nb","NM_001318787.1:484"
"VEGFA-mRNA",-1.54,0.568,-2.66,-0.429,0.343,0.159,0.743,0.00843,1,"lm.nb","NM_001171623.1:2212"
"LCK-mRNA",-2.08,0.768,-3.58,-0.571,0.237,0.0836,0.673,0.00867,1,"lm.nb","NM_005356.4:1723"
