"","Log2 fold change","std error (log2)","Lower confidence limit (log2)","Upper confidence limit (log2)","Linear fold change","Lower confidence limit (linear)","Upper confidence limit (linear)","P-value","BY.p.value","method","probe.ID"
"IRF1-mRNA",3.51,0.51,2.51,4.5,11.4,5.68,22.7,2.52e-09,6.8e-06,"lm.nb","NM_002198.2:557"
"GBP1-mRNA",5.89,0.991,3.95,7.84,59.5,15.5,228,1.08e-07,0.000146,"lm.nb","NM_002053.2:1838"
"GBP2-mRNA",3.36,0.613,2.16,4.56,10.3,4.48,23.7,6.68e-07,0.000601,"lm.nb","NM_004120.4:1744"
"IFIT3-mRNA",3.63,0.687,2.28,4.98,12.4,4.87,31.5,1.49e-06,0.00101,"lm.nb","NM_001031683.3:712"
"IFITM1-mRNA",3.09,0.677,1.76,4.42,8.51,3.4,21.3,2.18e-05,0.0118,"lm.nb","NM_003641.3:536"
"IFI35-mRNA",2.94,0.658,1.65,4.22,7.65,3.13,18.7,3.17e-05,0.0143,"lm.nb","NM_005533.4:729"
"CD74-mRNA",2.55,0.603,1.37,3.73,5.87,2.59,13.3,7.15e-05,0.0275,"lm.nb","NM_001025159.2:1161"
"PSMB9-mRNA",3.38,0.806,1.8,4.96,10.4,3.47,31,8.34e-05,0.0281,"lm.nb","NM_002800.4:394"
"STAT1-mRNA",1.84,0.474,0.908,2.77,3.57,1.88,6.8,0.000246,0.0737,"lm.nb","NM_007315.3:239"
"TAP1-mRNA",3.23,0.847,1.57,4.89,9.39,2.97,29.7,0.000298,0.0804,"lm.nb","NM_000593.5:1000"
"IFIT2-mRNA",2.86,0.757,1.37,4.34,7.25,2.59,20.3,0.000345,0.0846,"lm.nb","NM_001547.4:1995"
"PLA1A-mRNA",2.66,0.712,1.27,4.06,6.33,2.41,16.6,0.000384,0.0864,"lm.nb","NM_015900.2:1250"
"ISG15-mRNA",2.91,0.798,1.35,4.47,7.51,2.54,22.2,0.000519,0.108,"lm.nb","NM_005101.3:305"
"PSMB10-mRNA",2.41,0.686,1.07,3.76,5.32,2.09,13.5,0.000797,0.153,"lm.nb","NM_002801.3:249"
"IFIH1-mRNA",2.55,0.749,1.09,4.02,5.88,2.12,16.3,0.0011,0.198,"lm.nb","NM_022168.3:3250"
"IFI6-mRNA",2.31,0.686,0.969,3.66,4.97,1.96,12.6,0.00124,0.209,"lm.nb","NM_002038.3:410"
"DTX3L-mRNA",1.87,0.578,0.742,3.01,3.67,1.67,8.04,0.00184,0.292,"lm.nb","NM_138287.3:1543"
"PARP9-mRNA",3.02,0.94,1.17,4.86,8.09,2.26,29,0.00204,0.306,"lm.nb","NM_001146103.1:1188"
"CDKN2A-mRNA",-2.22,0.706,-3.61,-0.838,0.214,0.0821,0.559,0.00247,0.35,"lm.nb","NM_000077.4:1052"
"APOL6-mRNA",2.4,0.773,0.888,3.92,5.29,1.85,15.1,0.00276,0.372,"lm.nb","NM_030641.3:289"
