"","Average-normalized count","Variance-normalized count"
"CCNO - mRNA",5.22302877644695,1.56537097108943
"MYC - mRNA",7.81801685355868,2.3277802320887
"CD79A - mRNA",3.88257644839468,0.42270226365606
"FSTL3 - mRNA",5.09757669273914,1.17530730206153
"VCAN - mRNA",6.99869652850582,7.4465277779139
"CX3CL1 - mRNA",6.6789520058489,0.941003974615006
"ERBB2 - mRNA",6.34230352818587,1.13560075828639
"FAM124B - mRNA",6.03530914457847,2.7384177421834
"AKT1 - mRNA",8.08934857095315,1.12685651881533
"KDR - mRNA",5.20070153006744,2.79455154014788
"EGF - mRNA",5.01707100019894,1.24267621925596
"MAGEA12 - mRNA",5.28668828869673,3.94486973136323
"IFNA1 - mRNA",4.91393535061259,1.69846442493779
"TGFB3 - mRNA",4.89620834220609,1.41404946711132
"MFGE8 - mRNA",7.23829583198986,1.72254530020602
"CXCL2 - mRNA",9.02851141524415,4.23785719731049
"CCND2 - mRNA",6.90482861032017,2.84837776660274
"PDZK1IP1 - mRNA",7.57126717717509,6.34898299622157
"JAG2 - mRNA",4.92555349480005,1.49708449495363
"C5 - mRNA",4.76312170117819,1.20750462066992
"CD79B - mRNA",4.31668205387908,1.10223251303544
"CXCR2 - mRNA",5.93782785705279,2.21219483982048
"PSMB10 - mRNA",6.58908975690373,0.93175637600668
"ZEB1 - mRNA",5.39622800945402,1.55749342172646
"ANLN - mRNA",6.41714988851665,2.04684835146419
"TAF3 - mRNA",4.48780839374933,1.42666124852588
"CD276 - mRNA",7.76600159742386,1.32364701396806
"ICAM1 - mRNA",7.61567232685164,2.10484980284343
"IL16 - mRNA",4.47890648697385,1.3312636887605
"CXCL3 - mRNA",6.59192652760493,1.16407396425004
"PRR5 - mRNA",4.90685132812475,1.28330489798285
"CTSW - mRNA",4.47540827904843,1.35876784419027
"CXCR4 - mRNA",6.81588179334584,2.3591362436574
"IFNGR2 - mRNA",7.64686357685863,1.27205871378025
"CDH11 - mRNA",5.62087560398919,1.92197019334504
"COL6A3 - mRNA",4.14983781657149,0.984413479150027
"GZMK - mRNA",4.43822662769922,1.26327508634158
"IRF2 - mRNA",7.20406330739095,0.530942540906364
"RPL7A - mRNA",10.8857079451108,2.52299369833977
"GPR160 - mRNA",6.77288479058048,3.05146080455932
"MICA - mRNA",5.32991536774563,0.922614876701301
"TAPBPL - mRNA",5.5973013603358,0.999708078390574
"CXCL14 - mRNA",7.43857338577108,2.8977864650492
"CD14 - mRNA",6.18396541709366,1.37703246690189
"IL18 - mRNA",6.38988367098364,3.03625559808133
"CLEC14A - mRNA",4.71132101728462,1.92792159698885
"HMGB1 - mRNA",5.93368696746899,0.845103013613475
"KIF2C - mRNA",5.77864794320969,1.16809430041512
"RNLS - mRNA",5.5293653257739,0.989657682870605
"RPTOR - mRNA",5.68258547124042,0.757368446341049
"CD68 - mRNA",7.58123558395976,0.752611775594781
"CCL13 - mRNA",4.55776768376431,1.22343129692378
"CYBB - mRNA",6.73306529055983,1.62428129329477
"PLA2G2A - mRNA",4.74844357576687,1.58353565098892
"FGF13 - mRNA",5.10472595512077,1.43917429749459
"CNTFR - mRNA",4.4307926786913,1.16186269554049
"CD244 - mRNA",3.93308796224244,0.581059923678918
"CSF2RB - mRNA",4.87514628878884,1.65186917937889
"MAP3K7 - mRNA",7.85758462061209,0.11791363151083
"FASLG - mRNA",4.265919603041,1.0460370880411
"CD209 - mRNA",4.81461952363673,1.72871145444697
"IRF7 - mRNA",5.82593623600783,0.864166799244264
"PTCD2 - mRNA",5.73427754352469,1.12566754471615
