"","Average-normalized count","Variance-normalized count"
"CCNO - mRNA",5.03762059689547,0.59321586881131
"MYC - mRNA",8.7724574484048,0.528276268893981
"CD79A - mRNA",4.09484170671853,0.0441806073906516
"FSTL3 - mRNA",4.47649392568173,0.304128227116716
"VCAN - mRNA",5.39138388326583,0.65343022313622
"CX3CL1 - mRNA",5.92647655090175,0.291667819382964
"ERBB2 - mRNA",5.98200542493173,0.0644574877952018
"FAM124B - mRNA",5.94589907920739,0.647973129144069
"AKT1 - mRNA",8.58630678198202,0.0573394757607093
"KDR - mRNA",7.09344502872242,0.209531562178442
"EGF - mRNA",5.66036613704791,0.563619998694922
"MAGEA12 - mRNA",8.22410254216166,0.042523037169635
"IFNA1 - mRNA",5.33740433794892,0.901597439272256
"TGFB3 - mRNA",4.8349716884609,0.426553880583292
"MFGE8 - mRNA",8.92269645632593,0.257649324689087
"CXCL2 - mRNA",6.94849167005055,0.206773969513621
"CCND2 - mRNA",5.39547596480865,0.474003849504677
"PDZK1IP1 - mRNA",5.16904840893871,0.575778622581509
"JAG2 - mRNA",4.68500961549274,0.397000651081449
"C5 - mRNA",4.76314656480497,0.506879264886608
"CD79B - mRNA",4.75749589049716,0.275393801652351
"CXCR2 - mRNA",5.94457105299711,0.415638969586564
"PSMB10 - mRNA",6.29782045876216,0.156260293451274
"ZEB1 - mRNA",5.61351878022441,0.131803271737132
"ANLN - mRNA",6.29782322283994,0.260641550824325
"TAF3 - mRNA",4.44447489076933,0.3129611321444
"CD276 - mRNA",8.34922327992182,0.0872925461670326
"ICAM1 - mRNA",6.95666821290872,0.989634204956219
"IL16 - mRNA",5.42963870643296,0.401834003545878
"CXCL3 - mRNA",5.89275218420038,0.429828669031231
"PRR5 - mRNA",5.35029467522082,0.362153819105139
"CTSW - mRNA",4.944651163437,0.310672588884895
"CXCR4 - mRNA",7.3093130665324,0.892101534279351
"IFNGR2 - mRNA",7.24192530862206,0.0532444054035401
"CDH11 - mRNA",5.88080087613898,0.42835286884184
"COL6A3 - mRNA",4.32546416664111,0.201472323113642
"GZMK - mRNA",4.58052898607044,0.309467779365136
"IRF2 - mRNA",6.99821048811528,0.0376076510208999
"RPL7A - mRNA",11.1548311288145,0.176437799734847
"GPR160 - mRNA",5.12290655894508,0.687650700839368
"MICA - mRNA",5.90601818684533,0.194998296200154
"TAPBPL - mRNA",5.36090908953503,0.445022327036077
"CXCL14 - mRNA",5.45557979228452,0.354401798302389
"CD14 - mRNA",6.04049432330501,0.106784209102495
"IL18 - mRNA",4.4808262026178,0.206983369903815
"CLEC14A - mRNA",4.6374609305338,0.383212737261253
"HMGB1 - mRNA",6.56158767448769,0.0851752609726164
"KIF2C - mRNA",5.85760528228786,0.140074513299404
"RNLS - mRNA",5.29194006701664,0.377621433920343
"RPTOR - mRNA",5.94140817440141,0.155908489302702
"CD68 - mRNA",7.4729638076505,0.161544919944745
"CCL13 - mRNA",4.61299548170258,0.369161141885125
"CYBB - mRNA",7.4020710283272,0.289859714693371
"PLA2G2A - mRNA",5.05943551974293,0.54150403033016
"FGF13 - mRNA",5.74373927737329,0.84314053492951
"CNTFR - mRNA",4.44982726606896,0.243824639261275
"CD244 - mRNA",4.12233282299089,0.121756045209038
"CSF2RB - mRNA",5.07580145937067,0.591077166524838
"MAP3K7 - mRNA",8.08570186192359,0.0124238623787018
"FASLG - mRNA",4.04980816494222,0.0349858309475841
"CD209 - mRNA",5.17894123121235,0.413758291137183
