"","20201209_30102534211221-01_P0094 D3 27 nmc2 30_12.RCC","20201209_30102534211221-01_P0094 D3 18 nmc2 30_03.RCC","20201209_30102534211221-01_P0094 D3 23 PD1 250_08.RCC","20201208_30102534591221-01_P0094 D3 8 nmc2 100_05.RCC","20201208_30102534591221-01_P0094 D3 9 nmc2 30_06.RCC","20201209_30102534211221-01_P0094 D3 17 nmc2 100_02.RCC","20201209_30102534211221-01_P0094 D3 16 IFN_01.RCC","20201209_30102534211221-01_P0094 D3 26 nmc2 100_11.RCC","20201204_30102534581221-01_P0094 D0 1_07.RCC","20201204_30102534581221-01_P0094 D0 2 _08.RCC","20201204_30102534581221-01_P0094 D0 3_09.RCC","20201209_30102534211221-01_P0094 D3 19 IgG 250_04.RCC","20201208_30102534591221-01_P0094 D3 14 PD1 250_11.RCC","20201209_30102534211221-01_P0094 D3 25 IFN_10.RCC","20201208_30102534591221-01_P0094 D3 10 IgG 250_07.RCC","20201204_30102534581221-01_P0094 IgG 250 D3 1_10.RCC","20201208_30102534591221-01_P0094 D3 7 IFN_04.RCC"
"CLEC14A - mRNA",3.92780564260213,3.88452124220172,5.80054714050218,5.36909435016125,5.48673818180682,5.24053632698951,4.27467830509831,5.30354219070007,3.84415422471054,4.00208634093009,4.10960812001167,4.51264294477764,4.84739215033612,4.72496425836294,4.44273268114378,4.72500451790874,4.34078720083113
"C5AR1 - mRNA",3.92780564260213,3.88452124220172,5.71127972530302,4.29870515840826,5.08338273666273,5.54539086672292,4.27467830509831,4.38219183199292,3.84415422471054,3.75774548029958,4.10960812001167,4.51264294477764,4.28387185478812,4.35573052598063,3.8901915961972,4.33798141158456,4.20752065389072
"LAIR1 - mRNA",3.92780564260213,3.88452124220172,5.2010850230236,5.06423984871425,3.93943675951073,5.54539086672292,4.27467830509831,4.38219183199292,3.84415422471054,3.83216139576162,4.46181213328202,3.94271801654841,5.0108908557719,4.57812284665382,3.85032798039789,4.23441678277783,4.38260742738143
"MX1 - mRNA",3.92780564260213,3.88452124220172,4.68025283926029,4.83475803084301,4.45111448924894,3.79098780053728,5.4737445131578,5.30354219070007,3.84415422471054,4.47601759769149,5.13988401384381,4.56709070071005,4.28387185478812,4.85823090795938,5.19275440303362,4.39242905557595,4.77688646422479
"CPA3 - mRNA",3.92780564260213,3.88452124220172,4.54900834885453,4.731664476089,4.82962598566383,3.79098780053728,5.8363144987552,4.38219183199292,3.84415422471054,3.75774548029958,4.10960812001167,3.94271801654841,4.52546405544876,4.52565554308167,4.23122847818512,4.23441678277783,4.09456275091373
"STK11IP - mRNA",3.92780564260213,3.88452124220172,5.6161226399582,5.26217916772614,4.37711375159312,3.79098780053728,5.4737445131578,4.38219183199292,3.84415422471054,3.75774548029958,4.30980911985455,4.85659733450365,4.66296755641934,4.81516213180624,4.30522914412574,4.92294393608456,4.53872662043157
"OLR1 - mRNA",3.92780564260213,5.45947840710184,4.16255817824579,4.6772167985786,4.88407378659805,3.79098780053728,4.27467830509831,5.5989981811102,3.84415422471054,3.91962420721993,4.59931565108024,4.06013076003879,4.66296755641934,4.2110489614867,3.85032798039789,4.23441678277783,4.09456275091373
"CXCL12 - mRNA",3.92780564260213,5.29901374069462,5.2010850230236,4.14670197536785,4.37711375159312,3.79098780053728,4.27467830509831,4.38219183199292,4.85413152948008,4.15408955142472,4.10960812001167,3.94271801654841,4.28387185478812,4.57812284665382,3.85032798039789,4.23441678277783,4.09456275091373
"IL21R - mRNA",3.92780564260213,5.11844146085098,4.32661586588887,4.0231318395412,3.93943675951073,3.79098780053728,4.27467830509831,4.38219183199292,3.84415422471054,3.75774548029958,4.10960812001167,3.94271801654841,4.66296755641934,4.57812284665382,3.85032798039789,4.23441678277783,4.09456275091373
"PRKX - mRNA",3.92780564260213,3.88452124220172,4.16255817824579,4.0231318395412,3.93943675951073,3.79098780053728,4.27467830509831,4.38219183199292,4.76666872564051,3.75774548029958,4.10960812001167,3.94271801654841,4.28387185478812,4.2110489614867,3.8901915961972,4.23441678277783,4.09456275091373
"VSIR - mRNA",3.92780564260213,3.88452124220172,4.16255817824579,4.0231318395412,4.12918631191633,3.79098780053728,4.27467830509831,4.38219183199292,4.85413152948008,4.73905207915731,4.10960812001167,3.94271801654841,4.28387185478812,4.2110489614867,3.85032798039789,4.23441678277783,4.09456275091373
"HLA-DQB1 - mRNA",3.92780564260213,3.88452124220172,4.16255817824579,4.0231318395412,4.21664925501079,3.79098780053728,4.27467830509831,4.38219183199292,4.85413152948008,4.53260110611095,4.10960812001167,3.94271801654841,4.28387185478812,4.2110489614867,3.8901915961972,4.23441678277783,4.09456275091373
"CD244 - mRNA",3.92780564260213,3.88452124220172,4.16255817824579,4.0231318395412,3.93943675951073,3.79098780053728,4.27467830509831,5.30354219070007,3.84415422471054,4.00208634093009,4.30980911985455,3.94271801654841,4.28387185478812,4.2110489614867,3.85032798039789,4.23441678277783,4.09456275091373
"TCL1A - mRNA",3.92780564260213,3.88452124220172,4.16255817824579,4.0231318395412,4.2991112858769,3.79098780053728,4.27467830509831,5.23642798266487,3.84415422471054,3.75774548029958,4.10960812001167,3.94271801654841,4.28387185478812,4.2110489614867,3.85032798039789,4.23441678277783,4.09456275091373
"KLRB1 - mRNA",3.92780564260213,3.88452124220172,4.16255817824579,4.0231318395412,3.93943675951073,3.79098780053728,4.27467830509831,4.38219183199292,3.84415422471054,4.08008899983569,4.10960812001167,3.94271801654841,4.28387185478812,4.2110489614867,3.85032798039789,4.23441678277783,4.09456275091373
