"","20201204_30102534581221-01_P0094 D0 2 _08.RCC","20201204_30102534581221-01_P0094 D0 3_09.RCC","20201209_30102534211221-01_P0094 D3 17 nmc2 100_02.RCC","20201209_30102534211221-01_P0094 D3 18 nmc2 30_03.RCC","20201208_30102534591221-01_P0094 D3 9 nmc2 30_06.RCC","20201208_30102534591221-01_P0094 D3 10 IgG 250_07.RCC","20201209_30102534211221-01_P0094 D3 16 IFN_01.RCC","20201209_30102534211221-01_P0094 D3 26 nmc2 100_11.RCC","20201209_30102534211221-01_P0094 D3 27 nmc2 30_12.RCC","20201208_30102534591221-01_P0094 D3 14 PD1 250_11.RCC","20201209_30102534211221-01_P0094 D3 23 PD1 250_08.RCC","20201208_30102534591221-01_P0094 D3 8 nmc2 100_05.RCC","20201204_30102534581221-01_P0094 IgG 250 D3 1_10.RCC","20201209_30102534211221-01_P0094 D3 19 IgG 250_04.RCC","20201209_30102534211221-01_P0094 D3 25 IFN_10.RCC","20201204_30102534581221-01_P0094 D0 1_07.RCC","20201208_30102534591221-01_P0094 D3 7 IFN_04.RCC"
"POS_A(128) - mRNA",41182,39572,36730,36161,35066,37358,44688,41458,41598,46154,44943,41854,40277,42230,41644,30908,37799
"POS_B(32) - mRNA",15098,14499,13090,13596,12662,13407,15608,14582,14054,16293,16264,14599,14521,15248,14718,11363,13288
"SPP1 - mRNA",16560,11472,565,452,1402,1539,439,670,251,1476,1003,1357,1541,1447,1680,7310,2250
"RPL23 - mRNA",13092,9037,1563,1372,4013,4447,1373,1740,585,3629,2934,4116,5308,4264,4932,5730,7276
"B2M - mRNA",13110,10301,1436,1010,3114,2912,948,1404,411,2545,2152,3235,3802,3415,2852,6407,5142
"UBB - mRNA",11472,8660,1177,1033,3116,3360,1031,1242,456,2410,2137,2825,3857,3638,3637,5264,5347
"HLA-E - mRNA",3542,3004,344,244,639,664,312,359,140,680,451,698,778,722,691,1878,1111
"APOE - mRNA",2393,1878,138,107,364,433,136,195,62,370,292,384,485,456,428,1123,699
"MLANA - mRNA",2316,1826,203,159,401,624,200,224,79,369,347,485,815,693,687,1113,1010
"LDHA - mRNA",3368,2402,601,473,1292,1657,493,671,249,1469,956,1489,1754,1782,1612,1512,2218
"ALDOA - mRNA",3276,2440,564,463,961,1380,517,609,269,1180,689,1076,1512,1404,1578,1548,2045
"GLUL - mRNA",2652,1911,356,318,880,855,296,421,158,837,656,882,1009,855,936,1196,1529
"IFI16 - mRNA",2628,2067,306,245,597,837,276,428,131,859,532,803,1064,955,976,1205,1284
"A2M - mRNA",2420,1946,271,178,575,1025,311,460,108,804,443,597,1431,1103,966,1190,2098
"LDHB - mRNA",2266,1679,329,265,736,1223,402,426,162,753,665,879,1473,1296,1264,993,1972
"CXCL10 - mRNA",1149,1059,36,23,102,61,41,38,15,57,52,80,52,82,88,630,63
"DUSP1 - mRNA",1450,1232,61,69,135,102,71,69,38,117,114,142,162,117,111,743,220
"VEGFA - mRNA",1159,799,95,80,149,171,95,105,55,248,161,186,225,187,202,513,293
"FLNB - mRNA",1089,698,75,70,168,166,80,92,41,183,155,156,254,153,193,493,276
"EGR1 - mRNA",1338,962,64,73,292,154,70,137,46,198,121,195,190,252,202,659,370
"TAP1 - mRNA",1133,1021,102,68,258,171,69,122,43,129,160,195,228,224,190,579,271
"IFITM1 - mRNA",1237,962,97,110,194,197,96,133,53,209,198,217,230,212,202,606,294
"MYC - mRNA",1255,1029,137,111,305,386,188,175,55,282,251,425,648,512,572,623,874
"MFGE8 - mRNA",1091,916,227,159,380,501,161,220,81,411,314,389,608,523,573,510,831
"IFI27 - mRNA",1498,1205,234,209,507,483,129,219,97,428,407,532,552,472,542,746,726
"STAT1 - mRNA",1632,1467,233,182,504,347,158,236,104,329,328,453,524,424,374,879,634
"ATF3 - mRNA",1620,1058,133,134,352,228,96,145,64,290,214,383,411,245,256,685,551
"NFKBIA - mRNA",1343,1258,123,116,373,319,130,205,86,325,407,372,509,503,432,710,659
"SGK1 - mRNA",1360,1144,110,147,301,319,152,193,92,232,273,380,548,455,448,638,791
"CSF1 - mRNA",121,105,37,54,91,60,36,43,30,68,88,68,65,80,71,53,89
"MKI67 - mRNA",114,89,25,37,44,48,36,26,17,30,67,50,90,52,79,55,113
"MXI1 - mRNA",103,75,29,24,50,69,27,33,15,50,58,64,75,54,72,49,74
"KIF2C - mRNA",98,77,19,28,50,43,38,35,16,39,56,43,67,51,54,49,101
"TMEM140 - mRNA",82,88,32,36,46,42,29,47,22,41,69,53,56,57,73,37,93
"MELK - mRNA",80,80,29,21,33,72,48,34,27,50,44,60,100,69,70,57,132
"IL6R - mRNA",103,76,35,21,41,78,39,49,26,52,56,53,106,103,103,47,122
"RELB - mRNA",108,71,38,17,72,88,34,42,33,98,49,53,87,84,66,44,101
"IRF3 - mRNA",116,91,48,27,77,85,29,48,25,74,59,62,94,83,94,57,117
"CASP8 - mRNA",118,93,41,28,48,82,23,48,15,80,65,73,85,104,82,62,106
"ITGA4 - mRNA",87,58,39,19,62,36,27,37,10,61,29,74,111,53,44,40,112
"TYMP - mRNA",89,93,44,38,78,52,33,41,23,96,70,99,73,74,60,65,117
"CSF1R - mRNA",85,65,27,27,60,56,39,62,21,65,44,67,78,66,55,58,114
"SBNO2 - mRNA",100,63,40,36,54,54,33,43,19,68,55,62,78,78,69,46,106
"HLA-DQA1 - mRNA",109,92,44,27,76,41,28,33,21,45,56,77,57,58,54,59,108
"CD96 - mRNA",88,75,32,28,73,57,38,39,28,56,73,90,64,66,71,52,124
"VCAN - mRNA",54,52,24,7,17,68,27,23,6,41,17,46,64,70,71,40,139
"PC - mRNA",34,30,22,28,36,53,25,23,20,34,58,48,78,58,58,14,58
"PIK3R2 - mRNA",52,47,36,25,41,60,24,37,24,42,56,50,70,60,49,20,92
"AXIN1 - mRNA",53,45,25,32,58,60,27,35,23,38,58,56,68,60,58,27,83
"HDAC5 - mRNA",61,48,25,11,31,48,29,31,14,41,24,36,58,50,56,31,64
"FANCA - mRNA",49,46,19,11,14,51,21,29,13,27,35,29,57,56,46,30,54
"BRCA1 - mRNA",77,57,25,23,31,45,47,22,24,40,39,26,57,46,58,44,74
"GUSB - mRNA",76,48,28,18,30,34,34,30,14,42,34,29,46,56,50,40,68
"HDAC4 - mRNA",54,32,25,21,25,48,32,31,22,42,30,38,51,60,38,40,77
"ZEB1 - mRNA",57,43,26,25,46,43,24,28,24,36,45,38,43,40,51,42,77
"ITGA1 - mRNA",52,38,21,21,38,38,34,31,21,50,37,50,48,36,45,26,75
"KIT - mRNA",100,72,25,7,10,33,33,17,15,24,23,15,67,54,51,50,78
"CXCL13 - mRNA",109,100,29,15,24,21,25,25,8,21,38,29,40,28,28,52,49
"UBA7 - mRNA",98,93,19,22,34,42,25,31,26,53,48,38,68,51,48,51,53
"TLR3 - mRNA",96,80,38,11,49,48,26,22,16,34,28,43,45,45,43,42,61
"MB21D1 - mRNA",100,64,25,14,27,37,34,32,19,33,25,33,40,45,50,33,50
"CDC20 - mRNA",75,55,30,37,42,39,34,30,25,40,88,46,61,52,64,37,70
"OAS3 - mRNA",60,67,25,50,56,57,41,40,39,43,82,61,58,63,69,46,71
"ENTPD1 - mRNA",60,67,34,36,63,50,34,51,30,38,74,61,70,45,58,37,64
"FCGR2A - mRNA",58,57,36,43,57,38,37,42,25,52,85,67,58,43,54,41,65
"HDAC11 - mRNA",55,39,31,53,38,39,22,33,19,44,81,60,59,53,61,21,94
"ISG15 - mRNA",61,54,36,43,56,44,34,29,23,50,63,50,41,59,47,34,87
"PPARGC1B - mRNA",46,48,40,44,41,53,42,34,22,52,74,65,45,55,62,34,67
"FADD - mRNA",42,43,30,27,49,43,32,28,17,43,57,56,49,52,65,26,81
"OAS1 - mRNA",44,54,21,31,82,53,19,28,22,46,71,52,80,35,68,41,72
