"cell type scores - log2"
"","Cytotoxic cells","Macrophages","Exhausted CD8","B-cells","CD45","Neutrophils","T-cells","NK CD56dim cells","Mast cells","NK cells"
"20201204_30102534581221-01_P0094 D0 1_07.RCC",6.08859675692957,7.1552963692847,6.05207098255302,5.54364100517803,5.89595166384472,5.4365937054908,5.15241342788824,4.25885679417922,5.01459618329611,5.5740236174132
"20201204_30102534581221-01_P0094 D0 2 _08.RCC",5.71480446057492,6.99294928836134,5.66505144369066,4.70724545726814,5.56008183312413,5.43749714552601,5.1132825773235,4.72284128751604,4.29159302360736,5.38675032718047
"20201204_30102534581221-01_P0094 D0 3_09.RCC",5.38781158974131,6.71412235587326,5.72484666459793,4.94780828150871,5.56614895600781,5.55474546277336,4.5978238114447,4.66208117147844,4.10960812001167,5.66344604284175
"20201204_30102534581221-01_P0094 IgG 250 D3 1_10.RCC",5.61482148672589,6.20258557874246,5.44489647792346,5.62000361842352,6.16110357816394,6.18342464214256,5.37743173918476,6.22484845264561,5.49552264921295,5.99509360410611
"20201208_30102534591221-01_P0094 D3 7 IFN_04.RCC",5.8079133172979,6.40969502971918,5.27569216494178,5.54392542174697,5.88268102352984,6.01657401945435,5.36547602339822,6.45028778560468,5.38260739279957,5.85323730966582
"20201208_30102534591221-01_P0094 D3 8 nmc2 100_05.RCC",6.08530144486898,6.79042997935481,5.85941998739401,6.22350890036232,6.54663262169559,6.61658233844839,6.2783583566564,7.1830619614038,6.0428661959909,6.0428661959909
"20201208_30102534591221-01_P0094 D3 9 nmc2 30_06.RCC",6.05992367245576,6.9817865053183,5.98716735537387,6.42889321122146,6.62103939542119,6.51966122232604,6.40190989825937,7.42623191647062,5.9620763680269,6.23771077944823
"20201208_30102534591221-01_P0094 D3 10 IgG 250_07.RCC",5.30522918061302,6.29797930482369,5.47515416178462,5.54312775786162,5.79065593480871,6.05690351721154,5.46619315143342,6.20256703196675,5.02769513763793,5.76466074949494
"20201208_30102534591221-01_P0094 D3 14 PD1 250_11.RCC",5.33281904909862,6.47020088555329,5.37346098984514,5.65982982250782,6.45146355313326,6.02320632156422,5.65359201388183,6.3236335218381,4.95842358337107,5.52546405544876
"20201209_30102534211221-01_P0094 D3 16 IFN_01.RCC",5.8363144987552,6.84663016520528,5.4737445131578,6.38543500111441,6.80934746592405,6.7065762665875,5.75135199014328,6.84663020231266,5.54085866917313,5.8363144987552
"20201209_30102534211221-01_P0094 D3 17 nmc2 100_02.RCC",5.61250510611104,6.95256485890961,5.90796099072935,6.57601818273997,6.4384757554823,6.28176742298577,6.08361692962755,6.76114324216054,5.61250510611104,6.15307340822532
"20201209_30102534211221-01_P0094 D3 18 nmc2 30_03.RCC",6.29901372237221,6.75594500631018,6.29901372237221,6.81110895224644,6.79651338413333,7.05260926761714,6.45144101706265,7.55829432689453,7.23391862396142,6.53347898608656
"20201209_30102534211221-01_P0094 D3 19 IgG 250_04.RCC",4.89966593776427,5.73807769406029,5.36679201914597,5.27889618741555,5.42691298304228,5.98546002516269,4.5581297421468,5.94178063354279,5.13413126148162,5.51264294477764
"20201209_30102534211221-01_P0094 D3 23 PD1 250_08.RCC",6.30643806294079,6.84353141454877,5.9895809013168,6.75058422327911,6.5996344644274,7.01894786787914,6.48311336648883,7.85766398532249,6.44209305012385,6.36614421841593
"20201209_30102534211221-01_P0094 D3 25 IFN_10.RCC",5.55212766447634,6.53450654132269,5.79313571904068,5.75928764265706,6.19703276357453,6.32331302837402,5.53254896786436,6.80515715785528,5.85823090795938,6.26262107461296
"20201209_30102534211221-01_P0094 D3 26 nmc2 100_11.RCC",5.3676725741793,6.99657145084839,6.45882047507323,6.19547576763296,6.72675367281422,6.29303331884744,5.96390986738579,6.94179670245672,5.5989981811102,5.75100123586055
"20201209_30102534211221-01_P0094 D3 27 nmc2 30_12.RCC",6.65806926314974,7.15806925957836,7.16708288978846,7.09708938117126,7.08691254970888,7.14623478678756,6.5312320355217,7.33507329876891,7.00202350419613,7.04509238962028
