"cell type scores - log2"
"","Total.TILs","B.cells.vs..TILs","Cytotoxic.cells.vs..TILs","Exhausted.CD8.vs..TILs","Macrophages.vs..TILs","Mast.cells.vs..TILs","Neutrophils.vs..TILs","NK.CD56dim.cells.vs..TILs","NK.cells.vs..TILs","T.cells.vs..TILs"
"20201204_30102534581221-01_P0094 D0 1_07.RCC",5.96717984462505,-0.423538839447022,0.121416912304515,0.0848911379279698,1.18811652465965,-0.952583661328944,-0.530586139134248,-1.70832305044583,-0.393156227211847,-0.814766416736811
"20201204_30102534581221-01_P0094 D0 2 _08.RCC",5.61767272333041,-0.910427266062268,0.0971317372445111,0.0473787203602527,1.37527656503094,-1.32607969972305,-0.180175577804392,-0.894831435814368,-0.230922396149935,-0.504390146006907
"20201204_30102534581221-01_P0094 D0 3_09.RCC",5.44274299891516,-0.49493471740645,-0.0549314091738458,0.282103665682773,1.2713793569581,-1.33313487890349,0.112002463858197,-0.780661827436714,0.220703043926596,-0.844919187470458
"20201204_30102534581221-01_P0094 IgG 250 D3 1_10.RCC",5.79518920024812,-0.175185581824596,-0.180367713522225,-0.350292722324658,0.407396378494349,-0.299666551035169,0.388235441894445,0.42965925239749,0.199904403857992,-0.417757461063353
"20201208_30102534591221-01_P0094 D3 7 IFN_04.RCC",5.80193816313842,-0.258012741391449,0.0059751541594788,-0.526245998196645,0.607756866580755,-0.41933077033885,0.214635856315923,0.648349622466258,0.0512991465273922,-0.436462139740199
"20201208_30102534591221-01_P0094 D3 8 nmc2 100_05.RCC",6.38484626058762,-0.161337360225299,-0.299544815718641,-0.525426273193611,0.405583718767188,-0.34198006459672,0.231736077860767,0.798215700816175,-0.34198006459672,-0.106487903931219
"20201208_30102534591221-01_P0094 D3 9 nmc2 30_06.RCC",6.49871053653522,-0.0698173253137586,-0.438786864079454,-0.511543181161343,0.483075968783086,-0.536634168508318,0.0209506857908186,0.927521379935408,-0.260999757086988,-0.0968006382758473
"20201208_30102534591221-01_P0094 D3 10 IgG 250_07.RCC",5.68063706590809,-0.137509308046469,-0.375407885295074,-0.20548290412347,0.617342238915599,-0.652941928270159,0.376266451303452,0.521929966058657,0.0840236835868478,-0.214443914474673
"20201208_30102534591221-01_P0094 D3 14 PD1 250_11.RCC",5.91358106483496,-0.253751242327147,-0.580762015736346,-0.540120074989823,0.556619820718329,-0.955157481463892,0.109625256729253,0.410052457003136,-0.388117009386206,-0.259989050953135
"20201209_30102534211221-01_P0094 D3 16 IFN_01.RCC",6.32581582422844,0.059619176885964,-0.489501325473247,-0.85207131107064,0.520814340976842,-0.784957155055315,0.380760442359058,0.52081437808422,-0.489501325473246,-0.574463834085162
"20201209_30102534211221-01_P0094 D3 17 nmc2 100_02.RCC",6.3326361665741,0.243382016165877,-0.720131060463053,-0.424675175844741,0.619928692335517,-0.720131060463053,-0.0508687435883231,0.428507075586442,-0.179562758348774,-0.249019236946548
"20201209_30102534211221-01_P0094 D3 18 nmc2 30_03.RCC",6.62280441642497,0.188304535821477,-0.323790694052751,-0.323790694052752,0.133140589885219,0.611114207536459,0.42980485119217,0.935489910469562,-0.0893254303384055,-0.171363399362311
"20201209_30102534211221-01_P0094 D3 19 IgG 250_04.RCC",5.18033650888584,0.0985596785297121,-0.280670571121572,0.186455510260129,0.557741185174452,-0.0462052474042238,0.805123516276855,0.761444124656954,0.332306435891799,-0.622206766739037
"20201209_30102534211221-01_P0094 D3 23 PD1 250_08.RCC",6.59666030633698,0.153923916942132,-0.290222243396189,-0.60707940502018,0.246871108211788,-0.15456725621313,0.422287561542157,1.26100367898551,-0.23051608792105,-0.11354693984815
"20201209_30102534211221-01_P0094 D3 25 IFN_10.RCC",5.915100715979,-0.15581307332194,-0.362973051502651,-0.121964996938313,0.619405825343698,-0.0568698080196128,0.408212312395021,0.890056441876283,0.347520358633964,-0.382551748114638
"20201209_30102534211221-01_P0094 D3 26 nmc2 100_11.RCC",6.25007666657213,-0.0546008989391731,-0.882404092392831,0.208743808501092,0.746494784276254,-0.651078485461928,0.0429566522753073,0.691720035884583,-0.499075430711579,-0.286166799186338
"20201209_30102534211221-01_P0094 D3 27 nmc2 30_12.RCC",6.90627449782599,0.190814883345274,-0.248205234676251,0.260808391962473,0.25179476175237,0.0957490063701476,0.239960288961573,0.428798800942926,0.138817891794295,-0.375042462304287
