"","Log2 fold change","std error (log2)","Lower confidence limit (log2)","Upper confidence limit (log2)","Linear fold change","Lower confidence limit (linear)","Upper confidence limit (linear)","P-value","BY.p.value","method","probe.ID"
"ATF3-mRNA",-3.33,0.334,-3.98,-2.67,0.0997,0.0633,0.157,2.37e-10,2e-07,"lm.nb","NM_001674.3:1487"
"NFKBIA-mRNA",-5,0.678,-6.33,-3.67,0.0313,0.0125,0.0787,7.94e-08,3.36e-05,"lm.nb","NM_020529.2:1361"
"CXCL14-mRNA",-2.62,0.371,-3.35,-1.89,0.163,0.0982,0.269,1.65e-07,4.48e-05,"lm.nb","NM_004887.4:990"
"SGK1-mRNA",-2.25,0.322,-2.88,-1.62,0.211,0.136,0.326,2.12e-07,4.48e-05,"lm.nb","NM_005627.3:1621"
"EGR1-mRNA",-2.54,0.39,-3.31,-1.78,0.172,0.101,0.292,6.57e-07,0.000111,"lm.nb","NM_001964.2:2034"
"DUSP1-mRNA",-4.77,0.755,-6.25,-3.29,0.0367,0.0132,0.102,1.09e-06,0.000153,"lm.nb","NM_004417.3:1428"
"THBS1-mRNA",-4.51,0.777,-6.03,-2.98,0.044,0.0153,0.126,4.12e-06,0.000497,"lm.nb","NM_003246.2:3816"
"TGFB1-mRNA",-2.14,0.403,-2.93,-1.36,0.226,0.131,0.391,1.43e-05,0.00151,"lm.nb","NM_000660.4:1473"
"CEBPB-mRNA",-2.01,0.39,-2.78,-1.25,0.247,0.146,0.421,2.2e-05,0.00207,"lm.nb","NM_005194.3:1731"
"VCAM1-mRNA",-3.39,0.692,-4.75,-2.04,0.0951,0.0371,0.244,4.32e-05,0.00366,"lm.nb","NM_001078.3:2535"
"HLA-DRB1-mRNA",-2.85,0.613,-4.06,-1.65,0.138,0.0601,0.318,8.33e-05,0.0064,"lm.nb","NM_002124.3:1016"
"VEGFA-mRNA",-1.61,0.353,-2.3,-0.92,0.327,0.202,0.528,0.000105,0.00702,"lm.nb","NM_001171623.1:2212"
"HLA-DPB1-mRNA",-3.33,0.731,-4.76,-1.9,0.0993,0.0368,0.268,0.000108,0.00702,"lm.nb","NM_002121.5:987"
"CD74-mRNA",-2.36,0.535,-3.41,-1.31,0.195,0.0941,0.403,0.000159,0.00959,"lm.nb","NM_001025159.2:1161"
"FAM124B-mRNA",1.57,0.362,0.856,2.28,2.96,1.81,4.84,2e-04,0.0113,"lm.nb","NM_001122779.1:1620"
"ITGAV-mRNA",-2.75,0.659,-4.04,-1.45,0.149,0.0608,0.365,0.000303,0.0155,"lm.nb","NM_001144999.2:2701"
"HLA-DPA1-mRNA",-3.64,0.879,-5.37,-1.92,0.08,0.0242,0.264,0.000322,0.0155,"lm.nb","NM_033554.2:857"
"CCL3/L1-mRNA",-3.91,0.946,-5.76,-2.05,0.0666,0.0184,0.241,0.000331,0.0155,"lm.nb","NM_021006.5:411"
"HLA-DRA-mRNA",-3.1,0.779,-4.63,-1.58,0.116,0.0404,0.335,0.000488,0.0209,"lm.nb","NM_019111.3:335"
"CCL4-mRNA",-2.71,0.686,-4.06,-1.37,0.153,0.0601,0.387,0.000526,0.0209,"lm.nb","NM_002984.2:35"
"CXCR4-mRNA",-3.28,0.83,-4.91,-1.65,0.103,0.0334,0.318,0.000528,0.0209,"lm.nb","NM_001008540.1:1060"
"SERPINA1-mRNA",-3.84,0.973,-5.74,-1.93,0.07,0.0187,0.263,0.000543,0.0209,"lm.nb","NM_001127702.1:963"
"PPARGC1B-mRNA",1.42,0.381,0.67,2.17,2.67,1.59,4.49,0.000973,0.0344,"lm.nb","NM_001172699.1:1010"
"CTNNB1-mRNA",-2.33,0.627,-3.55,-1.1,0.199,0.0851,0.468,0.000996,0.0344,"lm.nb","NM_001098209.1:1938"
"CXCL2-mRNA",-3.87,1.04,-5.91,-1.82,0.0686,0.0166,0.284,0.00102,0.0344,"lm.nb","NM_002089.1:435"
"CXCR2-mRNA",1.2,0.335,0.54,1.85,2.29,1.45,3.61,0.00141,0.0459,"lm.nb","NM_001557.3:409"
"IRF1-mRNA",-1.28,0.365,-2,-0.568,0.411,0.25,0.675,0.00163,0.0509,"lm.nb","NM_002198.2:557"
"NRAS-mRNA",-1.34,0.386,-2.1,-0.588,0.394,0.233,0.665,0.00177,0.0533,"lm.nb","NM_002524.4:2168"
"CYBB-mRNA",-2.87,0.828,-4.49,-1.25,0.137,0.0444,0.422,0.00186,0.0541,"lm.nb","NM_000397.3:1034"
"BCL2L1-mRNA",-1.03,0.307,-1.63,-0.429,0.489,0.322,0.743,0.00244,0.0687,"lm.nb","NM_001191.3:1421"
"CDKN1A-mRNA",-0.926,0.279,-1.47,-0.379,0.526,0.36,0.769,0.00268,0.073,"lm.nb","NM_000389.2:1975"
"MS4A1-mRNA",1.34,0.412,0.535,2.15,2.53,1.45,4.44,0.00312,0.0814,"lm.nb","NM_021950.3:161"
"IFNGR2-mRNA",-2.59,0.797,-4.15,-1.03,0.166,0.0562,0.49,0.00318,0.0814,"lm.nb","NM_005534.3:1963"
"TREM2-mRNA",-1.6,0.506,-2.6,-0.613,0.329,0.165,0.654,0.00386,0.0959,"lm.nb","NM_018965.3:848"
"APOE-mRNA",-2.08,0.665,-3.39,-0.778,0.236,0.0957,0.583,0.00428,0.103,"lm.nb","NM_000041.2:96"
"DUSP5-mRNA",-2.11,0.688,-3.46,-0.766,0.231,0.0907,0.588,0.00493,0.113,"lm.nb","NM_004419.3:675"
"HIF1A-mRNA",-2.52,0.822,-4.13,-0.914,0.174,0.0569,0.531,0.00494,0.113,"lm.nb","NM_181054.2:930"
