"","Log2 fold change","std error (log2)","Lower confidence limit (log2)","Upper confidence limit (log2)","Linear fold change","Lower confidence limit (linear)","Upper confidence limit (linear)","P-value","BY.p.value","method","probe.ID"
"ATF3-mRNA",-3.8,0.343,-4.47,-3.13,0.0719,0.0451,0.114,2.36e-11,1.99e-08,"lm.nb","NM_001674.3:1487"
"EGR1-mRNA",-3,0.394,-3.77,-2.23,0.125,0.0732,0.213,4.32e-08,1.34e-05,"lm.nb","NM_001964.2:2034"
"CD74-mRNA",-4.09,0.539,-5.14,-3.03,0.0589,0.0283,0.122,4.76e-08,1.34e-05,"lm.nb","NM_001025159.2:1161"
"CXCL14-mRNA",-2.76,0.373,-3.49,-2.02,0.148,0.0892,0.246,7.62e-08,1.61e-05,"lm.nb","NM_004887.4:990"
"SGK1-mRNA",-2.35,0.324,-2.98,-1.71,0.196,0.126,0.305,1.06e-07,1.8e-05,"lm.nb","NM_005627.3:1621"
"IRF1-mRNA",-2.71,0.385,-3.46,-1.95,0.153,0.0907,0.258,1.81e-07,2.54e-05,"lm.nb","NM_002198.2:557"
"HLA-DPB1-mRNA",-4.93,0.741,-6.38,-3.47,0.0329,0.012,0.09,4.72e-07,5.69e-05,"lm.nb","NM_002121.5:987"
"NFKBIA-mRNA",-4.4,0.672,-5.71,-3.08,0.0475,0.0191,0.118,6.18e-07,6.24e-05,"lm.nb","NM_020529.2:1361"
"HLA-DPA1-mRNA",-5.81,0.892,-7.56,-4.06,0.0178,0.0053,0.0599,6.65e-07,6.24e-05,"lm.nb","NM_033554.2:857"
"HLA-DRA-mRNA",-4.94,0.783,-6.47,-3.41,0.0326,0.0113,0.0944,1.11e-06,9.4e-05,"lm.nb","NM_019111.3:335"
"DUSP1-mRNA",-4.37,0.753,-5.85,-2.9,0.0482,0.0173,0.134,4.06e-06,0.000312,"lm.nb","NM_004417.3:1428"
"HLA-DRB1-mRNA",-2.98,0.614,-4.18,-1.77,0.127,0.0552,0.293,5.01e-05,0.00353,"lm.nb","NM_002124.3:1016"
"TGFB1-mRNA",-1.9,0.399,-2.68,-1.12,0.268,0.156,0.461,6.31e-05,0.0041,"lm.nb","NM_000660.4:1473"
"CEBPB-mRNA",-1.78,0.388,-2.54,-1.02,0.29,0.171,0.492,9.64e-05,0.00582,"lm.nb","NM_005194.3:1731"
"GBP2-mRNA",-2.6,0.577,-3.73,-1.47,0.165,0.0754,0.362,0.000126,0.00702,"lm.nb","NM_004120.4:1744"
"HLA-E-mRNA",-3.07,0.687,-4.42,-1.72,0.119,0.0468,0.303,0.000136,0.00702,"lm.nb","NM_005516.5:1287"
"CDKN1A-mRNA",-1.26,0.283,-1.82,-0.707,0.417,0.284,0.613,0.000141,0.00702,"lm.nb","NM_000389.2:1975"
"THBS1-mRNA",-3.37,0.765,-4.87,-1.87,0.0967,0.0342,0.273,0.000161,0.00732,"lm.nb","NM_003246.2:3816"
"STAT1-mRNA",-1.44,0.326,-2.08,-0.796,0.37,0.237,0.576,0.000164,0.00732,"lm.nb","NM_007315.3:239"
"APOE-mRNA",-2.91,0.669,-4.22,-1.6,0.133,0.0537,0.331,0.00019,0.00804,"lm.nb","NM_000041.2:96"
"CCL3/L1-mRNA",-3.99,0.947,-5.85,-2.14,0.0629,0.0174,0.228,0.000266,0.0107,"lm.nb","NM_021006.5:411"
"MS4A1-mRNA",1.67,0.407,0.874,2.47,3.19,1.83,5.54,0.000354,0.0136,"lm.nb","NM_021950.3:161"
"CTSS-mRNA",-2.29,0.586,-3.44,-1.14,0.204,0.0921,0.453,0.000598,0.022,"lm.nb","NM_004079.3:685"
"IFITM1-mRNA",-1.82,0.469,-2.74,-0.9,0.283,0.15,0.536,0.000642,0.0226,"lm.nb","NM_003641.3:536"
"VCAM1-mRNA",-2.58,0.686,-3.93,-1.24,0.167,0.0656,0.423,0.000857,0.029,"lm.nb","NM_001078.3:2535"
"TNFSF10-mRNA",-2.95,0.816,-4.55,-1.35,0.13,0.0428,0.393,0.00129,0.0418,"lm.nb","NM_003810.3:155"
"PPARGC1B-mRNA",1.32,0.383,0.567,2.07,2.49,1.48,4.19,0.00196,0.0615,"lm.nb","NM_001172699.1:1010"
"CCL4-mRNA",-2.28,0.681,-3.62,-0.945,0.206,0.0816,0.519,0.00249,0.0752,"lm.nb","NM_002984.2:35"
"BCL2L1-mRNA",-1,0.307,-1.61,-0.403,0.498,0.329,0.756,0.003,0.0867,"lm.nb","NM_001191.3:1421"
"CTNNB1-mRNA",-2.03,0.626,-3.25,-0.801,0.245,0.105,0.574,0.00326,0.0867,"lm.nb","NM_001098209.1:1938"
"IFI16-mRNA",-2.36,0.729,-3.79,-0.932,0.195,0.0722,0.524,0.00328,0.0867,"lm.nb","NM_001206567.1:2351"
"ITGB2-mRNA",-1.8,0.556,-2.89,-0.71,0.287,0.135,0.611,0.00328,0.0867,"lm.nb","NM_000211.3:1412"
"TYMP-mRNA",-1.62,0.524,-2.65,-0.592,0.326,0.16,0.663,0.00473,0.121,"lm.nb","NM_001113755.2:645"
"HLA-C-mRNA",-1.74,0.573,-2.87,-0.62,0.299,0.137,0.651,0.00531,0.132,"lm.nb","NM_002117.4:898"
"IL6-mRNA",2.87,0.952,1.01,4.74,7.32,2.01,26.7,0.00565,0.136,"lm.nb","NM_000600.3:484"
"PTGS2-mRNA",1.98,0.661,0.681,3.27,3.93,1.6,9.65,0.00603,0.141,"lm.nb","NM_000963.1:495"
"IER3-mRNA",-2.21,0.755,-3.69,-0.726,0.217,0.0776,0.605,0.00712,0.163,"lm.nb","NM_003897.3:204"
"IFNGR2-mRNA",-2.3,0.794,-3.85,-0.74,0.204,0.0692,0.599,0.00764,0.17,"lm.nb","NM_005534.3:1963"
