"","Log2 fold change","std error (log2)","Lower confidence limit (log2)","Upper confidence limit (log2)","Linear fold change","Lower confidence limit (linear)","Upper confidence limit (linear)","P-value","BY.p.value","method","probe.ID"
"ATF3-mRNA",-3.17,0.283,-3.73,-2.62,0.111,0.0755,0.163,1.83e-11,1.55e-08,"lm.nb","NM_001674.3:1487"
"CD74-mRNA",-4.08,0.465,-4.99,-3.17,0.0591,0.0314,0.111,3.02e-09,1.18e-06,"lm.nb","NM_001025159.2:1161"
"IRF1-mRNA",-2.82,0.327,-3.46,-2.18,0.141,0.0907,0.221,4.2e-09,1.18e-06,"lm.nb","NM_002198.2:557"
"CXCL14-mRNA",-2.55,0.314,-3.16,-1.93,0.171,0.112,0.262,1.38e-08,2.93e-06,"lm.nb","NM_004887.4:990"
"SGK1-mRNA",-2.18,0.274,-2.72,-1.65,0.22,0.152,0.32,1.94e-08,3.29e-06,"lm.nb","NM_005627.3:1621"
"EGR1-mRNA",-2.53,0.335,-3.19,-1.87,0.173,0.11,0.273,5.19e-08,7.31e-06,"lm.nb","NM_001964.2:2034"
"NFKBIA-mRNA",-4.12,0.578,-5.25,-2.99,0.0574,0.0262,0.126,1.4e-07,1.61e-05,"lm.nb","NM_020529.2:1361"
"HLA-DPB1-mRNA",-4.51,0.635,-5.76,-3.27,0.0438,0.0185,0.104,1.52e-07,1.61e-05,"lm.nb","NM_002121.5:987"
"HLA-DRA-mRNA",-4.73,0.676,-6.06,-3.41,0.0377,0.015,0.0944,1.98e-07,1.86e-05,"lm.nb","NM_019111.3:335"
"DUSP1-mRNA",-4.46,0.651,-5.74,-3.18,0.0454,0.0187,0.11,2.86e-07,2.42e-05,"lm.nb","NM_004417.3:1428"
"HLA-DPA1-mRNA",-4.85,0.763,-6.35,-3.36,0.0346,0.0123,0.0977,9.89e-07,7.6e-05,"lm.nb","NM_033554.2:857"
"CEBPB-mRNA",-2.1,0.335,-2.76,-1.45,0.233,0.148,0.367,1.2e-06,8.45e-05,"lm.nb","NM_005194.3:1731"
"HLA-DRB1-mRNA",-3.13,0.53,-4.17,-2.1,0.114,0.0554,0.234,3.09e-06,0.000201,"lm.nb","NM_002124.3:1016"
"VCAM1-mRNA",-3.32,0.595,-4.49,-2.15,0.1,0.0446,0.225,7.43e-06,0.000448,"lm.nb","NM_001078.3:2535"
"GBP2-mRNA",-2.74,0.496,-3.71,-1.77,0.15,0.0763,0.293,8.3e-06,0.000468,"lm.nb","NM_004120.4:1744"
"TGFB1-mRNA",-1.72,0.34,-2.39,-1.06,0.303,0.191,0.48,2.81e-05,0.00148,"lm.nb","NM_000660.4:1473"
"VEGFA-mRNA",-1.51,0.301,-2.1,-0.923,0.35,0.233,0.527,3.11e-05,0.00155,"lm.nb","NM_001171623.1:2212"
"STAT1-mRNA",-1.38,0.279,-1.93,-0.836,0.383,0.262,0.56,3.79e-05,0.00178,"lm.nb","NM_007315.3:239"
"MS4A1-mRNA",1.79,0.363,1.08,2.51,3.47,2.12,5.68,3.99e-05,0.00178,"lm.nb","NM_021950.3:161"
"THBS1-mRNA",-3.17,0.659,-4.46,-1.88,0.111,0.0455,0.273,5.6e-05,0.00237,"lm.nb","NM_003246.2:3816"
"HLA-E-mRNA",-2.77,0.591,-3.92,-1.61,0.147,0.0659,0.328,7.77e-05,0.00313,"lm.nb","NM_005516.5:1287"
"KIR2DL3-mRNA",1.89,0.443,1.02,2.75,3.7,2.03,6.74,0.000236,0.00905,"lm.nb","NM_015868.2:145"
"IFITM1-mRNA",-1.69,0.401,-2.48,-0.903,0.31,0.18,0.535,0.000269,0.0099,"lm.nb","NM_003641.3:536"
"APOE-mRNA",-2.39,0.576,-3.52,-1.27,0.19,0.087,0.416,0.000307,0.0108,"lm.nb","NM_000041.2:96"
"TYMP-mRNA",-1.78,0.452,-2.67,-0.899,0.29,0.157,0.536,0.000534,0.0181,"lm.nb","NM_001113755.2:645"
"CCL3/L1-mRNA",-3.15,0.814,-4.75,-1.56,0.112,0.0372,0.34,0.00065,0.0211,"lm.nb","NM_021006.5:411"
"FAM124B-mRNA",1.21,0.323,0.577,1.84,2.31,1.49,3.59,9e-04,0.0282,"lm.nb","NM_001122779.1:1620"
"CCL4-mRNA",-2.14,0.586,-3.29,-0.988,0.227,0.102,0.504,0.00117,0.0353,"lm.nb","NM_002984.2:35"
"TNFSF10-mRNA",-2.43,0.701,-3.8,-1.05,0.186,0.0718,0.483,0.00188,0.0549,"lm.nb","NM_003810.3:155"
"HLA-C-mRNA",-1.7,0.495,-2.67,-0.73,0.308,0.157,0.603,0.002,0.0564,"lm.nb","NM_002117.4:898"
"CTNNB1-mRNA",-1.85,0.54,-2.91,-0.79,0.278,0.133,0.578,0.00207,0.0564,"lm.nb","NM_001098209.1:1938"
"PTGS2-mRNA",1.94,0.578,0.805,3.07,3.83,1.75,8.4,0.00246,0.065,"lm.nb","NM_000963.1:495"
"CYBB-mRNA",-2.38,0.712,-3.77,-0.982,0.193,0.0732,0.506,0.00255,0.0653,"lm.nb","NM_000397.3:1034"
"CTSS-mRNA",-1.66,0.505,-2.65,-0.666,0.317,0.16,0.63,0.00296,0.0736,"lm.nb","NM_004079.3:685"
"IFI27-mRNA",-2.39,0.744,-3.85,-0.933,0.191,0.0694,0.524,0.00348,0.0832,"lm.nb","NM_005532.3:390"
"IFI16-mRNA",-2,0.626,-3.23,-0.777,0.249,0.107,0.584,0.00358,0.0832,"lm.nb","NM_001206567.1:2351"
"HLA-B-mRNA",-2.46,0.773,-3.98,-0.95,0.181,0.0634,0.517,0.00369,0.0832,"lm.nb","NM_005514.6:1247"
"LILRA1-mRNA",1.15,0.361,0.439,1.85,2.21,1.36,3.61,0.00382,0.0832,"lm.nb","NM_001278318.1:486"
"TREM2-mRNA",-1.37,0.432,-2.22,-0.525,0.386,0.215,0.695,0.00384,0.0832,"lm.nb","NM_018965.3:848"
"IL6-mRNA",2.61,0.828,0.991,4.23,6.12,1.99,18.8,0.00401,0.0847,"lm.nb","NM_000600.3:484"
"ITGB2-mRNA",-1.48,0.477,-2.42,-0.549,0.357,0.187,0.683,0.00449,0.0926,"lm.nb","NM_000211.3:1412"
"NEIL1-mRNA",1.28,0.414,0.471,2.09,2.43,1.39,4.26,0.00461,0.0929,"lm.nb","NM_024608.2:1675"
"GLUL-mRNA",-1.8,0.592,-2.96,-0.643,0.286,0.128,0.64,0.00526,0.102,"lm.nb","NM_002065.6:1485"
"HLA-A-mRNA",-2.01,0.661,-3.3,-0.711,0.249,0.101,0.611,0.00538,0.102,"lm.nb","NM_002116.7:298"
"ULBP2-mRNA",1.19,0.392,0.421,1.96,2.28,1.34,3.89,0.00541,0.102,"lm.nb","NM_025217.2:905"
"PPARGC1B-mRNA",1.02,0.341,0.349,1.69,2.02,1.27,3.22,0.00616,0.113,"lm.nb","NM_001172699.1:1010"
"OASL-mRNA",0.807,0.272,0.274,1.34,1.75,1.21,2.53,0.00639,0.115,"lm.nb","NM_003733.2:1570"
"CXCR4-mRNA",-2.09,0.709,-3.48,-0.7,0.235,0.0896,0.616,0.0067,0.118,"lm.nb","NM_001008540.1:1060"
"TLR2-mRNA",-1.15,0.399,-1.94,-0.373,0.449,0.261,0.772,0.00758,0.131,"lm.nb","NM_001318787.1:484"
"ICAM1-mRNA",-2.16,0.753,-3.63,-0.682,0.224,0.0806,0.623,0.00815,0.137,"lm.nb","NM_000201.2:2253"
"PARP4-mRNA",-0.91,0.318,-1.53,-0.286,0.532,0.345,0.82,0.00827,0.137,"lm.nb","NM_006437.3:1399"
"ARG2-mRNA",0.912,0.328,0.27,1.55,1.88,1.21,2.94,0.00985,0.16,"lm.nb","NM_001172.3:512"
"BCL2L1-mRNA",-0.723,0.261,-1.23,-0.213,0.606,0.425,0.863,0.0101,0.161,"lm.nb","NM_001191.3:1421"
"CCL5-mRNA",-1.14,0.414,-1.95,-0.326,0.455,0.259,0.797,0.0107,0.167,"lm.nb","NM_002985.2:277"
"CD47-mRNA",-1.93,0.705,-3.32,-0.553,0.262,0.1,0.682,0.0109,0.167,"lm.nb","NM_001777.3:901"
"IL32-mRNA",-1.95,0.729,-3.38,-0.518,0.259,0.0963,0.698,0.0129,0.194,"lm.nb","NM_004221.4:358"
"CD70-mRNA",-1.14,0.436,-2,-0.29,0.453,0.25,0.818,0.0143,0.21,"lm.nb","NM_001252.3:420"
"CDKN1A-mRNA",-0.623,0.238,-1.09,-0.157,0.649,0.47,0.897,0.0144,0.21,"lm.nb","NM_000389.2:1975"
"IFNGR2-mRNA",-1.78,0.683,-3.12,-0.441,0.292,0.115,0.737,0.015,0.215,"lm.nb","NM_005534.3:1963"
"AQP9-mRNA",0.945,0.367,0.225,1.66,1.92,1.17,3.17,0.0162,0.228,"lm.nb","NM_001320635.1:753"
"B2M-mRNA",-3.77,1.47,-6.66,-0.886,0.0731,0.00987,0.541,0.0166,0.23,"loglinear","NM_004048.2:573"
"ITPK1-mRNA",0.769,0.303,0.174,1.36,1.7,1.13,2.57,0.0176,0.24,"lm.nb","NM_001142593.2:958"
"DUSP5-mRNA",-1.47,0.588,-2.63,-0.321,0.36,0.162,0.801,0.0188,0.252,"lm.nb","NM_004419.3:675"
"LYZ-mRNA",-2.06,0.846,-3.72,-0.406,0.239,0.0758,0.755,0.0218,0.288,"lm.nb","NM_000239.2:381"
"MAP3K7-mRNA",-0.698,0.288,-1.26,-0.135,0.616,0.417,0.911,0.0224,0.291,"lm.nb","NM_003188.3:1178"
"BAD-mRNA",0.78,0.329,0.135,1.43,1.72,1.1,2.69,0.0256,0.328,"lm.nb","NM_004322.3:963"
"OAS3-mRNA",0.684,0.291,0.113,1.25,1.61,1.08,2.39,0.0268,0.338,"lm.nb","NM_006187.3:2354"
"RSAD2-mRNA",0.595,0.262,0.0815,1.11,1.51,1.06,2.16,0.0317,0.394,"lm.nb","NM_080657.4:1057"
"RRM2-mRNA",1.43,0.637,0.183,2.68,2.7,1.13,6.4,0.0334,0.409,"lm.nb","NM_001034.1:490"
"SERPINA1-mRNA",-1.86,0.835,-3.5,-0.228,0.275,0.0883,0.854,0.0344,0.415,"lm.nb","NM_001127702.1:963"
"ALDOC-mRNA",0.851,0.383,0.101,1.6,1.8,1.07,3.03,0.0351,0.418,"lm.nb","NM_005165.2:335"
"IER3-mRNA",-1.43,0.648,-2.7,-0.154,0.372,0.154,0.899,0.037,0.435,"lm.nb","NM_003897.3:204"
"CD19-mRNA",0.959,0.442,0.0932,1.82,1.94,1.07,3.54,0.0392,0.454,"lm.nb","NM_001770.4:1770"
"ITGAV-mRNA",-1.2,0.557,-2.29,-0.109,0.435,0.204,0.927,0.0405,0.46,"lm.nb","NM_001144999.2:2701"
"FCGR3A/B-mRNA",-1.07,0.499,-2.05,-0.0944,0.476,0.242,0.937,0.0411,0.46,"lm.nb","NM_000570.4:255"
"PVRIG-mRNA",0.66,0.307,0.0574,1.26,1.58,1.04,2.4,0.0413,0.46,"lm.nb","NM_024070.3:1390"
"BNIP3-mRNA",0.555,0.261,0.0436,1.07,1.47,1.03,2.09,0.0431,0.473,"lm.nb","NM_004052.3:116"
"IL33-mRNA",0.807,0.387,0.0483,1.57,1.75,1.03,2.96,0.047,0.51,"lm.nb","NM_033439.3:1842"
"PSMB8-mRNA",-0.796,0.387,-1.56,-0.0368,0.576,0.34,0.975,0.05,0.529,"lm.nb","NM_004159.4:1080"
"CD68-mRNA",-1.26,0.611,-2.45,-0.0578,0.419,0.182,0.961,0.0501,0.529,"lm.nb","NM_001251.2:1140"
"TBX21-mRNA",0.725,0.354,0.0311,1.42,1.65,1.02,2.68,0.0508,0.53,"lm.nb","NM_013351.1:1380"
"CXCR2-mRNA",0.614,0.304,0.0192,1.21,1.53,1.01,2.31,0.0534,0.551,"lm.nb","NM_001557.3:409"
"CCL18-mRNA",0.633,0.32,0.00542,1.26,1.55,1,2.39,0.0587,0.598,"lm.nb","NM_002988.3:45"
"EOMES-mRNA",0.833,0.429,-0.00881,1.67,1.78,0.994,3.19,0.0634,0.638,"lm.nb","NM_001278182.1:1522"
"HIF1A-mRNA",-1.36,0.707,-2.75,0.0247,0.389,0.149,1.02,0.0652,0.644,"lm.nb","NM_181054.2:930"
"RPL23-mRNA",-1.42,0.74,-2.88,0.0275,0.373,0.136,1.02,0.0655,0.644,"lm.nb","NM_000978.3:100"
"LDHB-mRNA",-1.3,0.681,-2.64,0.0305,0.405,0.161,1.02,0.0665,0.646,"lm.nb","NM_001174097.2:1200"
"GLUD1-mRNA",-0.604,0.322,-1.23,0.0263,0.658,0.425,1.02,0.0716,0.688,"lm.nb","NM_005271.2:2680"
"STAT2-mRNA",-0.829,0.454,-1.72,0.0612,0.563,0.304,1.04,0.0795,0.755,"lm.nb","NM_005419.2:1965"
"GOT2-mRNA",0.507,0.279,-0.0391,1.05,1.42,0.973,2.08,0.0803,0.755,"lm.nb","NM_002080.3:674"
"EPCAM-mRNA",-1.27,0.7,-2.64,0.105,0.415,0.16,1.08,0.0819,0.761,"lm.nb","NM_002354.2:499"
"JAK1-mRNA",-0.802,0.451,-1.69,0.0821,0.574,0.311,1.06,0.0871,0.8,"lm.nb","NM_002227.1:285"
"TAPBP-mRNA",-1.12,0.635,-2.36,0.128,0.461,0.195,1.09,0.0904,0.816,"lm.nb","NM_003190.4:1082"
"IFITM2-mRNA",-0.932,0.53,-1.97,0.108,0.524,0.255,1.08,0.0907,0.816,"lm.nb","NM_006435.2:390"
"CCND1-mRNA",-1.16,0.668,-2.47,0.149,0.447,0.18,1.11,0.0941,0.838,"lm.nb","NM_053056.2:857"
"DDB2-mRNA",0.566,0.344,-0.109,1.24,1.48,0.927,2.36,0.112,0.99,"lm.nb","NM_000107.2:1556"
"SPP1-mRNA",-1.56,0.957,-3.43,0.319,0.34,0.0927,1.25,0.116,1,"lm.nb","NM_000582.2:760"
"CXCL1-mRNA",1.44,0.922,-0.368,3.25,2.71,0.775,9.49,0.131,1,"lm.nb","NM_001511.3:743"
"IL1R2-mRNA",0.478,0.307,-0.124,1.08,1.39,0.918,2.11,0.132,1,"lm.nb","NR_048564.1:949"
"ENTPD1-mRNA",-0.492,0.321,-1.12,0.136,0.711,0.46,1.1,0.137,1,"lm.nb","NM_001098175.1:1418"
