"","Log2 fold change","std error (log2)","Lower confidence limit (log2)","Upper confidence limit (log2)","Linear fold change","Lower confidence limit (linear)","Upper confidence limit (linear)","P-value","BY.p.value","method","probe.ID"
"ATF3-mRNA",-3.8,0.343,-4.47,-3.13,0.0719,0.0451,0.114,2.36e-11,1.99e-08,"lm.nb","NM_001674.3:1487"
"EGR1-mRNA",-3,0.394,-3.77,-2.23,0.125,0.0732,0.213,4.32e-08,1.34e-05,"lm.nb","NM_001964.2:2034"
"CD74-mRNA",-4.09,0.539,-5.14,-3.03,0.0589,0.0283,0.122,4.76e-08,1.34e-05,"lm.nb","NM_001025159.2:1161"
"CXCL14-mRNA",-2.76,0.373,-3.49,-2.02,0.148,0.0892,0.246,7.62e-08,1.61e-05,"lm.nb","NM_004887.4:990"
"SGK1-mRNA",-2.35,0.324,-2.98,-1.71,0.196,0.126,0.305,1.06e-07,1.8e-05,"lm.nb","NM_005627.3:1621"
"IRF1-mRNA",-2.71,0.385,-3.46,-1.95,0.153,0.0907,0.258,1.81e-07,2.54e-05,"lm.nb","NM_002198.2:557"
"HLA-DPB1-mRNA",-4.93,0.741,-6.38,-3.47,0.0329,0.012,0.09,4.72e-07,5.69e-05,"lm.nb","NM_002121.5:987"
"NFKBIA-mRNA",-4.4,0.672,-5.71,-3.08,0.0475,0.0191,0.118,6.18e-07,6.24e-05,"lm.nb","NM_020529.2:1361"
"HLA-DPA1-mRNA",-5.81,0.892,-7.56,-4.06,0.0178,0.0053,0.0599,6.65e-07,6.24e-05,"lm.nb","NM_033554.2:857"
"HLA-DRA-mRNA",-4.94,0.783,-6.47,-3.41,0.0326,0.0113,0.0944,1.11e-06,9.4e-05,"lm.nb","NM_019111.3:335"
"DUSP1-mRNA",-4.37,0.753,-5.85,-2.9,0.0482,0.0173,0.134,4.06e-06,0.000312,"lm.nb","NM_004417.3:1428"
"HLA-DRB1-mRNA",-2.98,0.614,-4.18,-1.77,0.127,0.0552,0.293,5.01e-05,0.00353,"lm.nb","NM_002124.3:1016"
"TGFB1-mRNA",-1.9,0.399,-2.68,-1.12,0.268,0.156,0.461,6.31e-05,0.0041,"lm.nb","NM_000660.4:1473"
"CEBPB-mRNA",-1.78,0.388,-2.54,-1.02,0.29,0.171,0.492,9.64e-05,0.00582,"lm.nb","NM_005194.3:1731"
"GBP2-mRNA",-2.6,0.577,-3.73,-1.47,0.165,0.0754,0.362,0.000126,0.00702,"lm.nb","NM_004120.4:1744"
"HLA-E-mRNA",-3.07,0.687,-4.42,-1.72,0.119,0.0468,0.303,0.000136,0.00702,"lm.nb","NM_005516.5:1287"
"CDKN1A-mRNA",-1.26,0.283,-1.82,-0.707,0.417,0.284,0.613,0.000141,0.00702,"lm.nb","NM_000389.2:1975"
"THBS1-mRNA",-3.37,0.765,-4.87,-1.87,0.0967,0.0342,0.273,0.000161,0.00732,"lm.nb","NM_003246.2:3816"
"STAT1-mRNA",-1.44,0.326,-2.08,-0.796,0.37,0.237,0.576,0.000164,0.00732,"lm.nb","NM_007315.3:239"
"APOE-mRNA",-2.91,0.669,-4.22,-1.6,0.133,0.0537,0.331,0.00019,0.00804,"lm.nb","NM_000041.2:96"
