"","Average-normalized count","Variance-normalized count"
"CCNO - mRNA",6.07504650491412,2.02189823347873
"MYC - mRNA",6.45508811199788,2.08705033864121
"CD79A - mRNA",3.86061487592478,0.871512246471427
"FSTL3 - mRNA",4.80516544162266,1.56024934020366
"VCAN - mRNA",5.23119680311952,3.91675812989192
"CX3CL1 - mRNA",6.85216279446076,1.21407344110512
"ERBB2 - mRNA",5.86159464098572,1.51617700023637
"FAM124B - mRNA",7.66143615275186,0.505877732904817
"AKT1 - mRNA",7.14912638087844,1.13415575987306
"KDR - mRNA",5.2200947659583,2.98474151909599
"EGF - mRNA",5.2257845552661,1.7985155445155
"MAGEA12 - mRNA",4.95657787757771,2.29911637788176
"IFNA1 - mRNA",5.41138454657991,2.57280927766028
"TGFB3 - mRNA",5.4627387163138,2.25703223790698
"MFGE8 - mRNA",7.2428878620484,0.54253375069425
"CXCL2 - mRNA",8.64025846388916,4.57160499357798
"CCND2 - mRNA",6.21649582875812,1.86953464066582
"PDZK1IP1 - mRNA",6.50187555074688,2.72177932764294
"JAG2 - mRNA",5.92998842411667,1.37063417759889
"C5 - mRNA",5.2713838494119,2.02333621584646
"CD79B - mRNA",4.54279036552505,2.01751438082945
"CXCR2 - mRNA",7.39109788534822,0.327563085807973
"PSMB10 - mRNA",6.47857806077374,1.29857067807061
"ZEB1 - mRNA",4.82017151396946,2.95082164314022
"ANLN - mRNA",5.53463178233015,1.96945846225341
"TAF3 - mRNA",5.08493087219679,2.49598932377887
"CD276 - mRNA",6.69564125047837,1.11269281870253
"ICAM1 - mRNA",7.23803549339895,2.64503216418164
"IL16 - mRNA",4.51059416985526,2.03840509950986
"CXCL3 - mRNA",6.68539623684147,1.41730213658882
"PRR5 - mRNA",5.2085179843042,2.35735862657619
"CTSW - mRNA",4.88029288951617,2.18394032613709
"CXCR4 - mRNA",7.40806011241268,1.97980134276916
"IFNGR2 - mRNA",7.14440402403235,2.05990200771242
"CDH11 - mRNA",6.35102940314842,2.01499687469699
"COL6A3 - mRNA",4.08471429932701,1.46797376706313
"GZMK - mRNA",4.99131332263937,1.97369517097739
"IRF2 - mRNA",7.88790687809429,0.233388844018191
"RPL7A - mRNA",9.64691212066285,3.05900214130852
"GPR160 - mRNA",6.32833962291518,2.20893460426337
"MICA - mRNA",5.25482818908162,1.79509605168284
"TAPBPL - mRNA",6.09308638426749,1.54725732956662
"CXCL14 - mRNA",7.86678005564302,0.790657271146089
"CD14 - mRNA",7.12744138277714,1.44828206500444
"IL18 - mRNA",5.90559395400418,1.5218452595365
"CLEC14A - mRNA",5.5697240011972,2.87226466281726
"HMGB1 - mRNA",5.82834792376506,1.6572638537375
"KIF2C - mRNA",5.3853630056859,1.77246498926812
"RNLS - mRNA",5.83961489079214,1.87759991653731
"RPTOR - mRNA",5.95185260275189,1.36086787969757
"CD68 - mRNA",7.3551919065982,1.38059250639513
"CCL13 - mRNA",5.0816677370519,2.01993927950736
"CYBB - mRNA",7.37788176133144,1.83214562266145
"PLA2G2A - mRNA",5.37414599564372,2.24794220336997
"FGF13 - mRNA",5.66776867834716,1.3599209016364
"CNTFR - mRNA",4.93124405621964,2.06235856496573
"CD244 - mRNA",3.99765731291047,1.15540449684393
"CSF2RB - mRNA",5.66753414003567,1.95262913458854
"MAP3K7 - mRNA",7.62009138049668,0.170737538822682
"FASLG - mRNA",4.87169870333768,1.70411630778504
"CD209 - mRNA",5.42727948700419,2.66816939948151
"IRF7 - mRNA",6.36578275778043,1.27570978907316
"PTCD2 - mRNA",5.77459831893598,2.43163296080963
"PIK3R2 - mRNA",6.74132849563626,1.46435793661702
"LILRA5 - mRNA",6.33650966419324,1.94157655412108
"IL32 - mRNA",8.44765481165112,2.5030001567443
"CCND3 - mRNA",6.41813779616819,1.01237262002845
"BIRC5 - mRNA",5.63571965493223,2.09820889672661
"LGALS9 - mRNA",6.4603597216149,0.960150279740242
"RASAL1 - mRNA",6.97079078873096,1.14085499876179
"PDCD1LG2 - mRNA",5.35012808042794,2.46386579749873
"IL11 - mRNA",6.98594042181429,0.730451616621022
"PRKX - mRNA",6.4585208375458,1.66493495675234
"SNCA - mRNA",6.36409763471188,1.92082318403722
"ADGRE1 - mRNA",5.41980458994859,2.22826379683709
"PSMB9 - mRNA",6.20373003339749,2.00221265470963
"RUNX3 - mRNA",5.82951014390483,2.19198118431455
"PGPEP1 - mRNA",5.78123565196102,2.31922962836839
"MELK - mRNA",6.77622181091786,2.19332617136791
"ISG15 - mRNA",6.92132227787511,2.00782956957144
"EIF2B4 - mRNA",6.96021177236545,0.542747698659895
"IRF9 - mRNA",6.46361145491085,2.53725762111742
"IL1A - mRNA",5.36845357630442,2.77711233454434
"FCRL2 - mRNA",5.45783052765572,2.40528073456755
"EIF4EBP1 - mRNA",7.34075842061622,1.51478431358685
"LTBP1 - mRNA",5.75343931302149,2.29388262313126
"CD40LG - mRNA",5.64850415532868,1.41050286729389
"HEY1 - mRNA",6.98786893451235,0.772705381794734
"HLA-DQA1 - mRNA",6.20568583349653,5.62444723369141
"PRLR - mRNA",5.5352425795595,2.12700520005302
"TNFRSF11A - mRNA",5.3906465349268,2.04059091191256
"AREG - mRNA",6.88515558795416,4.5992854096048
"BBC3 - mRNA",6.6750779954438,0.622923234664716
"EDN1 - mRNA",6.71530328951784,0.822202348714069
"PARP12 - mRNA",6.45104162853323,1.4375006011747
"PIK3CG - mRNA",6.40717044552138,1.29769347558927
"IL4 - mRNA",4.48928101912194,1.49008494438833
"F2RL1 - mRNA",5.70834284679898,2.12384186491531
"CXCL6 - mRNA",6.7123784409519,1.60041848337987
"TNFSF18 - mRNA",5.86443847913374,2.27027128853298
"JAK3 - mRNA",5.99678376861562,1.30257731211384
"NKG7 - mRNA",6.41915920691759,1.77524380774353
"TAPBP - mRNA",7.39248421709487,1.07383684683266
"MTOR - mRNA",5.82739323810084,1.94686201329406
"SELP - mRNA",5.54281939766128,2.73175528415606
"HLA-E - mRNA",7.78044119962631,2.27427267273141
"GOT1 - mRNA",7.12553369441666,0.384247446015352
"SMAP1 - mRNA",6.61767214052949,1.72754785966656
"CDKN1A - mRNA",8.34993127171616,0.203148493302182
"CD45RA - mRNA",5.59519336170809,2.39770798280827
"HNF1A - mRNA",5.89958304059759,1.43410254337109
"TICAM1 - mRNA",5.58300748673964,2.39656912623258
"C1QA - mRNA",7.02345409306807,1.70642480978114
"CD86 - mRNA",5.95275313668952,2.37170557552616
"ITGA4 - mRNA",5.02192381056153,2.70831431065848
"ROR2 - mRNA",6.14708104912474,2.29113586193493
"WNT7B - mRNA",7.44022667502057,1.46492378985057
"FLT1 - mRNA",7.25766250430037,2.50518407156789
"CTAG1B - mRNA",4.36133728217353,1.50768818820082
"CLEC7A - mRNA",5.92009205451442,1.82927198816725
"TNFRSF4 - mRNA",6.77050521172407,1.15840245754815
"MS4A6A - mRNA",6.90143418091038,0.671399718574731
"ANGPT2 - mRNA",5.86615614663399,3.04567955181515
"APH1B - mRNA",5.99773146665108,1.79469405082162
"RORC - mRNA",5.06383821070796,1.98169781357998
"NECTIN2 - mRNA",5.90698400342495,2.0109496641635
"DPP4 - mRNA",7.42456369276626,1.3589131739718
"CCL2 - mRNA",7.45637851381201,2.80899326436407
"NF1 - mRNA",5.08811846850783,1.97662575874119
"S100A9 - mRNA",6.59219402809871,2.88092034931791
"NFKBIA - mRNA",7.87834755453814,3.56065230741901
"BNIP3L - mRNA",6.26905718084497,3.76483019054622
"CST2 - mRNA",4.45705283839652,1.80201104627176
"APOL6 - mRNA",5.24147642854086,2.44200739607001
"BRD4 - mRNA",5.17468143944875,2.51895868944071
"SLC16A1 - mRNA",6.6757146484861,2.66662507709206
"THBD - mRNA",5.42170848783021,2.31660769564277
"TIGIT - mRNA",5.39993400006402,1.96869614147296
"VSIR - mRNA",4.35396963326897,1.5891305796177
"TRIM21 - mRNA",5.26459552717466,2.40396684600361
"NBN - mRNA",6.28012321186193,2.15571467041518
