"cell type scores - log2"
"","Macrophages","Exhausted CD8","B-cells","Neutrophils","T-cells","NK CD56dim cells","Mast cells","Th1 cells"
"20210108_P0090_D0_Control(1).RCC",8.69102005040677,7.61826372337884,6.81917659235191,8.7826506429462,7.87576003914788,6.6671734932286,8.00821043646641,6.53287226510026
"20210108_P0090_D0_Control(2).RCC",8.53032834166782,7.17277617365251,6.20668166451114,8.58555778264405,7.88427114701305,6.0603016059985,8.05052043842986,6.37441017480725
"20210108_P0090_D0_Control(3).RCC",8.46568733717256,7.52941292153284,6.36281979449747,8.49334363593529,7.84777441755922,6.71312489168131,8.9174834416875,5.94445042862068
"20210108_P0090_D3_IFNg_100ngml(1).RCC",7.56604834351135,7.91000273642341,7.5152126444248,7.67296350120489,7.77249923366744,8.29187342114821,7.45057106455141,7.81980497505105
"20210108_P0090_D3_IFNg_100ngml(2).RCC",7.25231230263246,8.11029325044698,7.85153475040392,7.42223714741598,8.11029325044698,8.50023964923526,7.25231230263246,7.57424022151525
"20210108_P0090_D3_IgG1_100ugml(1).RCC",7.59461642060496,7.65448787797805,6.93873725991722,7.37018479066241,6.5448632899482,8.53852180983768,7.85152469426263,7.03390151147381
"20210108_P0090_D3_IgG1_100ugml(2).RCC",7.31613524976303,7.41741861183892,7.36677693080098,7.11973793643215,7.08936448095128,7.99420719108816,8.57916963145516,7.05833746257753
"20210108_P0090_D3_IgG1_100ugml(3).RCC",7.61776091873915,7.86287350632409,7.74530931105244,7.2551908320093,7.76976411060906,7.03279858695618,8.44783591408334,8.14827563317789
"20210108_P0090_D3_NMC2_30ugml(1).RCC",7.32051522123804,7.61002183843302,7.62768839333167,7.82866210079287,7.383251024979,8.86208508552021,7.95794514185333,7.41362470516831
"20210108_P0090_D3_NMC2_30ugml(2).RCC",7.15031719651318,7.71968272428761,7.31502451545613,7.42493948373038,6.58843821121584,8.59700022613862,8.7196827242876,7.07876388556976
"20210108_P0090_D3_NMC2_100ugml(1).RCC",7.02671237755199,7.77252883245642,7.39574132604255,7.97012880669876,6.98162450909827,9.16421582083439,8.29896521757167,7.64820077366075
"20210108_P0090_D3_NMC2_100ugml(2).RCC",7.96000882685923,7.43805614000572,7.37100967095417,7.19704807226724,7.61208557400411,7.7072427384811,8.21874295464854,7.93401357597794
"20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC",7.2551471728932,7.46159809946961,7.65454369878756,7.94702492430133,6.87663543914425,8.19856359050694,8.07826940547118,7.72463240162888
"20210112_30102534301221-01_P0090-11 D3 NMC2 100ug]mL_02.RCC",7.05431846916995,8.23489064872653,7.64883535213377,7.31735285148549,7.67098984660823,8.10162420915895,8.10162420915895,7.39535539728831
"20210112_30102534301221-01_P0090-12 D3 IFNy 100ng]mL_03.RCC",7.86970839068429,7.64731579766713,7.64731584444242,7.17783070977035,7.47739080791864,7.28474574501116,7.06235335451556,7.47739080791864
"20210112_30102534301221-01_P0091-1 D0 media_04.RCC",8.13153751101921,6.78361426044629,7.36259030814837,7.90914506396057,7.78361426044629,7.78361426044629,6.64611061491351,8.18216351366361
"20210112_30102534301221-01_P0091-1 D3 IgG1 100ug]mL_07.RCC",6.86103700339678,8.04546155914493,7.95586747167322,8.57153034896966,7.79392265329085,8.61105869101828,8.30849582482043,8.30849582482043
"20210112_30102534301221-01_P0091-2 D0 media_05.RCC",8.55774414114803,7.05078412502363,7.2943534045936,7.93213967080627,7.2622881535543,6.80285661362027,7.05078412502363,7.12478472659764
"20210112_30102534301221-01_P0091-2 D3 NMC2 30ug]mL_08.RCC",8.58643518002985,7.34436038828458,7.04840263460156,7.50190167292427,6.22888326408076,8.24383352047615,7.37184111013381,7.28777690927837
"20210112_30102534301221-01_P0091-3 D0 media_06.RCC",7.774116037204,1.72672268392744,4.11890219785217,6.77411603061328,6.18915358920855,7.64858524559266,1.72672268392744,7.5110817117769
"20210112_30102534301221-01_P0091-3 D3 NMC2 100ug]mL_09.RCC",7.80602984882918,7.71856705512193,7.76494553049272,6.88849196676063,7.80602984882918,8.3035295193128,7.52592195956672,8.11088437939939
"20210112_30102534301221-01_P0091-4 D3 IFNy 100ng]mL_10.RCC",8.46134929599828,6.60720013979214,6.91794432261595,7.81365106066764,7.43032237706466,8.19216260598414,7.1546878759018,6.60720013979214
"20210112_30102534301221-01_P0091-5 D3 IgG1 100ug]mL_11.RCC",7.62203796365879,6.03707552884819,6.81455929796271,7.56759023456188,6.45211301714194,8.07660392213048,6.95461327043656,7.72513135813585
"20210112_30102534301221-01_P0091-6 D3 NMC2 30ug]mL_12.RCC",7.9151602655762,7.76831882665698,6.94960384318896,7.71585131191559,6.86785446712164,8.35328132517239,7.48452582757014,7.76831882665698
"20210113_30102534541221-01_P0091-7 LUNG D3 NMC2 100ug.ml_07.RCC",3.89990153342207,8.2111232151913,8.74057007997034,7.71362354770205,8.79608566722914,8.58035702925422,8.38104820148769,8.48414176533172
"20210113_30102534541221-01_P0091-8 LUNG D3 IFNy 100ng.ml_08.RCC",4.65347160813647,8.92430437471424,8.46605868728821,8.28687441285515,8.40973120230871,8.22128619734537,8.04294882620067,8.18733877955819
"20210113_30102534541221-01_P0091-9 LUNG D3 IgG1 100ug.ml_09.RCC",4.99184601639063,8.83176784132374,8.62849472386538,7.73490628069885,8.67350577048507,8.11957014779286,7.99124597867783,7.95729869332807
"20210113_30102534541221-01_P0091-10 LUNG D3 NMC2 30ug.ml_10.RCC",5.4308195266067,8.51798145281523,8.41074869948831,7.74304792038089,8.74304792374799,8.05854984844434,7.71062642646526,8.03255462328365
"20210113_30102534541221-01_P0091-11 LUNG D3 NMC2 100ug.ml_11.RCC",7.84743514174147,7.71250548538029,8.0562752435977,8.16936323287035,7.65479006290419,8.57923904459993,7.87297015395339,7.92272321585363
"20210113_30102534541221-01_P0091-12 LUNG D3 IFNy 100ng.ml_12.RCC",7.44619950538052,7.49963887339067,7.49963887339067,7.44619950538052,7.27286794878665,8.52563394953421,7.64901644384771,7.76267319286292
