"","Log2 fold change","std error (log2)","Lower confidence limit (log2)","Upper confidence limit (log2)","Linear fold change","Lower confidence limit (linear)","Upper confidence limit (linear)","P-value","BY.p.value","method","probe.ID"
"CD69-mRNA",1.56,0.426,0.728,2.4,2.96,1.66,5.27,0.000544,1,"lm.nb","NM_001781.2:88"
"LTB-mRNA",1.48,0.525,0.455,2.51,2.8,1.37,5.71,0.00654,1,"lm.nb","NM_002341.1:330"
"PLOD2-mRNA",-0.744,0.286,-1.3,-0.184,0.597,0.405,0.88,0.0118,1,"lm.nb","NM_182943.2:2588"
"CDKN1A-mRNA",0.59,0.269,0.0635,1.12,1.51,1.04,2.17,0.0322,1,"lm.nb","NM_000389.2:1975"
"CX3CL1-mRNA",0.787,0.378,0.0469,1.53,1.73,1.03,2.88,0.0417,1,"lm.nb","NM_002996.3:1850"
"CASP9-mRNA",0.679,0.345,0.00302,1.35,1.6,1,2.56,0.0539,1,"lm.nb","XM_011542270.1:326"
"PDGFA-mRNA",0.701,0.356,0.00278,1.4,1.63,1,2.64,0.054,1,"lm.nb","NM_033023.4:2390"
"VEGFA-mRNA",-0.508,0.27,-1.04,0.0201,0.703,0.487,1.01,0.0645,1,"lm.nb","NM_001171623.1:2212"
"GPC4-mRNA",0.59,0.316,-0.0288,1.21,1.51,0.98,2.31,0.0669,1,"lm.nb","NM_001448.2:820"
"TTC30A-mRNA",0.348,0.197,-0.0376,0.733,1.27,0.974,1.66,0.0824,1,"lm.nb","NM_152275.3:2492"
"BIRC3-mRNA",0.578,0.329,-0.067,1.22,1.49,0.955,2.33,0.0845,1,"lm.nb","NM_001165.4:6567"
"CD58-mRNA",0.647,0.37,-0.0783,1.37,1.57,0.947,2.59,0.0859,1,"lm.nb","NM_001144822.1:42"
"CCL7-mRNA",0.773,0.444,-0.0965,1.64,1.71,0.935,3.12,0.0869,1,"lm.nb","NM_006273.3:588"
"PCK2-mRNA",0.374,0.218,-0.0542,0.801,1.3,0.963,1.74,0.0925,1,"lm.nb","NM_001018073.2:1307"
"IFIT2-mRNA",0.859,0.509,-0.138,1.86,1.81,0.909,3.62,0.097,1,"lm.nb","NM_001547.4:1995"
"HDAC11-mRNA",0.905,0.539,-0.153,1.96,1.87,0.9,3.9,0.0991,1,"lm.nb","NM_001330636.1:865"
"CLEC4E-mRNA",0.605,0.372,-0.124,1.33,1.52,0.917,2.52,0.11,1,"lm.nb","NM_014358.3:1392"
"IFIH1-mRNA",0.772,0.479,-0.167,1.71,1.71,0.891,3.27,0.113,1,"lm.nb","NM_022168.3:3250"
"KRAS-mRNA",0.346,0.222,-0.0888,0.781,1.27,0.94,1.72,0.124,1,"lm.nb","NM_004985.3:1790"
"MICB-mRNA",0.535,0.347,-0.145,1.21,1.45,0.905,2.32,0.129,1,"lm.nb","NM_005931.3:1387"
