"","Log2 fold change","std error (log2)","Lower confidence limit (log2)","Upper confidence limit (log2)","Linear fold change","Lower confidence limit (linear)","Upper confidence limit (linear)","P-value","BY.p.value","method","probe.ID"
"GBP1-mRNA",3.96,0.707,2.58,5.35,15.6,5.96,40.7,6.64e-07,0.00177,"lm.nb","NM_002053.2:1838"
"PLOD2-mRNA",-0.99,0.33,-1.64,-0.343,0.504,0.322,0.788,0.00403,1,"lm.nb","NM_182943.2:2588"
"CD74-mRNA",1.16,0.428,0.318,2,2.23,1.25,3.99,0.00912,1,"lm.nb","NM_001025159.2:1161"
"TAP1-mRNA",1.48,0.642,0.226,2.74,2.8,1.17,6.7,0.0245,1,"lm.nb","NM_000593.5:1000"
"LTB-mRNA",1.35,0.6,0.172,2.52,2.55,1.13,5.75,0.0286,1,"lm.nb","NM_002341.1:330"
"IRF1-mRNA",0.851,0.383,0.0993,1.6,1.8,1.07,3.04,0.0306,1,"lm.nb","NM_002198.2:557"
"STAT1-mRNA",0.704,0.322,0.0737,1.34,1.63,1.05,2.52,0.0328,1,"lm.nb","NM_007315.3:239"
"CX3CL1-mRNA",0.922,0.431,0.0779,1.77,1.89,1.06,3.4,0.0366,1,"lm.nb","NM_002996.3:1850"
"SPRY4-mRNA",-1.23,0.587,-2.38,-0.0822,0.426,0.192,0.945,0.0402,1,"lm.nb","NM_030964.3:1900"
"WNT7B-mRNA",-1.24,0.594,-2.4,-0.0776,0.423,0.189,0.948,0.0411,1,"lm.nb","NM_058238.2:1874"
"CCL20-mRNA",-1.5,0.752,-2.98,-0.0287,0.353,0.127,0.98,0.0506,1,"lm.nb","NM_001130046.1:295"
"FBP1-mRNA",-0.587,0.3,-1.17,0.000649,0.666,0.443,1,0.0552,1,"lm.nb","NM_001127628.1:488"
"GBP2-mRNA",0.867,0.451,-0.0178,1.75,1.82,0.988,3.37,0.0599,1,"lm.nb","NM_004120.4:1744"
"RIPK2-mRNA",0.647,0.341,-0.0207,1.31,1.57,0.986,2.49,0.0627,1,"lm.nb","NM_003821.5:1306"
"PSMB9-mRNA",1.14,0.6,-0.0393,2.31,2.2,0.973,4.97,0.0633,1,"lm.nb","NM_002800.4:394"
"PMS2-mRNA",0.989,0.525,-0.0388,2.02,1.99,0.973,4.05,0.0645,1,"lm.nb","NM_000535.6:894"
"CDH1-mRNA",0.853,0.462,-0.0523,1.76,1.81,0.964,3.38,0.0701,1,"lm.nb","NM_004360.3:379"
"TPSAB1/B2-mRNA",-1.21,0.66,-2.5,0.082,0.432,0.176,1.06,0.0717,1,"lm.nb","NM_003294.3:556"
"VEGFA-mRNA",-0.563,0.31,-1.17,0.0439,0.677,0.444,1.03,0.0744,1,"lm.nb","NM_001171623.1:2212"
"FYN-mRNA",-0.98,0.546,-2.05,0.0896,0.507,0.241,1.06,0.0779,1,"lm.nb","NM_002037.5:2125"
