"","Log2 fold change","std error (log2)","Lower confidence limit (log2)","Upper confidence limit (log2)","Linear fold change","Lower confidence limit (linear)","Upper confidence limit (linear)","P-value","BY.p.value","method","probe.ID"
"ATF3-mRNA",2.95,0.325,2.31,3.58,7.7,4.95,12,1.42e-12,3.78e-09,"lm.nb","NM_001674.3:1487"
"DUSP1-mRNA",3.7,0.417,2.88,4.52,13,7.37,22.9,2.9e-12,3.85e-09,"lm.nb","NM_004417.3:1428"
"CD74-mRNA",3.73,0.469,2.81,4.64,13.2,7,25,9.23e-11,7.38e-08,"lm.nb","NM_001025159.2:1161"
"HLA-DPA1-mRNA",5.42,0.685,4.07,6.76,42.7,16.8,108,1.11e-10,7.38e-08,"lm.nb","NM_033554.2:857"
"HLA-DPB1-mRNA",4.19,0.553,3.11,5.28,18.3,8.62,38.8,3.86e-10,2.05e-07,"lm.nb","NM_002121.5:987"
"EGR1-mRNA",2.26,0.31,1.65,2.87,4.78,3.14,7.29,1.21e-09,5.36e-07,"lm.nb","NM_001964.2:2034"
"C1QB-mRNA",4.32,0.603,3.14,5.5,20,8.8,45.3,1.86e-09,7.06e-07,"lm.nb","NM_000491.3:816"
"HLA-DRA-mRNA",4.75,0.67,3.44,6.06,26.9,10.8,66.9,2.43e-09,8.08e-07,"lm.nb","NM_019111.3:335"
"SGK1-mRNA",1.7,0.247,1.21,2.18,3.24,2.32,4.53,5.62e-09,1.66e-06,"lm.nb","NM_005627.3:1621"
"CSF1R-mRNA",3.72,0.545,2.65,4.79,13.2,6.28,27.6,6.84e-09,1.69e-06,"lm.nb","NM_005211.3:958"
"HLA-DMA-mRNA",3.2,0.47,2.28,4.12,9.21,4.86,17.4,6.98e-09,1.69e-06,"lm.nb","NM_006120.3:396"
"A2M-mRNA",4.77,0.711,3.37,6.16,27.2,10.4,71.6,1.05e-08,2.33e-06,"lm.nb","NM_000014.4:1685"
"CXCL14-mRNA",2.06,0.33,1.42,2.71,4.18,2.67,6.54,5.82e-08,1.19e-05,"lm.nb","NM_004887.4:990"
"CD69-mRNA",3.2,0.521,2.18,4.22,9.21,4.54,18.7,8.7e-08,1.65e-05,"lm.nb","NM_001781.2:88"
"FLT1-mRNA",4.31,0.707,2.92,5.69,19.8,7.58,51.7,1.06e-07,1.87e-05,"lm.nb","NM_002019.4:530"
"MAP3K8-mRNA",1.67,0.283,1.12,2.23,3.19,2.17,4.69,2.06e-07,3.27e-05,"lm.nb","NM_001244134.1:493"
"IRF1-mRNA",2.47,0.418,1.65,3.29,5.54,3.14,9.77,2.09e-07,3.27e-05,"lm.nb","NM_002198.2:557"
"CCL3/L1-mRNA",3.86,0.68,2.53,5.19,14.5,5.76,36.6,5.14e-07,7.58e-05,"lm.nb","NM_021006.5:411"
"GBP1-mRNA",4.35,0.773,2.83,5.86,20.4,7.12,58.2,6.21e-07,8.69e-05,"lm.nb","NM_002053.2:1838"
"CEBPB-mRNA",1.33,0.26,0.819,1.84,2.51,1.76,3.58,4.01e-06,0.000533,"lm.nb","NM_005194.3:1731"
