"","Log2 fold change","std error (log2)","Lower confidence limit (log2)","Upper confidence limit (log2)","Linear fold change","Lower confidence limit (linear)","Upper confidence limit (linear)","P-value","BY.p.value","method","probe.ID"
"IRF1-mRNA",3.21,0.496,2.24,4.18,9.25,4.72,18.2,2.59e-08,6.87e-05,"lm.nb","NM_002198.2:557"
"GBP1-mRNA",5.69,0.914,3.9,7.48,51.6,14.9,179,6.54e-08,8.69e-05,"lm.nb","NM_002053.2:1838"
"IFITM1-mRNA",3.56,0.624,2.33,4.78,11.8,5.04,27.5,4.69e-07,0.000416,"lm.nb","NM_003641.3:536"
"GBP2-mRNA",3.13,0.584,1.98,4.27,8.73,3.95,19.3,1.68e-06,0.00111,"lm.nb","NM_004120.4:1744"
"IFIT3-mRNA",3.4,0.661,2.1,4.69,10.5,4.3,25.9,3.56e-06,0.00189,"lm.nb","NM_001031683.3:712"
"CD74-mRNA",2.5,0.559,1.41,3.6,5.67,2.65,12.1,3.76e-05,0.0166,"lm.nb","NM_001025159.2:1161"
"TAP1-mRNA",3.61,0.837,1.97,5.25,12.2,3.93,38.2,6.44e-05,0.0244,"lm.nb","NM_000593.5:1000"
"IFI35-mRNA",2.62,0.612,1.42,3.82,6.15,2.68,14.1,7.34e-05,0.0244,"lm.nb","NM_005533.4:729"
"CTSS-mRNA",2.11,0.527,1.08,3.14,4.32,2.11,8.83,0.000186,0.0551,"lm.nb","NM_004079.3:685"
"STAT1-mRNA",1.61,0.419,0.793,2.44,3.06,1.73,5.41,0.000302,0.0783,"lm.nb","NM_007315.3:239"
"PSMB9-mRNA",2.98,0.777,1.46,4.5,7.88,2.74,22.7,0.000324,0.0783,"lm.nb","NM_002800.4:394"
"TYMP-mRNA",1.67,0.445,0.801,2.55,3.19,1.74,5.84,0.000408,0.0904,"lm.nb","NM_001113755.2:645"
"IFIT2-mRNA",2.69,0.748,1.23,4.16,6.47,2.34,17.9,0.000676,0.138,"lm.nb","NM_001547.4:1995"
"ISG15-mRNA",2.45,0.704,1.07,3.83,5.46,2.1,14.2,0.000985,0.179,"lm.nb","NM_005101.3:305"
"IFIH1-mRNA",2.39,0.69,1.04,3.75,5.26,2.06,13.4,0.00101,0.179,"lm.nb","NM_022168.3:3250"
"PSMB8-mRNA",1.28,0.388,0.522,2.04,2.43,1.44,4.12,0.00165,0.275,"lm.nb","NM_004159.4:1080"
"APOL6-mRNA",2.35,0.722,0.932,3.76,5.09,1.91,13.6,0.00195,0.305,"lm.nb","NM_030641.3:289"
"IFI6-mRNA",2.15,0.674,0.83,3.47,4.44,1.78,11.1,0.00231,0.342,"lm.nb","NM_002038.3:410"
"HLA-E-mRNA",1.77,0.559,0.672,2.86,3.4,1.59,7.28,0.00252,0.353,"lm.nb","NM_005516.5:1287"
"HLA-DRA-mRNA",2.49,0.799,0.92,4.05,5.6,1.89,16.6,0.00293,0.388,"lm.nb","NM_019111.3:335"
