"","20210112_30102534301221-01_P0091-3 D0 media_06.RCC","20201201_30102534601221-01_P0092 D3 IFNy(100ng-mL)-2_12.RCC","20201201_30102534601221-01_P0092 D3 IFNy(100ng-mL)-1_06.RCC","20201202_30102534611221-01_P0092 D3 IFNy(100ng-mL)-3_06.RCC","20201201_30102534601221-01_P0092 D3 IgG1(250ug-mL)-1_04.RCC","20201201_30102534601221-01_P0092 D3 NMC1(30ug-mL)-1_07.RCC","20201201_30102534601221-01_P0092 D3 aPD1(250ug-mL)-2_11.RCC","20201201_30102534601221-01_P0092 D3 NMC2(100ug-mL)-1_09.RCC","20201202_30102534611221-01_P0092 D3 NMC2(100ug-mL)-3_09.RCC","20201201_30102534601221-01_P0092 D3 aPD1(250ug-mL)-1_05.RCC","20201202_30102534611221-01_P0092 D3 NMC1(30ug-mL)-2_01.RCC","20201202_30102534611221-01_P0092 D3 IgG1(250ug-mL)-3_04.RCC","20201202_30102534611221-01_P0092 D3 Control-2_11.RCC","20201202_30102534611221-01_P0092 D3 Control-1_10.RCC","20201202_30102534611221-01_P0092 D3 NMC1(30ug-mL)-3_07.RCC","20201202_30102534611221-01_P0092 D3 aPD1(250ug-mL)-3_05.RCC","20201202_30102534611221-01_P0092 D3 Control-3_12.RCC","20201202_30102534611221-01_P0092 D3 NMC2(30ug-mL)-3_08.RCC","20201202_30102534611221-01_P0092 D3 NMC2(100ug-mL)-2_03.RCC","20201201_30102534601221-01_P0092 D3 NMC2(30ug-mL)-1_08.RCC","20201202_30102534611221-01_P0092 D3 NMC2(30ug-mL)-2_02.RCC","20210113_30102534541221-01_P0091-7 LUNG D3 NMC2 100ug.ml_07.RCC","20210113_30102534541221-01_P0091-8 LUNG D3 IFNy 100ng.ml_08.RCC","20210113_30102534541221-01_P0091-9 LUNG D3 IgG1 100ug.ml_09.RCC","20210113_30102534541221-01_P0091-10 LUNG D3 NMC2 30ug.ml_10.RCC","20201209_30102534211221-01_P0094 D3 19 IgG 250_04.RCC","20201208_30102534591221-01_P0094 D3 14 PD1 250_11.RCC","20201209_30102534211221-01_P0094 D3 25 IFN_10.RCC","20201208_30102534591221-01_P0094 D3 10 IgG 250_07.RCC","20201204_30102534581221-01_P0094 IgG 250 D3 1_10.RCC","20201208_30102534591221-01_P0094 D3 7 IFN_04.RCC","20201209_30102534211221-01_P0094 D3 27 nmc2 30_12.RCC","20201209_30102534211221-01_P0094 D3 18 nmc2 30_03.RCC","20201209_30102534211221-01_P0094 D3 23 PD1 250_08.RCC","20201208_30102534591221-01_P0094 D3 8 nmc2 100_05.RCC","20201208_30102534591221-01_P0094 D3 9 nmc2 30_06.RCC","20201209_30102534211221-01_P0094 D3 17 nmc2 100_02.RCC","20201209_30102534211221-01_P0094 D3 16 IFN_01.RCC","20201209_30102534211221-01_P0094 D3 26 nmc2 100_11.RCC","20210112_30102534301221-01_P0091-2 D0 media_05.RCC","20210108_P0090_D0_Control(3).RCC","20210108_P0090_D0_Control(1).RCC","20210108_P0090_D0_Control(2).RCC","20210112_30102534301221-01_P0091-1 D3 IgG1 100ug]mL_07.RCC","20210112_30102534301221-01_P0090-12 D3 IFNy 100ng]mL_03.RCC","20210112_30102534301221-01_P0091-1 D0 media_04.RCC","20210112_30102534301221-01_P0091-3 D3 NMC2 100ug]mL_09.RCC","20210108_P0090_D3_IFNg_100ngml(1).RCC","20210108_P0090_D3_IgG1_100ugml(3).RCC","20210112_30102534301221-01_P0090-11 D3 NMC2 100ug]mL_02.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210108_P0090_D3_IFNg_100ngml(2).RCC","20210108_P0090_D3_NMC2_100ugml(2).RCC","20210108_P0090_D3_NMC2_30ugml(1).RCC","20210108_P0090_D3_IgG1_100ugml(2).RCC","20210108_P0090_D3_IgG1_100ugml(1).RCC","20210108_P0090_D3_NMC2_30ugml(2).RCC","20210108_P0090_D3_NMC2_100ugml(1).RCC","20210112_30102534301221-01_P0091-5 D3 IgG1 100ug]mL_11.RCC","20210112_30102534301221-01_P0091-6 D3 NMC2 30ug]mL_12.RCC","20210112_30102534301221-01_P0091-4 D3 IFNy 100ng]mL_10.RCC","20210113_30102534541221-01_P0091-11 LUNG D3 NMC2 100ug.ml_11.RCC","20210112_30102534301221-01_P0091-2 D3 NMC2 30ug]mL_08.RCC","20210113_30102534541221-01_P0091-12 LUNG D3 IFNy 100ng.ml_12.RCC"
"HLA-A - mRNA",12.950704857826,12.0423034643367,12.0553779356334,12.0424287185985,10.0795404478477,9.89738166086595,10.0073662688086,9.82224074503493,9.77456489381029,9.97058471541632,10.0706547462128,9.83349903036332,9.61781549576012,9.95505423773572,9.90672410650866,9.82988499903047,9.87144515398593,9.74091684561099,9.85298623851329,9.93448401345467,9.93531335957758,8.48414176533172,8.22128619734537,7.92253322887039,7.77475680221392,10.4415598860581,10.5654797064975,10.2147474732676,10.3583403924444,10.3865731162296,10.4100395490566,9.6787287506418,10.1628355311276,10.1079757624336,10.4696316328754,10.6990420131067,10.7380358582643,9.98831768578466,10.3117161689949,12.8796722368011,12.8834853902273,12.8578761411621,12.9730291135504,8.95619418468182,9.74417737962962,12.3382030575153,10.773849409975,11.1417329690513,10.9343357980822,10.6472736309294,10.7145788310237,10.9211971737426,11.0863445612942,10.8145040407628,11.1197379416188,11.6515525545088,11.3176542619049,10.9409823922623,11.6419375141744,11.7125078987903,12.733308946785,9.89806114698596,12.051188358568,12.7957624413417
"HLA-B - mRNA",11.7437423828318,12.1452244226595,12.1885215390758,12.2133731818385,9.61030565231762,9.5334182596655,9.44429771860507,9.3869711524988,9.26705311252542,9.43987640138247,9.60082725817488,9.31644050458609,8.97863252573235,9.33731496997992,9.48345035234973,9.50427419144636,9.33568175189511,9.33847947085886,9.26273217136377,9.56687058180702,9.27030930010322,3.89990153342207,4.65347160813647,4.99184601639063,5.4308195266067,9.62758653914506,10.0723585113165,9.38915340595375,9.64685904385885,9.6860284365511,9.85137695142696,9.50452406585801,9.67915640687852,9.53606931507814,9.92222088547566,10.1249534925907,10.0926526315823,9.31983182454415,9.75999004687478,11.9926811475425,12.2339570844502,12.3583352946571,12.3220153217629,8.44599941310606,8.90365562305625,11.3465503884562,9.57654800726344,10.4354641272767,9.73323818475,9.46935601322395,9.5547074643437,10.0978022851992,9.63646963124763,9.3832510271394,9.76359422703602,9.92629246588245,10.2514032377466,9.49619769419973,10.6615664237423,10.7553797729168,11.8166535254187,8.87297015087627,10.891848121151,11.8307185754071
"SPP1 - mRNA",8.27661643394809,14.0771953255216,13.9567945246127,13.8924127430237,14.5296159464826,14.4627527492592,14.5082375088253,14.3805626584804,14.4038252311419,14.4725983815213,14.5910697304629,14.1472561730221,14.1310574938005,14.326451020716,14.3382210150802,14.2991052837504,14.2123160334696,14.2519990910969,14.3719479595101,14.5696800667495,14.4332452778064,3.89990153342207,4.65347160813647,4.99184601639063,5.4308195266067,10.3110524356143,10.731012980882,10.4850134936006,10.5710784763281,10.2271927168668,10.3890337666267,9.92917306071293,10.0317298041358,10.1267967778548,10.3829821390038,10.5824569469855,10.2951805196725,9.85950417110621,10.2321279655802,9.3420153762382,11.7996650206179,11.9268643947178,11.9101927328023,6.98656773448367,8.56485375727068,7.32418260825324,7.88849197284901,9.32504023570225,10.3547265088655,10.2559523485092,9.76416080047201,9.58322913625518,11.0474715965375,10.5046191074034,10.6692017965025,12.3053644528359,9.4535086528827,10.2664392813209,7.39071240800008,7.13088881119443,7.7141153188688,8.06244805516683,9.34436039050401,6.88820414027154
"LDHA - mRNA",9.54670562420821,12.6258762494365,12.6151610560097,12.6416982168795,12.898633490979,12.6479302457132,12.9198513356968,12.6341683814908,12.4878481281132,12.806023358578,12.7239571041646,12.730894957449,12.5236544347945,12.5804928636804,12.6704056754852,12.796867723114,12.7326174150525,12.5738068797419,12.368125149764,12.7736845421165,12.6037207352745,8.43351565600107,7.79502141771715,8.05683431463558,7.92362027971155,10.6114849298038,10.7241547180465,10.4254040404989,10.677658893917,10.4139746852174,10.368368044539,9.91763139515014,10.0972472474499,10.0575576593408,10.5169050405147,10.4645766592081,10.3842947209293,10.0268707250535,10.2342796462368,9.44671279254099,12.4469507590728,12.2955582032052,12.3763690606776,8.82787006730629,10.335371953515,9.68173448178229,9.11088438200869,9.35746166400882,11.5873873664327,11.5483073586892,11.5826133699441,11.3764334499343,12.2650933455418,11.9054776283178,12.1965536522004,12.9907131212058,12.2547891726717,11.8036261424899,10.1800334250703,9.86785447175372,9.7771251576769,9.3068667598093,10.5568099475447,9.63116839404987
"PKM - mRNA",9.27661643627422,12.933495714026,12.9699825379695,12.9567643983528,13.2940021272583,13.1742148203447,13.2719780156047,13.1342603847046,13.0978265528913,13.2257799390315,13.2440978305006,13.1001350346813,12.9284653334035,13.1014897234925,13.2815105548315,13.2226839269803,13.083043287147,13.034838918419,13.0700871964255,13.2603712918118,13.0317570589725,7.62616074854846,7.60237628131166,7.69426424918244,5.4308195266067,12.0830824159203,11.9108951178195,12.0570370083379,12.2890777850841,11.9859932032598,11.9352216230658,11.6511164167604,11.5458242168831,11.3458977570569,11.6780834279593,11.7936336693595,11.8032276318791,11.6942954978009,11.674625796432,9.69767444566154,11.1291421218776,11.0716526999348,11.1199748745634,9.04546155914493,9.33537195239833,9.51400715369077,9.14483185283207,9.68578757565823,10.9921565163633,10.6552224704611,10.7931122005817,10.4763139583801,11.3934451881797,11.1392749826821,11.3660827113619,12.2008176549505,11.2101412812254,11.0677396083796,9.91154459084022,10.3788163441415,10.0047925830313,8.60993586012675,10.595205342049,9.91303593443387
"ENO1 - mRNA",9.68100661831295,13.0213153398755,12.9396595556469,13.0521469499454,13.1283686836734,12.8558024540975,13.0761491594898,12.8297551505733,12.8006515077507,13.0339293975565,12.9929612355823,12.9583053434346,12.8507277552702,12.8473322889894,12.9424369180753,13.1273317487854,12.9560828466656,12.839379983794,12.7020935075088,12.9037822057927,12.9026926117133,3.89990153342207,7.74921771154996,7.77443459711337,5.4308195266067,11.3229674588831,11.2272902714969,11.326315778834,11.4386281675657,11.1825060474474,11.2038802684287,10.6580692577927,10.7487691884209,10.5881884965069,10.8655202426709,10.948567124453,10.9112967061503,10.8195192749579,10.8356324662231,9.57104096910042,11.5732672987865,11.340227313472,11.4063960276026,8.48906811248833,9.3102809077276,10.0246222938459,9.24212900343611,9.72358960303999,10.3864355003742,10.3665963592744,10.4972220379471,10.2353057803444,11.109755905072,10.7944464079458,10.847658500405,12.0733688539828,11.0242572201842,10.769216079145,10.3828502482755,10.3618434031777,10.3661919931191,8.66943679287736,10.5173647071887,10.452988729379
"B2M - mRNA",11.9965085723479,13.8551248233679,13.7235939771922,13.7662568320282,11.5275783014929,11.3156279113093,11.2696373653447,11.3330900926066,11.2307009611606,11.2563663583398,11.3219154368735,11.0780682080762,10.8519849792681,11.156820667536,11.285024971839,11.4197431733492,11.285034287604,11.1626617697019,11.0435548504402,11.3002320296209,11.3407471252941,3.89990153342207,4.65347160813647,4.99184601639063,5.4308195266067,11.5498730141932,11.5169859281078,11.248526250591,11.4910956233791,11.5300844446095,11.5814382882549,10.6406240313681,11.1916904517223,11.2281532809287,11.6363270167802,11.733739551215,11.640913470453,10.9701702408554,11.2994377819079,12.3593627091843,13.0583855215404,12.9310424306828,13.1895844981691,8.57153034896966,9.45467079682686,11.5768479390165,9.80602985044081,9.52382011656441,9.7083635159341,9.46935601322395,10.0304408360577,10.5921622731573,10.4790834245937,9.95794514040277,9.97356740167885,10.6143483687631,10.827297925207,9.96724050988305,10.406309344538,10.5232062222092,11.93742752335,9.12754303624614,11.3304211409574,11.818941471645
"RPL7A - mRNA",10.2552428555087,12.1074841701686,11.9263660390387,11.9568862282147,12.2301587070745,12.3217492217364,12.3088374136708,12.3677698608887,12.2063591964504,12.1872442280248,12.2192890742605,11.9209617519049,11.6595792848528,11.9253942565988,12.2209664721391,12.306351699529,12.0901694523088,11.971197255883,11.9789885607411,12.2798616189046,12.2516967896486,7.533051282816,4.65347160813647,4.99184601639063,5.4308195266067,10.8916880440506,10.9865342282143,11.1370902683316,11.20549214548,11.1468217488367,11.1042925676912,10.5723392887608,11.0059667929066,11.0454342287046,11.1886653541111,11.1844687492772,10.9146246407632,10.6720140356992,10.7494976249622,9.82522443440159,11.2462007158109,11.3601956639995,11.447969560267,10.2344952814579,9.00095281360595,9.84774450990224,9.71856705169722,9.30855220785191,9.57711898922541,9.60685947998733,9.92974682841076,9.58322913625518,10.1068501187476,10.4832981760117,10.0226155316298,10.9226447382141,10.6223855633608,10.7575613273566,10.5324863668837,10.3618434031777,10.2013810696886,10.3529631635825,11.1517152342474,10.3403309646534
"RPL23 - mRNA",11.1778383091419,12.9663714927859,12.8882623023528,12.7228218075907,13.3195044067903,13.3934821104503,13.3659534029165,13.4694273144843,13.3077069504494,13.1721807194901,13.233703926372,12.840362939041,12.6653118428992,12.9377946810792,13.1829484940559,13.3566018778159,13.1283139279376,13.0424532670375,13.0587641872164,13.4412535182209,13.3309975474904,7.87408823508811,4.65347160813647,4.99184601639063,5.4308195266067,11.8701949964121,12.0288923152288,12.0387251209777,12.1019176607088,12.0114942970449,12.0822543136585,11.1499222890042,11.633615552985,11.675344069083,11.9838042021128,12.0996518375247,11.7631755838476,11.5045429785361,11.6089822074326,10.7037234398208,11.9343967237786,12.0503017128279,12.1906982111421,9.46769447278259,8.86970839068429,10.7335734476907,9.3624231796901,8.67296350120489,9.91815598539389,9.95478275142539,9.4615980974234,9.5921622731573,10.6283872433256,10.2123663556079,10.3771259154702,11.2384725282765,10.7848354013952,10.6696803979771,11.0370755178631,11.1056221012508,10.6482273317792,9.48302355648113,11.4236400412345,10.2957078475599
"UBB - mRNA",11.5378816833954,12.9217644995418,12.9260145166857,12.9138912089912,12.6915671851558,12.6245662378146,12.5658643239094,12.6530368218843,12.5768742277952,12.5259328290796,12.5210584695309,12.3576906580475,12.086890045583,12.4100425264555,12.5788808911867,12.7037270301361,12.5282144283925,12.433058160254,12.4216340532093,12.6040416608391,12.5980412517503,3.89990153342207,4.65347160813647,4.99184601639063,5.4308195266067,11.6411330483813,11.4383534135129,11.5993010925391,11.6975465582171,11.5508051354469,11.6378384077298,10.7905195254019,11.2241754180181,11.2180620883968,11.4408121525255,11.7346659022631,11.3539720723944,11.0912557133206,11.1225600931666,11.372712184003,12.236686787953,11.9954992520851,12.0826693175825,9.57153034707358,8.47739080791864,10.8555640027331,9.3035295193128,8.18753678078254,9.61776091506658,9.23489065112092,9.59910150900395,9.30759481490175,10.2922053450544,10.1324429345229,9.8923275028223,10.7672558122721,10.5884382074679,10.2210904163964,10.3669963450584,10.2828920173533,10.5649718785426,9.35296316358246,10.5173647071887,10.5159405265518
