"cell type scores - log2"
"","Macrophages","Exhausted CD8","B-cells","CD45","Neutrophils","T-cells","NK CD56dim cells","Mast cells","Th1 cells"
"20201201_30102534601221-01_P0092 D3 IFNy(100ng-mL)-1_06.RCC",8.69138390660351,4.44676134943146,5.05248249726665,4.78118049343834,5.886903271533,4.96759355884128,5.51934586628472,5.44676138250921,5.24512760238005
"20201201_30102534601221-01_P0092 D3 IFNy(100ng-mL)-2_12.RCC",8.46482254152918,4.1918040008456,4.86987589609031,4.3723762279125,5.85851591057362,3.60684157906784,5.24731969651167,4.3723762279125,4.98535319321271
"20201201_30102534601221-01_P0092 D3 IgG1(250ug-mL)-1_04.RCC",7.77487742613429,3.51076992682067,4.45830259599363,4.02534317559185,5.38274067278368,3.610305676313,4.67759865488789,3.15322408847478,4.0957324697315
"20201201_30102534601221-01_P0092 D3 NMC1(30ug-mL)-1_07.RCC",8.00985645789534,3.47642407340266,3.68792828464778,3.752058544194,5.14037931584895,3.31595945458169,4.35719062521993,4.35777965097169,4.27289071074017
"20201201_30102534601221-01_P0092 D3 NMC2(30ug-mL)-1_08.RCC",8.32059991572174,4.0848124687923,5.06025953419386,4.0848124687923,5.56562276968009,4.24209789359222,5.31293564827784,5.03856453647133,4.54875922209366
"20201201_30102534601221-01_P0092 D3 NMC2(100ug-mL)-1_09.RCC",8.44141893101437,3.68653145375125,4.89598483149389,4.59342213900103,5.76251544448557,5.0440833818463,5.14893772215438,5.07884889787317,4.68653139772546
"20201201_30102534601221-01_P0092 D3 aPD1(250ug-mL)-1_05.RCC",7.98703331593052,3.79978868747478,4.48568011384534,4.63377870571638,5.20132023584674,3.92008307450792,5.29705633443651,3.8611893616283,4.59815489622939
"20201201_30102534601221-01_P0092 D3 aPD1(250ug-mL)-2_11.RCC",8.03947316298637,3.25200336261259,3.57023837288294,3.25200336261259,4.73304901364743,3.25200336261259,4.03323811731991,3.7077419960075,4.20250666282438
"20201202_30102534611221-01_P0092 D3 Control-1_10.RCC",7.79727838595604,4.19864093017772,4.65432039103761,4.49562270630633,5.46818866882127,4.27881130859096,5.04281102615157,4.8242454052112,4.95200090666329
"20201202_30102534611221-01_P0092 D3 Control-2_11.RCC",7.42404361882468,4.42404364402674,5.90947049519894,4.42404364402674,5.63918622752429,5.38751763876031,4.97955927221882,4.35004308026861,4.42404364402674
