"","Log2 fold change","std error (log2)","Lower confidence limit (log2)","Upper confidence limit (log2)","Linear fold change","Lower confidence limit (linear)","Upper confidence limit (linear)","P-value","BY.p.value","method","probe.ID"
"STAT1-mRNA",1.35,0.327,0.711,1.99,2.55,1.64,3.98,0.000327,0.276,"lm.nb","NM_007315.3:239"
"IRF1-mRNA",1.43,0.392,0.658,2.19,2.69,1.58,4.57,0.00119,0.504,"lm.nb","NM_002198.2:557"
"CD74-mRNA",1.73,0.54,0.666,2.78,3.31,1.59,6.89,0.00366,1,"lm.nb","NM_001025159.2:1161"
"CCL20-mRNA",-3.51,1.19,-5.84,-1.18,0.0877,0.0174,0.442,0.00663,1,"lm.nb","NM_001130046.1:295"
"CXCL2-mRNA",-2.92,1.05,-4.96,-0.866,0.133,0.032,0.549,0.00976,1,"lm.nb","NM_002089.1:435"
"GBP2-mRNA",1.54,0.582,0.399,2.68,2.91,1.32,6.4,0.0137,1,"lm.nb","NM_004120.4:1744"
"CXCL1-mRNA",-2.74,1.07,-4.84,-0.645,0.149,0.0349,0.64,0.0165,1,"lm.nb","NM_001511.3:743"
"NRAS-mRNA",-0.966,0.39,-1.73,-0.203,0.512,0.301,0.869,0.0199,1,"lm.nb","NM_002524.4:2168"
"HLA-DPA1-mRNA",2.17,0.896,0.412,3.92,4.49,1.33,15.2,0.0228,1,"lm.nb","NM_033554.2:857"
"ITGAV-mRNA",-1.6,0.664,-2.9,-0.298,0.33,0.134,0.813,0.0234,1,"lm.nb","NM_001144999.2:2701"
"HLA-DRA-mRNA",1.84,0.784,0.299,3.37,3.57,1.23,10.4,0.0271,1,"lm.nb","NM_019111.3:335"
"IFITM1-mRNA",1.08,0.473,0.155,2.01,2.12,1.11,4.03,0.0306,1,"lm.nb","NM_003641.3:536"
"SERPINA1-mRNA",-2.22,0.975,-4.13,-0.306,0.215,0.0573,0.809,0.0314,1,"lm.nb","NM_001127702.1:963"
"TPSAB1/B2-mRNA",-1.42,0.643,-2.68,-0.157,0.374,0.156,0.897,0.0366,1,"lm.nb","NM_003294.3:556"
"IL6-mRNA",-2.08,0.947,-3.94,-0.229,0.236,0.0651,0.853,0.0367,1,"lm.nb","NM_000600.3:484"
"CTSS-mRNA",1.28,0.588,0.13,2.43,2.43,1.09,5.4,0.0384,1,"lm.nb","NM_004079.3:685"
"HLA-DPB1-mRNA",1.6,0.745,0.134,3.06,3.02,1.1,8.32,0.0419,1,"lm.nb","NM_002121.5:987"
"CD44-mRNA",-2.02,0.949,-3.88,-0.162,0.246,0.0677,0.894,0.0427,1,"lm.nb","NM_001001392.1:566"
"VEGFA-mRNA",-0.747,0.359,-1.45,-0.0444,0.596,0.366,0.97,0.0471,1,"lm.nb","NM_001171623.1:2212"
"SPP1-mRNA",-2.28,1.11,-4.45,-0.109,0.206,0.0458,0.927,0.0497,1,"lm.nb","NM_000582.2:760"
"MYD88-mRNA",0.665,0.331,0.0166,1.31,1.59,1.01,2.49,0.0549,1,"lm.nb","NM_002468.3:2145"
"HLA-DOA-mRNA",0.652,0.329,0.00762,1.3,1.57,1.01,2.46,0.058,1,"lm.nb","NM_002119.3:3075"
"FAM124B-mRNA",0.675,0.344,0.00117,1.35,1.6,1,2.55,0.0604,1,"lm.nb","NM_001122779.1:1620"
