"","Log2 fold change","std error (log2)","Lower confidence limit (log2)","Upper confidence limit (log2)","Linear fold change","Lower confidence limit (linear)","Upper confidence limit (linear)","P-value","BY.p.value","method","probe.ID"
"ATF3-mRNA",3.8,0.343,3.13,4.47,13.9,8.74,22.2,2.36e-11,1.99e-08,"lm.nb","NM_001674.3:1487"
"EGR1-mRNA",3,0.394,2.23,3.77,8,4.69,13.7,4.32e-08,1.34e-05,"lm.nb","NM_001964.2:2034"
"CD74-mRNA",4.09,0.539,3.03,5.14,17,8.17,35.3,4.76e-08,1.34e-05,"lm.nb","NM_001025159.2:1161"
"CXCL14-mRNA",2.76,0.373,2.02,3.49,6.75,4.07,11.2,7.62e-08,1.61e-05,"lm.nb","NM_004887.4:990"
"SGK1-mRNA",2.35,0.324,1.71,2.98,5.09,3.28,7.91,1.06e-07,1.8e-05,"lm.nb","NM_005627.3:1621"
"IRF1-mRNA",2.71,0.385,1.95,3.46,6.53,3.87,11,1.81e-07,2.54e-05,"lm.nb","NM_002198.2:557"
"HLA-DPB1-mRNA",4.93,0.741,3.47,6.38,30.4,11.1,83.2,4.72e-07,5.69e-05,"lm.nb","NM_002121.5:987"
"NFKBIA-mRNA",4.4,0.672,3.08,5.71,21,8.45,52.4,6.18e-07,6.24e-05,"lm.nb","NM_020529.2:1361"
"HLA-DPA1-mRNA",5.81,0.892,4.06,7.56,56.2,16.7,189,6.65e-07,6.24e-05,"lm.nb","NM_033554.2:857"
"HLA-DRA-mRNA",4.94,0.783,3.41,6.47,30.7,10.6,88.9,1.11e-06,9.4e-05,"lm.nb","NM_019111.3:335"
"DUSP1-mRNA",4.37,0.753,2.9,5.85,20.7,7.45,57.7,4.06e-06,0.000312,"lm.nb","NM_004417.3:1428"
"HLA-DRB1-mRNA",2.98,0.614,1.77,4.18,7.87,3.42,18.1,5.01e-05,0.00353,"lm.nb","NM_002124.3:1016"
"TGFB1-mRNA",1.9,0.399,1.12,2.68,3.73,2.17,6.42,6.31e-05,0.0041,"lm.nb","NM_000660.4:1473"
"CEBPB-mRNA",1.78,0.388,1.02,2.54,3.44,2.03,5.83,9.64e-05,0.00582,"lm.nb","NM_005194.3:1731"
"GBP2-mRNA",2.6,0.577,1.47,3.73,6.05,2.76,13.3,0.000126,0.00702,"lm.nb","NM_004120.4:1744"
"HLA-E-mRNA",3.07,0.687,1.72,4.42,8.4,3.3,21.4,0.000136,0.00702,"lm.nb","NM_005516.5:1287"
"CDKN1A-mRNA",1.26,0.283,0.707,1.82,2.4,1.63,3.52,0.000141,0.00702,"lm.nb","NM_000389.2:1975"
"THBS1-mRNA",3.37,0.765,1.87,4.87,10.3,3.66,29.2,0.000161,0.00732,"lm.nb","NM_003246.2:3816"
"STAT1-mRNA",1.44,0.326,0.796,2.08,2.71,1.74,4.22,0.000164,0.00732,"lm.nb","NM_007315.3:239"
"APOE-mRNA",2.91,0.669,1.6,4.22,7.5,3.02,18.6,0.00019,0.00804,"lm.nb","NM_000041.2:96"
"CCL3/L1-mRNA",3.99,0.947,2.14,5.85,15.9,4.39,57.5,0.000266,0.0107,"lm.nb","NM_021006.5:411"
"MS4A1-mRNA",-1.67,0.407,-2.47,-0.874,0.314,0.181,0.546,0.000354,0.0136,"lm.nb","NM_021950.3:161"
"CTSS-mRNA",2.29,0.586,1.14,3.44,4.89,2.21,10.9,0.000598,0.022,"lm.nb","NM_004079.3:685"
"IFITM1-mRNA",1.82,0.469,0.9,2.74,3.53,1.87,6.68,0.000642,0.0226,"lm.nb","NM_003641.3:536"
"VCAM1-mRNA",2.58,0.686,1.24,3.93,6,2.36,15.2,0.000857,0.029,"lm.nb","NM_001078.3:2535"
"TNFSF10-mRNA",2.95,0.816,1.35,4.55,7.71,2.54,23.4,0.00129,0.0418,"lm.nb","NM_003810.3:155"
"PPARGC1B-mRNA",-1.32,0.383,-2.07,-0.567,0.401,0.239,0.675,0.00196,0.0615,"lm.nb","NM_001172699.1:1010"
"CCL4-mRNA",2.28,0.681,0.945,3.62,4.86,1.93,12.3,0.00249,0.0752,"lm.nb","NM_002984.2:35"
"BCL2L1-mRNA",1,0.307,0.403,1.61,2.01,1.32,3.04,0.003,0.0867,"lm.nb","NM_001191.3:1421"
"CTNNB1-mRNA",2.03,0.626,0.801,3.25,4.08,1.74,9.54,0.00326,0.0867,"lm.nb","NM_001098209.1:1938"
"IFI16-mRNA",2.36,0.729,0.932,3.79,5.14,1.91,13.8,0.00328,0.0867,"lm.nb","NM_001206567.1:2351"
"ITGB2-mRNA",1.8,0.556,0.71,2.89,3.48,1.64,7.4,0.00328,0.0867,"lm.nb","NM_000211.3:1412"
"TYMP-mRNA",1.62,0.524,0.592,2.65,3.07,1.51,6.26,0.00473,0.121,"lm.nb","NM_001113755.2:645"
"HLA-C-mRNA",1.74,0.573,0.62,2.87,3.35,1.54,7.29,0.00531,0.132,"lm.nb","NM_002117.4:898"
"IL6-mRNA",-2.87,0.952,-4.74,-1.01,0.137,0.0375,0.498,0.00565,0.136,"lm.nb","NM_000600.3:484"
"PTGS2-mRNA",-1.98,0.661,-3.27,-0.681,0.254,0.104,0.624,0.00603,0.141,"lm.nb","NM_000963.1:495"
"IER3-mRNA",2.21,0.755,0.726,3.69,4.62,1.65,12.9,0.00712,0.163,"lm.nb","NM_003897.3:204"
"IFNGR2-mRNA",2.3,0.794,0.74,3.85,4.91,1.67,14.4,0.00764,0.17,"lm.nb","NM_005534.3:1963"
"CYBB-mRNA",2.37,0.825,0.756,3.99,5.18,1.69,15.9,0.00793,0.172,"lm.nb","NM_000397.3:1034"
"HLA-B-mRNA",2.54,0.893,0.791,4.29,5.82,1.73,19.6,0.00852,0.176,"lm.nb","NM_005514.6:1247"
"GLUL-mRNA",1.95,0.685,0.603,3.29,3.85,1.52,9.77,0.00863,0.176,"lm.nb","NM_002065.6:1485"
"KIR2DL3-mRNA",-1.44,0.507,-2.43,-0.443,0.369,0.185,0.735,0.00877,0.176,"lm.nb","NM_015868.2:145"
"TREM2-mRNA",1.41,0.503,0.424,2.4,2.66,1.34,5.26,0.00945,0.186,"lm.nb","NM_018965.3:848"
"CXCR4-mRNA",2.27,0.822,0.66,3.88,4.83,1.58,14.7,0.0104,0.198,"lm.nb","NM_001008540.1:1060"
"IFI27-mRNA",2.37,0.861,0.685,4.06,5.18,1.61,16.7,0.0106,0.198,"lm.nb","NM_005532.3:390"
"CCL5-mRNA",1.32,0.485,0.365,2.27,2.49,1.29,4.81,0.0117,0.215,"lm.nb","NM_002985.2:277"
"DUSP5-mRNA",1.84,0.685,0.495,3.18,3.57,1.41,9.06,0.0125,0.226,"lm.nb","NM_004419.3:675"
"IL10RA-mRNA",0.986,0.373,0.255,1.72,1.98,1.19,3.29,0.0137,0.241,"lm.nb","NM_001558.2:150"
"HLA-A-mRNA",2.01,0.763,0.513,3.5,4.02,1.43,11.4,0.0141,0.243,"lm.nb","NM_002116.7:298"
"CD47-mRNA",2.13,0.817,0.523,3.73,4.36,1.44,13.2,0.0152,0.256,"lm.nb","NM_001777.3:901"
"ICAM1-mRNA",2.21,0.872,0.5,3.92,4.62,1.41,15.1,0.0177,0.293,"lm.nb","NM_000201.2:2253"
"VEGFA-mRNA",0.865,0.344,0.19,1.54,1.82,1.14,2.91,0.0186,0.302,"lm.nb","NM_001171623.1:2212"
