"","Log2 fold change","std error (log2)","Lower confidence limit (log2)","Upper confidence limit (log2)","Linear fold change","Lower confidence limit (linear)","Upper confidence limit (linear)","P-value","BY.p.value","method","probe.ID"
"CDKN1A-mRNA",0.639,0.251,0.147,1.13,1.56,1.11,2.19,0.0173,1,"lm.nb","NM_000389.2:1975"
"VEGFA-mRNA",-0.648,0.307,-1.25,-0.0454,0.638,0.42,0.969,0.0449,1,"lm.nb","NM_001171623.1:2212"
"ATF3-mRNA",0.625,0.313,0.011,1.24,1.54,1.01,2.36,0.0566,1,"lm.nb","NM_001674.3:1487"
"ITPK1-mRNA",0.501,0.298,-0.0824,1.08,1.42,0.944,2.12,0.104,1,"lm.nb","NM_001142593.2:958"
"KRAS-mRNA",0.598,0.377,-0.141,1.34,1.51,0.907,2.53,0.125,1,"lm.nb","NM_004985.3:1790"
"IL10RA-mRNA",0.519,0.33,-0.127,1.17,1.43,0.916,2.24,0.127,1,"lm.nb","NM_001558.2:150"
"AQP9-mRNA",0.555,0.361,-0.153,1.26,1.47,0.9,2.4,0.136,1,"lm.nb","NM_001320635.1:753"
"OASL-mRNA",0.369,0.259,-0.138,0.876,1.29,0.909,1.84,0.166,1,"lm.nb","NM_003733.2:1570"
"EGR1-mRNA",0.468,0.348,-0.215,1.15,1.38,0.862,2.22,0.19,1,"lm.nb","NM_001964.2:2034"
"OAS3-mRNA",0.356,0.283,-0.2,0.911,1.28,0.871,1.88,0.221,1,"lm.nb","NM_006187.3:2354"
"CTSS-mRNA",0.634,0.511,-0.367,1.64,1.55,0.775,3.11,0.226,1,"lm.nb","NM_004079.3:685"
"HLA-DPA1-mRNA",0.959,0.782,-0.574,2.49,1.94,0.672,5.62,0.231,1,"lm.nb","NM_033554.2:857"
"VCAM1-mRNA",-0.735,0.603,-1.92,0.447,0.601,0.265,1.36,0.234,1,"lm.nb","NM_001078.3:2535"
"IER3-mRNA",0.781,0.66,-0.511,2.07,1.72,0.702,4.21,0.247,1,"lm.nb","NM_003897.3:204"
"MYD88-mRNA",0.34,0.292,-0.232,0.912,1.27,0.851,1.88,0.255,1,"lm.nb","NM_002468.3:2145"
"DNMT1-mRNA",0.696,0.638,-0.555,1.95,1.62,0.68,3.86,0.286,1,"lm.nb","NM_001130823.2:2500"
"TLR2-mRNA",-0.434,0.407,-1.23,0.364,0.74,0.426,1.29,0.296,1,"lm.nb","NM_001318787.1:484"
"KIR2DL3-mRNA",0.448,0.423,-0.381,1.28,1.36,0.768,2.43,0.299,1,"lm.nb","NM_015868.2:145"
"FAM124B-mRNA",0.32,0.302,-0.273,0.913,1.25,0.828,1.88,0.3,1,"lm.nb","NM_001122779.1:1620"
"BCL2L1-mRNA",0.281,0.272,-0.253,0.815,1.22,0.839,1.76,0.312,1,"lm.nb","NM_001191.3:1421"
