"","< 25","25 - 50","50 - 100","> 100"
"NM_001783.3:618",1,0,0,0
"NM_001166663.1:1037",1,0,0,0
"NM_001327.2:285",1,0,0,0
"NM_001322.2:201",1,0,0,0
"NM_004131.4:621",1,0,0,0
"NM_006301.3:2680",1,0,0,0
"NM_020056.4:90",1,0,0,0
"NM_001098725.1:370",1,0,0,0
"NM_001790.4:1056",1,0,0,0
"NM_005860.2:255",0.966666666666667,0.0333333333333333,0,0
"NM_001033667.2:339",0.966666666666667,0.0333333333333333,0,0
"NM_001192.2:305",0.966666666666667,0.0333333333333333,0,0
"NM_001085357.1:382",0.966666666666667,0.0333333333333333,0,0
"NM_001288998.1:1706",0.966666666666667,0.0333333333333333,0,0
"NM_001039933.1:884",0.933333333333333,0.0666666666666667,0,0
"NM_022153.1:185",0.933333333333333,0.0666666666666667,0,0
"NM_001185176.1:916",0.933333333333333,0.0666666666666667,0,0
"NM_003106.2:151",0.933333333333333,0.0666666666666667,0,0
"NM_001008541.1:2037",0.933333333333333,0.0666666666666667,0,0
"NM_003014.2:1060",0.933333333333333,0.0666666666666667,0,0
"NM_004460.2:236",0.933333333333333,0.0666666666666667,0,0
"NM_002192.2:1914",0.933333333333333,0.0666666666666667,0,0
"NM_012242.2:525",0.933333333333333,0.0666666666666667,0,0
"NM_002190.2:183",0.933333333333333,0.0666666666666667,0,0
"ERCC_00098.1:785",0.933333333333333,0.0666666666666667,0,0
"NM_000885.5:1019",0.9,0,0.0333333333333333,0.0666666666666667
"NM_001145648.1:2843",0.9,0.1,0,0
"NM_001778.3:413",0.9,0.0666666666666667,0.0333333333333333,0
"NM_006144.3:215",0.9,0.1,0,0
"NM_172004.3:357",0.9,0.1,0,0
"NM_000615.6:1134",0.9,0.1,0,0
"NM_001100122.1:1686",0.9,0.1,0,0
"NM_001111045.1:892",0.9,0.1,0,0
"NM_006564.1:97",0.9,0.1,0,0
"NM_006941.3:2601",0.9,0.1,0,0
"NM_005045.3:988",0.9,0.1,0,0
"ERCC_00076.1:355",0.9,0.1,0,0
"ERCC_00096.1:230",0.9,0.1,0,0
"NM_002253.2:336",0.866666666666667,0.0333333333333333,0,0.1
"NM_004369.3:3293",0.866666666666667,0.133333333333333,0,0
"NM_002104.2:634",0.866666666666667,0.1,0.0333333333333333,0
"NM_000247.1:550",0.866666666666667,0.133333333333333,0,0
"NM_006845.2:1020",0.866666666666667,0.133333333333333,0,0
"NM_147164.2:1151",0.866666666666667,0.133333333333333,0,0
"NM_001015053.1:2169",0.866666666666667,0.133333333333333,0,0
"NM_000537.3:356",0.866666666666667,0.0333333333333333,0,0.1
"NM_001243.3:549",0.866666666666667,0.133333333333333,0,0
"NM_006737.2:884",0.866666666666667,0.1,0.0333333333333333,0
"NM_002364.4:1026",0.866666666666667,0.133333333333333,0,0
"NM_001228.4:762",0.866666666666667,0.133333333333333,0,0
"NM_018131.3:570",0.866666666666667,0.133333333333333,0,0
"NM_012435.2:681",0.866666666666667,0.133333333333333,0,0
"NM_014862.3:1133",0.866666666666667,0.0666666666666667,0.0666666666666667,0
"ERCC_00144.1:15",0.866666666666667,0.1,0.0333333333333333,0
"NM_015366.3:1635",0.833333333333333,0.166666666666667,0,0
"NM_005408.2:129",0.833333333333333,0.133333333333333,0.0333333333333333,0
"NM_000639.2:605",0.833333333333333,0.166666666666667,0,0
"NM_172348.1:535",0.833333333333333,0.166666666666667,0,0
"NM_001001523.1:2839",0.833333333333333,0.166666666666667,0,0
"NM_000267.3:1260",0.833333333333333,0.166666666666667,0,0
"NM_000578.3:1679",0.833333333333333,0.166666666666667,0,0
"NM_000214.2:3509",0.833333333333333,0.0666666666666667,0,0.1
"NM_003745.1:1022",0.833333333333333,0.166666666666667,0,0
"NM_001079821.2:3335",0.833333333333333,0.133333333333333,0.0333333333333333,0
"NM_003747.2:1948",0.833333333333333,0.166666666666667,0,0
"NM_002112.3:1646",0.833333333333333,0.166666666666667,0,0
"NM_005618.3:1520",0.833333333333333,0.133333333333333,0.0333333333333333,0
"NM_001289023.2:864",0.833333333333333,0.1,0.0666666666666667,0
"NM_001079.3:1175",0.833333333333333,0.166666666666667,0,0
"NM_001330465.1:780",0.833333333333333,0.166666666666667,0,0
"NM_001190720.2:1891",0.833333333333333,0.166666666666667,0,0
"NM_001165136.1:883",0.833333333333333,0.166666666666667,0,0
"NM_001130852.1:657",0.833333333333333,0.166666666666667,0,0
"ERCC_00041.1:440",0.833333333333333,0.166666666666667,0,0
"NM_001178130.2:2167",0.8,0.166666666666667,0.0333333333333333,0
"NM_001128128.2:2292",0.8,0.1,0.0333333333333333,0.0666666666666667
"NM_004513.4:1262",0.8,0.166666666666667,0.0333333333333333,0
"NM_000300.2:715",0.8,0.166666666666667,0.0333333333333333,0
"NM_025239.3:235",0.8,0.2,0,0
"NM_000949.5:990",0.8,0.166666666666667,0.0333333333333333,0
"NM_001066.2:596",0.8,0.1,0.1,0
"NM_182948.2:805",0.8,0.166666666666667,0.0333333333333333,0
"NM_007360.3:522",0.8,0.2,0,0
"NM_001083116.1:631",0.8,0.2,0,0
"NM_006015.4:1670",0.8,0.166666666666667,0.0333333333333333,0
"NM_001144925.2:1369",0.8,0.2,0,0
"NM_001184879.1:1015",0.8,0.1,0.1,0
"NM_016249.3:327",0.8,0.2,0,0
"NM_002639.4:90",0.8,0.2,0,0
"NM_001546.3:2048",0.8,0.1,0.0333333333333333,0.0666666666666667
"NM_001242.4:326",0.8,0.2,0,0
"NM_002123.3:384",0.8,0.1,0,0.1
"NM_019055.5:3080",0.8,0.2,0,0
"NM_000045.3:744",0.8,0.2,0,0
"NM_080921.3:258",0.8,0.1,0,0.1
"NM_000625.4:1005",0.8,0.2,0,0
"NM_002417.2:2005",0.8,0.133333333333333,0.0666666666666667,0
"NM_007019.2:445",0.8,0.1,0.1,0
"NM_001271893.3:617",0.8,0.2,0,0
"NM_003121.3:1029",0.8,0.2,0,0
"NM_014442.2:1672",0.8,0.2,0,0
"NM_012092.3:591",0.8,0.166666666666667,0.0333333333333333,0
"NM_021798.3:744",0.8,0.2,0,0
"NM_002608.2:1941",0.8,0.2,0,0
"ERCC_00154.1:115",0.8,0.2,0,0
"NM_001126336.2:394",0.766666666666667,0.1,0.0333333333333333,0.1
"NM_001166386.1:567",0.766666666666667,0.233333333333333,0,0
"NM_002226.4:5480",0.766666666666667,0.2,0.0333333333333333,0
"NM_001317163.1:2212",0.766666666666667,0.233333333333333,0,0
"NM_000215.2:1715",0.766666666666667,0.2,0.0333333333333333,0
