"","20210112_30102534301221-01_P0091-3 D0 media_06.RCC","20210113_30102534541221-01_P0091-7 LUNG D3 NMC2 100ug.ml_07.RCC","20210113_30102534541221-01_P0091-8 LUNG D3 IFNy 100ng.ml_08.RCC","20210113_30102534541221-01_P0091-9 LUNG D3 IgG1 100ug.ml_09.RCC","20210113_30102534541221-01_P0091-10 LUNG D3 NMC2 30ug.ml_10.RCC","20210112_30102534301221-01_P0091-2 D0 media_05.RCC","20210108_P0090_D0_Control(3).RCC","20210108_P0090_D0_Control(1).RCC","20210108_P0090_D0_Control(2).RCC","20210112_30102534301221-01_P0091-1 D3 IgG1 100ug]mL_07.RCC","20210112_30102534301221-01_P0090-12 D3 IFNy 100ng]mL_03.RCC","20210112_30102534301221-01_P0091-1 D0 media_04.RCC","20210112_30102534301221-01_P0091-3 D3 NMC2 100ug]mL_09.RCC","20210108_P0090_D3_IFNg_100ngml(1).RCC","20210108_P0090_D3_IgG1_100ugml(3).RCC","20210112_30102534301221-01_P0090-11 D3 NMC2 100ug]mL_02.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210108_P0090_D3_IFNg_100ngml(2).RCC","20210108_P0090_D3_NMC2_100ugml(2).RCC","20210108_P0090_D3_NMC2_30ugml(1).RCC","20210108_P0090_D3_IgG1_100ugml(2).RCC","20210108_P0090_D3_IgG1_100ugml(1).RCC","20210108_P0090_D3_NMC2_30ugml(2).RCC","20210108_P0090_D3_NMC2_100ugml(1).RCC","20210112_30102534301221-01_P0091-5 D3 IgG1 100ug]mL_11.RCC","20210112_30102534301221-01_P0091-6 D3 NMC2 30ug]mL_12.RCC","20210112_30102534301221-01_P0091-4 D3 IFNy 100ng]mL_10.RCC","20210113_30102534541221-01_P0091-11 LUNG D3 NMC2 100ug.ml_11.RCC","20210112_30102534301221-01_P0091-2 D3 NMC2 30ug]mL_08.RCC","20210113_30102534541221-01_P0091-12 LUNG D3 IFNy 100ng.ml_12.RCC"
"RPL7A - mRNA",10.2552428555087,7.533051282816,4.65347160813647,4.99184601639063,5.4308195266067,9.82522443440159,11.2462007158109,11.3601956639995,11.447969560267,10.2344952814579,9.00095281360595,9.84774450990224,9.71856705169722,9.30855220785191,9.57711898922541,9.60685947998733,9.92974682841076,9.58322913625518,10.1068501187476,10.4832981760117,10.0226155316298,10.9226447382141,10.6223855633608,10.7575613273566,10.5324863668837,10.3618434031777,10.2013810696886,10.3529631635825,11.1517152342474,10.3403309646534
"RPL23 - mRNA",11.1778383091419,7.87408823508811,4.65347160813647,4.99184601639063,5.4308195266067,10.7037234398208,11.9343967237786,12.0503017128279,12.1906982111421,9.46769447278259,8.86970839068429,10.7335734476907,9.3624231796901,8.67296350120489,9.91815598539389,9.95478275142539,9.4615980974234,9.5921622731573,10.6283872433256,10.2123663556079,10.3771259154702,11.2384725282765,10.7848354013952,10.6696803979771,11.0370755178631,11.1056221012508,10.6482273317792,9.48302355648113,11.4236400412345,10.2957078475599
"LYZ - mRNA",11.4745557076892,3.89990153342207,4.65347160813647,4.99184601639063,5.4308195266067,11.9449636506831,12.0934448069671,12.1309701725921,12.2437022175713,9.77664477065031,7.64731579766713,10.6370654922516,9.9473857249782,8.99489168233889,10.5702325742064,9.45120859535778,9.66323190441303,8.0071997743053,11.7983122942875,9.25492681963167,10.7393466544023,10.3790849524188,8.75070964218807,9.64458950199373,8.99643357573682,9.86785447175372,11.8463396284913,8.3976322048984,10.8989492299512,9.55116915235295
"UBB - mRNA",11.5378816833954,3.89990153342207,4.65347160813647,4.99184601639063,5.4308195266067,11.372712184003,12.236686787953,11.9954992520851,12.0826693175825,9.57153034707358,8.47739080791864,10.8555640027331,9.3035295193128,8.18753678078254,9.61776091506658,9.23489065112092,9.59910150900395,9.30759481490175,10.2922053450544,10.1324429345229,9.8923275028223,10.7672558122721,10.5884382074679,10.2210904163964,10.3669963450584,10.2828920173533,10.5649718785426,9.35296316358246,10.5173647071887,10.5159405265518
"B2M - mRNA",11.9965085723479,3.89990153342207,4.65347160813647,4.99184601639063,5.4308195266067,12.3593627091843,13.0583855215404,12.9310424306828,13.1895844981691,8.57153034896966,9.45467079682686,11.5768479390165,9.80602985044081,9.52382011656441,9.7083635159341,9.46935601322395,10.0304408360577,10.5921622731573,10.4790834245937,9.95794514040277,9.97356740167885,10.6143483687631,10.827297925207,9.96724050988305,10.406309344538,10.5232062222092,11.93742752335,9.12754303624614,11.3304211409574,11.818941471645
"HLA-B - mRNA",11.7437423828318,3.89990153342207,4.65347160813647,4.99184601639063,5.4308195266067,11.9926811475425,12.2339570844502,12.3583352946571,12.3220153217629,8.44599941310606,8.90365562305625,11.3465503884562,9.57654800726344,10.4354641272767,9.73323818475,9.46935601322395,9.5547074643437,10.0978022851992,9.63646963124763,9.3832510271394,9.76359422703602,9.92629246588245,10.2514032377466,9.49619769419973,10.6615664237423,10.7553797729168,11.8166535254187,8.87297015087627,10.891848121151,11.8307185754071
"HLA-A - mRNA",12.950704857826,8.48414176533172,8.22128619734537,7.92253322887039,7.77475680221392,12.8796722368011,12.8834853902273,12.8578761411621,12.9730291135504,8.95619418468182,9.74417737962962,12.3382030575153,10.773849409975,11.1417329690513,10.9343357980822,10.6472736309294,10.7145788310237,10.9211971737426,11.0863445612942,10.8145040407628,11.1197379416188,11.6515525545088,11.3176542619049,10.9409823922623,11.6419375141744,11.7125078987903,12.733308946785,9.89806114698596,12.051188358568,12.7957624413417
"ALDOA - mRNA",8.5814709281911,7.94808886972482,8.00447475156886,8.11957014779286,7.71062642646526,9.03167529395129,10.8865305146743,10.6731721066782,10.7830629748123,8.1564928092411,8.56485375727068,9.13153750844699,8.62545758406268,10.1965255872773,10.4097678408374,10.0422456768215,10.1396700027918,9.79920660914483,10.8037055554519,10.3561392093381,10.548796044692,11.4500655633037,10.7255514060808,10.3330193704541,8.97567490872123,9.28289201735332,9.2990777463036,8.21000524200663,9.62120051740768,9.73508742308303
"OAZ1 - mRNA",10.2766164362742,8.14972262396051,8.11694958925612,7.8503834434195,7.92362027971155,9.99268114683443,10.7131248959784,10.7733728607013,10.7088291983622,8.68700750338138,7.79931897890579,9.90914506246011,9.52592195956672,7.99489168233889,9.68305242897681,9.23489065112092,9.0141390064226,8.8522250709722,10.1526538841608,9.60344920528096,9.86569231041077,10.4818111315724,9.87911541589077,9.39236171197795,9.3590035116876,9.87982720372612,9.88404043405765,7.84743514174147,10.0448001494485,9.42563812202093
"LDHA - mRNA",9.54670562420821,8.43351565600107,7.79502141771715,8.05683431463558,7.92362027971155,9.44671279254099,12.4469507590728,12.2955582032052,12.3763690606776,8.82787006730629,10.335371953515,9.68173448178229,9.11088438200869,9.35746166400882,11.5873873664327,11.5483073586892,11.5826133699441,11.3764334499343,12.2650933455418,11.9054776283178,12.1965536522004,12.9907131212058,12.2547891726717,11.8036261424899,10.1800334250703,9.86785447175372,9.7771251576769,9.3068667598093,10.5568099475447,9.63116839404987
