"","20210113_30102534541221-01_P0091-10 LUNG D3 NMC2 30ug.ml_10.RCC","20210113_30102534541221-01_P0091-7 LUNG D3 NMC2 100ug.ml_07.RCC","20210113_30102534541221-01_P0091-7 LUNG D3 NMC2 100ug.ml_07.RCC","20210113_30102534541221-01_P0091-7 LUNG D3 NMC2 100ug.ml_07.RCC","20210108_P0090_D3_NMC2_30ugml(1).RCC","20210108_P0090_D3_NMC2_100ugml(1).RCC","20210108_P0090_D0_Control(2).RCC","20210108_P0090_D0_Control(1).RCC","20210108_P0090_D0_Control(3).RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210113_30102534541221-01_P0091-7 LUNG D3 NMC2 100ug.ml_07.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210108_P0090_D3_IgG1_100ugml(1).RCC","20210108_P0090_D3_IFNg_100ngml(1).RCC","20210113_30102534541221-01_P0091-7 LUNG D3 NMC2 100ug.ml_07.RCC","20210108_P0090_D3_IgG1_100ugml(1).RCC","20210108_P0090_D3_NMC2_100ugml(1).RCC","20210108_P0090_D3_NMC2_30ugml(1).RCC","20210108_P0090_D3_IFNg_100ngml(1).RCC","20210108_P0090_D3_IgG1_100ugml(1).RCC"
"POS_A(128) - mRNA",93216,55149,51581,43738,41694,40929,41956,39148,38380,13314,14585,15440,15152,9460,7200,6100,5750,5646,19129,20805,23137,22601,32212,33020,31887,33726,32258,29036,29387,28117
"POS_B(32) - mRNA",28681,18274,18067,15555,15446,15155,16301,15263,15439,4808,5753,5126,5747,3944,2413,2034,1984,2060,6895,8183,8230,7731,13763,11925,11653,12925,12543,12039,11496,10521
"POS_C(8) - mRNA",7330,4497,4504,3837,3740,3721,4078,3615,3643,1200,1426,1370,1411,812,642,539,543,550,1707,2035,2086,2198,3169,2821,2665,3136,2976,2854,2790,2562
"HLA-DRB5 - mRNA",32,18,17,20,70,138,3018,2600,2036,6,8,2,6,6,22,19,8,4,6,8,24,9,193,108,18,140,139,121,48,45
"HLA-DPA1 - mRNA",35,28,194,31,35,56,2481,1978,1708,37,93,89,18,14,11,14,70,23,11,100,15,265,74,34,20,48,45,61,23,17
"HLA-B - mRNA",19,15,1107,114,188,360,2839,2325,2112,222,481,260,58,11,43,64,188,222,33,608,80,584,594,230,20,300,179,532,190,117
"LYZ - mRNA",25,24,228,82,172,399,2689,1986,1916,120,491,159,75,10,18,69,156,70,83,611,79,565,813,54,14,590,801,188,70,209
"RPL23 - mRNA",29,28,382,174,334,812,2592,1878,1716,283,214,170,50,19,42,60,127,288,67,879,112,239,1475,162,14,459,356,770,56,133
"UBB - mRNA",25,18,445,159,316,595,2405,1808,2116,160,202,185,48,9,32,66,163,181,72,469,68,380,1064,133,16,328,282,672,40,108
"SPP1 - mRNA",23,16,36,65,409,614,2134,1724,1563,18,28,16,18,11,34,74,17,23,12,208,138,93,3090,161,15,562,476,306,88,180
"PKM - mRNA",43,35,293,95,635,1070,1234,953,982,171,137,73,43,16,58,151,34,132,50,495,182,119,2874,299,28,911,605,1034,113,280
"ENO1 - mRNA",28,37,426,99,500,870,1505,1148,1336,169,176,104,46,13,57,123,45,183,34,469,149,109,2631,253,31,636,497,909,116,184
"PLOD2 - mRNA",17,16,17,13,412,746,718,622,682,12,9,10,4,6,41,128,3,14,5,12,160,7,2222,254,17,727,294,853,94,252
"TPI1 - mRNA",15,22,229,98,384,723,1062,830,851,100,108,73,29,10,37,77,25,106,44,328,116,75,1567,160,18,440,342,721,125,157
"ALDOA - mRNA",44,47,259,72,369,643,977,723,830,80,84,56,30,20,34,96,21,69,27,252,119,75,1708,187,37,517,402,739,161,187
"CXCL8 - mRNA",28,27,56,22,821,1893,1003,886,798,22,60,54,8,9,16,175,29,33,12,117,317,69,1036,240,15,813,1200,3273,20,293
"POS_D(2) - mRNA",1631,993,919,827,797,807,850,765,755,300,298,278,309,188,141,98,126,132,356,446,451,473,624,578,511,624,621,584,539,546
"CCL20 - mRNA",33,22,43,20,283,421,160,168,158,11,12,32,5,14,8,53,21,25,7,36,132,58,313,37,8,404,627,1019,11,80
"CXCL1 - mRNA",28,30,43,31,430,423,202,192,191,15,17,42,10,13,25,74,12,23,12,27,158,34,407,58,23,599,552,1072,22,150
