"","Log2 fold change","std error (log2)","Lower confidence limit (log2)","Upper confidence limit (log2)","Linear fold change","Lower confidence limit (linear)","Upper confidence limit (linear)","P-value","BY.p.value","method","probe.ID"
"HLA-DPA1-mRNA",-5.9,0.971,-7.81,-4,0.0167,0.00447,0.0624,8.54e-07,0.00252,"lm.nb","NM_033554.2:857"
"HLA-DRA-mRNA",-5.67,0.971,-7.57,-3.76,0.0197,0.00526,0.0736,1.75e-06,0.00258,"lm.nb","NM_019111.3:335"
"HLA-DQA1-mRNA",-7.39,1.3,-9.95,-4.83,0.00595,0.00101,0.035,2.86e-06,0.00281,"lm.nb","NM_002122.3:258"
"HLA-DPB1-mRNA",-3.92,0.736,-5.36,-2.48,0.066,0.0243,0.179,7.63e-06,0.00531,"lm.nb","NM_002121.5:987"
"A2M-mRNA",-5.95,1.13,-8.16,-3.73,0.0162,0.00349,0.0752,9.22e-06,0.00531,"lm.nb","NM_000014.4:1685"
"HLA-DRB5-mRNA",-6.45,1.24,-8.88,-4.02,0.0114,0.00212,0.0614,1.08e-05,0.00531,"lm.nb","NM_002125.3:135"
"ATF3-mRNA",-2.63,0.526,-3.66,-1.6,0.162,0.0792,0.33,1.98e-05,0.00669,"lm.nb","NM_001674.3:1487"
"CD74-mRNA",-3.45,0.691,-4.8,-2.09,0.0918,0.0359,0.235,2.05e-05,0.00669,"lm.nb","NM_001025159.2:1161"
"SGK1-mRNA",-1.99,0.402,-2.78,-1.21,0.251,0.146,0.434,2.23e-05,0.00669,"lm.nb","NM_005627.3:1621"
"C1QB-mRNA",-4.79,0.966,-6.68,-2.89,0.0362,0.00974,0.135,2.27e-05,0.00669,"lm.nb","NM_000491.3:816"
"FLT1-mRNA",-6.07,1.24,-8.5,-3.65,0.0149,0.00276,0.0798,2.6e-05,0.00696,"lm.nb","NM_002019.4:530"
"HLA-DRB1-mRNA",-5.44,1.15,-7.7,-3.18,0.0231,0.00482,0.11,4.51e-05,0.0111,"lm.nb","NM_002124.3:1016"
"HLA-B-mRNA",-2.1,0.448,-2.98,-1.22,0.233,0.127,0.428,4.89e-05,0.0111,"lm.nb","NM_005514.6:1247"
