"","ProbeID","Codeset.Name","Probe.Label","Analyte.Type","Is.Control","Control.Type","Related.Probes","Probe.Annotation","KEGG.Pathways","Cell.Type","Official.Gene.Name","probeLabel.Type","below.threshold"
"SPP1 - mRNA","NM_000582.2:760","NS_IO_360_V1.0","SPP1","mRNA",0,"","","PI3K-Akt;Matrix Remodeling and Metastasis;Costimulatory Signaling","hsa04151;hsa04510;hsa04512;hsa04620","","SPP1","SPP1 - mRNA","False"
"LDHA - mRNA","NM_001135239.1:1053","NS_IO_360_V1.0","LDHA","mRNA",0,"","","Metabolic Stress;Hypoxia","hsa00010;hsa00270;hsa00620;hsa04066;hsa04922;hsa05230","","LDHA","LDHA - mRNA","False"
"PKM - mRNA","NM_001206796.2:1533","NS_IO_360_V1.0","PKM","mRNA",0,"","","Metabolic Stress","hsa00010;hsa00230;hsa00620;hsa04922;hsa04930;hsa05203;hsa05230","","PKM","PKM - mRNA","False"
"ENO1 - mRNA","NM_001428.3:782","NS_IO_360_V1.0","ENO1","mRNA",0,"","","Metabolic Stress;Hypoxia","hsa00010;hsa04066","","ENO1","ENO1 - mRNA","False"
"RPL7A - mRNA","NM_000972.2:657","NS_IO_360_V1.0","RPL7A","mRNA",0,"","","Angiogenesis","","","RPL7A","RPL7A - mRNA","False"
"RPL23 - mRNA","NM_000978.3:100","NS_IO_360_V1.0","RPL23","mRNA",0,"","","","","","RPL23","RPL23 - mRNA","False"
"UBB - mRNA","NM_018955.3:1052","NS_IO_360_V1.0","UBB","mRNA",1,"Housekeeping","","","","","UBB","UBB - mRNA","False"
"CXCL1 - mRNA","NM_001511.3:743","NS_IO_360_V1.0","CXCL1","mRNA",0,"","","Myeloid Compartment;Cytokine and Chemokine Signaling;Antigen Presentation","hsa04060;hsa04062;hsa04621;hsa04668;hsa05120;hsa05132;hsa05134;hsa05146;hsa05323","","CXCL1","CXCL1 - mRNA","False"
"CXCL8 - mRNA","NM_000584.3:170","NS_IO_360_V1.0","CXCL8","mRNA",0,"","","Metabolic Stress;Cytokine and Chemokine Signaling","hsa04060;hsa04062;hsa04064;hsa04072;hsa04620;hsa04621;hsa04622;hsa04932;hsa04933;hsa05120;hsa05131;hsa05132;hsa05133;hsa05134;hsa05142;hsa05144;hsa05146;hsa05160;hsa05161;hsa05164;hsa05200;hsa05202;hsa05219;hsa05323","","CXCL8","CXCL8 - mRNA","False"
"PLOD2 - mRNA","NM_182943.2:2588","NS_IO_360_V1.0","PLOD2","mRNA",0,"","","Matrix Remodeling and Metastasis","","","PLOD2","PLOD2 - mRNA","False"
"TPI1 - mRNA","NM_000365.5:153","NS_IO_360_V1.0","TPI1","mRNA",0,"","","Metabolic Stress","hsa00010;hsa00051;hsa00562","","TPI1","TPI1 - mRNA","False"
"ALDOA - mRNA","NM_000034.3:2049","NS_IO_360_V1.0","ALDOA","mRNA",0,"","","Hypoxia","hsa00010;hsa00051;hsa04066","","ALDOA","ALDOA - mRNA","False"
"CXCL2 - mRNA","NM_002089.1:435","NS_IO_360_V1.0","CXCL2","mRNA",0,"","","Myeloid Compartment;Cytokine and Chemokine Signaling","hsa04060;hsa04062;hsa04064;hsa04621;hsa04668;hsa05132;hsa05134","","CXCL2","CXCL2 - mRNA","False"
"OAZ1 - mRNA","NM_004152.2:313","NS_IO_360_V1.0","OAZ1","mRNA",1,"Housekeeping","","","","","OAZ1","OAZ1 - mRNA","False"
"B2M - mRNA","NM_004048.2:573","NS_IO_360_V1.0","B2M","mRNA",0,"","","Interferon Signaling;Antigen Presentation","hsa04612","","B2M","B2M - mRNA","False"
"HLA-A - mRNA","NM_002116.7:298","NS_IO_360_V1.0","HLA-A","mRNA",0,"","","Interferon Signaling;Immune Cell Adhesion and Migration;Antigen Presentation","hsa04144;hsa04145;hsa04514;hsa04612;hsa04650;hsa04940;hsa05166;hsa05168;hsa05169;hsa05203;hsa05320;hsa05330;hsa05332;hsa05416","","HLA-A","HLA-A - mRNA","False"
"HLA-B - mRNA","NM_005514.6:1247","NS_IO_360_V1.0","HLA-B","mRNA",0,"","","Interferon Signaling;Immune Cell Adhesion and Migration;Antigen Presentation","hsa04144;hsa04145;hsa04514;hsa04612;hsa04650;hsa04940;hsa05166;hsa05168;hsa05169;hsa05203;hsa05320;hsa05330;hsa05332;hsa05416","","HLA-B","HLA-B - mRNA","False"
"THBS1 - mRNA","NM_003246.2:3816","NS_IO_360_V1.0","THBS1","mRNA",0,"","","TGF-beta Signaling;PI3K-Akt;Matrix Remodeling and Metastasis;Angiogenesis","hsa04015;hsa04115;hsa04145;hsa04151;hsa04350;hsa04510;hsa04512;hsa05144;hsa05205;hsa05206;hsa05219","","THBS1","THBS1 - mRNA","False"
"IER3 - mRNA","NM_003897.3:204","NS_IO_360_V1.0","IER3","mRNA",0,"","","Myeloid Compartment","","","IER3","IER3 - mRNA","False"
"PDZK1IP1 - mRNA","NM_005764.3:229","NS_IO_360_V1.0","PDZK1IP1","mRNA",0,"","","Myeloid Compartment","","","PDZK1IP1","PDZK1IP1 - mRNA","False"
"TPM1 - mRNA","NM_000366.5:830","NS_IO_360_V1.0","TPM1","mRNA",0,"","","Angiogenesis","hsa04261;hsa05206;hsa05410;hsa05414","","TPM1","TPM1 - mRNA","False"
"MMP7 - mRNA","NM_002423.3:265","NS_IO_360_V1.0","MMP7","mRNA",0,"","","Wnt Signaling;Matrix Remodeling and Metastasis","hsa04310","","MMP7","MMP7 - mRNA","False"
"VCAN - mRNA","NM_001126336.2:394","NS_IO_360_V1.0","VCAN","mRNA",0,"","","Matrix Remodeling and Metastasis;Immune Cell Adhesion and Migration;Angiogenesis","hsa04514","","VCAN","VCAN - mRNA","False"
"ITGB8 - mRNA","NM_002214.2:2609","NS_IO_360_V1.0","ITGB8","mRNA",0,"","","PI3K-Akt;Matrix Remodeling and Metastasis;Immune Cell Adhesion and Migration","hsa04151;hsa04510;hsa04512;hsa04514;hsa04810;hsa05410;hsa05412;hsa05414","","ITGB8","ITGB8 - mRNA","False"
"SERPINA1 - mRNA","NM_001127702.1:963","NS_IO_360_V1.0","SERPINA1","mRNA",0,"","","Myeloid Compartment","hsa04610","","SERPINA1","SERPINA1 - mRNA","False"
"NFKBIA - mRNA","NM_020529.2:1361","NS_IO_360_V1.0","NFKBIA","mRNA",0,"","","NF-kappaB Signaling;Cytokine and Chemokine Signaling;Costimulatory Signaling","hsa04024;hsa04062;hsa04064;hsa04210;hsa04380;hsa04620;hsa04621;hsa04622;hsa04623;hsa04660;hsa04662;hsa04668;hsa04722;hsa04920;hsa04931;hsa05120;hsa05131;hsa05134;hsa05140;hsa05142;hsa05145;hsa05160;hsa05161;hsa05162;hsa05164;hsa05166;hsa05168;hsa05169;hsa05200;hsa05203;hsa05215;hsa05220;hsa05222","","NFKBIA","NFKBIA - mRNA","False"
"CTNNB1 - mRNA","NM_001098209.1:1938","NS_IO_360_V1.0","CTNNB1","mRNA",0,"","","Wnt Signaling;Immune Cell Adhesion and Migration;Apoptosis","hsa04015;hsa04310;hsa04390;hsa04510;hsa04520;hsa04530;hsa04550;hsa04670;hsa04916;hsa04919;hsa05100;hsa05130;hsa05166;hsa05200;hsa05205;hsa05210;hsa05213;hsa05215;hsa05216;hsa05217;hsa05412","","CTNNB1","CTNNB1 - mRNA","False"
"TNFSF10 - mRNA","NM_003810.3:155","NS_IO_360_V1.0","TNFSF10","mRNA",0,"","","Cytotoxicity;Apoptosis","hsa04060;hsa04068;hsa04210;hsa04650;hsa05162;hsa05164","","TNFSF10","TNFSF10 - mRNA","False"
"VCAM1 - mRNA","NM_001078.3:2535","NS_IO_360_V1.0","VCAM1","mRNA",0,"","","Matrix Remodeling and Metastasis;Interferon Signaling;Immune Cell Adhesion and Migration","hsa04064;hsa04514;hsa04668;hsa04670;hsa04933;hsa05143;hsa05144;hsa05166","","VCAM1","VCAM1 - mRNA","False"
"IL32 - mRNA","NM_004221.4:358","NS_IO_360_V1.0","IL32","mRNA",0,"","","Cytokine and Chemokine Signaling","","","IL32","IL32 - mRNA","False"
