"","20201202_30102534611221-01_P0092 D3 Control-1_10.RCC","20201201_30102534601221-01_P0092 D0 Control-1_01.RCC","20201202_30102534611221-01_P0092 D3 Control-1_10.RCC","20201201_30102534601221-01_P0092 D0 Control-1_01.RCC","20201201_30102534601221-01_P0092 D0 Control-1_01.RCC","20201201_30102534601221-01_P0092 D0 Control-1_01.RCC","20201202_30102534611221-01_P0092 D3 Control-1_10.RCC","20201202_30102534611221-01_P0092 D3 Control-1_10.RCC","20201202_30102534611221-01_P0092 D3 Control-1_10.RCC","20201202_30102534611221-01_P0092 D3 Control-1_10.RCC","20201202_30102534611221-01_P0092 D3 Control-1_10.RCC","20201201_30102534601221-01_P0092 D0 Control-1_01.RCC","20201201_30102534601221-01_P0092 D0 Control-1_01.RCC","20201202_30102534611221-01_P0092 D3 Control-1_10.RCC","20201202_30102534611221-01_P0092 D3 Control-1_10.RCC","20201202_30102534611221-01_P0092 D3 aPD1(250ug-mL)-3_05.RCC","20201202_30102534611221-01_P0092 D3 Control-1_10.RCC","20201202_30102534611221-01_P0092 D3 Control-1_10.RCC","20201201_30102534601221-01_P0092 D0 Control-1_01.RCC","20201201_30102534601221-01_P0092 D0 Control-1_01.RCC","20201201_30102534601221-01_P0092 D0 Control-1_01.RCC","20201201_30102534601221-01_P0092 D0 Control-1_01.RCC","20201201_30102534601221-01_P0092 D0 Control-1_01.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210112_30102534301221-01_P0090-12 D3 IFNy 100ng]mL_03.RCC","20210108_P0090_D3_NMC2_30ugml(1).RCC","20210108_P0090_D3_NMC2_100ugml(1).RCC","20210108_P0090_D0_Control(2).RCC","20210108_P0090_D0_Control(1).RCC","20210108_P0090_D0_Control(3).RCC","20210112_30102534301221-01_P0090-11 D3 NMC2 100ug]mL_02.RCC","20210108_P0090_D3_IgG1_100ugml(1).RCC","20210108_P0090_D3_IFNg_100ngml(1).RCC","20210108_P0090_D3_IgG1_100ugml(1).RCC","20210108_P0090_D3_NMC2_100ugml(1).RCC","20210108_P0090_D3_NMC2_30ugml(1).RCC","20210108_P0090_D3_IFNg_100ngml(1).RCC","20210108_P0090_D3_IgG1_100ugml(1).RCC"
"B2M - mRNA",6175,5064,5939,4040,4351,4157,4720,4364,4352,4110,4154,3626,3206,3665,4646,4723,20770,1722,3266,2868,2896,14267,12163,89,63,280,499,5180,3458,3740,80,957,324,347,321,793,101,115
"IL32 - mRNA",3096,2844,2962,2070,2228,1869,2969,2796,2313,2556,2814,1635,1885,2279,2454,2901,8227,1060,837,723,690,4717,3675,34,25,96,181,710,549,600,48,395,116,135,113,131,39,55
"HLA-A - mRNA",2594,1965,2242,1657,1628,1733,1992,1912,1892,1581,1514,1329,1125,1368,1744,1569,6288,732,2104,1835,1637,4489,3462,143,77,507,980,4458,3287,3313,181,1964,407,768,489,1114,310,269
"HLA-B - mRNA",1873,1523,1414,1147,1265,1173,1392,1270,1233,1179,1065,960,832,1035,1203,1252,7079,470,1580,1448,1110,4923,3718,64,43,188,360,2839,2325,2112,80,594,230,300,179,532,190,117
"PLOD2 - mRNA",2980,2359,2492,1917,1848,2047,3026,1787,2434,2104,1957,1549,1242,1921,2220,2051,901,1170,521,488,520,610,476,128,41,412,746,718,622,682,160,2222,254,727,294,853,94,252
"CXCL1 - mRNA",3443,1997,2392,1695,2366,2032,3191,1865,2530,2047,1736,1667,1048,1204,1785,1433,256,998,869,757,878,158,145,74,25,430,423,202,192,191,158,407,58,599,552,1072,22,150
"THBS1 - mRNA",2045,1725,1682,1161,1611,1447,2955,1620,1521,1598,1530,915,1112,1445,1557,2047,300,883,1001,954,921,191,160,10,13,50,73,897,759,865,25,85,27,72,44,85,8,28
"CDKN1A - mRNA",1819,2002,1812,865,1307,1075,1405,2670,1091,1312,2154,742,1677,1598,1114,1108,763,506,761,617,605,483,398,29,24,118,156,295,261,265,43,135,56,58,85,110,35,39
"CD44 - mRNA",2557,1975,2073,1577,1605,1642,2083,1771,1673,1720,1614,1240,1208,1570,1803,1659,1021,799,67,57,61,779,573,25,9,118,170,110,100,106,51,270,52,197,125,273,21,61
"IFI27 - mRNA",1311,1159,1363,855,917,775,991,1003,880,930,1319,722,858,882,874,907,4481,353,506,413,368,3040,2156,21,17,55,75,331,176,222,12,81,41,59,26,49,20,19
"STAT1 - mRNA",1727,1247,1518,1039,1194,1128,1439,1327,1127,940,1065,728,833,1071,1077,1096,3120,536,668,524,475,2237,1838,28,25,70,166,303,251,222,31,137,108,84,50,120,47,44
"DPP4 - mRNA",1896,1895,2054,1394,1591,1389,1942,1988,1375,1480,1612,1228,1198,1476,1505,1541,3406,767,1038,1028,960,2150,1796,21,16,89,112,111,105,102,35,289,48,106,59,121,22,28
"HMGA1 - mRNA",2615,2042,2369,1800,1727,1841,2645,2094,1985,1935,1656,1279,1297,1904,2403,2164,3610,1201,101,90,65,2180,1609,19,12,61,110,36,35,35,14,108,41,51,32,64,34,26
"IDO1 - mRNA",27,24,26,22,11,10,21,19,33,31,17,16,18,18,27,22,7548,12,17,12,8,4052,3465,14,17,26,58,69,47,61,15,48,92,44,25,49,40,15
"IFITM1 - mRNA",116,87,105,73,48,55,79,54,91,79,52,54,43,74,63,78,3154,49,53,51,33,2118,1679,13,18,44,93,278,215,263,13,83,44,50,39,92,29,31
"CTSS - mRNA",265,288,265,194,201,172,213,222,215,216,207,169,148,201,216,240,2389,109,73,72,62,1630,1218,30,23,74,120,666,538,492,40,174,101,117,122,116,47,45
"TAP1 - mRNA",218,262,276,182,200,191,333,254,215,235,183,183,164,227,203,224,2479,88,134,87,110,1781,1370,5,17,28,55,121,88,113,6,55,33,28,17,37,29,15
"IFIT3 - mRNA",169,144,144,108,128,115,124,121,140,115,123,90,96,119,135,125,1909,67,44,48,35,1587,1224,10,14,44,117,93,64,88,9,69,52,46,19,65,21,23
"GBP2 - mRNA",207,153,151,117,107,107,130,135,147,137,100,98,73,105,127,117,2071,72,154,162,144,1556,1276,18,24,35,42,346,237,268,15,65,56,40,34,38,40,26
"GBP1 - mRNA",84,98,58,62,61,63,107,68,71,54,68,46,52,53,83,75,4359,38,27,37,27,3425,3021,7,35,18,31,232,183,203,4,44,213,31,19,40,90,17
"IRF1 - mRNA",666,368,408,289,339,336,401,369,403,361,291,248,235,302,386,377,3825,167,175,175,155,2998,2308,11,15,53,63,351,297,320,14,87,68,55,52,52,42,25
"DUSP1 - mRNA",1100,1112,1239,773,1027,1004,1435,1198,1000,931,1187,1011,804,880,908,696,665,569,1291,1177,991,487,616,35,36,138,254,4388,3726,4224,43,274,74,181,120,206,37,68
"CD74 - mRNA",839,553,643,425,493,460,593,666,472,522,492,350,342,446,455,485,4926,229,680,505,494,3793,3044,31,32,84,152,4251,3878,2964,53,200,233,137,164,136,159,73
"HLA-DRA - mRNA",175,172,162,100,161,132,75,148,81,88,146,66,124,77,97,81,1915,47,416,341,286,1680,1383,32,34,64,86,4901,4076,3306,20,143,76,105,142,108,43,44
"JAG1 - mRNA",1559,1451,1435,1409,1411,1117,2113,1461,1379,1523,995,1109,700,1021,1447,1431,353,837,293,269,236,217,156,4,5,21,23,196,149,195,10,42,9,12,14,25,8,7
"IER3 - mRNA",1632,1251,1386,1087,1145,1085,1630,1478,1819,1117,1264,980,758,1034,1305,786,392,613,467,362,352,281,207,14,20,71,96,274,232,238,29,73,31,50,69,109,14,28
"TFRC - mRNA",1533,1259,1563,1094,1260,1219,1725,1373,1170,1143,1067,844,880,1055,1197,1185,629,627,175,169,166,412,347,37,29,132,199,179,151,154,59,586,67,188,130,244,38,78
"TNFAIP6 - mRNA",1640,1141,1401,919,1131,1007,1578,1248,1347,1204,1080,988,756,964,1337,1436,338,550,354,334,300,158,136,14,5,99,167,120,103,96,42,185,31,99,77,308,10,33
"ITGAV - mRNA",1407,1204,1265,974,1138,967,1918,1269,1260,1154,942,766,745,1129,1243,1372,542,681,354,351,284,342,231,17,7,94,110,318,219,265,35,211,34,101,59,142,24,29
"DUSP5 - mRNA",1352,1124,1224,937,1042,1027,1529,1195,1216,1096,1247,785,742,976,1141,964,729,579,427,383,351,601,459,14,8,61,131,223,152,210,21,130,31,60,39,82,25,23
"BCL2L1 - mRNA",1277,1169,1219,729,942,894,1191,1330,964,910,1094,685,830,910,911,870,659,451,439,386,333,454,359,21,15,73,141,239,196,176,34,150,38,70,62,88,55,37
"NOTCH2 - mRNA",1469,1323,1180,1021,1065,1025,1360,1301,1105,1021,915,658,704,908,961,930,598,595,463,399,352,413,324,18,12,62,84,111,90,92,29,136,45,68,42,73,29,30
"RRM2 - mRNA",1209,1454,1398,1050,1128,1258,1123,1280,799,895,1059,709,914,1021,1086,1056,681,566,48,33,23,667,505,32,17,77,90,45,31,33,38,202,40,57,93,161,32,29
