"cell type scores - log2"
"","Macrophages","B-cells","Neutrophils","T-cells","NK CD56dim cells","Mast cells","Th1 cells"
"20201201_30102534601221-01_P0092 D0 Control-1_01.RCC",7.95071633855928,5.40155452787949,4.93805540843438,5.35848579461072,3.62067906837731,5.06897913443639,3.62067906837731
"20201201_30102534601221-01_P0092 D0 Control-2_02.RCC",7.78837881820081,5.73526740865142,5.41404352774502,5.2206943364134,4.6612668728201,5.93690136873068,4.73526740865142
"20201201_30102534601221-01_P0092 D0 Control-3_03.RCC",8.04546489017546,4.32664656717984,5.28541554603063,4.91160904393459,4.06361217572589,5.82914696269077,4.06361217572589
"20201201_30102534601221-01_P0092 D3 IFNy(100ng-mL)-1_06.RCC",8.69138390660351,5.05248249726665,5.886903271533,4.96759355884128,5.94556725322064,5.44676138250921,5.24512760238005
"20201201_30102534601221-01_P0092 D3 IFNy(100ng-mL)-2_12.RCC",8.46482254152918,4.86987589609031,5.85851591057362,3.60684157906784,6.03980094687225,4.3723762279125,4.98535319321271
"20201201_30102534601221-01_P0092 D3 IgG1(250ug-mL)-1_04.RCC",7.77487742613429,4.45830259599363,5.38274067278368,3.610305676313,4.95134253819123,3.15322408847478,4.0957324697315
"20201201_30102534601221-01_P0092 D3 NMC1(30ug-mL)-1_07.RCC",8.00985645789534,3.68792828464778,5.14037931584895,3.31595945458169,4.39842172342437,4.35777965097169,4.27289071074017
"20201201_30102534601221-01_P0092 D3 NMC2(30ug-mL)-1_08.RCC",8.32059991572174,5.06025953419386,5.56562276968009,4.24209789359222,5.74905788513576,5.03856453647133,4.54875922209366
"20201201_30102534601221-01_P0092 D3 NMC2(100ug-mL)-1_09.RCC",8.44141893101437,4.89598483149389,5.76251544448557,5.0440833818463,5.44141893931449,5.07884889787317,4.68653139772546
"20201201_30102534601221-01_P0092 D3 aPD1(250ug-mL)-1_05.RCC",7.98703331593052,4.48568011384534,5.20132023584674,3.92008307450792,5.36368963208088,3.8611893616283,4.59815489622939
"20201201_30102534601221-01_P0092 D3 aPD1(250ug-mL)-2_11.RCC",8.03947316298637,3.57023837288294,4.73304901364743,3.25200336261259,4.57023837288294,3.7077419960075,4.20250666282438
"20201202_30102534611221-01_P0092 D3 Control-1_10.RCC",7.79727838595604,4.65432039103761,5.46818866882127,4.27881130859096,5.46167526398886,4.8242454052112,4.95200090666329
"20201202_30102534611221-01_P0092 D3 Control-2_11.RCC",7.42404361882468,5.90947049519894,5.63918622752429,5.38751763876031,5.27204055058169,4.35004308026861,4.42404364402674
"20201202_30102534611221-01_P0092 D3 Control-3_12.RCC",7.81406734223717,4.35118837288889,5.22862214058919,4.74711693612166,5.03399811473377,4.52952550729575,4.26652061062843
"20201202_30102534611221-01_P0092 D3 IFNy(100ng-mL)-3_06.RCC",8.56615045570215,4.91589644017189,5.59508061010472,4.46843734589653,5.2820243587452,4.26418427134966,4.88347492663658
"20201202_30102534611221-01_P0092 D3 IgG1(250ug-mL)-3_04.RCC",7.83059905039526,4.26581447386284,5.06746812907396,3.96095998056467,4.23104902643555,3.86055981959543,3.86055981959543
"20201202_30102534611221-01_P0092 D3 NMC1(30ug-mL)-2_01.RCC",8.08063116146751,4.31465447664533,5.33159539865278,3.91440445965446,5.28428077207039,4.66042935627356,3.91440445965446
"20201202_30102534611221-01_P0092 D3 NMC1(30ug-mL)-3_07.RCC",7.97010026941258,4.89481223498694,5.66253823435767,4.56550456745704,5.61995239435505,4.70636698994148,4.23429866684342
"20201202_30102534611221-01_P0092 D3 NMC2(30ug-mL)-2_02.RCC",8.00686655096832,4.87083192914802,5.72473825979084,3.93815666819349,5.74725733101815,4.66272379672667,4.61209773382778
"20201202_30102534611221-01_P0092 D3 NMC2(30ug-mL)-3_08.RCC",8.23595373620838,5.27726072688216,5.50949689528024,4.78249595227463,5.0235041203281,4.60846644362657,4.53251776302075
"20201202_30102534611221-01_P0092 D3 NMC2(100ug-mL)-2_03.RCC",8.31625404446638,4.34443695664404,5.26177905275611,4.12022759048781,4.53708188367309,4.12022759048781,4.12022759048781
"20201202_30102534611221-01_P0092 D3 NMC2(100ug-mL)-3_09.RCC",8.25480964135468,4.9917751939574,5.64173406613872,4.38034046676106,5.31893981367044,4.38034046676106,4.01777032799995
"20201202_30102534611221-01_P0092 D3 aPD1(250ug-mL)-3_05.RCC",7.78030937717068,4.7378173442752,5.21667151447589,4.12105553054116,5.28034459723701,4.12105553054116,4.12105553054116
"20210108_P0090_D0_Control(1).RCC",8.69102005040677,6.81917659235191,7.24076644024266,7.87576003914788,6.6671734932286,8.00821043646641,6.53287226510026
"20210108_P0090_D0_Control(2).RCC",8.53032834166782,6.27711297345233,7.09564670733916,7.88427114701305,6.0603016059985,8.05052043842986,6.37441017480725
"20210108_P0090_D0_Control(3).RCC",8.46568733717256,6.14375920963854,6.45254366727796,7.84777441755922,6.71312489168131,8.9174834416875,5.94445042862068
"20210108_P0090_D3_IFNg_100ngml(1).RCC",7.56604834351135,7.99489168233889,5.88410564944298,7.77249923366744,8.29187342114821,7.45057106455141,7.81980497505105
"20210108_P0090_D3_IFNg_100ngml(2).RCC",7.25231230263246,7.80690111021836,7.24095220565415,8.11029325044698,8.50023964923526,7.25231230263246,7.57424022151525
"20210108_P0090_D3_IgG1_100ugml(1).RCC",7.59461642060496,6.86172038614774,7.13599130155047,6.5448632899482,8.53852180983768,7.85152469426263,7.03390151147381
"20210108_P0090_D3_IgG1_100ugml(2).RCC",7.31613524976303,7.41741861183892,7.00603271810917,7.08936448095128,7.99420719108816,8.57916963145516,7.05833746257753
"20210108_P0090_D3_IgG1_100ugml(3).RCC",7.61776091873915,7.72085451149583,5.58337645051267,7.76976411060906,7.03279858695618,8.44783591408334,8.14827563317789
"20210108_P0090_D3_NMC2_30ugml(1).RCC",7.32051522123804,7.78285847198025,7.32866210396597,7.383251024979,8.86208508552021,7.95794514185333,7.41362470516831
"20210108_P0090_D3_NMC2_30ugml(2).RCC",7.15031719651318,7.32540387434484,7.20120998112511,6.58843821121584,8.59700022613862,8.7196827242876,7.07876388556976
"20210108_P0090_D3_NMC2_100ugml(1).RCC",7.02671237755199,7.447288082628,7.56211017679609,6.98162450909827,9.16421582083439,8.29896521757167,7.64820077366075
