"","Log2 fold change","std error (log2)","Lower confidence limit (log2)","Upper confidence limit (log2)","Linear fold change","Lower confidence limit (linear)","Upper confidence limit (linear)","P-value","BY.p.value","method","probe.ID"
"EGR1-mRNA",-2.28,0.356,-2.98,-1.58,0.206,0.127,0.334,3.36e-07,0.000376,"lm.nb","NM_001964.2:2034"
"ATF3-mRNA",-2.78,0.44,-3.64,-1.92,0.146,0.0803,0.265,4.32e-07,0.000376,"lm.nb","NM_001674.3:1487"
"HLA-DPA1-mRNA",-5.05,0.803,-6.62,-3.47,0.0302,0.0102,0.0901,4.81e-07,0.000376,"lm.nb","NM_033554.2:857"
"HLA-DPB1-mRNA",-3.81,0.614,-5.02,-2.61,0.0712,0.0309,0.164,5.94e-07,0.000376,"lm.nb","NM_002121.5:987"
"SGK1-mRNA",-2.08,0.336,-2.73,-1.42,0.237,0.15,0.374,6.38e-07,0.000376,"lm.nb","NM_005627.3:1621"
"DUSP1-mRNA",-2.93,0.485,-3.88,-1.98,0.131,0.0679,0.254,9.61e-07,0.000472,"lm.nb","NM_004417.3:1428"
"CXCL14-mRNA",-2.48,0.427,-3.32,-1.65,0.179,0.0999,0.319,1.86e-06,0.000784,"lm.nb","NM_004887.4:990"
"CD74-mRNA",-3.29,0.577,-4.43,-2.16,0.102,0.0466,0.223,2.56e-06,0.000942,"lm.nb","NM_001025159.2:1161"
"HLA-E-mRNA",-2,0.358,-2.7,-1.3,0.25,0.154,0.407,3.59e-06,0.00118,"lm.nb","NM_005516.5:1287"
"HLA-DRA-mRNA",-4.29,0.808,-5.87,-2.7,0.0513,0.0171,0.154,8.23e-06,0.0023,"lm.nb","NM_019111.3:335"
"GBP2-mRNA",-2.64,0.5,-3.62,-1.66,0.16,0.0812,0.316,8.58e-06,0.0023,"lm.nb","NM_004120.4:1744"
"WNT7B-mRNA",3.64,0.695,2.28,5,12.4,4.84,32,1e-05,0.00246,"lm.nb","NM_058238.2:1874"
"HLA-F-mRNA",-2.69,0.523,-3.72,-1.67,0.154,0.0759,0.314,1.26e-05,0.00278,"lm.nb","NM_001098479.1:285"
"C1QB-mRNA",-4.1,0.8,-5.66,-2.53,0.0585,0.0197,0.173,1.4e-05,0.00278,"lm.nb","NM_000491.3:816"
"HLA-B-mRNA",-1.92,0.375,-2.65,-1.18,0.265,0.159,0.44,1.41e-05,0.00278,"lm.nb","NM_005514.6:1247"
"A2M-mRNA",-4.69,0.933,-6.52,-2.86,0.0387,0.0109,0.137,1.84e-05,0.00338,"lm.nb","NM_000014.4:1685"
"WDR76-mRNA",1.56,0.326,0.92,2.2,2.95,1.89,4.58,3.68e-05,0.00639,"lm.nb","NM_024908.3:1875"
"HLA-DMB-mRNA",-2,0.432,-2.85,-1.15,0.25,0.139,0.45,5.78e-05,0.00947,"lm.nb","NM_002118.3:20"
"GLUL-mRNA",-1.24,0.271,-1.77,-0.704,0.425,0.294,0.614,7.15e-05,0.0111,"lm.nb","NM_002065.6:1485"
"B2M-mRNA",-1.91,0.427,-2.75,-1.08,0.265,0.149,0.474,8.85e-05,0.013,"lm.nb","NM_004048.2:573"
"GBP1-mRNA",-4.09,0.925,-5.91,-2.28,0.0587,0.0167,0.206,0.000106,0.0148,"lm.nb","NM_002053.2:1838"
"RAD51C-mRNA",1.15,0.263,0.633,1.66,2.22,1.55,3.17,0.000123,0.0165,"lm.nb","NM_058216.2:15"
"FLT1-mRNA",-4.39,1.01,-6.38,-2.41,0.0477,0.012,0.189,0.000135,0.0173,"lm.nb","NM_002019.4:530"
"MMP9-mRNA",2.56,0.592,1.4,3.72,5.9,2.64,13.2,0.000141,0.0173,"lm.nb","NM_004994.2:2011"
"CX3CL1-mRNA",-1.98,0.463,-2.88,-1.07,0.254,0.135,0.476,0.000163,0.0192,"lm.nb","NM_002996.3:1850"
"LAMB3-mRNA",2.9,0.685,1.56,4.24,7.46,2.94,18.9,0.000183,0.0207,"lm.nb","NM_000228.2:3350"
"DTX4-mRNA",2.85,0.686,1.51,4.2,7.23,2.85,18.4,0.00022,0.024,"lm.nb","NM_015177.1:4820"
"HLA-DMA-mRNA",-2.83,0.683,-4.17,-1.49,0.141,0.0557,0.357,0.000237,0.0242,"lm.nb","NM_006120.3:396"
"IL6-mRNA",2.94,0.71,1.55,4.33,7.66,2.92,20.1,0.000238,0.0242,"lm.nb","NM_000600.3:484"
"FUT4-mRNA",1.59,0.388,0.83,2.35,3.01,1.78,5.1,0.000263,0.0258,"lm.nb","NM_002033.3:1151"
"PECAM1-mRNA",-3.04,0.749,-4.51,-1.57,0.121,0.0439,0.336,0.000297,0.0282,"lm.nb","NM_000442.4:2492"
"CXCL5-mRNA",3.16,0.785,1.62,4.7,8.95,3.08,26,0.000326,0.03,"lm.nb","NM_002994.4:475"
"HLA-DQA1-mRNA",-4.17,1.04,-6.21,-2.14,0.0554,0.0135,0.227,0.000336,0.03,"lm.nb","NM_002122.3:258"
"CD69-mRNA",-2.74,0.687,-4.09,-1.39,0.15,0.0589,0.381,0.000363,0.0308,"lm.nb","NM_001781.2:88"
