"","Log2 fold change","std error (log2)","Lower confidence limit (log2)","Upper confidence limit (log2)","Linear fold change","Lower confidence limit (linear)","Upper confidence limit (linear)","P-value","BY.p.value","method","probe.ID"
"SGK1-mRNA",-2.2,0.265,-2.72,-1.68,0.218,0.152,0.313,1.76e-09,2.61e-06,"lm.nb","NM_005627.3:1621"
"EGR1-mRNA",-2.29,0.281,-2.85,-1.74,0.204,0.139,0.298,2.49e-09,2.61e-06,"lm.nb","NM_001964.2:2034"
"ATF3-mRNA",-2.82,0.347,-3.5,-2.14,0.141,0.0883,0.226,2.65e-09,2.61e-06,"lm.nb","NM_001674.3:1487"
"HLA-DPA1-mRNA",-5,0.633,-6.24,-3.75,0.0314,0.0133,0.0741,5.28e-09,3.89e-06,"lm.nb","NM_033554.2:857"
"DUSP1-mRNA",-2.94,0.383,-3.69,-2.19,0.13,0.0772,0.219,9.25e-09,5.45e-06,"lm.nb","NM_004417.3:1428"
"HLA-DPB1-mRNA",-3.68,0.484,-4.62,-2.73,0.0782,0.0405,0.151,1.17e-08,5.75e-06,"lm.nb","NM_002121.5:987"
"CD74-mRNA",-3.41,0.456,-4.3,-2.51,0.0942,0.0507,0.175,1.66e-08,7.01e-06,"lm.nb","NM_001025159.2:1161"
"GBP2-mRNA",-2.8,0.394,-3.57,-2.03,0.144,0.0841,0.245,4.58e-08,1.69e-05,"lm.nb","NM_004120.4:1744"
"CXCL14-mRNA",-2.38,0.337,-3.04,-1.72,0.193,0.122,0.304,5.24e-08,1.7e-05,"lm.nb","NM_004887.4:990"
"HLA-B-mRNA",-2.08,0.296,-2.66,-1.5,0.236,0.158,0.353,5.76e-08,1.7e-05,"lm.nb","NM_005514.6:1247"
"HLA-DRA-mRNA",-4.43,0.639,-5.68,-3.18,0.0463,0.0195,0.11,7.37e-08,1.98e-05,"lm.nb","NM_019111.3:335"
"HLA-E-mRNA",-1.9,0.282,-2.45,-1.35,0.268,0.183,0.393,1.27e-07,3.12e-05,"lm.nb","NM_005516.5:1287"
"C1QB-mRNA",-4.18,0.63,-5.42,-2.95,0.055,0.0234,0.13,1.74e-07,3.94e-05,"lm.nb","NM_000491.3:816"
"WNT7B-mRNA",3.64,0.556,2.55,4.73,12.5,5.87,26.6,2.19e-07,4.6e-05,"lm.nb","NM_058238.2:1874"
"A2M-mRNA",-4.69,0.736,-6.13,-3.25,0.0388,0.0143,0.105,3.76e-07,7.39e-05,"lm.nb","NM_000014.4:1685"
"HLA-F-mRNA",-2.56,0.408,-3.36,-1.76,0.17,0.0974,0.295,4.96e-07,9.13e-05,"lm.nb","NM_001098479.1:285"
"GBP1-mRNA",-4.46,0.73,-5.89,-3.03,0.0454,0.0168,0.123,7.98e-07,0.000138,"lm.nb","NM_002053.2:1838"
"GLUL-mRNA",-1.19,0.214,-1.61,-0.772,0.438,0.328,0.586,3.78e-06,0.000619,"lm.nb","NM_002065.6:1485"
"HLA-DMA-mRNA",-2.96,0.538,-4.02,-1.91,0.128,0.0618,0.266,4.54e-06,0.000686,"lm.nb","NM_006120.3:396"
"PECAM1-mRNA",-3.25,0.591,-4.41,-2.09,0.105,0.0471,0.235,4.65e-06,0.000686,"lm.nb","NM_000442.4:2492"
"HLA-DQA1-mRNA",-4.5,0.821,-6.11,-2.89,0.0442,0.0145,0.135,4.92e-06,0.000691,"lm.nb","NM_002122.3:258"
"BIRC3-mRNA",2.27,0.417,1.46,3.09,4.83,2.74,8.52,5.34e-06,0.000716,"lm.nb","NM_001165.4:6567"
"IRF1-mRNA",-2.2,0.41,-3.01,-1.4,0.217,0.124,0.379,6.72e-06,0.000778,"lm.nb","NM_002198.2:557"
"CXCL5-mRNA",3.34,0.622,2.12,4.56,10.1,4.35,23.6,6.81e-06,0.000778,"lm.nb","NM_002994.4:475"
"MAP3K8-mRNA",-1.49,0.278,-2.04,-0.947,0.356,0.244,0.519,6.81e-06,0.000778,"lm.nb","NM_001244134.1:493"
"B2M-mRNA",-1.81,0.337,-2.47,-1.15,0.285,0.18,0.451,6.86e-06,0.000778,"lm.nb","NM_004048.2:573"
"FLT1-mRNA",-4.21,0.798,-5.77,-2.64,0.0541,0.0183,0.16,8.96e-06,0.000978,"lm.nb","NM_002019.4:530"
"WDR76-mRNA",1.34,0.265,0.818,1.86,2.53,1.76,3.63,1.76e-05,0.00186,"lm.nb","NM_024908.3:1875"
"HLA-DMB-mRNA",-1.67,0.338,-2.33,-1.01,0.315,0.199,0.498,2.36e-05,0.0024,"lm.nb","NM_002118.3:20"
