"","Log2 fold change","std error (log2)","Lower confidence limit (log2)","Upper confidence limit (log2)","Linear fold change","Lower confidence limit (linear)","Upper confidence limit (linear)","P-value","BY.p.value","method","probe.ID"
"EGR1-mRNA",-2.28,0.356,-2.98,-1.58,0.206,0.127,0.334,3.36e-07,0.000376,"lm.nb","NM_001964.2:2034"
"ATF3-mRNA",-2.78,0.44,-3.64,-1.92,0.146,0.0803,0.265,4.32e-07,0.000376,"lm.nb","NM_001674.3:1487"
"HLA-DPA1-mRNA",-5.05,0.803,-6.62,-3.47,0.0302,0.0102,0.0901,4.81e-07,0.000376,"lm.nb","NM_033554.2:857"
"HLA-DPB1-mRNA",-3.81,0.614,-5.02,-2.61,0.0712,0.0309,0.164,5.94e-07,0.000376,"lm.nb","NM_002121.5:987"
"SGK1-mRNA",-2.08,0.336,-2.73,-1.42,0.237,0.15,0.374,6.38e-07,0.000376,"lm.nb","NM_005627.3:1621"
"DUSP1-mRNA",-2.93,0.485,-3.88,-1.98,0.131,0.0679,0.254,9.61e-07,0.000472,"lm.nb","NM_004417.3:1428"
"CXCL14-mRNA",-2.48,0.427,-3.32,-1.65,0.179,0.0999,0.319,1.86e-06,0.000784,"lm.nb","NM_004887.4:990"
"CD74-mRNA",-3.29,0.577,-4.43,-2.16,0.102,0.0466,0.223,2.56e-06,0.000942,"lm.nb","NM_001025159.2:1161"
"HLA-E-mRNA",-2,0.358,-2.7,-1.3,0.25,0.154,0.407,3.59e-06,0.00118,"lm.nb","NM_005516.5:1287"
"HLA-DRA-mRNA",-4.29,0.808,-5.87,-2.7,0.0513,0.0171,0.154,8.23e-06,0.0023,"lm.nb","NM_019111.3:335"
"GBP2-mRNA",-2.64,0.5,-3.62,-1.66,0.16,0.0812,0.316,8.58e-06,0.0023,"lm.nb","NM_004120.4:1744"
"WNT7B-mRNA",3.64,0.695,2.28,5,12.4,4.84,32,1e-05,0.00246,"lm.nb","NM_058238.2:1874"
"HLA-F-mRNA",-2.69,0.523,-3.72,-1.67,0.154,0.0759,0.314,1.26e-05,0.00278,"lm.nb","NM_001098479.1:285"
"C1QB-mRNA",-4.1,0.8,-5.66,-2.53,0.0585,0.0197,0.173,1.4e-05,0.00278,"lm.nb","NM_000491.3:816"
"HLA-B-mRNA",-1.92,0.375,-2.65,-1.18,0.265,0.159,0.44,1.41e-05,0.00278,"lm.nb","NM_005514.6:1247"
"A2M-mRNA",-4.69,0.933,-6.52,-2.86,0.0387,0.0109,0.137,1.84e-05,0.00338,"lm.nb","NM_000014.4:1685"
"WDR76-mRNA",1.56,0.326,0.92,2.2,2.95,1.89,4.58,3.68e-05,0.00639,"lm.nb","NM_024908.3:1875"
"HLA-DMB-mRNA",-2,0.432,-2.85,-1.15,0.25,0.139,0.45,5.78e-05,0.00947,"lm.nb","NM_002118.3:20"
"GLUL-mRNA",-1.24,0.271,-1.77,-0.704,0.425,0.294,0.614,7.15e-05,0.0111,"lm.nb","NM_002065.6:1485"
"B2M-mRNA",-1.91,0.427,-2.75,-1.08,0.265,0.149,0.474,8.85e-05,0.013,"lm.nb","NM_004048.2:573"
