"","Average-normalized count","Variance-normalized count"
"CCNO - mRNA",5.11343485659278,1.47493644842101
"MYC - mRNA",7.89449244088026,1.79253534441957
"CD79A - mRNA",3.94948015198337,0.311845853333718
"FSTL3 - mRNA",5.52668702454425,0.940659763739192
"VCAN - mRNA",8.82044338285298,5.23303899862477
"CX3CL1 - mRNA",6.86635636428806,0.631309320096532
"ERBB2 - mRNA",6.49728511526635,1.22399377615107
"FAM124B - mRNA",5.60848380980073,2.8833476075801
"AKT1 - mRNA",8.35766695669566,0.521588546245847
"KDR - mRNA",4.60186026753813,2.43846378558769
"EGF - mRNA",4.75742559019804,0.85197355027254
"MAGEA12 - mRNA",4.23052379143934,0.990841693588553
"IFNA1 - mRNA",4.72355183198847,1.35747820353274
"TGFB3 - mRNA",4.84497365623663,1.48183334158708
"MFGE8 - mRNA",6.44075770112244,0.804763628188278
"CXCL2 - mRNA",10.4698175118391,0.991817585743917
"CCND2 - mRNA",7.91344974136856,2.28556583882519
"PDZK1IP1 - mRNA",9.46678439853861,3.07756281469028
"JAG2 - mRNA",4.73359295630623,1.48342859742952
"C5 - mRNA",4.71765460350409,0.976868932491121
"CD79B - mRNA",4.24166735673627,0.762264337984506
"CXCR2 - mRNA",5.46167156492043,2.32738459328486
"PSMB10 - mRNA",6.97325955813022,0.830014097147111
"ZEB1 - mRNA",5.87413004253307,1.12443953530884
"ANLN - mRNA",6.99848736044207,2.00951419240117
"TAF3 - mRNA",4.45934206025829,1.17514383949217
"CD276 - mRNA",7.96812444915126,1.00068471489251
"ICAM1 - mRNA",8.31761450627317,1.19510519366549
"IL16 - mRNA",4.44730478197621,1.14601982364999
"CXCL3 - mRNA",6.84668334129266,0.680191777626719
"PRR5 - mRNA",4.76456162324807,1.10016264118092
"CTSW - mRNA",4.26878932799984,1.13992594172908
"CXCR4 - mRNA",6.52642446164215,2.86100010382026
"IFNGR2 - mRNA",8.00354606051927,1.18751314127198
"CDH11 - mRNA",5.3018376498758,2.11221808622832
"COL6A3 - mRNA",4.03256404174678,0.685583757391379
"GZMK - mRNA",4.31997026255625,1.30117578367463
"IRF2 - mRNA",7.09644134206796,0.557273301572134
"RPL7A - mRNA",11.3586417887695,1.05928571554691
"GPR160 - mRNA",7.81711934209116,2.10902140223849
"MICA - mRNA",5.12202029043541,0.578438408863182
"TAPBPL - mRNA",5.59010371355542,0.912621428392355
"CXCL14 - mRNA",7.7816280002959,1.09699201902316
"CD14 - mRNA",6.19458535862953,2.05797668263542
"IL18 - mRNA",7.59502964118272,1.68237909462581
"CLEC14A - mRNA",4.80267801173949,2.38861749864025
"HMGB1 - mRNA",5.75511266836972,0.670143237278338
"KIF2C - mRNA",6.14984815525858,0.928676879819678
"RNLS - mRNA",5.77087357701043,0.698157329108197
"RPTOR - mRNA",5.48287393290261,0.593737732737936
"CD68 - mRNA",7.90162436732428,0.21238933606902
"CCL13 - mRNA",4.53569111673606,1.16694055536584
"CYBB - mRNA",6.46509223448815,1.81253409377439
"PLA2G2A - mRNA",4.48867255485347,1.39095834112753
"FGF13 - mRNA",4.72618965022657,1.21280727493681
"CNTFR - mRNA",4.31048779000441,0.943410884374683
"CD244 - mRNA",4.05468013175154,0.522750504141212
"CSF2RB - mRNA",4.73089788936412,1.75653688557651
"MAP3K7 - mRNA",7.87620506157493,0.0547310873970385
"FASLG - mRNA",4.35626960445946,1.07581988709362
"CD209 - mRNA",4.78217371873254,1.87872006912804
"IRF7 - mRNA",5.67246406773362,0.823799071380745
"PTCD2 - mRNA",5.74379511951206,0.652643081809379
"PIK3R2 - mRNA",6.08790297063958,0.657177923753984
"LILRA5 - mRNA",5.24511811216314,1.8597437456598
"IL32 - mRNA",9.95126222705333,1.15725098382522
"CCND3 - mRNA",5.93484626876219,0.539791290261648
"BIRC5 - mRNA",6.84884874312275,2.16890718225749
"LGALS9 - mRNA",5.37508125887938,1.52732376989142
"RASAL1 - mRNA",6.05857556956527,0.839955818868335
"PDCD1LG2 - mRNA",4.84232060806033,1.69274145251894
"IL11 - mRNA",5.23000791091506,2.63139915580474
"PRKX - mRNA",4.82848047365255,2.11152249032398
"SNCA - mRNA",5.00557286994658,1.94957504642572
"ADGRE1 - mRNA",4.55735114049498,1.50493866705103
"PSMB9 - mRNA",6.62446654938647,1.15010477245388
"RUNX3 - mRNA",4.74649760866025,1.70814840648234
"PGPEP1 - mRNA",4.87090887167267,1.12617815234376
"MELK - mRNA",7.15264819126167,0.821892179867768
"ISG15 - mRNA",7.2350415353557,1.81326386502591
"EIF2B4 - mRNA",6.17636994450643,0.530106649453996
"IRF9 - mRNA",6.67109307936607,0.799807758381085
"IL1A - mRNA",5.55531354478255,0.906930393534437
"FCRL2 - mRNA",4.68490880615701,1.31596756371631
"EIF4EBP1 - mRNA",8.50983294747791,0.512480444794389
"LTBP1 - mRNA",5.0532530704289,1.09983441997781
"CD40LG - mRNA",4.50612470402314,1.39113134527159
"HEY1 - mRNA",5.94363104152165,1.52464859674562
"HLA-DQA1 - mRNA",5.84406912787438,5.00620945055243
"PRLR - mRNA",4.58067312031816,1.57047961210775
"TNFRSF11A - mRNA",4.49966889270646,1.32680021634769
"AREG - mRNA",7.32811245395768,2.71183887948957
"BBC3 - mRNA",6.47816805576061,0.283955289544753
"EDN1 - mRNA",5.80900293226997,1.02451809192916
"PARP12 - mRNA",7.06216388986518,1.11132531665902
"PIK3CG - mRNA",5.23647247680819,1.71144081239408
"IL4 - mRNA",4.19750673260246,0.809450983577058
"F2RL1 - mRNA",6.37278974818362,1.12706226671456
"CXCL6 - mRNA",6.92977483348308,1.21883043280836
"TNFSF18 - mRNA",4.85542547420752,1.48124091409681
"JAK3 - mRNA",5.06953635394116,1.34128087680519
"NKG7 - mRNA",5.07440491584226,2.47758111773447
"TAPBP - mRNA",7.6483228547151,0.183164636062632
"MTOR - mRNA",6.38170542777892,0.336871187667812
