"","Drug","Dosage","Day"
"20201201_30102534601221-01_P0092 D3 IFNy(100ng-mL)-2_12.RCC","aPD1","250","D3"
"20201201_30102534601221-01_P0092 D3 IFNy(100ng-mL)-1_06.RCC","aPD1","250","D3"
"20201202_30102534611221-01_P0092 D3 IFNy(100ng-mL)-3_06.RCC","Media","0","D3"
"20201201_30102534601221-01_P0092 D0 Control-3_03.RCC","Media","0","D0"
"20201201_30102534601221-01_P0092 D0 Control-1_01.RCC","Media","0","D0"
"20201201_30102534601221-01_P0092 D0 Control-2_02.RCC","Media","0","D0"
"20201201_30102534601221-01_P0092 D3 IgG1(250ug-mL)-1_04.RCC","IFNy","100","D3"
"20201201_30102534601221-01_P0092 D3 NMC1(30ug-mL)-1_07.RCC","IFNy","100","D3"
"20201201_30102534601221-01_P0092 D3 aPD1(250ug-mL)-2_11.RCC","NMC2","30","D3"
"20201201_30102534601221-01_P0092 D3 NMC2(100ug-mL)-1_09.RCC","IgG","250","D3"
"20201202_30102534611221-01_P0092 D3 NMC2(100ug-mL)-3_09.RCC","NMC2","100","D3"
"20201201_30102534601221-01_P0092 D3 aPD1(250ug-mL)-1_05.RCC","NMC2","100","D3"
"20201202_30102534611221-01_P0092 D3 NMC1(30ug-mL)-2_01.RCC","IgG","250","D3"
"20201202_30102534611221-01_P0092 D3 IgG1(250ug-mL)-3_04.RCC","IFNy","100","D3"
"20201202_30102534611221-01_P0092 D3 Control-2_11.RCC","Media","0","D3"
"20201202_30102534611221-01_P0092 D3 Control-1_10.RCC","aPD1","250","D3"
"20201202_30102534611221-01_P0092 D3 NMC1(30ug-mL)-3_07.RCC","NMC1","30","D3"
"20201202_30102534611221-01_P0092 D3 aPD1(250ug-mL)-3_05.RCC","NMC2","30","D3"
"20201202_30102534611221-01_P0092 D3 Control-3_12.RCC","Media","0","D3"
"20201202_30102534611221-01_P0092 D3 NMC2(30ug-mL)-3_08.RCC","NMC2","30","D3"
"20201202_30102534611221-01_P0092 D3 NMC2(100ug-mL)-2_03.RCC","NMC1","30","D3"
"20201201_30102534601221-01_P0092 D3 NMC2(30ug-mL)-1_08.RCC","NMC1","30","D3"
"20201202_30102534611221-01_P0092 D3 NMC2(30ug-mL)-2_02.RCC","NMC2","100","D3"
"20210112_30102534301221-01_P0090-12 D3 IFNy 100ng]mL_03.RCC","IFNy","100","D3"
"20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","NMC2","30","D3"
"20210108_P0090_D3_IFNg_100ngml(2).RCC","IFNy","100","D3"
"20210108_P0090_D3_NMC2_100ugml(2).RCC","NMC2","100","D3"
"20210108_P0090_D3_NMC2_30ugml(1).RCC","NMC2","30","D3"
"20210108_P0090_D3_IgG1_100ugml(2).RCC","IgG","100","D3"
"20210108_P0090_D3_IgG1_100ugml(1).RCC","IgG","100","D3"
"20210108_P0090_D3_NMC2_30ugml(2).RCC","NMC2","30","D3"
"20210108_P0090_D3_NMC2_100ugml(1).RCC","NMC2","100","D3"
"20210108_P0090_D0_Control(3).RCC","Media","0","D0"
"20210108_P0090_D0_Control(1).RCC","Media","0","D0"
"20210108_P0090_D0_Control(2).RCC","Media","0","D0"
"20210112_30102534301221-01_P0090-11 D3 NMC2 100ug]mL_02.RCC","NMC2","100","D3"
"20210108_P0090_D3_IFNg_100ngml(1).RCC","IFNy","100","D3"
"20210108_P0090_D3_IgG1_100ugml(3).RCC","IgG","100","D3"
