"","20201201_30102534601221-01_P0092 D3 IFNy(100ng-mL)-2_12.RCC","20201201_30102534601221-01_P0092 D3 IFNy(100ng-mL)-1_06.RCC","20201202_30102534611221-01_P0092 D3 IFNy(100ng-mL)-3_06.RCC","20201201_30102534601221-01_P0092 D0 Control-3_03.RCC","20201201_30102534601221-01_P0092 D0 Control-1_01.RCC","20201201_30102534601221-01_P0092 D0 Control-2_02.RCC","20201201_30102534601221-01_P0092 D3 IgG1(250ug-mL)-1_04.RCC","20201201_30102534601221-01_P0092 D3 NMC1(30ug-mL)-1_07.RCC","20201201_30102534601221-01_P0092 D3 aPD1(250ug-mL)-2_11.RCC","20201201_30102534601221-01_P0092 D3 NMC2(100ug-mL)-1_09.RCC","20201202_30102534611221-01_P0092 D3 NMC2(100ug-mL)-3_09.RCC","20201201_30102534601221-01_P0092 D3 aPD1(250ug-mL)-1_05.RCC","20201202_30102534611221-01_P0092 D3 NMC1(30ug-mL)-2_01.RCC","20201202_30102534611221-01_P0092 D3 IgG1(250ug-mL)-3_04.RCC","20201202_30102534611221-01_P0092 D3 Control-2_11.RCC","20201202_30102534611221-01_P0092 D3 Control-1_10.RCC","20201202_30102534611221-01_P0092 D3 NMC1(30ug-mL)-3_07.RCC","20201202_30102534611221-01_P0092 D3 aPD1(250ug-mL)-3_05.RCC","20201202_30102534611221-01_P0092 D3 Control-3_12.RCC","20201202_30102534611221-01_P0092 D3 NMC2(30ug-mL)-3_08.RCC","20201202_30102534611221-01_P0092 D3 NMC2(100ug-mL)-2_03.RCC","20201201_30102534601221-01_P0092 D3 NMC2(30ug-mL)-1_08.RCC","20201202_30102534611221-01_P0092 D3 NMC2(30ug-mL)-2_02.RCC","20210112_30102534301221-01_P0090-12 D3 IFNy 100ng]mL_03.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210108_P0090_D3_IFNg_100ngml(2).RCC","20210108_P0090_D3_NMC2_100ugml(2).RCC","20210108_P0090_D3_NMC2_30ugml(1).RCC","20210108_P0090_D3_IgG1_100ugml(2).RCC","20210108_P0090_D3_IgG1_100ugml(1).RCC","20210108_P0090_D3_NMC2_30ugml(2).RCC","20210108_P0090_D3_NMC2_100ugml(1).RCC","20210108_P0090_D0_Control(3).RCC","20210108_P0090_D0_Control(1).RCC","20210108_P0090_D0_Control(2).RCC","20210112_30102534301221-01_P0090-11 D3 NMC2 100ug]mL_02.RCC","20210108_P0090_D3_IFNg_100ngml(1).RCC","20210108_P0090_D3_IgG1_100ugml(3).RCC"
"SPP1 - mRNA",14.0771953255216,13.9567945246127,13.8924127430237,14.4682216799246,14.3758847249709,14.3007505340961,14.5296159464826,14.4627527492592,14.5082375088253,14.3805626584804,14.4038252311419,14.4725983815213,14.5910697304629,14.1472561730221,14.1310574938005,14.326451020716,14.3382210150802,14.2991052837504,14.2123160334696,14.2519990910969,14.3719479595101,14.5696800667495,14.4332452778064,8.56485375727068,9.76416080047201,9.58322913625518,11.0474715965375,10.5046191074034,10.6692017965025,12.3053644528359,9.4535086528827,10.2664392813209,11.7996650206179,11.9268643947178,11.9101927328023,10.2559523485092,9.32504023570225,10.3547265088655
"LDHA - mRNA",12.6258762494365,12.6151610560097,12.6416982168795,11.9184804922736,11.7106964132475,11.7730888887612,12.898633490979,12.6479302457132,12.9198513356968,12.6341683814908,12.4878481281132,12.806023358578,12.7239571041646,12.730894957449,12.5236544347945,12.5804928636804,12.6704056754852,12.796867723114,12.7326174150525,12.5738068797419,12.368125149764,12.7736845421165,12.6037207352745,10.335371953515,11.5826133699441,11.3764334499343,12.2650933455418,11.9054776283178,12.1965536522004,12.9907131212058,12.2547891726717,11.8036261424899,12.4469507590728,12.2955582032052,12.3763690606776,11.5483073586892,9.35746166400882,11.5873873664327
"PKM - mRNA",12.933495714026,12.9699825379695,12.9567643983528,12.486097501807,12.5082329138678,12.3130740055886,13.2940021272583,13.1742148203447,13.2719780156047,13.1342603847046,13.0978265528913,13.2257799390315,13.2440978305006,13.1001350346813,12.9284653334035,13.1014897234925,13.2815105548315,13.2226839269803,13.083043287147,13.034838918419,13.0700871964255,13.2603712918118,13.0317570589725,9.33537195239833,10.7931122005817,10.4763139583801,11.3934451881797,11.1392749826821,11.3660827113619,12.2008176549505,11.2101412812254,11.0677396083796,11.1291421218776,11.0716526999348,11.1199748745634,10.6552224704611,9.68578757565823,10.9921565163633
"ENO1 - mRNA",13.0213153398755,12.9396595556469,13.0521469499454,12.3299302961005,12.1921425860282,12.1293014140877,13.1283686836734,12.8558024540975,13.0761491594898,12.8297551505733,12.8006515077507,13.0339293975565,12.9929612355823,12.9583053434346,12.8507277552702,12.8473322889894,12.9424369180753,13.1273317487854,12.9560828466656,12.839379983794,12.7020935075088,12.9037822057927,12.9026926117133,9.3102809077276,10.4972220379471,10.2353057803444,11.109755905072,10.7944464079458,10.847658500405,12.0733688539828,11.0242572201842,10.769216079145,11.5732672987865,11.340227313472,11.4063960276026,10.3665963592744,9.72358960303999,10.3864355003742
"RPL7A - mRNA",12.1074841701686,11.9263660390387,11.9568862282147,11.855426274687,11.7245429962033,11.6349265695789,12.2301587070745,12.3217492217364,12.3088374136708,12.3677698608887,12.2063591964504,12.1872442280248,12.2192890742605,11.9209617519049,11.6595792848528,11.9253942565988,12.2209664721391,12.306351699529,12.0901694523088,11.971197255883,11.9789885607411,12.2798616189046,12.2516967896486,9.00095281360595,9.92974682841076,9.58322913625518,10.1068501187476,10.4832981760117,10.0226155316298,10.9226447382141,10.6223855633608,10.7575613273566,11.2462007158109,11.3601956639995,11.447969560267,9.60685947998733,9.30855220785191,9.57711898922541
"RPL23 - mRNA",12.9663714927859,12.8882623023528,12.7228218075907,12.9981876267944,12.9128421109525,12.7512400223808,13.3195044067903,13.3934821104503,13.3659534029165,13.4694273144843,13.3077069504494,13.1721807194901,13.233703926372,12.840362939041,12.6653118428992,12.9377946810792,13.1829484940559,13.3566018778159,13.1283139279376,13.0424532670375,13.0587641872164,13.4412535182209,13.3309975474904,8.86970839068429,9.4615980974234,9.5921622731573,10.6283872433256,10.2123663556079,10.3771259154702,11.2384725282765,10.7848354013952,10.6696803979771,11.9343967237786,12.0503017128279,12.1906982111421,9.95478275142539,8.67296350120489,9.91815598539389
"UBB - mRNA",12.9217644995418,12.9260145166857,12.9138912089912,13.5304024076031,13.3900722366231,13.2281221531684,12.6915671851558,12.6245662378146,12.5658643239094,12.6530368218843,12.5768742277952,12.5259328290796,12.5210584695309,12.3576906580475,12.086890045583,12.4100425264555,12.5788808911867,12.7037270301361,12.5282144283925,12.433058160254,12.4216340532093,12.6040416608391,12.5980412517503,8.47739080791864,9.59910150900395,9.30759481490175,10.2922053450544,10.1324429345229,9.8923275028223,10.7672558122721,10.5884382074679,10.2210904163964,12.236686787953,11.9954992520851,12.0826693175825,9.23489065112092,8.18753678078254,9.61776091506658
"CXCL1 - mRNA",7.46482254152918,7.2269802474841,7.4240433668041,10.5197612518429,10.0773040576461,9.9774888644258,10.4064535113592,10.4367309829985,10.2369950226276,9.71995443476017,9.97196666568082,10.0032962344371,10.4791425246272,10.5132899045036,10.0650115915137,10.3742794904246,10.2793977591324,9.69907824342831,9.9049691647034,9.55668402589674,9.81707928899832,9.95778895643818,10.0287444699871,8.12124703234306,9.76416080047201,8.11029325044698,11.2611782937321,10.5768549726087,10.761187705616,9.38085828294242,11.2622100008513,9.7288583318495,8.76699185825862,8.76028280202124,8.50905963418247,10.4512085963883,7.32504023570225,10.0916921843424
"CXCL8 - mRNA",7.13040340126431,7.15201817516492,6.92388926340189,9.85802796279254,9.51866287981824,9.29292258453676,11.0994845824567,10.983384114405,10.7980951072661,10.4858130979099,10.7067699064069,10.3523743191289,10.6522764956229,10.9328414564876,10.3724109009155,10.7994033719119,10.71003211848,10.5451722373672,10.572393880347,10.0712572680746,10.6442989291237,10.6559483922226,10.5815870066991,7.47739080791864,11.005918492921,10.159202917797,12.3814724526124,11.5099004984947,11.2018871467073,10.7287816420854,12.8725186737229,11.8908031776396,10.8298078848736,10.9664831847706,10.8209541069698,11.4557669271221,7.18753677583396,11.0576303703704
"PLOD2 - mRNA",9.1797311474824,9.17586488569001,9.2394266342455,9.76405183745375,9.33923131029042,9.34407670149597,10.3005364802091,10.0802456661142,10.2476056711305,9.96498090980648,10.1448435203876,10.180861440628,10.2707886356491,10.4366932449841,10.294408306744,10.3184713713696,10.3190214135844,10.2163672453404,10.219604741463,10.2307060910496,9.75544334528681,10.1981301066572,10.0878310395185,8.83494288421349,10.5547074633845,10.2409969730872,10.3523262259105,10.5151626260661,11.0405872211979,11.8296164846108,10.9325226865025,10.5473763282708,10.6031908709391,10.4560911654776,10.3386882403183,10.4693560132239,9.42019745744797,10.8401533366654
"TPI1 - mRNA",10.5316539296599,10.6764161813421,10.4968458550236,10.8383992439944,10.9028063088251,10.8354041513144,11.0106158593568,10.7102960864819,11.0226856231592,10.798970973894,10.6590479818942,10.8881737505839,10.961813085504,10.4808272957511,10.4195280649401,10.816291902706,10.7178545095217,10.6798218633863,10.7013133374889,10.60209452757,10.5873840465826,10.9710924199327,10.7777225584496,8.68684426435096,9.82149402733596,9.57424022340777,10.570506374217,10.4136247009375,10.316135249763,11.3257627478586,10.6899762242871,10.5021964050709,10.9225782327821,10.872287761337,10.903416310228,10.0054088487578,9.83139287970137,10.1574942002281
