ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,Regulation,Cell_Population,Treatment
mmu04660,T cell receptor signaling pathway - Mus musculus (house mouse),6/38,122/9771,6.66879281445898e-06,0.000940299786838716,0.000793235355825121,12526/12477/17444/15978/54167/12487,6,UPREGULATED,CD8_EM,0019
mmu04514,Cell adhesion molecules - Mus musculus (house mouse),5/38,179/9771,0.00059986690709469,0.0211453084750878,0.0178381475004474,12526/12477/54167/18613/12487,5,UPREGULATED,CD8_EM,0019
mmu04060,Cytokine-cytokine receptor interaction - Mus musculus (house mouse),5/38,294/9771,0.00530104149775218,0.0618402164444041,0.0521683050258878,20304/16184/12772/15978/16182,5,UPREGULATED,CD8_EM,0019
mmu05323,Rheumatoid arthritis - Mus musculus (house mouse),4/38,87/9771,0.000343547015352324,0.0211453084750878,0.0178381475004474,20304/12477/15978/12487,4,UPREGULATED,CD8_EM,0019
mmu04061,Viral protein interaction with cytokine and cytokine receptor - Mus musculus (house mouse),4/38,95/9771,0.000480544153393319,0.0211453084750878,0.0178381475004474,20304/16184/12772/16182,4,UPREGULATED,CD8_EM,0019
mmu05164,Influenza A - Mus musculus (house mouse),4/38,174/9771,0.00447227696788949,0.0618402164444041,0.0521683050258878,20304/11465/15978/66824,4,UPREGULATED,CD8_EM,0019
mmu03010,Ribosome - Mus musculus (house mouse),4/38,265/9771,0.0189378008154923,0.144772914913051,0.122130193245052,22121/20044/269261/11837,4,UPREGULATED,CD8_EM,0019
mmu05171,Coronavirus disease - COVID-19 - Mus musculus (house mouse),4/38,334/9771,0.0397189636384517,0.215398995116219,0.181710238507896,22121/20044/269261/11837,4,UPREGULATED,CD8_EM,0019
mmu05144,Malaria - Mus musculus (house mouse),3/38,57/9771,0.00137384870718186,0.0387425335425286,0.0326831376655896,27007/15978/18613,3,UPREGULATED,CD8_EM,0019
mmu05321,Inflammatory bowel disease - Mus musculus (house mouse),3/38,62/9771,0.00175217035788128,0.04117600341021,0.0347360088492253,17132/15978/16182,3,UPREGULATED,CD8_EM,0019
mmu04623,Cytosolic DNA-sensing pathway - Mus musculus (house mouse),3/38,82/9771,0.00388942168341273,0.0618402164444041,0.0521683050258878,20304/56045/66824,3,UPREGULATED,CD8_EM,0019
