ID,Description,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,Regulation,Cell_Population,Treatment
GO:0045071,negative regulation of viral genome replication,58/28943,2.66E-07,7.87E-05,2.52E-05,Ccl5/Ifitm3/Ifitm1,3,UPREGULATED,CD8_EM,19
GO:0045069,regulation of viral genome replication,95/28943,1.19E-06,0.000140991,4.51E-05,Ccl5/Ifitm3/Ifitm1,3,UPREGULATED,CD8_EM,19
GO:0048525,negative regulation of viral process,101/28943,1.43E-06,0.000140991,4.51E-05,Ccl5/Ifitm3/Ifitm1,3,UPREGULATED,CD8_EM,19
GO:0019079,viral genome replication,130/28943,3.06E-06,0.000221456,7.09E-05,Ccl5/Ifitm3/Ifitm1,3,UPREGULATED,CD8_EM,19
GO:0034341,response to interferon-gamma,139/28943,3.74E-06,0.000221456,7.09E-05,Ccl5/Ifitm3/Ifitm1,3,UPREGULATED,CD8_EM,19
GO:1903900,regulation of viral life cycle,151/28943,4.80E-06,0.000236703,7.58E-05,Ccl5/Ifitm3/Ifitm1,3,UPREGULATED,CD8_EM,19
GO:0050792,regulation of viral process,175/28943,7.47E-06,0.000315902,0.000101107,Ccl5/Ifitm3/Ifitm1,3,UPREGULATED,CD8_EM,19
GO:0019058,viral life cycle,261/28943,2.47E-05,0.000691273,0.000221247,Ccl5/Ifitm3/Ifitm1,3,UPREGULATED,CD8_EM,19
GO:0044403,biological process involved in symbiotic interaction,272/28943,2.79E-05,0.000691273,0.000221247,Ccl5/Ifitm3/Ifitm1,3,UPREGULATED,CD8_EM,19
GO:0051607,defense response to virus,289/28943,3.35E-05,0.000715113,0.000228877,Ccl5/Ifitm3/Ifitm1,3,UPREGULATED,CD8_EM,19
GO:0140546,defense response to symbiont,290/28943,3.38E-05,0.000715113,0.000228877,Ccl5/Ifitm3/Ifitm1,3,UPREGULATED,CD8_EM,19
GO:0009615,response to virus,347/28943,5.77E-05,0.001138583,0.000364411,Ccl5/Ifitm3/Ifitm1,3,UPREGULATED,CD8_EM,19
GO:0016032,viral process,355/28943,6.17E-05,0.001142233,0.00036558,Ccl5/Ifitm3/Ifitm1,3,UPREGULATED,CD8_EM,19
GO:0019221,cytokine-mediated signaling pathway,421/28943,0.000102406,0.001332453,0.000426461,Ccl5/Ifitm3/Ifitm1,3,UPREGULATED,CD8_EM,19
GO:0035455,response to interferon-alpha,31/28943,2.32E-05,0.000691273,0.000221247,Ifitm3/Ifitm1,2,UPREGULATED,CD8_EM,19
GO:0046597,negative regulation of viral entry into host cell,31/28943,2.32E-05,0.000691273,0.000221247,Ifitm3/Ifitm1,2,UPREGULATED,CD8_EM,19
GO:1903901,negative regulation of viral life cycle,34/28943,2.80E-05,0.000691273,0.000221247,Ifitm3/Ifitm1,2,UPREGULATED,CD8_EM,19
GO:0046596,regulation of viral entry into host cell,52/28943,6.61E-05,0.001150964,0.000368374,Ifitm3/Ifitm1,2,UPREGULATED,CD8_EM,19
GO:0060337,type I interferon signaling pathway,56/28943,7.67E-05,0.001176846,0.000376658,Ifitm3/Ifitm1,2,UPREGULATED,CD8_EM,19
GO:0071357,cellular response to type I interferon,56/28943,7.67E-05,0.001176846,0.000376658,Ifitm3/Ifitm1,2,UPREGULATED,CD8_EM,19
GO:0052372,modulation by symbiont of entry into host,57/28943,7.95E-05,0.001176846,0.000376658,Ifitm3/Ifitm1,2,UPREGULATED,CD8_EM,19
GO:0034340,response to type I interferon,62/28943,9.42E-05,0.001327207,0.000424782,Ifitm3/Ifitm1,2,UPREGULATED,CD8_EM,19
GO:0035456,response to interferon-beta,65/28943,0.000103535,0.001332453,0.000426461,Ifitm3/Ifitm1,2,UPREGULATED,CD8_EM,19
GO:0043903,regulation of biological process involved in symbiotic interaction,67/28943,0.000110031,0.001357043,0.000434331,Ifitm3/Ifitm1,2,UPREGULATED,CD8_EM,19
GO:0045669,positive regulation of osteoblast differentiation,79/28943,0.000153114,0.001812872,0.000580222,Ifitm3/Ifitm1,2,UPREGULATED,CD8_EM,19
GO:0046718,viral entry into host cell,104/28943,0.000265407,0.003021557,0.00096707,Ifitm3/Ifitm1,2,UPREGULATED,CD8_EM,19
GO:0044409,entry into host,108/28943,0.000286186,0.003137451,0.001004163,Ifitm3/Ifitm1,2,UPREGULATED,CD8_EM,19
GO:0044000,movement in host,127/28943,0.000395425,0.004180207,0.001337904,Ifitm3/Ifitm1,2,UPREGULATED,CD8_EM,19
GO:0045667,regulation of osteoblast differentiation,161/28943,0.000634063,0.006411492,0.002052042,Ifitm3/Ifitm1,2,UPREGULATED,CD8_EM,19
GO:0051701,biological process involved in interaction with host,163/28943,0.000649813,0.006411492,0.002052042,Ifitm3/Ifitm1,2,UPREGULATED,CD8_EM,19
GO:0001659,temperature homeostasis,189/28943,0.000871771,0.008324008,0.002664156,Ccl5/Plac8,2,UPREGULATED,CD8_EM,19
GO:0001649,osteoblast differentiation,225/28943,0.001231426,0.01139069,0.003645669,Ifitm3/Ifitm1,2,UPREGULATED,CD8_EM,19
GO:0030336,negative regulation of cell migration,312/28943,0.002347078,0.021052576,0.006738022,Ifitm3/Ifitm1,2,UPREGULATED,CD8_EM,19
GO:2000146,negative regulation of cell motility,325/28943,0.002543245,0.02185175,0.006993803,Ifitm3/Ifitm1,2,UPREGULATED,CD8_EM,19
GO:0040013,negative regulation of locomotion,360/28943,0.003108846,0.022242137,0.007118749,Ifitm3/Ifitm1,2,UPREGULATED,CD8_EM,19
GO:0001503,ossification,426/28943,0.004321998,0.022567248,0.007222803,Ifitm3/Ifitm1,2,UPREGULATED,CD8_EM,19
GO:0031620,regulation of fever generation,11/28943,0.002657645,0.02185175,0.006993803,Ccl5,1,UPREGULATED,CD8_EM,19
GO:2000109,regulation of macrophage apoptotic process,11/28943,0.002657645,0.02185175,0.006993803,Ccl5,1,UPREGULATED,CD8_EM,19
GO:0033632,regulation of cell-cell adhesion mediated by integrin,12/28943,0.002898949,0.022242137,0.007118749,Ccl5,1,UPREGULATED,CD8_EM,19
GO:0031652,positive regulation of heat generation,13/28943,0.003140202,0.022242137,0.007118749,Ccl5,1,UPREGULATED,CD8_EM,19
GO:0043922,negative regulation by host of viral transcription,13/28943,0.003140202,0.022242137,0.007118749,Ccl5,1,UPREGULATED,CD8_EM,19
GO:0071888,macrophage apoptotic process,13/28943,0.003140202,0.022242137,0.007118749,Ccl5,1,UPREGULATED,CD8_EM,19
GO:0001660,fever generation,14/28943,0.003381406,0.022242137,0.007118749,Ccl5,1,UPREGULATED,CD8_EM,19
GO:0002551,mast cell chemotaxis,14/28943,0.003381406,0.022242137,0.007118749,Ccl5,1,UPREGULATED,CD8_EM,19
GO:0072683,T cell extravasation,14/28943,0.003381406,0.022242137,0.007118749,Ccl5,1,UPREGULATED,CD8_EM,19
GO:2000343,positive regulation of chemokine (C-X-C motif) ligand 2 production,14/28943,0.003381406,0.022242137,0.007118749,Ccl5,1,UPREGULATED,CD8_EM,19
GO:0010820,positive regulation of T cell chemotaxis,15/28943,0.00362256,0.022424397,0.007177083,Ccl5,1,UPREGULATED,CD8_EM,19
GO:0031269,pseudopodium assembly,15/28943,0.00362256,0.022424397,0.007177083,Ccl5,1,UPREGULATED,CD8_EM,19
GO:0010819,regulation of T cell chemotaxis,16/28943,0.003863663,0.022424397,0.007177083,Ccl5,1,UPREGULATED,CD8_EM,19
GO:0031650,regulation of heat generation,16/28943,0.003863663,0.022424397,0.007177083,Ccl5,1,UPREGULATED,CD8_EM,19
GO:0034112,positive regulation of homotypic cell-cell adhesion,16/28943,0.003863663,0.022424397,0.007177083,Ccl5,1,UPREGULATED,CD8_EM,19
GO:0070234,positive regulation of T cell apoptotic process,16/28943,0.003863663,0.022424397,0.007177083,Ccl5,1,UPREGULATED,CD8_EM,19
GO:0031268,pseudopodium organization,17/28943,0.004104717,0.022499928,0.007201257,Ccl5,1,UPREGULATED,CD8_EM,19
GO:0040015,negative regulation of multicellular organism growth,17/28943,0.004104717,0.022499928,0.007201257,Plac8,1,UPREGULATED,CD8_EM,19
GO:0097531,mast cell migration,17/28943,0.004104717,0.022499928,0.007201257,Ccl5,1,UPREGULATED,CD8_EM,19
GO:0033631,cell-cell adhesion mediated by integrin,18/28943,0.00434572,0.022567248,0.007222803,Ccl5,1,UPREGULATED,CD8_EM,19
GO:0140131,positive regulation of lymphocyte chemotaxis,18/28943,0.00434572,0.022567248,0.007222803,Ccl5,1,UPREGULATED,CD8_EM,19
GO:0048245,eosinophil chemotaxis,19/28943,0.004586674,0.023407851,0.007491844,Ccl5,1,UPREGULATED,CD8_EM,19
GO:0070230,positive regulation of lymphocyte apoptotic process,21/28943,0.005068431,0.024890854,0.00796649,Ccl5,1,UPREGULATED,CD8_EM,19
GO:0090026,positive regulation of monocyte chemotaxis,22/28943,0.005309234,0.024890854,0.00796649,Ccl5,1,UPREGULATED,CD8_EM,19
GO:0010818,T cell chemotaxis,23/28943,0.005549988,0.024890854,0.00796649,Ccl5,1,UPREGULATED,CD8_EM,19
GO:0019835,cytolysis,23/28943,0.005549988,0.024890854,0.00796649,Gzma,1,UPREGULATED,CD8_EM,19
GO:0031649,heat generation,23/28943,0.005549988,0.024890854,0.00796649,Ccl5,1,UPREGULATED,CD8_EM,19
GO:0033630,positive regulation of cell adhesion mediated by integrin,23/28943,0.005549988,0.024890854,0.00796649,Ccl5,1,UPREGULATED,CD8_EM,19
GO:0072677,eosinophil migration,23/28943,0.005549988,0.024890854,0.00796649,Ccl5,1,UPREGULATED,CD8_EM,19
GO:1901623,regulation of lymphocyte chemotaxis,23/28943,0.005549988,0.024890854,0.00796649,Ccl5,1,UPREGULATED,CD8_EM,19
GO:0033033,negative regulation of myeloid cell apoptotic process,24/28943,0.005790691,0.025582756,0.008187938,Ccl5,1,UPREGULATED,CD8_EM,19
GO:0010759,positive regulation of macrophage chemotaxis,25/28943,0.006031345,0.026254091,0.008402803,Ccl5,1,UPREGULATED,CD8_EM,19
GO:0051354,negative regulation of oxidoreductase activity,26/28943,0.006271949,0.026773623,0.008569083,Gzma,1,UPREGULATED,CD8_EM,19
GO:0032069,regulation of nuclease activity,27/28943,0.006512503,0.026773623,0.008569083,Gzma,1,UPREGULATED,CD8_EM,19
