raid,name,address,countryname,statename,countyname,cityname,zip,lat,lon,email,phone,website,facebook,instagram,twitter,linkedin
005008106cf437ce9a479baf9c3f467f,Colorado Cannabis Growers Association,420 Main St.,US,CO,Huerfano,Walsenburg,81089,37.65158,-104.737761,ccgassociation@gmail.com,719-890-4424,https://ccgassociation.wixsite.com/welcome,https://www.facebook.com/The-Colorado-Cannabis-Growers-Association-1686756028274356/?ref=bookmarks,,,
02228364b75b94ba1e7b95382712f20e,Craft Cannabis Association of B.C. (CCABC),PO Box 674 Nelson,CAN,BC,,Vancouver,V1L5R,,,hello@craftcannabis.ca,,https://www.craftcannabis.ca,https://www.facebook.com/CraftCABC/,https://www.instagram.com/craftcabc/,,
048bc8c24b5e46bc9fded8bc3f56afab,Coachella Valley Cannabis Alliance Network (CVCAN),"14080 Palm Drive, Suite D-457",US,CA,Riverside,Desert Hot Springs,92240,33.95154,-116.520104,info@deserthotspringscan.org,(760) 218-5447,https://coachellavalleycan.org/,https://www.facebook.com/COACHELLAVALLEYCAN/,https://www.instagram.com/c.v.c.a.n/,,https://www.linkedin.com/company/cvcan-coachella-valley-cannabis-alliance-network/?originalSubdomain=de
060374bfbc4366e0718450f9a75a7f94,Canadian Cannabis Association,"200, rue Durand unité 203",CAN,QC,,Saint-jérôme,J7Z 7E2,,,canadiancannabisassociation@gmail.com,450 304-9993,https://www.associationcannabis.ca/en/,,,,https://www.linkedin.com/in/canadian-cannabis-7ba2ba196/?originalSubdomain=ca
06fd151cb85d9ab4beb6244a79c78948,Minnesota Cannabis Association,,US,MN,,,,,,contact@mncannabisassociation.org,,https://www.mncannabisassociation.org/,,,,
0844beab0441f9df8ef6bb1551d8e0bb,Georgia Cannabis Industry Association (GA-CIA),140 Rollingwood Drive,US,GA,Clarke,Athens,30605,33.905911,-83.323577,director@gacannabisindustryalliance.com,+1 678-901-0162,https://gacannabisindustryalliance.com/,https://www.facebook.com/georgiaCIA/,,,
08af83f4e77c4704c79b3fd77fb75050,American Medical Marijuana Physicians Association,618 E South St,US,FL,Orange,"
orlando",32801,28.541774,-81.374351,,,https://www.ammpa.net/,,,,https://www.linkedin.com/company/ammpa/
08b29104c902ce2d9ac48bded98d7c6c,Maine Cannabis Industry Association,,US,ME,,,,,,ktracy@verrilldana.com,,https://www.mainecannabisindustry.com/,,,,
08c88f84d0fcd5bd379007d0ea531167,Texas Cannabis Industry Association (TCIA),"11625 Custer Rd, Suite 110-255",US,TX,Collin,Frisco,75035,33.16313,-96.790193,"executive-director@texascannabisindustry.org, administration@texascannabisindustry.org",(310) 654-9247,https://www.texascannabisindustry.org/,https://www.facebook.com/TxCIA/,https://www.instagram.com/txcannabisindustry/,https://twitter.com/TxCIA,https://www.linkedin.com/company/texas-cannabis-industry-association/
0ac9283b45c5729006792b5f6c087c96,Southern California Cannabis Council (SCCC),"14080 Palm Dr., Suite D442",US,CA,Riverside,Desert Hot Springs,92240,33.95154,-116.520104,info@scccouncil.org,(951) 741-1080,https://www.scccouncil.org/,,,,https://www.linkedin.com/company/southern-california-cannabis-council-sccc/
0bc2754db650b2b03e6df439f8acd881,Cannabis Business Assocation,"3845 Tennyson Street, Suite 170",US,CO,Denver,Denver,80212,39.772047,-105.048027,info@cannabisbusinessassociation.com,(888) 683-5650,https://www.cannabisbusinessassociation.com,https://www.facebook.com/pg/CannaBizAssoc,https://www.instagram.com/cannabisbusinessassociation/,https://twitter.com/CannaBizAssoc,https://www.linkedin.com/company/cannabisbusinessassociation
0bec8cf5b3009267e0b5c5dc38ab2ecf,Hudson Valley Cannabis Industry Association,,US,NY,,New York,,,,,,https://ciamembership.org/,https://www.facebook.com/CannabusinessNY/,,,https://www.linkedin.com/company/hv-nyc-cia/
0d0d910794db691aeae9673924de3a17,Montana Cannabis Trade Association,"175 Hutton Ranch Rd 103, PMB 120",US,MT,Flathead,Kalispell,59901,48.229649,-114.385053,,,https://www.mtcia.org/,https://www.facebook.com/mtcia,,https://twitter.com/mtciamontana,
0d5d413f247e3e69fb10e5c6442b64a4,Colorado Leads,1312 17th St. # 1302,US,CO,Denver,Denver,80202,39.751907,-104.997633,,(303) 881-8971,https://coleads.org,,,https://twitter.com/ColoradoLeads,
10dee7d3295b9f5192bf85b623773e16,Tennessee Growers Coalition (TGC),,US,TN,Davidson,Nashville,37243,36.165011,-86.782141,tngrowerscoalition@gmail.com,,https://tngrowerscoalition.com/,https://www.facebook.com/tngrowerscoalition,https://www.instagram.com/tngrowerscoalition/?hl=en,,
11b3483456a3ef7dec1daa76f8f351e9,American Herbal Products Association (AHPA),"8630 Fenton St, Suite 123",US,MD,Montgomery,Silver Spring,20910,39.002837,-77.036701,ahpa@ahpa.org,301.588.1171,https://www.ahpa.org,https://www.facebook.com/AHPAssociation/,https://www.instagram.com/ahpa1982/,,https://www.linkedin.com/company/american-herbal-products-association/?viewAsMember=true
