ID	gene_symbols	refseq_gene	chr	start	end	strand	ave_wt_perc	ave_mut_perc	wt_perc_qc	mut_perc_qc	log_ratio	perc_qval	alt_3ss	alt_5ss	exon_inclusion	exon_skipping	intron_retention	ave_wt_raw	ave_mut_raw	edger_gene_qval	3ss_mad_score	5ss_mad_score
chr12:120636530-120636656:-:end	RPLP0,GCN1L1	RPLP0	chr12	120636530	120636656	-	0	0	0.60676104	0.0	-2.3983612	0.032621086	False	False	False	False	False	141	0	NA	0.1454499	1.1383463
chr12:54675680-54677610:+:end	HNRNPA1		chr12	54675680	54677610	+	0	1	0.0	1.8256847	4.1104145	0.03254368	False	False	False	False	False	0	274	NA	-1.2964606	0.34324956
chr19:3982050-3982406:-:end	EEF2	EEF2	chr19	3982050	3982406	-	0	0	0.0	0.3802589	1.7551899	0.12350567	False	False	False	False	False	0	43	NA	1.6681517	-5.789868
chr19:3982050-3982406:-:start	EEF2	EEF2	chr19	3982050	3982406	-	0	0	0.0	0.27365357	1.3206272	0.114766024	False	False	False	False	False	0	43	NA	1.6681517	-5.789868
chr22:39714589-39715599:-:end	RPL3	RPL3	chr22	39714589	39715599	-	0	0	1.0552366	0.0	-3.1158495	0.032621086	False	False	False	False	False	167	0	NA	0.65960056	-0.34324908
chr3:39450215-39452443:+:end	MOBP,SNORA62,RPSA	RPSA	chr3	39450215	39452443	+	0	0	0.31228006	0.0	-1.4467793	0.078613244	False	False	False	False	False	60	0	NA	-0.7035394	0.73322475
chr3:39450215-39452443:+:start	MOBP,SNORA62,RPSA	RPSA	chr3	39450215	39452443	+	0	0	0.3041988	0.0	-1.4359894	0.078613244	False	False	False	False	False	60	0	NA	-0.7035394	0.73322475
chr5:134143527-134143586:+:start			chr5	134143527	134143586	+	0	3	0.0	4.17099	5.267794	0.0072932877	False	False	False	False	False	0	1617	NA	-0.04704866	-4.3432508
chr6:44219345-44219851:+:start	HSP90AB1	HSP90AB1	chr6	44219345	44219851	+	2	0	2.9523811	0.0	-4.7721577	0.032621086	False	False	False	False	False	132	0	NA	-1.6766504	-0.8616536
chr7:44240838-44244166:+:start	YKT6	YKT6	chr7	44240838	44244166	+	93	100	94.28076	100.0	6.0684977	0.17079484	True	False	False	False	False	531	449	NA	-2.0007071	2.0665586
chr7:44240838-44244173:+:start	YKT6	YKT6	chr7	44240838	44244173	+	6	0	6.5989842	0.0	-6.0684795	0.17079484	True	False	False	False	False	35	0	NA	0.04704866	2.0665586
chr9:113013730-113018691:-:end	TXN	TXN	chr9	113013730	113018691	-	0	0	0.0	0.96019554	3.2541847	0.08313106	False	False	False	False	False	0	62	NA	3.2152884	-0.47167847
