ID	gene_symbols	refseq_gene	chr	start	end	strand	ave_wt_perc	ave_mut_perc	wt_perc_qc	mut_perc_qc	log_ratio	perc_qval	alt_3ss	alt_5ss	exon_inclusion	exon_skipping	intron_retention	ave_wt_raw	ave_mut_raw	edger_gene_qval	3ss_mad_score	5ss_mad_score
chr10:133782836-133784141:-:end	BNIP3	BNIP3	chr10	133782836	133784141	-	0	1	0.0	2.591093	4.279112	0.17553273	False	False	False	False	False	0	22	NA	-2.0014713	-1.9309752
chr11:2416276-2416678:+:start	CD81	CD81	chr11	2416276	2416678	+	0	3	0.0	3.504673	4.9649215	0.091730654	False	False	False	False	False	0	39	NA	-0.39097708	1.586335
chr11:64877395-64877934:+:start	C11orf2,VPS51,TM7SF2	VPS51	chr11	64877395	64877934	+	0	3	0.0	4.9528303	5.348325	0.19952701	False	False	False	False	False	0	16	NA	0.6317412	-0.814312
chr12:131359278-131360218:+:start	RAN	RAN	chr12	131359278	131360218	+	0	0	0.0	0.58945906	2.3250785	0.12833126	False	False	False	False	False	0	30	NA	-0.48475835	1.3571389
chr12:49364352-49364354:-:start	WNT10B	WNT10B	chr12	49364352	49364354	-	0	25	0.0	30.000002	8.410237	0.17553273	False	False	False	False	False	0	12	NA	2.501008	-8.262636
chr12:49364352-49365237:-:start	WNT10B	WNT10B	chr12	49364352	49365237	-	100	74	100.0	82.051285	-8.410255	0.17553273	False	False	False	False	False	62	35	NA	2.501008	0.71957994
chr14:74358911-74360478:+:start	RP5-1021I20.4,PTGR2,ZNF410	ZNF410	chr14	74358911	74360478	+	0	14	0.0	16.161615	7.360834	0.17553273	False	False	False	False	False	0	14	NA	0.905331	0.7899217
chr14:75356052-75356580:+:start	DLST	DLST	chr14	75356052	75356580	+	0	22	0.3215434	22.67658	6.5103054	0.07134525	False	False	False	False	False	1	62	NA	-1.9887695	1.3907055
chr14:75356597-75356599:+:end	DLST	DLST	chr14	75356597	75356599	+	1	27	1.8575851	29.929579	5.1602173	0.17553273	False	False	False	False	False	3	78	NA	-0.17325608	-8.6803875
chr15:64452336-64455050:-:end	PPIB	PPIB	chr15	64452336	64455050	-	0	0	0.0	1.1918492	3.32825	0.17553273	False	False	False	False	False	0	25	NA	2.181533	-1.0620478
chr16:11935600-11945264:-:end	RSL1D1	RSL1D1	chr16	11935600	11945264	-	0	2	0.0	2.340824	4.410631	0.17553273	False	False	False	False	False	0	22	NA	-0.56106085	2.7697234
chr16:2011184-2011531:+:start			chr16	2011184	2011531	+	0	0	0.0	1.0752689	3.055253	0.17553273	False	False	False	False	False	0	21	NA	1.2562693	-0.63290566
chr16:2013250-2014276:-:end	SNORA64,RPS2,SNORA10	RPS2	chr16	2013250	2014276	-	0	0	0.32054365	0.0	-1.3276186	0.07134525	False	False	False	False	False	80	0	NA	-1.0	0.46829438
chr16:30075569-30075781:+:end	ALDOA	ALDOA	chr16	30075569	30075781	+	2	0	3.6333609	0.0	-4.881493	0.07134525	False	False	False	False	False	106	0	NA	0.42241964	1.9787527
