ID	gene_symbols	refseq_gene	chr	start	end	strand	ave_wt_perc	ave_mut_perc	wt_perc_qc	mut_perc_qc	log_ratio	perc_qval	alt_3ss	alt_5ss	exon_inclusion	exon_skipping	intron_retention	ave_wt_raw	ave_mut_raw	edger_gene_qval	3ss_mad_score	5ss_mad_score
chr10:102286851-102289136:-:end	SEC31B,NDUFB8	NDUFB8	chr10	102286851	102289136	-	0	0	0.0349406	0.90202177	3.0225973	0.14899464	False	False	False	False	False	0	24	NA	-0.49691308	-1.5007726
chr10:103360619-103360926:+:start	DPCD	DPCD	chr10	103360619	103360926	+	0	2	0.0	2.75	4.597136	0.1918922	False	False	False	False	False	0	11	NA	-0.3543272	-1.2904984
chr10:126671873-126673342:+:end	ZRANB1	ZRANB1	chr10	126671873	126673342	+	0	10	0.0	10.526316	6.800964	0.19872943	False	False	False	False	False	0	7	NA	-0.043968458	1.2370325
chr10:133782836-133784141:-:end	BNIP3	BNIP3	chr10	133782836	133784141	-	0	1	0.0	1.6380016	3.84582	0.109255165	False	False	False	False	False	0	19	NA	-1.4283005	-1.7942766
chr11:122932054-122932771:-:end	HSPA8	HSPA8	chr11	122932054	122932771	-	0	0	0.0	0.8241759	2.472796	0.16603571	False	False	False	False	False	0	19	NA	0.86882895	-0.3561492
chr11:62393629-62393806:-:end	GANAB	GANAB	chr11	62393629	62393806	-	0	1	0.0	1.4959724	3.695797	0.1883804	False	False	False	False	False	0	10	NA	-0.8058859	0.335983
chr11:62554999-62556481:+:start	TMEM179B	TMEM179B	chr11	62554999	62556481	+	0	6	0.4552352	7.632094	4.3968096	0.16358824	False	False	False	False	False	2	33	NA	-1.3414894	-0.3380012
chr11:62648919-62649364:+:start	SLC3A2	SLC3A2	chr11	62648919	62649364	+	99	93	99.82789	93.822395	-4.2532024	0.1710316	False	False	False	False	False	1280	1050	NA	-0.48001227	-0.25753587
chr11:64877395-64877934:+:start	C11orf2,VPS51,TM7SF2	VPS51	chr11	64877395	64877934	+	0	5	0.0	6.067961	5.723086	0.100419484	False	False	False	False	False	0	20	NA	-0.6035984	-1.9939963
chr11:67168290-67168538:-:end	PPP1CA	PPP1CA	chr11	67168290	67168538	-	0	0	0.0	1.1904762	3.0804157	0.1883804	False	False	False	False	False	0	11	NA	-1.6154876	-1.850301
chr12:120637245-120638885:-:end	RPLP0,GCN1L1	RPLP0	chr12	120637245	120638885	-	0	0	0.0	0.15759377	0.5512495	0.09261025	False	False	False	False	False	0	30	NA	-0.63932955	-1.4991802
chr12:131359278-131360218:+:start	RAN	RAN	chr12	131359278	131360218	+	0	0	0.0	0.5885886	2.4933186	0.09261025	False	False	False	False	False	0	40	NA	0.026947876	0.22554134
chr12:21788643-21790010:-:start	LDHB	LDHB	chr12	21788643	21790010	-	0	0	0.0	1.0229685	3.1896544	0.09261025	False	False	False	False	False	0	55	NA	0.23984107	-0.3860886
chr12:2906325-2907886:+:start			chr12	2906325	2907886	+	0	1	0.0	1.9844083	3.9398494	0.11989511	False	False	False	False	False	0	23	NA	-1.7965889	-1.3503071
chr12:49364352-49364354:-:start	WNT10B	WNT10B	chr12	49364352	49364354	-	0	17	0.0	18.518518	7.7500634	0.124838434	False	False	False	False	False	0	9	NA	-0.033231225	-12.275198
chr12:49364352-49365237:-:start	WNT10B	WNT10B	chr12	49364352	49365237	-	100	82	100.0	82.97873	-7.750081	0.124838434	True	False	False	False	False	62	41	NA	-0.033231225	1.0113943
chr12:49364367-49365237:-:end	WNT10B	WNT10B	chr12	49364367	49365237	-	0	17	0.0	19.642857	7.6809983	0.126399	True	False	False	False	False	0	9	NA	-1.9222189	1.0113943
chr12:69048032-69050880:+:end	RAP1B	RAP1B	chr12	69048032	69050880	+	0	2	0.0	3.846154	4.8957973	0.1883804	False	False	False	False	False	0	11	NA	0.8199669	-1.0455188
chr13:48616414-48653979:-:end	MED4	MED4	chr13	48616414	48653979	-	0	5	0.0	6.5789475	5.8361	0.102866344	False	False	False	False	False	0	21	NA	0.2839348	0.7899308
chr13:99127232-99127234:-:start	STK24	STK24	chr13	99127232	99127234	-	0	5	0.0	6.940063	5.7339764	0.15174328	False	False	False	False	False	0	15	NA	0.7889237	-14.666267
chr13:99127232-99127503:-:start	STK24	STK24	chr13	99127232	99127503	-	100	94	100.0	96.819786	-5.7339954	0.15174328	True	False	False	False	False	311	277	NA	0.7889237	1.6750293
chr13:99127256-99127503:-:end	STK24	STK24	chr13	99127256	99127503	-	0	4	0.0	5.3968253	5.450437	0.14578657	True	False	False	False	False	0	12	NA	-1.511719	1.6750293
chr14:21679682-21679968:-:end	HNRNPC	HNRNPC	chr14	21679682	21679968	-	0	0	0.02753304	1.2030624	3.2069602	0.126399	False	False	False	False	False	0	44	NA	-2.5334873	1.062018
chr14:21679682-21679968:-:start	HNRNPC	HNRNPC	chr14	21679682	21679968	-	0	0	0.024137098	1.0956175	3.052856	0.126399	False	False	False	False	False	0	44	NA	-2.5334873	1.062018
chr14:74358911-74360478:+:start	RP5-1021I20.4,PTGR2,ZNF410	ZNF410	chr14	74358911	74360478	+	0	15	0.0	19.0	7.5412774	0.126399	False	False	False	False	False	0	16	NA	-0.75897866	0.2224046
chr14:75356052-75356580:+:start	DLST	DLST	chr14	75356052	75356580	+	0	19	0.3215434	20.652174	6.2731757	0.09261025	True	False	False	False	False	1	58	NA	-1.5418806	2.1289775
chr14:75356052-75356599:+:end	DLST	DLST	chr14	75356052	75356599	+	98	76	99.33555	77.099236	-4.5572906	0.1883804	True	False	False	False	False	301	215	NA	1.3574047	2.1289775
chr14:75356597-75356599:+:end	DLST	DLST	chr14	75356597	75356599	+	1	23	1.8575851	23.843416	4.8045464	0.126399	False	False	False	False	False	3	65	NA	1.3574047	-11.73735
chr15:40338270-40348874:+:start	narpor,SRP14-AS1	SRP14-AS1	chr15	40338270	40348874	+	0	31	0.0	50.0	8.841142	0.16928007	False	False	False	False	False	0	10	NA	-0.09097814	0.45848393
chr15:49420970-49421673:-:end	COPS2	COPS2	chr15	49420970	49421673	-	0	8	0.0	12.831858	6.5858583	0.18066156	False	False	False	False	False	0	21	NA	-1.644075	0.32717776
chr15:59970286-59972439:-:end	BNIP2	BNIP2	chr15	59970286	59972439	-	0	13	0.0	14.285715	7.2382936	0.1883804	False	False	False	False	False	0	8	NA	0.6000403	-0.13880533
