ID	gene_symbols	refseq_gene	chr	start	end	strand	ave_wt_perc	ave_mut_perc	wt_perc_qc	mut_perc_qc	log_ratio	perc_qval	alt_3ss	alt_5ss	exon_inclusion	exon_skipping	intron_retention	ave_wt_raw	ave_mut_raw	edger_gene_qval	3ss_mad_score	5ss_mad_score
chr10:102286851-102289136:-:end	SEC31B,NDUFB8	NDUFB8	chr10	102286851	102289136	-	0	0	0.0349406	0.5226481	2.2209606	0.17609996	False	False	False	False	False	0	14	NA	-0.2927744	-0.83992827
chr10:1045035-1046887:+:end	GTPBP4	GTPBP4	chr10	1045035	1046887	+	0	1	0.0	1.9960079	4.0983276	0.19458325	False	False	False	False	False	0	8	NA	0.4870977	1.7025539
chr10:114203364-114206462:-:end	ZDHHC6	ZDHHC6	chr10	114203364	114206462	-	0	7	0.0	10.588236	6.322775	0.1924893	False	False	False	False	False	0	7	NA	-0.23281914	0.0
chr10:12252023-12257738:+:end	CDC123	CDC123	chr10	12252023	12257738	+	0	2	0.17857143	3.0701754	4.7820034	0.18685314	False	False	False	False	False	0	18	NA	1.5071323	-1.1147671
chr10:12252023-12257738:+:start	CDC123	CDC123	chr10	12252023	12257738	+	0	2	0.16051364	2.9126215	4.72274	0.16257186	False	False	False	False	False	0	18	NA	1.5071323	-1.1147671
chr10:133782836-133784141:-:end	BNIP3	BNIP3	chr10	133782836	133784141	-	0	1	0.0	1.3675214	3.493514	0.09444671	False	False	False	False	False	0	13	NA	-2.6328936	-0.46432692
chr10:27054247-27059173:-:end	ABI1	ABI1	chr10	27054247	27059173	-	0	11	0.0	13.461539	7.062194	0.093942024	False	False	False	False	False	0	13	NA	2.3399994	0.26515597
chr10:27054247-27059173:-:start	ABI1	ABI1	chr10	27054247	27059173	-	0	11	0.0	15.315315	7.055174	0.12566698	False	False	False	False	False	0	13	NA	2.3399994	0.26515597
chr10:62539960-62545421:+:end	CDK1	CDK1	chr10	62539960	62545421	+	0	4	0.0	6.423983	5.6912856	0.09403361	False	False	False	False	False	0	24	NA	1.2517387	2.1346214
chr10:62539960-62545421:+:start	CDK1	CDK1	chr10	62539960	62545421	+	0	4	0.0	5.208333	5.393344	0.086723566	False	False	False	False	False	0	24	NA	1.2517387	2.1346214
chr10:88233730-88281121:-:start	WAPAL	WAPAL	chr10	88233730	88281121	-	0	5	0.0	6.4	5.918548	0.19458325	False	False	False	False	False	0	6	NA	0.7471157	0.952043
chr10:99190410-99192111:+:end	PGAM1	PGAM1	chr10	99190410	99192111	+	0	0	0.0	0.4597701	1.6549463	0.19458325	False	False	False	False	False	0	9	NA	-0.56691873	0.43101767
chr10:99190410-99192111:+:start	PGAM1	PGAM1	chr10	99190410	99192111	+	0	0	0.0	0.29462314	1.0406027	0.19458325	False	False	False	False	False	0	9	NA	-0.56691873	0.43101767
chr11:10820660-10822277:-:end	ZBED5,EIF4G2,SNORD97	EIF4G2	chr11	10820660	10822277	-	0	1	0.0	1.5256588	3.6560593	0.13763471	False	False	False	False	False	0	9	NA	2.7396991	-1.0234835
chr11:10820660-10822277:-:start	ZBED5,EIF4G2,SNORD97	EIF4G2	chr11	10820660	10822277	-	0	1	0.0	1.4211887	3.57053	0.14800404	False	False	False	False	False	0	9	NA	2.7396991	-1.0234835
chr11:17097119-17098714:-:end	RPS13,PIK3C2	RPS13	chr11	17097119	17098714	-	0	0	0.0	0.2170139	0.98716164	0.0994148	False	False	False	False	False	0	16	NA	-0.3407212	0.18786022
chr11:2416276-2416645:+:start	CD81	CD81	chr11	2416276	2416645	+	99	94	99.921814	96.07167	-5.6842904	0.13763471	False	False	False	False	False	1288	1401	NA	-1.2733883	0.85696006
chr11:32118765-32119895:+:end	RCN1	RCN1	chr11	32118765	32119895	+	0	2	0.0	3.0894308	4.7369976	0.10508175	False	True	False	False	False	0	17	NA	-0.678459	-3.2006807
chr11:32118883-32119895:+:end	RCN1	RCN1	chr11	32118883	32119895	+	100	97	100.0	98.096634	-4.9327965	0.17877947	False	True	False	False	False	618	650	NA	-0.678459	1.1929681
chr11:64877395-64877934:+:start	C11orf2,VPS51,TM7SF2	VPS51	chr11	64877395	64877934	+	0	2	0.0	3.4300792	4.7412424	0.14689036	False	False	False	False	False	0	11	NA	-0.70687586	-2.6533394
chr11:65482381-65484359:+:end	KAT5	KAT5	chr11	65482381	65484359	+	0	4	0.0	4.663213	5.489863	0.15585467	False	False	False	False	False	0	9	NA	0.37352863	-0.1353706
chr11:65482381-65484359:+:start	KAT5	KAT5	chr11	65482381	65484359	+	0	4	0.0	4.7872343	5.435482	0.1738931	False	False	False	False	False	0	9	NA	0.37352863	-0.1353706
chr11:68334479-68334481:+:end	PPP6R3	PPP6R3	chr11	68334479	68334481	+	0	6	0.0	6.521739	6.01198	0.13763471	False	False	False	False	False	0	5	NA	0.81759703	-7.689056
chr12:104324342-104332117:+:end	HSP90B1	HSP90B1	chr12	104324342	104332117	+	0	0	0.0	0.7432819	2.5887337	0.13763471	False	False	False	False	False	0	10	NA	0.88948476	0.061500087
chr12:104324342-104332117:+:start	HSP90B1	HSP90B1	chr12	104324342	104332117	+	0	0	0.0	0.6391347	2.4381022	0.13763471	False	False	False	False	False	0	10	NA	0.88948476	0.061500087
chr12:118683997-118684056:+:start			chr12	118683997	118684056	+	0	0	0.0	0.34840915	1.5485001	0.039502934	False	False	False	False	False	0	94	NA	-3.9484456	-6.2508726
chr12:27933314-27944640:+:end	KLHL42,KLHDC5	KLHL42	chr12	27933314	27944640	+	0	21	0.0	25.0	8.130351	0.13763471	False	False	False	False	False	0	6	NA	1.3010685	-0.26675743
chr12:2906325-2907886:+:start			chr12	2906325	2907886	+	0	0	0.0	1.1083744	2.9206767	0.16257186	False	False	False	False	False	0	13	NA	-2.124997	-1.3051031
chr12:46623422-46662647:-:end	SLC38A1	SLC38A1	chr12	46623422	46662647	-	0	8	0.0	10.0	6.477179	0.15409023	False	False	False	False	False	0	8	NA	0.05324554	0.10662833
chr12:46623422-46662647:-:start	SLC38A1	SLC38A1	chr12	46623422	46662647	-	0	5	0.0	5.6962023	5.859756	0.13763471	False	False	False	False	False	0	8	NA	0.05324554	0.10662833
