ID	gene_symbols	refseq_gene	chr	start	end	strand	ave_wt_perc	ave_mut_perc	wt_perc_qc	mut_perc_qc	log_ratio	perc_qval	alt_3ss	alt_5ss	exon_inclusion	exon_skipping	intron_retention	ave_wt_raw	ave_mut_raw	edger_gene_qval	3ss_mad_score	5ss_mad_score
chr10:17275681-17275777:+:start	VIM	VIM	chr10	17275681	17275777	+	0	1	0.0	1.1426593	3.4179654	0.18855916	False	False	False	False	False	0	31	NA	-1.0	0.16545403
chr12:54063075-54063654:-:end	RPL31P51,ATP5G2	ATP5G2	chr12	54063075	54063654	-	0	0	1.0989012	0.0	-3.3235717	0.18855916	False	False	False	False	False	30	0	NA	0.09619509	-1.1166252
chr12:54066415-54069836:-:end	RPL31P51,ATP5G2	ATP5G2	chr12	54066415	54069836	-	0	5	0.0	5.724417	5.8007565	0.03519767	False	False	False	False	False	0	102	NA	0.0	-1.0
chr12:6646556-6647087:+:start	GAPDH,NCAPD2	GAPDH	chr12	6646556	6647087	+	0	0	0.48191357	0.0	-1.9740415	0.03519767	False	False	False	False	False	124	0	NA	1.2651181	1.4509027
chr12:6647162-6647290:+:start	GAPDH,NCAPD2	GAPDH	chr12	6647162	6647290	+	0	0	0.0	0.6560715	2.6153927	0.03519767	False	False	False	False	False	0	97	NA	-0.47542414	0.9478016
chr14:21679690-21679968:-:end	HNRNPC	HNRNPC	chr14	21679690	21679968	-	0	1	0.0	1.8766128	4.222755	0.03519767	False	False	False	False	False	0	78	NA	-1.2906153	0.35559055
chr15:66793443-66793742:-:start	RPL4	RPL4	chr15	66793443	66793742	-	0	0	0.41214946	0.0	-1.9043169	0.10335118	False	False	False	False	False	45	0	NA	1.3822615	-0.13793884
chr17:34171822-34171864:+:start			chr17	34171822	34171864	+	0	8	0.0	8.895266	6.548477	0.04864179	False	False	False	False	False	0	65	NA	-1.015382	-1.0891106
chr22:39714589-39715599:-:end	RPL3	RPL3	chr22	39714589	39715599	-	0	0	1.0552366	0.0	-3.1158495	0.03519767	False	False	False	False	False	167	0	NA	0.47222748	1.3711898
chr4:39459912-39460013:-:end	RPL9	RPL9	chr4	39459912	39460013	-	0	0	0.87601554	0.0	-2.8623648	0.03519767	False	False	False	False	False	103	0	NA	-0.051387332	1.4509027
chr5:134117765-134118636:+:end			chr5	134117765	134118636	+	6	0	19.45137	0.0	-6.1140337	0.03519767	False	True	False	False	False	26	0	NA	1.2533239	-3.6314662
chr5:134117776-134118636:+:start	DDX46	DDX46	chr5	134117776	134118636	+	0	1	0.0	1.6629139	3.9344492	0.020739779	False	True	False	False	False	0	700	NA	1.2533239	0.0
chr9:127620340-127622461:-:end	RPL35	RPL35	chr9	127620340	127622461	-	0	2	0.0	2.4911995	4.4157963	0.022659263	False	False	False	False	False	0	368	NA	-0.70483404	-0.88337415
