ID	gene_symbols	refseq_gene	chr	start	end	strand	ave_wt_perc	ave_mut_perc	wt_perc_qc	mut_perc_qc	log_ratio	perc_qval	alt_3ss	alt_5ss	exon_inclusion	exon_skipping	intron_retention	ave_wt_raw	ave_mut_raw	edger_gene_qval	3ss_mad_score	5ss_mad_score
chr11:2416276-2416678:+:start	CD81	CD81	chr11	2416276	2416678	+	0	3	0.0	3.1906617	4.9649057	0.09563504	False	False	False	False	False	0	38	NA	-0.443035	2.8955097
chr11:811645-823693:+:end	PNPLA2,SNORA52,RPLP2	PNPLA2,RPLP2	chr11	811645	823693	+	0	11	0.0	14.577259	7.0568924	0.099493645	False	False	False	False	False	0	39	NA	0.32918835	-0.58496076
chr11:811645-823693:+:start	PNPLA2,SNORA52,RPLP2	PNPLA2,RPLP2	chr11	811645	823693	+	0	0	0.0	0.52443886	1.9201031	0.10808286	False	False	False	False	False	0	39	NA	0.32918835	-0.58496076
chr14:51375047-51375538:-:end	PYGL	PYGL	chr14	51375047	51375538	-	0	5	0.0	5.642023	5.784825	0.099493645	False	False	False	False	False	0	28	NA	-6.8939056	3.448051
chr14:75356052-75356580:+:start	DLST	DLST	chr14	75356052	75356580	+	0	14	0.3215434	17.730497	5.769739	0.13216795	False	False	False	False	False	1	42	NA	-8.430945	0.21299417
chr15:64448341-64448923:-:end	PPIB	PPIB	chr15	64448341	64448923	-	1	0	2.1961932	0.0	-4.097657	0.10181767	False	False	False	False	False	34	0	NA	-0.8317062	0.7369658
chr15:72511451-72523664:-:end	PKM2,PKM	PKM	chr15	72511451	72523664	-	11	94	15.204679	96.296295	7.1738176	0.1249771	False	False	False	False	False	22	24	NA	2.2534482	1.0
chr16:11935600-11945264:-:end	RSL1D1	RSL1D1	chr16	11935600	11945264	-	0	2	0.0	3.183024	4.946219	0.10181767	False	False	False	False	False	0	32	NA	0.28098813	4.202938
chr16:2011184-2011531:+:start			chr16	2011184	2011531	+	0	1	0.0	1.1857708	3.4497557	0.099493645	False	False	False	False	False	0	26	NA	0.62718874	-3.0220249
chr16:2013250-2014276:-:end	RPS2,SNORA64,SNORA10	RPS2	chr16	2013250	2014276	-	0	0	0.32054365	0.0	-1.3276186	0.09563504	False	False	False	False	False	80	0	NA	0.02037354	1.3829178
chr17:7417150-7417192:-:start			chr17	7417150	7417192	-	0	3	0.0	9.164969	4.976414	0.098110504	False	False	False	False	False	0	15	NA	-4.7686954	-0.49750006
chr17:79977071-79977168:-:end	STRA13	STRA13	chr17	79977071	79977168	-	0	3	0.0	3.92562	5.2237453	0.11597397	False	False	False	False	False	0	20	NA	1.7847368	0.43740523
chr17:80401673-80401769:+:start			chr17	80401673	80401769	+	0	9	0.0	29.850746	6.7864237	0.09563504	False	False	False	False	False	0	6	NA	0.0	-5.9606214
chr17:8283206-8285460:-:end	RP11-849F2.7,RPL26	RPL26	chr17	8283206	8285460	-	0	0	0.77001745	0.0	-2.7604332	0.039638117	False	False	False	False	False	119	0	NA	-0.11237809	2.2554057
chr19:42365281-42373159:+:start	RPS19	RPS19	chr19	42365281	42373159	+	0	0	0.8769585	0.0	-3.0579543	0.039638117	False	False	False	False	False	152	0	NA	0.58044237	-0.06266768
chr19:49993169-49993736:+:end	RPL13A,FLT3LG	RPL13A	chr19	49993169	49993736	+	0	0	0.0	0.20704328	0.68647766	0.09668728	False	False	False	False	False	0	83	NA	-0.7705905	-1.285059
chr19:49993169-49993736:+:start	RPL13A,FLT3LG	RPL13A	chr19	49993169	49993736	+	0	0	0.0	0.19686106	0.65188694	0.09563504	False	False	False	False	False	0	83	NA	-0.7705905	-1.285059
chr19:50000852-50001187:+:start	RPS11,SNORD35B	RPS11	chr19	50000852	50001187	+	0	0	0.0	0.3164557	1.6458082	0.05867054	False	False	False	False	False	0	64	NA	1.903906	2.0223668
chr19:50185184-50189418:+:start	PRMT1,C19orf76		chr19	50185184	50189418	+	0	1	0.0	1.3198416	3.5303864	0.11638179	False	False	False	False	False	0	27	NA	-1.0	0.26546124
chr1:26801158-26801609:+:start	HMGN2	HMGN2	chr1	26801158	26801609	+	3	0	3.1689088	0.0	-4.987624	0.039638117	False	False	False	False	False	112	0	NA	2.6000707	-4.0220246
chr1:8925402-8925491:-:end			chr1	8925402	8925491	-	0	0	2.0450442	0.0	-2.7775226	0.18145299	False	False	False	False	False	128	0	NA	-5.6953335	-0.82200223
chr2:85132842-85133138:+:start	TMSB10	TMSB10	chr2	85132842	85133138	+	0	0	0.0	0.9458501	3.056973	0.09668728	False	False	False	False	False	0	34	NA	-0.9246645	0.0
chr4:39458098-39459205:-:end	RPL9	RPL9	chr4	39458098	39459205	-	0	0	0.0	0.5618854	2.1658015	0.09563504	False	False	False	False	False	0	55	NA	4.493844	0.3702908
chr5:137089049-137089121:-:start			chr5	137089049	137089121	-	0	5	0.0	17.317846	5.935492	0.039638117	False	False	False	False	False	0	54	NA	-2.6791596	-8.333484
chr5:180668544-180670691:-:end	GNB2L1,SNORD95,SNORD96A	GNB2L1	chr5	180668544	180670691	-	1	0	2.122484	0.0	-4.265995	0.029342566	False	False	False	False	False	401	0	NA	-4.7782693	-0.82764876
chr6:33257397-33257615:+:start	PFDN6	PFDN6	chr6	33257397	33257615	+	0	6	0.0	9.285714	6.2262297	0.1077543	False	False	False	False	False	0	30	NA	0.79455334	-1.275106
chrX:107977827-107977863:-:start			chrX	107977827	107977863	-	3	0	9.018568	0.0	-4.9524565	0.09563504	False	False	False	False	False	22	0	NA	1.6927125	-0.19195177
