ID	gene_symbols	refseq_gene	chr	start	end	strand	ave_wt_perc	ave_mut_perc	wt_perc_qc	mut_perc_qc	log_ratio	perc_qval	alt_3ss	alt_5ss	exon_inclusion	exon_skipping	intron_retention	ave_wt_raw	ave_mut_raw	edger_gene_qval	3ss_mad_score	5ss_mad_score
chr11:75111821-75113447:+:start	SNORD15B,RPS3		chr11	75111821	75113447	+	0	0	0.18681912	0.0	-0.8371544	0.11882967	False	False	False	False	False	79	0	NA	-0.26751235	1.1651084
chr12:111180480-111180575:-:end			chr12	111180480	111180575	-	12	0	14.757281	0.0	-7.0987926	0.12248822	False	False	False	False	False	65	0	NA	-1.0551746	1.5791806
chr12:120636530-120636656:-:end	RPLP0,GCN1L1	RPLP0	chr12	120636530	120636656	-	0	0	0.60676104	0.0	-2.3983612	0.072483875	False	False	False	False	False	141	0	NA	0.7876652	0.41407242
chr15:66793443-66793742:-:start	RPL4	RPL4	chr15	66793443	66793742	-	0	0	0.41214946	0.0	-1.9043169	0.14468464	False	False	False	False	False	45	0	NA	1.630505	-1.0703609
chr16:1822895-1822959:+:start			chr16	1822895	1822959	+	0	2	0.0	8.230088	4.8165617	0.1515729	False	False	False	False	False	0	62	NA	-1.8149538	-1.7652037
chr17:37006716-37008856:-:end	SNORA21,RPL23	RPL23	chr17	37006716	37008856	-	0	0	1.2706151	0.0	-3.2758145	0.072483875	False	False	False	False	False	173	0	NA	1.0	0.0
chr6:44219345-44219851:+:start	HSP90AB1	HSP90AB1	chr6	44219345	44219851	+	2	0	2.9523811	0.0	-4.7721577	0.072483875	False	False	False	False	False	132	0	NA	0.0	0.3051572
chr8:144663316-144663398:-:end	EEF1D,NAPRT1	EEF1D	chr8	144663316	144663398	-	2	0	2.854845	0.0	-4.4249697	0.14468464	False	False	False	False	False	57	0	NA	2.2675154	-1.0
chr8:146016692-146017257:-:end	RPL8		chr8	146016692	146017257	-	0	0	0.21234643	0.0	-0.7538805	0.14228553	False	False	False	False	False	68	0	NA	-0.24613294	-0.5859276
chr8:146016692-146017257:-:start	RPL8		chr8	146016692	146017257	-	0	0	0.30486697	0.0	-1.2097673	0.14468464	False	False	False	False	False	68	0	NA	-0.24613294	-0.5859276
